municipality,state,municipality_id,unit_type,document_title,union_name,employer,contract_years,source_url,source_owner_type,document_type,document_completeness,comparator_role,wrong_employer_risk,context_only_flag,visible_year_evidence,overlap_with_anchor_cycle,duplicate_risk,blocked_or_unreadable_flag,cycle_match_notes,why_relevant,confidence,candidate_stage,needs_verification_reason,scout_stage_status,verification_priority,verification_notes
Elizabeth,NJ,cog_2025_204933,non_safety,"Cit Hall Supervisors Assoc Contract July 1, 2025 - June 30, 2029",Cit Hall Supervisors Assoc,CITY OF ELIZABETH,"July 1, 2025 - June 30, 2029",https://www.elizabethnj.org/DocumentCenter/View/9540/Cit-Hall-Supervisors-Assoc-Contract-July-1-2025---June-30-2029,city,memorandum_or_settlement,partial_document,authoritative_civilian_wage_setting,possible,no,cover_or_title,no_anchor_supplied,none,no,"Visible year coverage appears as July 1, 2025 through June 30, 2029 on the document title/attachment label. No anchor-cycle overlap assessment possible because no anchor cycle was supplied.",Provides municipal civilian wage-setting terms (city hall supervisors association) from an official City of Elizabeth DocumentCenter attachment.,medium,qualifying_candidate,"Scout-stage lead only: appears to be a 1-page signed attachment with wage/percentage increase terms, but unit/bargaining-entity scope (exact job classes represented; whether it is general-civilian/non-safety vs. public-safety) and completeness of the collective agreement should be verified later.",unverified_scout_candidate,medium,"Later coordinated verification must confirm the exact New Jersey municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Elizabeth,NJ,cog_2025_204933,non_safety,"Union Council No. 8 Contract - July 1, 2025 - June 30, 2029",Union Council No. 8,CITY OF ELIZABETH,"July 1, 2025 - June 30, 2029",https://www.elizabethnj.org/DocumentCenter/View/9532/Union-Council-No-8-Contract---July-1-2025---June-30-2029,city,memorandum_or_settlement,partial_document,authoritative_civilian_wage_setting,possible,no,cover_or_title,no_anchor_supplied,none,no,"Visible year coverage appears as July 1, 2025 through June 30, 2029 on the document title/attachment label. No anchor-cycle overlap assessment possible because no anchor cycle was supplied. Unit identity is not fully specified by the title/attachment page alone (verify later).",Another official Elizabeth DocumentCenter attachment that appears to include municipal civilian wage-setting terms for a 2025–2029 contract period.,low,qualifying_candidate,"Scout-stage lead only: appears to contain signed wage-related terms/percent increases, but the precise employee group covered by Union Council No. 8 for City of Elizabeth should be verified later to ensure it is an ordinary non-safety municipal unit.",unverified_scout_candidate,medium,"Later coordinated verification must confirm the exact New Jersey municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Bayonne,NJ,cog_2025_208765,police,PBA LOCAL 7 MOA 2019 2020,PBA Local 7,CITY OF BAYONNE,2019-2020,https://opramachine.com/request/43004/response/76106/attach/5/PBA%20LOCAL%207%20MOA%202019%202020.pdf?cookie_passthrough=1,third_party,memorandum_or_settlement,partial_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,Visible year evidence appears to be on the document title (2019 2020). Exact wage-setting terms and binding status are unverified at scout-stage.,A city-side police labor document for Bayonne referenced as part of an OPRA response for the Patrolman's PBA; likely relevant to police wage-setting cycle overlap comparison.,medium,qualifying_candidate,"Scout-stage lead only: must verify the agreement is for CITY OF BAYONNE (not another Bayonne entity), identify the exact PBA unit/scope, confirm binding wage-setting provisions, and extract/confirm the operative period and any wage schedules.",unverified_scout_candidate,low,"Later coordinated verification must confirm the exact New Jersey municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Bayonne,NJ,cog_2025_208765,police,PBA LOCAL 7 Agreement 2013 2018,PBA Local 7,CITY OF BAYONNE,2013-2018,https://opramachine.com/request/43004/response/76106/attach/4/PBA%20LOCAL%207%20Agreement%202013%202018.pdf?cookie_passthrough=1,third_party,cba,blocked_or_unreadable,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,yes,"Visible year evidence appears to be in the filename/title (2013 2018). The PDF could not be fetched due to access restrictions (403), so wage-setting terms, completeness, and exact binding scope remain unverified at scout-stage.","If accessible/confirmable, this appears to be the last full police agreement for PBA Local 7 as stated in the OPRA request response page.",low,insufficient_candidate,"Scout-stage lead only: must verify CITY OF BAYONNE employer, confirm this is a police bargaining unit CBA (not supplemental/non-bargaining), confirm operative wage-setting provisions and duration, and confirm mutual overlap with any supplied anchor cycle (not provided here).",unverified_scout_candidate,low,"Later coordinated verification must confirm the exact New Jersey municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
East Orange,NJ,cog_2025_170167,police,"OPRA response attachment: 2022–2026 contract with East Orange Fraternal Order of Police, Lodge 111 (file name: doc02124720250703143731.pdf)","East Orange Fraternal Order of Police, Lodge 111","City of East Orange, NJ",unclear,https://opramachine.com/request/77905/response/132395/attach/2/doc02124720250703143731.pdf?cookie_passthrough=1,third_party,unknown,blocked_or_unreadable,safety_target,possible,no,index_or_snippet_only,no_anchor_supplied,none,yes,"Only the existence of an OPRA attachment is visible; the attachment itself could not be fetched (403), so contract term years cannot be confirmed from the document cover/title or operative text.","Identifies a City of East Orange police bargaining contract (FOP Lodge 111) and provides a public URL to the requested municipal labor source document, but is unreadable at scout-stage.",low,insufficient_candidate,"Live document could not be accessed to verify employer, unit identity (police), execution/binding status, wage-setting content, and visible contract years.",unverified_scout_candidate,low,"Later coordinated verification must confirm the exact New Jersey municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Perth Amboy,NJ,cog_2025_170194,fire,"PROPOSED AGENDA OF JUNE 22 2015 (Council agenda PDF referencing a ratifying MOA for Uniformed Fire Fighters Association, Local 286, IAFF)","Perth Amboy Uniformed Fire Fighters Association, Local No. 286 (IAFF, AFL-CIO)",CITY OF PERTH AMBOY,2015-2018 (visible period stated in agenda item; full CBA/MOA text not provided in this file),https://www.perthamboynj.org/common/pages/DisplayFile.aspx?itemId=12088259,city,agenda_cover_sheet,partial_document,safety_target,possible,yes,index_or_snippet_only,no_anchor_supplied,none,no,"Agenda text states a ratifying memorandum of agreement and approval of a contract period of January 1, 2015 to December 31, 2018 (R-281-6/15), but this agenda file does not include the executed MOA/CBA wage-setting document itself.",Provides a city/union pairing and an indicated fire safety contract period (2015-2018) that may overlap with other municipal cycles for matched-comparison repair once the actual executed wage-setting MOA/CBA is located.,medium,context_only_candidate,This is an agenda reference to a ratification item; the underlying executed MOA/CBA wage schedule is not shown in the returned document.,unverified_scout_candidate,low,"Later coordinated verification must confirm the exact New Jersey municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Perth Amboy,NJ,cog_2025_170194,police,"AGENDA AUGUST 10 2015 (Council agenda PDF referencing ratifying a MOA for Superior Officers Association, FOP Lodge No. 80)","Perth Amboy Superior Officers Association, Fraternal Order of Police, Lodge No. 80",CITY OF PERTH AMBOY,2015-2018 (visible period stated in agenda item; full CBA/MOA text not provided in this file),https://www.perthamboynj.org/workspaces/One.aspx?contextId=12087385&objectId=12088263,city,agenda_cover_sheet,partial_document,safety_target,possible,yes,index_or_snippet_only,no_anchor_supplied,none,no,"Agenda text states a ratifying memorandum of agreement and approval of a contract period of January 1, 2015 to December 31, 2018 (R-361-8/15). The returned file does not include the underlying executed wage-setting agreement.",Gives an indicated police-related bargaining relationship and contract period (2015-2018) that can be used to locate the actual wage-setting document for overlap/cycle matching.,medium,context_only_candidate,Agenda reference only; must locate and verify the actual executed MOA/CBA document and confirm it is a police safety unit collective negotiation agreement (and not merely an administrative/specific supplement).,unverified_scout_candidate,low,"Later coordinated verification must confirm the exact New Jersey municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Perth Amboy,NJ,cog_2025_170194,non_safety,A Notice Regarding Council Meetings (Council notice PDF referencing ratifications including OPEIU Local 32 contract period 2019-2022),"Perth Amboy Blue & White Collar Supervisors, Local 32, OPEIU",CITY OF PERTH AMBOY,2019-2022 (visible period stated in notice text; full CBA/MOA text not provided in this file),https://www.perthamboynj.org/common/pages/DisplayFile.aspx?itemId=16563124,city,context_only,partial_document,ordinary_non_safety_comparator,possible,yes,index_or_snippet_only,no_anchor_supplied,none,no,"Notice text references a ratifying memorandum of agreement for OPEIU Local 32 (Blue & White Collar Supervisors) with a contract period of January 1, 2019 through December 31, 2022 (R-124-3/20). This returned file does not contain the actual executed agreement or wage schedule.",Potential ordinary municipal (non-safety) comparator pathway for citywide civilian bargaining if the underlying executed MOA/CBA wage-setting document confirms civilian unit coverage for the stated period.,low,context_only_candidate,Only a council notice referencing ratification; must retrieve the underlying executed wage-setting agreement and verify unit classification is ordinary non-safety (civilian/supervisory) rather than safety/police/fire.,unverified_scout_candidate,low,"Later coordinated verification must confirm the exact New Jersey municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
West New York,NJ,cog_2025_170180,police,ORDINANCE #2/15 — Salary Ordinance for Patrol Officers of the West New York Police Department (1/1/2015 to 12/31/2019),West New York Police PBA Local 361,TOWN OF WEST NEW YORK,1/1/2015–12/31/2019,https://www.westnewyorknj.org/wp-content/uploads/2023/10/ord215.pdf,city,ordinance_or_policy,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,Contract years are explicitly stated in the document title as 1/1/2015 to 12/31/2019. Wage-setting evidence appears via salary tables and a stated adoption of terms and conditions of the police contract.,Municipal police wage-setting instrument for the Town of West New York within an ordinary 2014–2024 cycle window (2015–2019).,medium,qualifying_candidate,Scout lead only: confirm that the incorporated 'contract between the Town ... and PBA Local 361' is the same municipal police CBA unit requested and verify unit scope/execution details.,unverified_scout_candidate,medium,"Later coordinated verification must confirm the exact New Jersey municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
West New York,NJ,cog_2025_170180,police,ORDINANCE #3/15 — Ordinance amending Ordinance #16/12 entitled 'An Ordinance establishing Salaries for Superior Officers of the West New York Police Department' (1/1/2015 to 12/31/2019),"West New York Police Supervisors’ Association, Inc.",TOWN OF WEST NEW YORK,1/1/2015–12/31/2019,https://westnewyorknj.org/wp-content/uploads/2023/10/ord315.pdf,city,ordinance_or_policy,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,possible,no,"Contract years are explicitly stated in operative/whereas text as negotiations for 1/1/2015 through 12/31/2019, with salary adjustments for superior officers.",Municipal police wage-setting instrument for the Town of West New York within the 2014–2024 cycle window (2015–2019).,medium,qualifying_candidate,Scout lead only: verify the specific police bargaining unit definition (supervisors vs. patrol) and confirm it aligns with the municipal police CBA requested (as opposed to internal salary ordinance coverage).,unverified_scout_candidate,low,"Later coordinated verification must confirm the exact New Jersey municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
