source_id,title,organization_or_author,year,url_or_citation,source_type,occupation_scope,mechanism_relevance,geographic_scope,credibility_notes,use_in_project
src_bls_police_ooh_2026,"Police and Detectives","U.S. Bureau of Labor Statistics",2026,https://www.bls.gov/ooh/protective-service/police-and-detectives.htm,official_federal_reference,police,"baseline pay, work schedules, injury risk, training requirements, projected openings",national,Primary federal labor-market reference,Core police background and wage benchmark
src_bls_fire_ooh_2026,"Firefighters","U.S. Bureau of Labor Statistics",2026,https://www.bls.gov/ooh/protective-service/firefighters.htm,official_federal_reference,fire,"baseline pay, volunteer/career distinction, injury risk, EMS/training burden, overtime",national,Primary federal labor-market reference,Core fire background and wage benchmark
src_bls_oews_overview_2026,"Occupational Employment and Wage Statistics","U.S. Bureau of Labor Statistics",2026,https://www.bls.gov/oes/,official_federal_reference,police_fire_non_safety,"national/state/metro occupational wage trend source",national,Primary federal wage-data program,Trend-data plan and source limits
src_bls_oews_state_table_2025,"May 2025 State Occupational Employment and Wage Estimates","U.S. Bureau of Labor Statistics",2025,https://www.bls.gov/oes/current/oessrcst.htm,official_federal_data,police_fire_non_safety,"state-level wage tables for descriptive trends",state,Primary federal table entry point,Trend-data plan implementation cue
src_census_aspep_2026,"Annual Survey of Public Employment & Payroll (ASPEP)","U.S. Census Bureau",2026,https://www.census.gov/programs-surveys/apes.html,official_federal_reference,police_fire_non_safety,"government-function employment and payroll context",national_state_local,Primary federal public-employment source,Trend-data plan and functional payroll context
src_census_aspep_summary_2025,"Annual Survey of Public Employment & Payroll Summary Report: 2025","U.S. Census Bureau",2026,https://www.census.gov/programs-surveys/apes.html,official_federal_summary,police_fire_non_safety,"recent state/local employment and payroll context",national,Primary federal summary,Recent context for state/local payroll environment
src_perf_ap_2024,"Police officer hiring in US increases in 2023 after years of decline, survey shows","Associated Press summarizing PERF survey",2024,https://apnews.com/article/7e39156a80de2d75e22bd554adc8f887,news_secondary_with_primary_survey_basis,police,"recruitment, resignations, retirements, post-2020 staffing stress",national,Secondary summary of PERF survey rather than direct PERF release,Mechanism background on police staffing market
src_cdc_niosh_firefighters_2024,"Firefighters","National Institute for Occupational Safety and Health",2024,https://www.cdc.gov/niosh/firefighters/,official_federal_reference,fire,"occupational risk, firefighter safety and health framing",national,Primary federal occupational safety source,Fire hazard/risk mechanism background
src_cdc_nfr_2024,"National Firefighter Registry for Cancer","Centers for Disease Control and Prevention / NIOSH",2024,https://www.cdc.gov/nfr/,official_federal_reference,fire,"occupational exposure and long-run health risk relevance",national,Primary federal registry page,Fire risk/liability mechanism background
src_nfpa_home_2026,"NFPA","National Fire Protection Association",2026,https://www.nfpa.org/,trade_association_reference,fire,"defines NFPA and standards/research ecosystem",national,Authoritative field organization but not neutral government source,Define NFPA for non-specialists
src_fprf_page_2026,"Fire Protection Research Foundation","National Fire Protection Association",2026,https://www.nfpa.org/education-and-research/research/fire-protection-research-foundation,field_research_foundation_reference,fire,"defines FPRF and research function",national,Authoritative field research affiliate,Define FPRF for non-specialists
src_nvfc_home_2026,"Home","National Volunteer Fire Council",2026,https://www.nvfc.org/,field_association_reference,fire,"defines NVFC and volunteer recruitment/training support ecosystem",national,Authoritative field association with advocacy role,Define NVFC and volunteer-fire relevance
src_mass_jlmc_org,"Joint Labor Management Committee","Commonwealth of Massachusetts",2026,https://www.mass.gov/orgs/joint-labor-management-committee,state_institution_reference,police_fire,"Massachusetts police/fire impasse institution",massachusetts,Official state institution page; may require browser/manual access,Institutional case for arbitration/backstop section
src_bls_police_state_area,"State & Area Data for Police and Detectives","U.S. Bureau of Labor Statistics",2026,https://www.bls.gov/ooh/protective-service/police-and-detectives.htm,official_federal_reference,police,"shows OEWS linkage for state/area wage data",national_state_metro,Primary federal reference,Trend-data plan support
src_bls_fire_state_area,"State & Area Data for Firefighters","U.S. Bureau of Labor Statistics",2026,https://www.bls.gov/ooh/protective-service/firefighters.htm,official_federal_reference,fire,"shows OEWS linkage for state/area wage data",national_state_metro,Primary federal reference,Trend-data plan support
