state,municipality,municipality_id,county_geoid,county_name,source_for_county_mapping,municipality_source,population_rank_note,already_scouted,already_in_corpus,notes
CA,Los Angeles,ca_los_angeles,06037,Los Angeles County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,
CA,Sacramento,ca_sacramento,06067,Sacramento County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,
CO,Denver,co_denver,08031,Denver County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,County-equivalent consolidated city-county.
CT,Hartford,ct_hartford,09110,Capitol Planning Region,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,Uses Connecticut's current Census county-equivalent planning regions.
IL,Aurora,il_aurora,17089,Kane County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,Primary county assignment only; municipality spans multiple counties.
IL,Chicago,il_chicago,17031,Cook County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,
IL,Naperville,il_naperville,17043,DuPage County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,Primary county assignment only; municipality spans multiple counties.
IL,Rockford,il_rockford,17201,Winnebago County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,
IL,Springfield,il_springfield,17167,Sangamon County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,
MA,Arlington,ma_arlington,25017,Middlesex County,curated mapping to 2024 Census county-equivalent universe,data/contracts.csv,,no,yes,
MA,Boston,ma_boston,25025,Suffolk County,curated mapping to 2024 Census county-equivalent universe,data/contracts.csv,,no,yes,
MA,Franklin,ma_franklin,25021,Norfolk County,curated mapping to 2024 Census county-equivalent universe,data/contracts.csv,,no,yes,
MA,Georgetown,ma_georgetown,25009,Essex County,curated mapping to 2024 Census county-equivalent universe,data/contracts.csv,,no,yes,
MA,Newton,ma_newton,25017,Middlesex County,curated mapping to 2024 Census county-equivalent universe,data/contracts.csv,,no,yes,
MA,Seekonk,ma_seekonk,25005,Bristol County,curated mapping to 2024 Census county-equivalent universe,data/contracts.csv,,no,yes,
MA,Somerville,ma_somerville,25017,Middlesex County,curated mapping to 2024 Census county-equivalent universe,data/contracts.csv,,no,yes,
MA,Wayland,ma_wayland,25017,Middlesex County,curated mapping to 2024 Census county-equivalent universe,data/contracts.csv,,no,yes,
MA,Worcester,ma_worcester,25027,Worcester County,curated mapping to 2024 Census county-equivalent universe,data/contracts.csv,,no,yes,
MD,Baltimore,md_baltimore,24510,Baltimore city,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,County-equivalent independent city.
MN,Minneapolis,mn_minneapolis,27053,Hennepin County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,
NJ,Camden,nj_camden,34007,Camden County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,
NJ,Jersey City,nj_jersey_city,34017,Hudson County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,
NJ,Newark,nj_newark,34013,Essex County,curated mapping to 2024 Census county-equivalent universe,data/contracts.csv; docs/analysis/national_source_targets_2026-07-12.csv,,no,yes,
NJ,Paterson,nj_paterson,34031,Passaic County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,
NJ,Trenton,nj_trenton,34021,Mercer County,curated mapping to 2024 Census county-equivalent universe,data/contracts.csv; docs/analysis/national_source_targets_2026-07-12.csv,,no,yes,
NY,Albany,ny_albany,36001,Albany County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,
NY,Buffalo,ny_buffalo,36029,Erie County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,
NY,Rochester,ny_rochester,36055,Monroe County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,
NY,Syracuse,ny_syracuse,36067,Onondaga County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,
NY,Yonkers,ny_yonkers,36119,Westchester County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,
OH,Cincinnati,oh_cincinnati,39061,Hamilton County,curated mapping to 2024 Census county-equivalent universe,data/contracts.csv,,no,yes,
OH,Cleveland,oh_cleveland,39035,Cuyahoga County,curated mapping to 2024 Census county-equivalent universe,data/contracts.csv,,no,yes,
OH,Columbus,oh_columbus,39049,Franklin County,curated mapping to 2024 Census county-equivalent universe,data/contracts.csv,,no,yes,Primary county assignment only; municipality spans multiple counties.
OH,Toledo,oh_toledo,39095,Lucas County,curated mapping to 2024 Census county-equivalent universe,data/contracts.csv,,no,yes,
OR,Portland,or_portland,41051,Multnomah County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv,,no,no,Primary county assignment only; municipality spans multiple counties.
PA,Allentown,pa_allentown,42077,Lehigh County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/national_source_targets_2026-07-12.csv; docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,3rd largest PA city,yes,no,
PA,Altoona,pa_altoona,42013,Blair County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,mid-size PA city (approx. rank 11-15 by population; general knowledge basis not a verified gazetteer),yes,no,
PA,Bethlehem,pa_bethlehem,42077,Lehigh County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,7th largest PA city,yes,no,Primary county assignment only; municipality spans multiple counties.
PA,Carlisle,pa_carlisle,42041,Cumberland County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,mid-size PA borough (approx. rank 20-30 by population; general knowledge basis),yes,no,
PA,Chambersburg,pa_chambersburg,42055,Franklin County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,mid-size PA borough (approx. rank 20-30 by population; general knowledge basis),yes,no,
PA,Chester,pa_chester,42045,Delaware County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,mid-size PA city (approx. rank 11-20 by population; general knowledge basis),yes,no,
PA,Easton,pa_easton,42095,Northampton County,curated mapping to 2024 Census county-equivalent universe,docs/analysis/gabriel_state_source_scout_pa_batch25_municipalities_2026-07-15.csv,mid-size PA city (approx. rank 11-20 by population; general knowledge basis),yes,no,
