run_id,state,municipality_count,parseable_count,failed_count,candidate_row_count,input_tokens_total,reasoning_tokens_total,output_tokens_total,total_tokens_total,estimated_input_cost,estimated_output_cost,estimated_total_cost,estimate_only
all_2026-07-22_164144,AK,1,1,0,3,32265,1783,3006,35271,0.006453,0.0037575,0.0102105,true
all_2026-07-22_164144,AL,6,6,0,4,137036,5204,7019,144055,0.0274072,0.00877375,0.03618095,true
all_2026-07-22_164144,AR,2,1,1,0,24015,1411,1445,25460,0.004803,0.00180625,0.00660925,true
all_2026-07-22_164144,AZ,11,10,1,12,280206,12575,17465,297671,0.0560412,0.02183125,0.07787245,true
all_2026-07-22_164144,CO,9,9,0,11,297505,12409,17093,314598,0.059501,0.02136625,0.08086725,true
all_2026-07-22_164144,CT,3,3,0,10,97808,5391,9461,107269,0.0195616,0.01182625,0.03138785,true
all_2026-07-22_164144,DC,1,1,0,5,37635,2601,4833,42468,0.007527,0.00604125,0.01356825,true
all_2026-07-22_164144,FL,15,14,1,38,470786,20762,37186,507972,0.0941572,0.0464825,0.1406397,true
all_2026-07-22_164144,GA,7,7,0,2,177372,6021,7160,184532,0.0354744,0.00895,0.0444244,true
all_2026-07-22_164144,HI,1,1,0,3,39312,1607,2924,42236,0.0078624,0.003655,0.0115174,true
all_2026-07-22_164144,IA,4,4,0,11,129231,7065,11716,140947,0.0258462,0.014645,0.0404912,true
all_2026-07-22_164144,ID,1,1,0,2,27155,1551,2433,29588,0.005431,0.00304125,0.00847225,true
all_2026-07-22_164144,IN,2,0,2,0,0,0,0,0,0.00,0.00,0.00,true
all_2026-07-22_164144,KS,4,4,0,3,95616,3912,5287,100903,0.0191232,0.00660875,0.02573195,true
all_2026-07-22_164144,KY,2,2,0,5,64062,3766,5848,69910,0.0128124,0.00731,0.0201224,true
all_2026-07-22_164144,LA,3,3,0,5,89655,4935,7057,96712,0.017931,0.00882125,0.02675225,true
all_2026-07-22_164144,MA,9,9,0,22,270191,12566,21909,292100,0.0540382,0.02738625,0.08142445,true
all_2026-07-22_164144,MD,1,1,0,3,16352,1292,2562,18914,0.0032704,0.0032025,0.0064729,true
all_2026-07-22_164144,MI,4,4,0,8,149480,7362,10625,160105,0.029896,0.01328125,0.04317725,true
all_2026-07-22_164144,MN,4,4,0,10,138381,7156,10991,149372,0.0276762,0.01373875,0.04141495,true
all_2026-07-22_164144,MO,5,4,1,6,128720,6335,8864,137584,0.025744,0.01108,0.036824,true
all_2026-07-22_164144,MS,1,1,0,0,22696,692,724,23420,0.0045392,0.000905,0.0054442,true
all_2026-07-22_164144,NC,8,8,0,3,171678,6258,7633,179311,0.0343356,0.00954125,0.04387685,true
all_2026-07-22_164144,NE,2,2,0,7,76385,3172,5924,82309,0.015277,0.007405,0.022682,true
all_2026-07-22_164144,NM,2,2,0,6,52351,2585,4872,57223,0.0104702,0.00609,0.0165602,true
all_2026-07-22_164144,NV,4,3,1,12,95177,5295,10291,105468,0.0190354,0.01286375,0.03189915,true
all_2026-07-22_164144,OH,2,2,0,7,69117,3063,5868,74985,0.0138234,0.007335,0.0211584,true
all_2026-07-22_164144,OK,3,3,0,8,106939,5249,8545,115484,0.0213878,0.01068125,0.03206905,true
all_2026-07-22_164144,OR,3,3,0,11,103319,6334,10647,113966,0.0206638,0.01330875,0.03397255,true
all_2026-07-22_164144,RI,1,1,0,3,34665,2065,3361,38026,0.006933,0.00420125,0.01113425,true
all_2026-07-22_164144,SC,3,3,0,1,86451,3230,3825,90276,0.0172902,0.00478125,0.02207145,true
all_2026-07-22_164144,SD,1,1,0,3,18579,769,1966,20545,0.0037158,0.0024575,0.0061733,true
all_2026-07-22_164144,TN,7,7,0,9,233933,9752,13526,247459,0.0467866,0.0169075,0.0636941,true
all_2026-07-22_164144,UT,1,1,0,3,19776,1289,2693,22469,0.0039552,0.00336625,0.00732145,true
all_2026-07-22_164144,VA,7,7,0,7,185231,7504,10663,195894,0.0370462,0.01332875,0.05037495,true
all_2026-07-22_164144,WA,6,5,1,14,145103,7501,12895,157998,0.0290206,0.01611875,0.04513935,true
all_2026-07-22_164144,WI,4,4,0,11,134173,6465,10754,144927,0.0268346,0.0134425,0.0402771,true
