state,municipality,municipality_id,batch_id,scout_status,parse_status,candidate_count,police_candidate_count,fire_candidate_count,non_safety_candidate_count,unknown_candidate_count,likely_triad,best_source_owner_type,best_candidate_priority,needs_retry,needs_verification,total_cost,input_tokens_total,reasoning_tokens_total,output_tokens_total,time_taken_successful_seconds,run_id,raw_outputs_ref,parsed_candidates_ref,failed_parses_ref
PA,Philadelphia,pa_philadelphia,pa_batch25_2026-07-15,scouted_parseable,parseable,4,2,1,1,0,yes,city,medium,no,yes,0.01034525,31770.0,1334.0,1859,21.041055917739868,pa_2026-07-15_114435,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/failed_parses.csv
PA,Pittsburgh,pa_pittsburgh,pa_batch25_2026-07-15,scouted_parseable,parseable,3,2,1,0,0,no,city,medium,no,yes,0.013062,33585.0,2311.0,2765,34.972886085510254,pa_2026-07-15_114435,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/failed_parses.csv
PA,Allentown,pa_allentown,pa_batch25_2026-07-15,scouted_parseable,parseable,3,1,2,0,0,no,city,medium,no,yes,0.012818650000000001,37337.0,1911.0,2370,29.668437957763672,pa_2026-07-15_114435,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/failed_parses.csv
PA,Erie,pa_erie,pa_batch25_2026-07-15,scouted_parseable,parseable,5,2,2,1,0,yes,third_party,low,no,yes,0.0133255,39440.0,1825.0,2525,48.55315899848938,pa_2026-07-15_114435,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/failed_parses.csv
PA,Reading,pa_reading,pa_batch25_2026-07-15,scouted_parseable,parseable,2,1,0,1,0,no,city,medium,no,yes,0.0141406,46178.0,1786.0,2138,42.74116206169128,pa_2026-07-15_114435,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/failed_parses.csv
PA,Scranton,pa_scranton,pa_batch25_2026-07-15,scouted_parseable,parseable,6,2,2,2,0,yes,city,medium,no,yes,0.01091255,29894.0,1578.0,2369,25.657842874526978,pa_2026-07-15_114435,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/failed_parses.csv
PA,Bethlehem,pa_bethlehem,pa_batch25_2026-07-15,scouted_parseable,parseable,0,0,0,0,0,no,,,no,no,0.00814695,27191.0,1066.0,1101,28.964725971221924,pa_2026-07-15_114435,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/failed_parses.csv
PA,Lancaster,pa_lancaster,pa_batch25_2026-07-15,scouted_parseable,parseable,2,0,2,0,0,no,state_labor_board,medium,no,yes,0.0114939,37507.0,1430.0,1764,29.58142614364624,pa_2026-07-15_114435,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_main/failed_parses.csv
PA,Harrisburg,pa_harrisburg,pa_batch25_2026-07-15,retry_parseable,parseable,6,2,2,2,0,yes,city,medium,no,yes,0.0119389,34932,1589,2373,35.2149920463562,pa_2026-07-15_120857,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_retry/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_retry/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_retry/failed_parses.csv
PA,York,pa_york,pa_batch25_2026-07-15,retry_parseable,parseable,6,2,2,2,0,yes,city,medium,no,yes,0.007217950000000001,21246,838,1537,15.412675857543944,pa_2026-07-15_120857,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_retry/raw_outputs.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_retry/parsed_candidates.csv,tmp/gabriel_state_source_scout/PA/2026-07-15_batch25_retry/failed_parses.csv
