run_id,state,municipality_count,parseable_count,failed_count,candidate_row_count,input_tokens_total,reasoning_tokens_total,output_tokens_total,total_tokens_total,estimated_input_cost,estimated_output_cost,estimated_total_cost,estimate_only
all_2026-07-23_183330,AK,2,2,0,7,99443,4122,7136,106579,0.0198886,0.00892,0.0288086,true
all_2026-07-23_183330,AR,4,4,0,5,100521,3692,6255,106776,0.0201042,0.00781875,0.02792295,true
all_2026-07-23_183330,CA,5,4,1,10,134384,5674,9685,144069,0.0268768,0.01210625,0.03898305,true
all_2026-07-23_183330,FL,25,25,0,32,669177,25932,39437,708614,0.1338354,0.04929625,0.18313165,true
all_2026-07-23_183330,IA,6,6,0,10,156515,7992,11879,168394,0.031303,0.01484875,0.04615175,true
all_2026-07-23_183330,ID,2,2,0,5,44318,2003,3921,48239,0.0088636,0.00490125,0.01376485,true
all_2026-07-23_183330,IN,6,6,0,8,161741,8011,11592,173333,0.0323482,0.01449,0.0468382,true
all_2026-07-23_183330,KY,3,3,0,3,72445,2743,4097,76542,0.014489,0.00512125,0.01961025,true
all_2026-07-23_183330,MA,3,3,0,10,56758,3192,6976,63734,0.0113516,0.00872,0.0200716,true
all_2026-07-23_183330,MD,2,2,0,7,57051,2347,5127,62178,0.0114102,0.00640875,0.01781895,true
all_2026-07-23_183330,MI,10,10,0,23,288243,13144,22981,311224,0.0576486,0.02872625,0.08637485,true
all_2026-07-23_183330,MN,7,7,0,14,189823,9457,15439,205262,0.0379646,0.01929875,0.05726335,true
all_2026-07-23_183330,MT,2,2,0,5,74674,2907,5096,79770,0.0149348,0.00637,0.0213048,true
all_2026-07-23_183330,ND,2,2,0,3,43022,1639,2793,45815,0.0086044,0.00349125,0.01209565,true
all_2026-07-23_183330,NE,1,1,0,2,18402,515,1271,19673,0.0036804,0.00158875,0.00526915,true
all_2026-07-23_183330,NH,2,2,0,9,51306,2811,6473,57779,0.0102612,0.00809125,0.01835245,true
all_2026-07-23_183330,NM,2,2,0,4,60045,2714,4324,64369,0.012009,0.005405,0.017414,true
all_2026-07-23_183330,NV,1,1,0,3,32047,1636,2940,34987,0.0064094,0.003675,0.0100844,true
all_2026-07-23_183330,NY,1,1,0,2,31143,1419,2307,33450,0.0062286,0.00288375,0.00911235,true
all_2026-07-23_183330,OH,28,28,0,95,946520,39815,79953,1026473,0.189304,0.09994125,0.28924525,true
all_2026-07-23_183330,OK,3,3,0,3,80760,3379,4571,85331,0.016152,0.00571375,0.02186575,true
all_2026-07-23_183330,OR,9,9,0,23,230987,9854,19032,250019,0.0461974,0.02379,0.0699874,true
all_2026-07-23_183330,RI,2,2,0,6,59530,2889,5412,64942,0.011906,0.006765,0.018671,true
all_2026-07-23_183330,VT,1,1,0,3,25415,1536,2653,28068,0.005083,0.00331625,0.00839925,true
all_2026-07-23_183330,WA,8,8,0,24,204718,10316,19608,224326,0.0409436,0.02451,0.0654536,true
all_2026-07-23_183330,WI,13,13,0,27,405944,18580,29383,435327,0.0811888,0.03672875,0.11791755,true
