municipality,state,municipality_id,unit_type,document_title,union_name,employer,contract_years,source_url,source_owner_type,document_type,document_completeness,comparator_role,wrong_employer_risk,context_only_flag,why_relevant,confidence,candidate_stage,needs_verification_reason,scout_stage_status,verification_priority,verification_notes
Somerville,MA,ma_somerville,non_safety,SMEA Unit D MOA 2023-2025 SIGNED,"Somerville Municipal Employees Union (SMEU), Unit D",CITY OF SOMERVILLE municipal government (Census gov id 166453),"July 1, 2023 - June 30, 2025 (MOA text references Exhibit A salary/classification plan effective July 1, 2019 - June 30, 2022)",https://somervillema.legistar.com/View.ashx?GUID=4D044FE2-B0C6-485A-9025-406E156FC6BF&ID=15180294&M=F,city,memorandum_or_settlement,dead_or_unreachable,ordinary_non_safety_comparator,possible,yes,"Unit D appears (per city news/agenda context) to include ordinary civilian/clerical and related positions rather than a police or fire bargaining unit, making it a plausible overlapping non-safety anchor for Somerville’s clerical/admin/public_works/library cycle evidence.",medium,context_only_candidate,"Attachment URL was discovered via Somerville Legistar, but the underlying document could not be fetched in this scout run (tool error while retrieving the View.ashx content). Verify: exact employer name on document; official SMEA/Unit D provenance; bargaining-unit job-family fit for clerical_admin/public_works/library; and the claimed cycle date ranges (2014-2024 overlap) plus any safety vs non-safety overlap before promotion.",unverified_scout_candidate,low,"Trace-only lead; do not promote unless direct review resolves the stated deficiency. Attachment URL was discovered via Somerville Legistar, but the underlying document could not be fetched in this scout run (tool error while retrieving the View.ashx content). Verify: exact employer name on document; official SMEA/Unit D provenance; bargaining-unit job-family fit for clerical_admin/public_works/library; and the claimed cycle date ranges (2014-2024 overlap) plus any safety vs non-safety overlap before promotion."
Somerville,MA,ma_somerville,non_safety,SMEU Unit B FY23-FY25 MOU Signed,"Somerville Municipal Employees Union (SMEU), Unit B",CITY OF SOMERVILLE municipal government (Census gov id 166453),"July 1, 2022 - June 30, 2025 (as described in Legistar record for the attached MOA)",https://somervillema.legistar.com/View.ashx?GUID=70F38035-EA44-495B-AE2E-F106C20346AA&ID=13753394&M=F,city,memorandum_or_settlement,dead_or_unreachable,ordinary_non_safety_comparator,possible,yes,"Unit B is described in Somerville agenda context as a municipal non-safety unit that can plausibly include clerical/technical/library-related ordinary bargaining coverage, supporting a strongest current non-safety comparator anchor for repair of a safety-only corpus.",medium,context_only_candidate,"The Legistar item indicates an attached signed MOA, but this scout run could not retrieve the attachment payload (tool error while fetching the View.ashx content). Verify: exact City of Somerville employer party line; union provenance (SMEU Unit B); whether wage-setting terms are included in the binding MOA; and whether any roles within the Unit B coverage create a safety vs non-safety overlap issue for the requested comparator cycle (2014-2024) before promotion.",unverified_scout_candidate,low,"Trace-only lead; do not promote unless direct review resolves the stated deficiency. The Legistar item indicates an attached signed MOA, but this scout run could not retrieve the attachment payload (tool error while fetching the View.ashx content). Verify: exact City of Somerville employer party line; union provenance (SMEU Unit B); whether wage-setting terms are included in the binding MOA; and whether any roles within the Unit B coverage create a safety vs non-safety overlap issue for the requested comparator cycle (2014-2024) before promotion."
Newton,MA,ma_newton,non_safety,Teamsters Local 25 FY20-24 MOA,Teamsters Local 25,City of Newton (municipal government; Census employer ID 166452),FY20-FY24,https://www.newtonma.gov/home/showpublisheddocument/77786/637799941983630000,city,memorandum_or_settlement,dead_or_unreachable,ordinary_non_safety_comparator,possible,no,"Newton posts Teamsters Local 25 non-safety municipal labor agreement material (DPW/PRC/Public Buildings) covering FY20-FY24, which fits the ordinary non-safety comparator request target area (public works/clerical-adjacent).",low,insufficient_candidate,"Public lead located, but the document fetch failed during scouting; cannot verify exact employer name/parties on the agreement, official vs union provenance, or the precise wage-setting term dates and whether any safety/non-safety overlap exists within 2014-2024 cycle windows.",unverified_scout_candidate,low,"Trace-only lead; do not promote unless direct review resolves the stated deficiency. Public lead located, but the document fetch failed during scouting; cannot verify exact employer name/parties on the agreement, official vs union provenance, or the precise wage-setting term dates and whether any safety/non-safety overlap exists within 2014-2024 cycle windows."
Newton,MA,ma_newton,non_safety,FY20 - FY24 AFSCME Local 3092/3092B Inspectors and City Hall Associates MOA,AFSCME Local 3092 and 3092B,City of Newton (municipal government; Census employer ID 166452),FY20-FY24,https://www.newtonma.gov/home/showpublisheddocument/78310/637744786628670000,city,memorandum_or_settlement,partial_document,ordinary_non_safety_comparator,possible,no,"Newton posts AFSCME Local 3092/3092B non-safety municipal labor agreement material (inspectors and city hall associates) covering FY20-FY24, aligning with an overlapping-cycle ordinary non-safety comparator objective (clerical/admin/public works/library-adjacent).",medium,insufficient_candidate,"PDF was located and retrieved as a lead, but scouting did not verify (i) exact employer/party names on the executed MOA, (ii) whether it is the binding wage-setting agreement vs a limited addendum, (iii) the precise 2014-2024 cycle start/end dates stated in the document, and (iv) whether any safety/non-safety overlap exists for the intended comparator scope.",unverified_scout_candidate,low,"Trace-only lead; do not promote unless direct review resolves the stated deficiency. PDF was located and retrieved as a lead, but scouting did not verify (i) exact employer/party names on the executed MOA, (ii) whether it is the binding wage-setting agreement vs a limited addendum, (iii) the precise 2014-2024 cycle start/end dates stated in the document, and (iv) whether any safety/non-safety overlap exists for the intended comparator scope."
Boston,MA,ma_boston,fire,"Boston Firefighters Local 718 Contract (Effective July 1, 2014 – June 30, 2017)","International Association of Fire Fighters (IAFF), Local 718",City of Boston,"July 1, 2014 – June 30, 2017",https://www.boston.gov/sites/default/files/embed/i/iaff_cba_2014_-_2017.pdf,city,cba,full_document,safety_target,none,no,Fire (firefighters) CBA for the City of Boston with IAFF Local 718 covering wages/compensation and related contractual mechanisms during the 2014–2017 period.,medium,qualifying_candidate,Unverified scout-stage lead for exact pairing overlap requirements (existing matched pair year/mechanism alignment; confirm before promotion).,unverified_scout_candidate,high,"Open first; confirm official document, exact municipal employer, unit, dates, and wage-setting content. Unverified scout-stage lead for exact pairing overlap requirements (existing matched pair year/mechanism alignment; confirm before promotion)."
Boston,MA,ma_boston,fire,"Memorandum of Agreement (IAFF Local 718) — July 1, 2021 – June 30, 2024","International Association of Fire Fighters (IAFF), Local 718",City of Boston,"July 1, 2021 – June 30, 2024",https://www.boston.gov/sites/default/files/file/2023/12/2021-2024%20IAFF%2C%20Local%20718%20MOA%20Signed.pdf,city,memorandum_or_settlement,partial_document,safety_target,none,no,"Firefighters (IAFF Local 718) executed MOA that amends the City’s collective bargaining agreement terms, including compensation/differentials, for the 2021–2024 period.",low,qualifying_candidate,Unverified scout-stage lead for exact 2014–2024 cycle overlap with the existing matched pair and any required fire/non-safety safety-overlap constraints before promotion.,unverified_scout_candidate,medium,"Verify before use; resolve document completeness, employer/unit identity, dates, and wage-setting terms. Unverified scout-stage lead for exact 2014–2024 cycle overlap with the existing matched pair and any required fire/non-safety safety-overlap constraints before promotion."
Worcester,MA,ma_worcester,police,Local 504 JLMC Arbitration Decision - 2021,"Local 504, NAGE/IBPO",City of Worcester,"July 1, 2017 through June 30, 2020",https://www.worcesterma.gov/human-resources/collective-bargaining-agreements/local-504-arbitration-decision-2021.pdf,city,factfinding,partial_document,safety_target,none,no,Matches the City of Worcester police-side bargaining context and states a contract duration overlapping 2017-2020; could potentially provide wage-setting results for a police comparator if the needed full base CBA is missing.,medium,insufficient_candidate,Arbitration decision (not a full police base CBA); must verify it covers the needed 'base' police CBA wage schedule elements for the overlapping cycle and confirm police bargaining-unit scope/provisions align for the intended comparator overlap.,unverified_scout_candidate,low,Trace-only lead; do not promote unless direct review resolves the stated deficiency. Arbitration decision (not a full police base CBA); must verify it covers the needed 'base' police CBA wage schedule elements for the overlapping cycle and confirm police bargaining-unit scope/provisions align for the intended comparator overlap.
Worcester,MA,ma_worcester,police,Local 911 MOA - 2017-2020,"Local 911, NEPBA (Police Officers) (Former Local 378, IBPO)",City of Worcester,2017-2020 (exact start/end dates to verify),https://www.worcesterma.gov/human-resources/collective-bargaining-agreements/local-911-moa-2017-2020.pdf,city,memorandum_or_settlement,index_or_landing_page,safety_target,possible,yes,Provides a Worcester police-side contract-era document in the 2017-2020 overlapping window for which the police base CBA may not be separately posted.,low,insufficient_candidate,"MOA, not a full police base CBA; must verify whether it contains binding wage-setting terms sufficient to function as the requested police base 'CBA leg' for the overlap and confirm the police bargaining unit scope.",unverified_scout_candidate,low,"Trace-only lead; do not promote unless direct review resolves the stated deficiency. MOA, not a full police base CBA; must verify whether it contains binding wage-setting terms sufficient to function as the requested police base 'CBA leg' for the overlap and confirm the police bargaining unit scope."
Worcester,MA,ma_worcester,non_safety,Local 495 MOA - 2010-2013 (PDF labeled as such on City site),"Local 495, NAGE",City of Worcester,2010-2013 (not within 2014-2024; exact dates to verify),https://www.worcesterma.gov/human-resources/collective-bargaining-agreements/local-495-moa-2010-2013.pdf,city,cba,full_document,ordinary_non_safety_comparator,none,no,"Is the closest City-posted full non-safety document type on the Worcester collective bargaining agreements page for Local 495, though it appears outside the requested 2014-2024 cycle window.",low,insufficient_candidate,Requested full non-safety CBA for 2014-2024 overlap; this appears outside the target cycle and must be checked for correct unit identity (civilian/non-safety) and whether it can serve only as context rather than the required comparator overlap.,unverified_scout_candidate,low,Trace-only lead; do not promote unless direct review resolves the stated deficiency. Requested full non-safety CBA for 2014-2024 overlap; this appears outside the target cycle and must be checked for correct unit identity (civilian/non-safety) and whether it can serve only as context rather than the required comparator overlap.
Arlington,MA,ma_arlington,police,"JLMC-19-7773 Arlington Police Patrol Association — Interest Arbitration Award (Feb 10, 2021)",Arlington Police Patrol Association,"Town of Arlington, MA","Agreement term shown in award: July 1, 2018 – June 30, 2021 (wage increases referenced for July 1, 2018; July 1, 2019; July 1, 2020)",https://www.mass.gov/doc/jlm-19-7773-arlington-police-patrol-association-february-10-2021/download,state_labor_board,arbitration_award,partial_document,safety_target,possible,no,"Public JLMC interest arbitration award for Arlington MA police bargaining, spanning a 2014–2024 window and suitable for matching an existing police/impasse cycle pattern.",medium,qualifying_candidate,Mass.gov document fetch returned HTTP 403 during follow-up open; cycle/term and union/provenance must be confirmed directly from the downloaded PDF contents.,unverified_scout_candidate,medium,"Verify before use; resolve document completeness, employer/unit identity, dates, and wage-setting terms. Mass.gov document fetch returned HTTP 403 during follow-up open; cycle/term and union/provenance must be confirmed directly from the downloaded PDF contents."
