rank,state,municipality,municipality_id,census_gov_id,government_name,government_type,population,total_priority_score,priority_tier,priority_confidence,population_score,government_type_score,state_yield_score,research_design_score,geographic_value_score,data_completeness_score,evidence_signal_score,retry_flag,retry_priority,priority_reason_summary,recommended_future_wave
1,NV,Las Vegas,cog_2025_169988,169988,CITY OF LAS VEGAS,municipal,660929,79.537,Tier 1,low,27.137,10.000,17.256,12.360,6.783,5.000,1.000,yes,high,population percentile 99.9; municipal/place; state evidence low; smoothed yield component 17.3/20; 2 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
2,OH,Newark,cog_2025_209070,209070,CITY OF NEWARK,municipal,51046,78.911,Tier 1,high,23.934,10.000,19.353,15.076,4.547,5.000,1.000,yes,high,population percentile 97.4; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
3,MO,Kansas City,cog_2025_186236,186236,CITY OF KANSAS CITY,municipal,510704,78.378,Tier 1,low,26.841,10.000,15.797,10.173,9.567,5.000,1.000,yes,high,population percentile 99.9; municipal/place; state evidence low; smoothed yield component 15.8/20; 5 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
4,IN,Indianapolis city (balance),cog_2025_207957,207957,CITY OF INDIANAPOLIS,municipal,879293,77.359,Tier 1,medium,27.463,10.000,15.889,10.448,7.559,5.000,1.000,yes,high,population percentile 100.0; municipal/place; state evidence medium; smoothed yield component 15.9/20; 2 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
5,MA,Framingham,cog_2025_106133,106133,CITY OF FRAMINGHAM,municipal,71875,77.299,Tier 1,high,24.435,10.000,17.977,13.214,5.673,5.000,1.000,yes,high,population percentile 98.3; municipal/place; state evidence high; smoothed yield component 18.0/20; 2 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
6,CA,Stockton,cog_2025_211214,211214,CITY OF STOCKTON,municipal,319543,76.647,Tier 1,high,26.304,10.000,18.043,13.079,3.221,5.000,1.000,yes,high,population percentile 99.8; municipal/place; state evidence high; smoothed yield component 18.0/20; 2 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
7,OH,Twinsburg,cog_2025_194843,194843,CITY OF TWINSBURG,municipal,19439,76.590,Tier 1,high,22.289,10.000,19.353,15.076,3.872,5.000,1.000,yes,high,population percentile 92.7; municipal/place; state evidence high; smoothed yield component 19.4/20; 2 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
8,CA,Redding,cog_2025_207604,207604,CITY OF REDDING,municipal,92727,76.254,Tier 1,high,24.785,10.000,18.043,13.079,4.346,5.000,1.000,yes,high,population percentile 98.8; municipal/place; state evidence high; smoothed yield component 18.0/20; 2 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
9,RI,Newport,cog_2025_174832,174832,CITY OF NEWPORT,municipal,24717,76.212,Tier 1,low,22.729,10.000,17.207,12.823,8.452,5.000,0.000,no,not_applicable,population percentile 94.1; municipal/place; state evidence low; smoothed yield component 17.2/20; 2 county relationship(s); unscouted,next_cross_state_150_priority_pool
10,CA,Oakland,cog_2025_123093,123093,CITY OF OAKLAND,municipal,436504,76.201,Tier 1,high,26.661,10.000,18.043,13.079,2.417,5.000,1.000,yes,high,population percentile 99.9; municipal/place; state evidence high; smoothed yield component 18.0/20; 2 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
11,IN,Fort Wayne,cog_2025_163465,163465,CITY OF FORT WAYNE,municipal,269994,76.121,Tier 1,medium,26.105,10.000,15.889,10.448,7.679,5.000,1.000,yes,high,population percentile 99.8; municipal/place; state evidence medium; smoothed yield component 15.9/20; 2 county relationship(s); failure-only retry candidate,next_cross_state_150_priority_pool
