tier1_rank,source_top_target_rank,post_tiering_wave_id,worker_batch,worker_batch_row,future_live_queue_id,municipality_id,census_gov_id,state,municipality,government_name,government_type,geography_type,population,county_relationship_count,multi_county_flag,county_context_summary,total_priority_score,priority_tier,priority_confidence,population_score,government_type_score,state_yield_score,research_design_score,geographic_value_score,evidence_signal_score,retry_flag,failure_only_flag,scout_coverage_status,candidate_positive_flag,candidate_row_count,already_canonical_flag,future_scout_eligible_flag,future_scout_exclusion_reason,priority_reason_summary,expected_units_to_search,verification_notes,recommended_scout_status,source_priority_file,source_priority_commit,worker_id,worker_state_scope,worker_rank_min,worker_rank_max,worker_assignment_method
51,52,TIER1-POST-TIERING-WAVE1-2026-07-22,tier1_worker_2,1,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,cog_2025_172543,172543,OH,Dayton,CITY OF DAYTON,municipal,place,135512,2,yes,Montgomery County (39113; primary); Greene County (39057),76.073,Tier 1,low,25.279,10.000,15.588,10.206,10.000,0.000,false,false,not_scouted,false,0,false,true,eligible_new_scout,population percentile 99.4; municipal/place; state evidence low; smoothed yield component 15.6/20; 3 county relationship(s); unscouted,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize mutually overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF DAYTON (Census government ID 172543; locked municipality ID cog_2025_172543). County context: Montgomery County (39113; primary); Greene County (39057). Do not substitute counties, school districts, transit/port/airport/housing authorities, park/industrial/utility/fire or other special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return an empty candidate list when no qualifying exact-employer source is found. Distinguish blocked access from dead/removed links, suppress duplicates, do not make or recommend public-records requests, and keep every result unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_worker_prep_dry_run_only,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,worker_2,CROSS_STATE_TIER1,51,100,rank_sliced_contiguous
52,53,TIER1-POST-TIERING-WAVE1-2026-07-22,tier1_worker_2,2,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,cog_2025_167605,167605,MN,St. Paul,CITY OF ST PAUL,municipal,place,303820,1,no,Ramsey County (27123; primary),76.038,Tier 1,low,26.244,10.000,15.588,10.206,9.000,0.000,false,false,not_scouted,false,0,false,true,eligible_new_scout,population percentile 99.8; municipal/place; state evidence low; smoothed yield component 15.6/20; 2 county relationship(s); unscouted,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize mutually overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF ST PAUL (Census government ID 167605; locked municipality ID cog_2025_167605). County context: Ramsey County (27123; primary). Do not substitute counties, school districts, transit/port/airport/housing authorities, park/industrial/utility/fire or other special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return an empty candidate list when no qualifying exact-employer source is found. Distinguish blocked access from dead/removed links, suppress duplicates, do not make or recommend public-records requests, and keep every result unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_worker_prep_dry_run_only,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,worker_2,CROSS_STATE_TIER1,51,100,rank_sliced_contiguous
53,54,TIER1-POST-TIERING-WAVE1-2026-07-22,tier1_worker_2,3,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,cog_2025_171207,171207,NC,Greensboro,CITY OF GREENSBORO,municipal,place,302296,1,no,Guilford County (37081; primary),76.032,Tier 1,low,26.238,10.000,15.588,10.206,9.000,0.000,false,false,not_scouted,false,0,false,true,eligible_new_scout,population percentile 99.8; municipal/place; state evidence low; smoothed yield component 15.6/20; 2 county relationship(s); unscouted,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize mutually overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF GREENSBORO (Census government ID 171207; locked municipality ID cog_2025_171207). County context: Guilford County (37081; primary). Do not substitute counties, school districts, transit/port/airport/housing authorities, park/industrial/utility/fire or other special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return an empty candidate list when no qualifying exact-employer source is found. Distinguish blocked access from dead/removed links, suppress duplicates, do not make or recommend public-records requests, and keep every result unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_worker_prep_dry_run_only,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,worker_2,CROSS_STATE_TIER1,51,100,rank_sliced_contiguous
54,55,TIER1-POST-TIERING-WAVE1-2026-07-22,tier1_worker_2,4,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,cog_2025_169646,169646,NE,Lincoln,CITY OF LINCOLN,municipal,place,294757,1,no,Lancaster County (31109; primary),76.003,Tier 1,low,26.208,10.000,15.588,10.206,9.000,0.000,false,false,not_scouted,false,0,false,true,eligible_new_scout,population percentile 99.8; municipal/place; state evidence low; smoothed yield component 15.6/20; 2 county relationship(s); unscouted,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize mutually overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF LINCOLN (Census government ID 169646; locked municipality ID cog_2025_169646). County context: Lancaster County (31109; primary). Do not substitute counties, school districts, transit/port/airport/housing authorities, park/industrial/utility/fire or other special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return an empty candidate list when no qualifying exact-employer source is found. Distinguish blocked access from dead/removed links, suppress duplicates, do not make or recommend public-records requests, and keep every result unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_worker_prep_dry_run_only,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,worker_2,CROSS_STATE_TIER1,51,100,rank_sliced_contiguous
55,56,TIER1-POST-TIERING-WAVE1-2026-07-22,tier1_worker_2,5,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,cog_2025_194463,194463,AK,Anchorage,MUNICIPALITY OF ANCHORAGE,municipal,place,286075,1,no,Anchorage Municipality (02020; primary),75.968,Tier 1,low,26.174,10.000,15.588,10.206,9.000,0.000,false,false,not_scouted,false,0,false,true,eligible_new_scout,population percentile 99.8; municipal/place; state evidence low; smoothed yield component 15.6/20; 2 county relationship(s); unscouted,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize mutually overlapping 2014-2024 cycles","Scout-stage only. Target exactly MUNICIPALITY OF ANCHORAGE (Census government ID 194463; locked municipality ID cog_2025_194463). County context: Anchorage Municipality (02020; primary). Do not substitute counties, school districts, transit/port/airport/housing authorities, park/industrial/utility/fire or other special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return an empty candidate list when no qualifying exact-employer source is found. Distinguish blocked access from dead/removed links, suppress duplicates, do not make or recommend public-records requests, and keep every result unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_worker_prep_dry_run_only,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,worker_2,CROSS_STATE_TIER1,51,100,rank_sliced_contiguous
56,57,TIER1-POST-TIERING-WAVE1-2026-07-22,tier1_worker_2,6,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,cog_2025_208734,208734,NV,North Las Vegas,CITY OF NORTH LAS VEGAS,municipal,place,284771,1,no,Clark County (32003; primary),75.962,Tier 1,low,26.168,10.000,15.588,10.206,9.000,0.000,false,false,not_scouted,false,0,false,true,eligible_new_scout,population percentile 99.8; municipal/place; state evidence low; smoothed yield component 15.6/20; 2 county relationship(s); unscouted,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize mutually overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF NORTH LAS VEGAS (Census government ID 208734; locked municipality ID cog_2025_208734). County context: Clark County (32003; primary). Do not substitute counties, school districts, transit/port/airport/housing authorities, park/industrial/utility/fire or other special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return an empty candidate list when no qualifying exact-employer source is found. Distinguish blocked access from dead/removed links, suppress duplicates, do not make or recommend public-records requests, and keep every result unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_worker_prep_dry_run_only,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,worker_2,CROSS_STATE_TIER1,51,100,rank_sliced_contiguous
57,58,TIER1-POST-TIERING-WAVE1-2026-07-22,tier1_worker_2,7,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,cog_2025_169159,169159,MO,St. Louis,CITY OF ST LOUIS,municipal,place,281754,1,no,St. Louis city (29510; primary),75.950,Tier 1,low,26.156,10.000,15.588,10.206,9.000,0.000,false,false,not_scouted,false,0,false,true,eligible_new_scout,population percentile 99.8; municipal/place; state evidence low; smoothed yield component 15.6/20; 2 county relationship(s); unscouted,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize mutually overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF ST LOUIS (Census government ID 169159; locked municipality ID cog_2025_169159). County context: St. Louis city (29510; primary). Do not substitute counties, school districts, transit/port/airport/housing authorities, park/industrial/utility/fire or other special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return an empty candidate list when no qualifying exact-employer source is found. Distinguish blocked access from dead/removed links, suppress duplicates, do not make or recommend public-records requests, and keep every result unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_worker_prep_dry_run_only,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,worker_2,CROSS_STATE_TIER1,51,100,rank_sliced_contiguous
58,59,TIER1-POST-TIERING-WAVE1-2026-07-22,tier1_worker_2,8,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,cog_2025_106061,106061,MA,Springfield,CITY OF SPRINGFIELD,municipal,place,153672,1,no,Hampden County (25013; primary),75.945,Tier 1,low,25.436,10.000,16.657,10.217,8.634,0.000,false,false,not_scouted,false,0,false,true,eligible_new_scout,population percentile 99.5; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize mutually overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF SPRINGFIELD (Census government ID 106061; locked municipality ID cog_2025_106061). County context: Hampden County (25013; primary). Do not substitute counties, school districts, transit/port/airport/housing authorities, park/industrial/utility/fire or other special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return an empty candidate list when no qualifying exact-employer source is found. Distinguish blocked access from dead/removed links, suppress duplicates, do not make or recommend public-records requests, and keep every result unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_worker_prep_dry_run_only,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,worker_2,CROSS_STATE_TIER1,51,100,rank_sliced_contiguous
59,60,TIER1-POST-TIERING-WAVE1-2026-07-22,tier1_worker_2,9,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,wi_madison,209777,WI,Madison,CITY OF MADISON,municipal,place,280305,1,no,Dane County (55025; primary),75.944,Tier 1,low,26.150,10.000,15.588,10.206,9.000,0.000,false,false,not_scouted,false,0,false,true,eligible_new_scout,population percentile 99.8; municipal/place; state evidence low; smoothed yield component 15.6/20; 2 county relationship(s); unscouted,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize mutually overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF MADISON (Census government ID 209777; locked municipality ID wi_madison). County context: Dane County (55025; primary). Do not substitute counties, school districts, transit/port/airport/housing authorities, park/industrial/utility/fire or other special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return an empty candidate list when no qualifying exact-employer source is found. Distinguish blocked access from dead/removed links, suppress duplicates, do not make or recommend public-records requests, and keep every result unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_worker_prep_dry_run_only,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,worker_2,CROSS_STATE_TIER1,51,100,rank_sliced_contiguous
60,61,TIER1-POST-TIERING-WAVE1-2026-07-22,tier1_worker_2,10,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,cog_2025_100249,100249,AZ,Chandler,CITY OF CHANDLER,municipal,place,280167,1,no,Maricopa County (04013; primary),75.943,Tier 1,low,26.149,10.000,15.588,10.206,9.000,0.000,false,false,not_scouted,false,0,false,true,eligible_new_scout,population percentile 99.8; municipal/place; state evidence low; smoothed yield component 15.6/20; 2 county relationship(s); unscouted,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize mutually overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF CHANDLER (Census government ID 100249; locked municipality ID cog_2025_100249). County context: Maricopa County (04013; primary). Do not substitute counties, school districts, transit/port/airport/housing authorities, park/industrial/utility/fire or other special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return an empty candidate list when no qualifying exact-employer source is found. Distinguish blocked access from dead/removed links, suppress duplicates, do not make or recommend public-records requests, and keep every result unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_worker_prep_dry_run_only,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,worker_2,CROSS_STATE_TIER1,51,100,rank_sliced_contiguous
