verification_id,source_stage,municipality,state,municipality_id,source_row_id,original_unit_type,verified_unit_type,document_title_scouted,document_title_verified,source_url,final_url,url_reachable,http_status_or_error,access_type,source_owner_type,source_owner_name,target_employer_verified,verified_employer_name,wrong_employer_flag,wrong_employer_notes,wrong_unit_flag,wrong_unit_notes,document_type_verified,document_completeness,bargaining_unit_verified,union_name_verified,contract_years_scouted,contract_years_verified,wage_material_present,city_specific_purpose_supported,verification_status,ingestion_recommendation,verification_priority,evidence_notes,limits_or_uncertainties,next_action
MA-NB01-V001,verification_stage,Somerville,MA,ma_somerville,ma-scout-row-001,non_safety,ordinary_non_safety,SMEA Unit D MOA 2023-2025 SIGNED,"Memorandum of Agreement between the City of Somerville and Somerville Municipal Employees Union, Unit D",https://somervillema.legistar.com/View.ashx?GUID=4D044FE2-B0C6-485A-9025-406E156FC6BF&ID=15180294&M=F,https://somervillema.legistar.com/View.ashx?GUID=4D044FE2-B0C6-485A-9025-406E156FC6BF&ID=15180294&M=F,yes,200,public_pdf_no_login,official_city,City of Somerville via Legistar,yes,City of Somerville,0,"The document expressly names the City of Somerville; no county, school, authority, or private employer substitution.",0,"No wrong-unit substitution was established; see verified_unit_type, bargaining_unit_verified, and evidence_notes for any access/context limitation.",memorandum_of_agreement,full_document_with_exhibits,SMEU Unit D specialized municipal positions; the recognition text excludes non-clerical Police and Fire employees and School Committee employees.,"Somerville Municipal Employees Union, Unit D","July 1, 2023 - June 30, 2025 (MOA text references Exhibit A salary/classification plan effective July 1, 2019 - June 30, 2022)","July 1, 2022-June 30, 2025; agreement dated January 21, 2026",yes,no,verified_candidate,needs_manual_review,medium,"The 27-page official PDF contains the successor MOA, duration clause, recognition language, wage-retroactivity provisions, salary charts, and an agreement/signature section.",The agreement was reached in 2026 after the stated term expired. Its 2022-2025 cycle does not overlap the Somerville safety documents currently in contracts.csv (2012-2015 and 2012-2018).,Do not ingest in the present wave; reconsider only if a Somerville safety source overlapping 2022-2025 is verified and the post-term execution timing is acceptable.
MA-NB01-V002,verification_stage,Somerville,MA,ma_somerville,ma-scout-row-002,non_safety,ordinary_non_safety,SMEU Unit B FY23-FY25 MOU Signed,"Memorandum of Agreement between the City of Somerville and Somerville Municipal Employees Union, Unit B",https://somervillema.legistar.com/View.ashx?GUID=70F38035-EA44-495B-AE2E-F106C20346AA&ID=13753394&M=F,https://somervillema.legistar.com/View.ashx?GUID=70F38035-EA44-495B-AE2E-F106C20346AA&ID=13753394&M=F,yes,200,public_scanned_pdf_no_login,official_city,City of Somerville via Legistar,yes,City of Somerville,0,The OCR-visible parties are the City of Somerville and SMEU Unit B; no excluded employer substituted.,0,"No wrong-unit substitution was established; see verified_unit_type, bargaining_unit_verified, and evidence_notes for any access/context limitation.",memorandum_of_agreement,full_document_with_exhibits_scanned,"SMEU Unit B broad municipal workforce, including DPW/Water and Sewer, parking, library, inspectors, and other civilian titles.","Somerville Municipal Employees Union, Unit B","July 1, 2022 - June 30, 2025 (as described in Legistar record for the attached MOA)","July 1, 2022-June 30, 2025; signed January 6, 2025",yes,no,verified_candidate,needs_manual_review,medium,"OCR of the 42-page signed official PDF shows the parties, FY23-FY25 duration, 3% FY23 and FY24 increases, a FY25 market adjustment, new wage scale, classifications, and signatures.",The 2022-2025 cycle does not overlap the Somerville safety documents currently in contracts.csv. The PDF is image-only and would require production OCR if later used.,Hold outside the present ingestion wave; reconsider only with a verified overlapping Somerville safety cycle.
MA-NB01-V003,verification_stage,Newton,MA,ma_newton,ma-scout-row-003,non_safety,unclear,Teamsters Local 25 FY20-24 MOA,Teamsters Local 25 FY20-FY24 MOA (title not directly verified),https://www.newtonma.gov/home/showpublisheddocument/77786/637799941983630000,https://www.newtonma.gov/home/showpublisheddocument/77786/637799941983630000,no,403,blocked_403_no_login_prompt,official_city_url,City of Newton,partial,City of Newton (URL owner only; document parties not inspected),0,"No wrong employer was observed, but the blocked response prevented party verification.",0,"No wrong-unit substitution was established; see verified_unit_type, bargaining_unit_verified, and evidence_notes for any access/context limitation.",memorandum_of_agreement_unconfirmed,unreviewed_blocked,Scout asserts Teamsters Local 25 covering DPW/PRC/Public Buildings; document content was unavailable.,Teamsters Local 25 (scout assertion only),FY20-FY24,FY20-FY24 not directly verified,unknown,no,unreachable,unreachable_do_not_ingest,low,The original City of Newton URL returned HTTP 403 to both the initial and browser-like direct client; only a 433-byte denial page was saved.,"No document text, signatures, exact unit scope, wage terms, or dates were available. The asserted FY20-FY24 cycle would not overlap Newton's current 2015-2018 police row.","Do not ingest; a future manual browser review may revisit this exact URL, without replacement-source hunting."
MA-NB01-V004,verification_stage,Newton,MA,ma_newton,ma-scout-row-004,non_safety,ordinary_non_safety,FY20 - FY24 AFSCME Local 3092/3092B Inspectors and City Hall Associates MOA,FY20-FY24 AFSCME Local 3092/3092B Inspectors and City Hall Associates MOA (document text not inspected),https://www.newtonma.gov/home/showpublisheddocument/78310/637744786628670000,https://www.newtonma.gov/home/showpublisheddocument/78310/637744786628670000,partial,"403 direct client; web reader identified application/pdf, 7 pages",public_pdf_observed_but_direct_client_blocked,official_city_url,City of Newton,partial,City of Newton (URL owner and scout assertion; document parties not inspected),0,"No wrong employer was observed, but the blocked direct response prevented party verification.",0,"No wrong-unit substitution was established; see verified_unit_type, bargaining_unit_verified, and evidence_notes for any access/context limitation.",memorandum_of_agreement_unconfirmed,partial_unreviewed,"Scout identifies AFSCME Locals 3092/3092B inspectors and City Hall associates, an ordinary civilian municipal group.",AFSCME Local 3092 and 3092B (scout assertion only),FY20-FY24,FY20-FY24 not directly verified,unknown,no,partially_verified_candidate,needs_manual_review,low,"The exact official URL was recognized by the web reader as a seven-page PDF, while curl received HTTP 403. This verifies the endpoint is not a dead shell but does not verify document contents.","Parties, execution, wage terms, precise dates, and unit scope remain unverified. The asserted cycle would not overlap Newton's current 2015-2018 police row.",Manually open this exact URL later if Newton remains a priority; do not ingest from the current evidence.
MA-NB01-V005,verification_stage,Boston,MA,ma_boston,ma-scout-row-005,fire,fire,"Boston Firefighters Local 718 Contract (Effective July 1, 2014 – June 30, 2017)",Boston Firefighters Local 718 Contract 2017,https://www.boston.gov/sites/default/files/embed/i/iaff_cba_2014_-_2017.pdf,https://www.boston.gov/sites/default/files/embed/i/iaff_cba_2014_-_2017.pdf,yes,200,public_pdf_no_login,official_city,City of Boston,yes,City of Boston,0,The agreement expressly names the City of Boston and its Fire Department.,0,"No wrong-unit substitution was established; see verified_unit_type, bargaining_unit_verified, and evidence_notes for any access/context limitation.",full_collective_bargaining_agreement,full_document,"Boston Fire Fighters Local 718 Units A and B: uniformed Fire Department employees, Fire Alarm employees, chemist, and deputy/district chiefs, with stated exclusions.","Boston Fire Fighter Local No. 718, IAFF, AFL-CIO, CLC","July 1, 2014 – June 30, 2017","July 1, 2014-June 30, 2017",yes,partial,verified_candidate,later_ingest_candidate,high,"The 126-page official City PDF contains parties, recognition, full articles, compensation, duration, appendices, and salary/detail schedules.","The cycle does not overlap Boston's current police (2020-2025) or clerical/admin (2023-2027) rows, so it is a strong fire/mechanism source but not yet a same-cycle matched leg.","Before ingestion, confirm a same-cycle Boston non-safety or police comparator plan and apply the normal one-unit-one-cycle provenance/extraction checks."
MA-NB01-V006,verification_stage,Boston,MA,ma_boston,ma-scout-row-006,fire,fire,"Memorandum of Agreement (IAFF Local 718) — July 1, 2021 – June 30, 2024","Memorandum of Agreement, City of Boston and IAFF Local 718, July 1, 2021-June 30, 2024",https://www.boston.gov/sites/default/files/file/2023/12/2021-2024%20IAFF%2C%20Local%20718%20MOA%20Signed.pdf,https://www.boston.gov/sites/default/files/file/2023/12/2021-2024%20IAFF%2C%20Local%20718%20MOA%20Signed.pdf,yes,200,public_scanned_pdf_no_login,official_city,City of Boston,yes,City of Boston,0,The MOA expressly names the City of Boston and IAFF Local 718.,0,"No wrong-unit substitution was established; see verified_unit_type, bargaining_unit_verified, and evidence_notes for any access/context limitation.",memorandum_of_agreement,full_moa_scanned,IAFF Local 718 Boston Fire bargaining unit governed by the incorporated predecessor CBA.,International Association of Firefighters Local 718,"July 1, 2021 – June 30, 2024","July 1, 2021-June 30, 2024; amends and extends the July 1, 2017-June 30, 2021 CBA",yes,yes,verified_candidate,later_ingest_candidate,high,"OCR of the signed two-page official MOA shows three annual base-wage changes (3%, 3%, 2.5%), hazardous-duty and detail adjustments, duration, and signature lines.","This is a successor MOA, not an integrated base CBA; ratification/funding language should be checked against execution and City Council funding records during ingestion preflight.",Treat as a later fire mechanism/wage candidate; before ingestion verify final execution/funding and predecessor-CBA linkage.
MA-NB01-V007,verification_stage,Worcester,MA,ma_worcester,ma-scout-row-007,police,police,Local 504 JLMC Arbitration Decision - 2021,"Local 504, NAGE/IBPO and City of Worcester JLMC Contract Impasse Arbitration Award",https://www.worcesterma.gov/human-resources/collective-bargaining-agreements/local-504-arbitration-decision-2021.pdf,https://www.worcesterma.gov/human-resources/collective-bargaining-agreements/local-504-arbitration-decision-2021.pdf,yes,200,public_pdf_no_login,official_city,City of Worcester,yes,City of Worcester,0,The award expressly identifies the City of Worcester.,0,"No wrong-unit substitution was established; see verified_unit_type, bargaining_unit_verified, and evidence_notes for any access/context limitation.",arbitration_award,full_document,"Worcester police superior officers (sergeants, lieutenants, and captains), Local 504.","Local 504, NAGE/IBPO","July 1, 2017 through June 30, 2020","July 1, 2017-June 30, 2020; award dated July 30, 2021",yes,yes,verified_candidate,later_ingest_candidate,high,"The ten-page award states the parties, term, 2% wage pattern, rank-differential dispute, comparator reasoning, and panel dispositions.","It is formal mechanism evidence for superior officers, not the requested police base CBA or patrol agreement.",Retain as a later arbitration/mechanism ingestion candidate; keep it as a separate superior-officer unit/cycle row.
MA-NB01-V008,verification_stage,Worcester,MA,ma_worcester,ma-scout-row-008,police,police,Local 911 MOA - 2017-2020,"Memorandum of Agreement, City of Worcester and Local 911 NEPBA",https://www.worcesterma.gov/human-resources/collective-bargaining-agreements/local-911-moa-2017-2020.pdf,https://www.worcesterma.gov/human-resources/collective-bargaining-agreements/local-911-moa-2017-2020.pdf,yes,200,public_scanned_pdf_no_login,official_city,City of Worcester,yes,City of Worcester,0,The executed MOA expressly names the City of Worcester.,0,"No wrong-unit substitution was established; see verified_unit_type, bargaining_unit_verified, and evidence_notes for any access/context limitation.",memorandum_of_agreement,full_moa_scanned,"Worcester patrol police officers, Local 911.","Local 911, New England Police Benevolent Association",2017-2020 (exact start/end dates to verify),"July 1, 2017-June 30, 2020",yes,yes,verified_candidate,later_ingest_candidate,high,"OCR of the five-page official MOA shows the parties, exact term, 2% annual wage package, step smoothing, education/longevity changes, and a duly executed signature statement.","The PDF is a binding successor MOA that incorporates earlier terms, not a full integrated police base CBA.",Retain as a later patrol-police wage/mechanism candidate; verify predecessor agreement linkage before ingestion.
MA-NB01-V009,verification_stage,Worcester,MA,ma_worcester,ma-scout-row-009,non_safety,ordinary_non_safety,Local 495 MOA - 2010-2013 (PDF labeled as such on City site),"Agreement between City of Worcester and Local 495 NAGE SEIU, 2010-2013",https://www.worcesterma.gov/human-resources/collective-bargaining-agreements/local-495-moa-2010-2013.pdf,https://www.worcesterma.gov/human-resources/collective-bargaining-agreements/local-495-moa-2010-2013.pdf,yes,200,public_scanned_pdf_no_login,official_city,City of Worcester,yes,City of Worcester,0,The agreement expressly identifies the City of Worcester.,0,"No wrong-unit substitution was established; see verified_unit_type, bargaining_unit_verified, and evidence_notes for any access/context limitation.",full_collective_bargaining_agreement,full_document_scanned,"Broad Local 495 municipal unit including DPW, library, dispatch, sanitation, and other civilian classifications.","Local 495, NAGE, SEIU",2010-2013 (not within 2014-2024; exact dates to verify),2010-2013 (cover verified; exact start/end dates not re-OCRed in this bounded pass),yes,no,context_only_verified,context_only_do_not_ingest,low,"The 174-page official scanned packet is a full agreement with recognition, wage article, salary schedules, department-specific provisions, side agreements, and historical letters.",The entire identified cycle predates the 2014-2024 observation window and cannot supply the requested 2017-2020 Worcester comparator base.,Keep only as verification trace; do not ingest for the national batch 01 purpose.
MA-NB01-V010,verification_stage,Arlington,MA,ma_arlington,ma-scout-row-010,police,police,"JLMC-19-7773 Arlington Police Patrol Association — Interest Arbitration Award (Feb 10, 2021)",JLM-19-7773 Arlington Police Patrol Association Interest Arbitration Award,https://www.mass.gov/doc/jlm-19-7773-arlington-police-patrol-association-february-10-2021/download,https://www.mass.gov/doc/jlm-19-7773-arlington-police-patrol-association-february-10-2021/download,partial,403 direct download and 403 on one allowed official document-page follow-up,official_endpoint_blocked_403,official_state_labor_board,Massachusetts Department of Labor Relations / JLMC,partial,Town of Arlington (supported by exact official case title and prior local verified-portal inventory; PDF not inspected this pass),0,No alternate Arlington employer appears; exact parties could not be re-read from the blocked PDF.,0,"No wrong-unit substitution was established; see verified_unit_type, bargaining_unit_verified, and evidence_notes for any access/context limitation.",arbitration_award,unreviewed_blocked,Arlington Police Patrol Association patrol unit (official title/prior inventory; direct document unavailable).,Arlington Police Patrol Association,"Agreement term shown in award: July 1, 2018 – June 30, 2021 (wage increases referenced for July 1, 2018; July 1, 2019; July 1, 2020)","Scout/prior inventory indicate July 1, 2018-June 30, 2021; not directly reverified from the award",unknown,partial,partially_verified_candidate,needs_manual_review,medium,"Both the exact Mass.gov download and the single allowed parent document page returned 403. A pre-existing local award inventory records this exact case as an official verified-portal Arlington patrol award dated February 10, 2021.","Award completeness, wage disposition, precise dates, and signatures remain unverified in this pass because Mass.gov blocked access.",Use a manual browser to download this exact official award before any ingestion decision; do not infer award terms from the scout row.
