tier1_rank,source_top_target_rank,post_tiering_wave_id,worker_batch,worker_batch_row,future_live_queue_id,municipality_id,census_gov_id,state,municipality,government_name,government_type,geography_type,population,county_relationship_count,multi_county_flag,county_context_summary,total_priority_score,priority_tier,priority_confidence,population_score,government_type_score,state_yield_score,research_design_score,geographic_value_score,evidence_signal_score,retry_flag,failure_only_flag,scout_coverage_status,candidate_positive_flag,candidate_row_count,already_canonical_flag,future_scout_eligible_flag,future_scout_exclusion_reason,priority_reason_summary,expected_units_to_search,verification_notes,recommended_scout_status,source_priority_file,source_priority_commit,worker_id,worker_state_scope,worker_rank_min,worker_rank_max,worker_assignment_method
101,106,TIER1-POST-TIERING-WAVE1-2026-07-22,tier1_worker_3,1,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,cog_2025_161078,161078,AR,Springdale,CITY OF SPRINGDALE,municipal,place,88224,2,yes,Washington County (05143; primary); Benton County (05007),75.511,Tier 1,low,24.717,10.000,15.588,10.206,10.000,0.000,false,false,not_scouted,false,0,false,true,eligible_new_scout,population percentile 98.7; municipal/place; state evidence low; smoothed yield component 15.6/20; 3 county relationship(s); unscouted,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize mutually overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF SPRINGDALE (Census government ID 161078; locked municipality ID cog_2025_161078). County context: Washington County (05143; primary); Benton County (05007). Do not substitute counties, school districts, transit/port/airport/housing authorities, park/industrial/utility/fire or other special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return an empty candidate list when no qualifying exact-employer source is found. Distinguish blocked access from dead/removed links, suppress duplicates, do not make or recommend public-records requests, and keep every result unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_worker_prep_dry_run_only,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,worker_3,CROSS_STATE_TIER1,101,150,rank_sliced_contiguous
102,107,TIER1-POST-TIERING-WAVE1-2026-07-22,tier1_worker_3,2,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,cog_2025_112811,112811,RI,Providence,CITY OF PROVIDENCE,municipal,place,190792,1,no,Providence County (44007; primary),75.489,Tier 1,low,25.695,10.000,15.588,10.206,9.000,0.000,false,false,not_scouted,false,0,false,true,eligible_new_scout,population percentile 99.6; municipal/place; state evidence low; smoothed yield component 15.6/20; 2 county relationship(s); unscouted,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize mutually overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF PROVIDENCE (Census government ID 112811; locked municipality ID cog_2025_112811). County context: Providence County (44007; primary). Do not substitute counties, school districts, transit/port/airport/housing authorities, park/industrial/utility/fire or other special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return an empty candidate list when no qualifying exact-employer source is found. Distinguish blocked access from dead/removed links, suppress duplicates, do not make or recommend public-records requests, and keep every result unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_worker_prep_dry_run_only,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,worker_3,CROSS_STATE_TIER1,101,150,rank_sliced_contiguous
103,108,TIER1-POST-TIERING-WAVE1-2026-07-22,tier1_worker_3,3,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,cog_2025_160833,160833,AZ,Tempe,CITY OF TEMPE,municipal,place,189834,1,no,Maricopa County (04013; primary),75.482,Tier 1,low,25.688,10.000,15.588,10.206,9.000,0.000,false,false,not_scouted,false,0,false,true,eligible_new_scout,population percentile 99.6; municipal/place; state evidence low; smoothed yield component 15.6/20; 2 county relationship(s); unscouted,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize mutually overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF TEMPE (Census government ID 160833; locked municipality ID cog_2025_160833). County context: Maricopa County (04013; primary). Do not substitute counties, school districts, transit/port/airport/housing authorities, park/industrial/utility/fire or other special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return an empty candidate list when no qualifying exact-employer source is found. Distinguish blocked access from dead/removed links, suppress duplicates, do not make or recommend public-records requests, and keep every result unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_worker_prep_dry_run_only,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,worker_3,CROSS_STATE_TIER1,101,150,rank_sliced_contiguous
104,109,TIER1-POST-TIERING-WAVE1-2026-07-22,tier1_worker_3,4,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,cog_2025_209096,209096,OH,Akron,CITY OF AKRON,municipal,place,188701,1,no,Summit County (39153; primary),75.475,Tier 1,low,25.681,10.000,15.588,10.206,9.000,0.000,false,false,not_scouted,false,0,false,true,eligible_new_scout,population percentile 99.6; municipal/place; state evidence low; smoothed yield component 15.6/20; 2 county relationship(s); unscouted,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize mutually overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF AKRON (Census government ID 209096; locked municipality ID cog_2025_209096). County context: Summit County (39153; primary). Do not substitute counties, school districts, transit/port/airport/housing authorities, park/industrial/utility/fire or other special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return an empty candidate list when no qualifying exact-employer source is found. Distinguish blocked access from dead/removed links, suppress duplicates, do not make or recommend public-records requests, and keep every result unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_worker_prep_dry_run_only,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,worker_3,CROSS_STATE_TIER1,101,150,rank_sliced_contiguous
105,110,TIER1-POST-TIERING-WAVE1-2026-07-22,tier1_worker_3,5,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,cog_2025_208077,208077,IA,Sioux City,CITY OF SIOUX CITY,municipal,place,85727,2,yes,Woodbury County (19193; primary); Plymouth County (19149),75.471,Tier 1,low,24.677,10.000,15.588,10.206,10.000,0.000,false,false,not_scouted,false,0,false,true,eligible_new_scout,population percentile 98.7; municipal/place; state evidence low; smoothed yield component 15.6/20; 3 county relationship(s); unscouted,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize mutually overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF SIOUX CITY (Census government ID 208077; locked municipality ID cog_2025_208077). County context: Woodbury County (19193; primary); Plymouth County (19149). Do not substitute counties, school districts, transit/port/airport/housing authorities, park/industrial/utility/fire or other special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return an empty candidate list when no qualifying exact-employer source is found. Distinguish blocked access from dead/removed links, suppress duplicates, do not make or recommend public-records requests, and keep every result unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_worker_prep_dry_run_only,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,worker_3,CROSS_STATE_TIER1,101,150,rank_sliced_contiguous
106,111,TIER1-POST-TIERING-WAVE1-2026-07-22,tier1_worker_3,6,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,cog_2025_191559,191559,TN,Chattanooga,CITY OF CHATTANOOGA,municipal,place,187030,1,no,Hamilton County (47065; primary),75.465,Tier 1,low,25.670,10.000,15.588,10.206,9.000,0.000,false,false,not_scouted,false,0,false,true,eligible_new_scout,population percentile 99.6; municipal/place; state evidence low; smoothed yield component 15.6/20; 2 county relationship(s); unscouted,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize mutually overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF CHATTANOOGA (Census government ID 191559; locked municipality ID cog_2025_191559). County context: Hamilton County (47065; primary). Do not substitute counties, school districts, transit/port/airport/housing authorities, park/industrial/utility/fire or other special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return an empty candidate list when no qualifying exact-employer source is found. Distinguish blocked access from dead/removed links, suppress duplicates, do not make or recommend public-records requests, and keep every result unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_worker_prep_dry_run_only,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,worker_3,CROSS_STATE_TIER1,101,150,rank_sliced_contiguous
107,112,TIER1-POST-TIERING-WAVE1-2026-07-22,tier1_worker_3,7,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,cog_2025_166455,166455,MA,Brockton,CITY OF BROCKTON,municipal,place,104890,1,no,Plymouth County (25023; primary),75.459,Tier 1,low,24.950,10.000,16.657,10.217,8.634,0.000,false,false,not_scouted,false,0,false,true,eligible_new_scout,population percentile 99.0; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize mutually overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF BROCKTON (Census government ID 166455; locked municipality ID cog_2025_166455). County context: Plymouth County (25023; primary). Do not substitute counties, school districts, transit/port/airport/housing authorities, park/industrial/utility/fire or other special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return an empty candidate list when no qualifying exact-employer source is found. Distinguish blocked access from dead/removed links, suppress duplicates, do not make or recommend public-records requests, and keep every result unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_worker_prep_dry_run_only,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,worker_3,CROSS_STATE_TIER1,101,150,rank_sliced_contiguous
108,113,TIER1-POST-TIERING-WAVE1-2026-07-22,tier1_worker_3,8,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,cog_2025_161905,161905,GA,Warner Robins,CITY OF WARNER ROBINS,municipal,place,84537,2,yes,Houston County (13153; primary); Peach County (13225),75.452,Tier 1,low,24.658,10.000,15.588,10.206,10.000,0.000,false,false,not_scouted,false,0,false,true,eligible_new_scout,population percentile 98.6; municipal/place; state evidence low; smoothed yield component 15.6/20; 3 county relationship(s); unscouted,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize mutually overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF WARNER ROBINS (Census government ID 161905; locked municipality ID cog_2025_161905). County context: Houston County (13153; primary); Peach County (13225). Do not substitute counties, school districts, transit/port/airport/housing authorities, park/industrial/utility/fire or other special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return an empty candidate list when no qualifying exact-employer source is found. Distinguish blocked access from dead/removed links, suppress duplicates, do not make or recommend public-records requests, and keep every result unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_worker_prep_dry_run_only,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,worker_3,CROSS_STATE_TIER1,101,150,rank_sliced_contiguous
109,114,TIER1-POST-TIERING-WAVE1-2026-07-22,tier1_worker_3,9,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,cog_2025_166448,166448,MA,Cambridge,CITY OF CAMBRIDGE,municipal,place,118214,1,no,Middlesex County (25017; primary),75.451,Tier 1,low,25.109,10.000,16.657,10.217,8.468,0.000,false,false,not_scouted,false,0,false,true,eligible_new_scout,population percentile 99.2; municipal/place; state evidence low; smoothed yield component 16.7/20; 2 county relationship(s); unscouted,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize mutually overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF CAMBRIDGE (Census government ID 166448; locked municipality ID cog_2025_166448). County context: Middlesex County (25017; primary). Do not substitute counties, school districts, transit/port/airport/housing authorities, park/industrial/utility/fire or other special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return an empty candidate list when no qualifying exact-employer source is found. Distinguish blocked access from dead/removed links, suppress duplicates, do not make or recommend public-records requests, and keep every result unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_worker_prep_dry_run_only,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,worker_3,CROSS_STATE_TIER1,101,150,rank_sliced_contiguous
110,115,TIER1-POST-TIERING-WAVE1-2026-07-22,tier1_worker_3,10,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,cog_2025_161585,161585,FL,Fort Lauderdale,CITY OF FORT LAUDERDALE,municipal,place,184255,1,no,Broward County (12011; primary),75.447,Tier 1,low,25.653,10.000,15.588,10.206,9.000,0.000,false,false,not_scouted,false,0,false,true,eligible_new_scout,population percentile 99.6; municipal/place; state evidence low; smoothed yield component 15.6/20; 2 county relationship(s); unscouted,"municipal police; municipal fire only when the exact target government is the employer; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library) where available; public arbitration, factfinding, impasse, compensation-plan, or other authoritative wage-setting material; prioritize mutually overlapping 2014-2024 cycles","Scout-stage only. Target exactly CITY OF FORT LAUDERDALE (Census government ID 161585; locked municipality ID cog_2025_161585). County context: Broward County (12011; primary). Do not substitute counties, school districts, transit/port/airport/housing authorities, park/industrial/utility/fire or other special districts, universities, state/federal employers, or private providers. A safety agreement cannot satisfy the ordinary non-safety request. Return an empty candidate list when no qualifying exact-employer source is found. Distinguish blocked access from dead/removed links, suppress duplicates, do not make or recommend public-records requests, and keep every result unverified pending later employer/unit/provenance/date/wage/overlap review.",locked_for_tier1_worker_prep_dry_run_only,docs/analysis/national_priority_tier_top_targets_2026-07-22.csv,bbb4dfa1a0836bf3fefe4e52c5f538ee59b08714,worker_3,CROSS_STATE_TIER1,101,150,rank_sliced_contiguous
