state,state_fips,county_equivalent_count,source,notes
AL,01,67,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
AK,02,30,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
AZ,04,15,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
AR,05,75,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
CA,06,58,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
CO,08,64,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
CT,09,9,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
DE,10,3,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
DC,11,1,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
FL,12,67,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
GA,13,159,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
HI,15,5,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
ID,16,44,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
IL,17,102,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
IN,18,92,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
IA,19,99,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
KS,20,105,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
KY,21,120,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
LA,22,64,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
ME,23,16,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
MD,24,24,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
MA,25,14,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
MI,26,83,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
MN,27,87,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
MS,28,82,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
MO,29,115,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
MT,30,56,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
NE,31,93,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
NV,32,17,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
NH,33,10,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
NJ,34,21,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
NM,35,33,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
NY,36,62,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
NC,37,100,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
ND,38,53,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
OH,39,88,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
OK,40,77,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
OR,41,36,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
PA,42,67,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
RI,44,5,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
SC,45,46,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
SD,46,66,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
TN,47,95,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
TX,48,254,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
UT,49,29,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
VT,50,14,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
VA,51,133,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip,Filtered to 50 states plus DC; territories excluded.
