readiness_id,lane_id,lane_sequence,source_type,detected_file_type,source_review_download_id,verification_row_id,candidate_id,scout_target_id,state,region,municipality,source_title,source_locator_or_url,final_download_locator,source_family_hint,priority_bucket,cba_non_cba_hint,possible_mechanism_hints,source_review_status,retained_file_type,file_extension,retained_local_artifact_path,artifact_storage_scheme,artifact_storage_pointer,artifact_object_key_or_content_address,artifact_availability_status,artifact_replication_or_backup_status,artifact_access_scope,retained_file_size_bytes,retained_file_sha256
B4X2500RDY-20260730-96cc42595e729ba5b064,readiness_lane_001,1,pdf,pdf,B4X2500SRD-20260730-b8eda68491a30f5f0099,B4X2500V-20260730-01462,B4X2500LIVE-20260729-001725,B4X2500-20260729-01516,AL,South,La Fayette,"City of LaFayette Work Session and Council Proceedings (July 13, 2020) [PDF]",https://lafayetteal.com/images/pdfs/council-minutes/CM_7-13-20.pdf,https://lafayetteal.com/images/pdfs/council-minutes/CM_7-13-20.pdf,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-b8eda68491a30f5f0099.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-b8eda68491a30f5f0099.pdf,sha256:988790e590433d1db587a2dd8d61fe1cdedff48d52d25900bc90571f3e27d40e,locally_available,local_only_not_replicated,local_research_workspace,206273,988790e590433d1db587a2dd8d61fe1cdedff48d52d25900bc90571f3e27d40e
B4X2500RDY-20260730-35d4f90dccdb0a2be515,readiness_lane_001,2,pdf,pdf,B4X2500SRD-20260730-4c06430ae9bb6b10e8f6,B4X2500V-20260730-00960,B4X2500LIVE-20260729-001461,B4X2500-20260729-01294,NY,Northeast,Granville,Village Board Meeting Minutes (ratification of 5-year Collective Bargaining Agreement with Police Benevolent Association),https://villageofgranvilleny.com/wp-content/uploads/2017/10/GVTBMeeting-Minutes-020617.pdf,https://villageofgranvilleny.com/wp-content/uploads/2017/10/GVTBMeeting-Minutes-020617.pdf,agenda_packet_or_minutes,high_priority_verification_ready,non_cba_or_other_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-4c06430ae9bb6b10e8f6.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-4c06430ae9bb6b10e8f6.pdf,sha256:fc76ee3ae9cf185546f28ede75f11f57cdf0d890f8ae4014b79493ca3608dc10,locally_available,local_only_not_replicated,local_research_workspace,50567,fc76ee3ae9cf185546f28ede75f11f57cdf0d890f8ae4014b79493ca3608dc10
B4X2500RDY-20260730-8317522a2ee60dbdfb5a,readiness_lane_001,3,pdf,pdf,B4X2500SRD-20260730-62360f72db5462565dc1,B4X2500V-20260730-02162,B4X2500LIVE-20260729-009534,B4X2500-20260729-09482,NC,South,Pinebluff,24-25 FY Meeting Minutes (PDF link as published on Town site),https://img1.wsimg.com/blobby/go/6b36e31f-9195-45ee-b869-44ca81650be6/downloads/40cddbad-4cda-48d9-93f1-6b6eddff250b/24-25%20FY%20Meeting%20Minutes.pdf?ver=1784722405565,https://img1.wsimg.com/blobby/go/6b36e31f-9195-45ee-b869-44ca81650be6/downloads/40cddbad-4cda-48d9-93f1-6b6eddff250b/24-25%20FY%20Meeting%20Minutes.pdf,agenda_packet_or_minutes,medium_priority_verification_ready,non_cba_or_other_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-62360f72db5462565dc1.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-62360f72db5462565dc1.pdf,sha256:c1d99c0668000366dfd5a11d5d4c71507dae9fcbaf6dda67f03a1ebe302fdb45,locally_available,local_only_not_replicated,local_research_workspace,1075816,c1d99c0668000366dfd5a11d5d4c71507dae9fcbaf6dda67f03a1ebe302fdb45
B4X2500RDY-20260730-f4e53445c57e9bfff3f0,readiness_lane_001,4,pdf,pdf,B4X2500SRD-20260730-00cd4107693428489199,B4X2500V-20260730-02894,B4X2500LIVE-20260729-001704,B4X2500-20260729-01483,AL,South,Brookwood,Ordinance No. 2021-3: An Ordinance To Change The Town Of Brookwood Employee Manual As It Relates To Employee Sick Leave And Vacation Time Structures (Exhibit A attached),https://assets.caboosecms.com/media/15255531_2021-3_changingemployeemanualasitrelatestoemployeesickleaveandvacationtimestructures.pdf?1729621249=,https://assets.caboosecms.com/media/15255531_2021-3_changingemployeemanualasitrelatestoemployeesickleaveandvacationtimestructures.pdf,other_local_government_pay_policy,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-00cd4107693428489199.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-00cd4107693428489199.pdf,sha256:3856b8259c7ad1f7af8bfa033da92ec04e05cc73653a6efdcb5e7db2e3b05e57,locally_available,local_only_not_replicated,local_research_workspace,230200,3856b8259c7ad1f7af8bfa033da92ec04e05cc73653a6efdcb5e7db2e3b05e57
B4X2500RDY-20260730-910eb572dd7cc49fd0fa,readiness_lane_001,5,pdf,pdf,B4X2500SRD-20260730-24e9669c472dfa5d1a5a,B4X2500V-20260730-04349,B4X2500LIVE-20260729-006727,B4X2500-20260729-06589,AR,South,Hazen,"Hazen Municipal Code (City of Hazen, Arkansas) — Personnel Policies: Uniformed employee vacations (Police Department) & related compensation rules",https://cityofhazen.org/documents/152/Hazen_Municipal_Code.pdf,https://cityofhazenar.gov/documents/152/Hazen_Municipal_Code.pdf,other_local_government_pay_policy,high_priority_verification_ready,non_cba_or_other_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-24e9669c472dfa5d1a5a.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-24e9669c472dfa5d1a5a.pdf,sha256:73cfc1b258074f57d893139ed4bc68d314debae5964219ca423fb507ea0f97eb,locally_available,local_only_not_replicated,local_research_workspace,1600263,73cfc1b258074f57d893139ed4bc68d314debae5964219ca423fb507ea0f97eb
B4X2500RDY-20260730-3d6c6acb09e4c18a6191,readiness_lane_001,6,pdf,pdf,B4X2500SRD-20260730-aaad09f1feb89a5019bf,B4X2500V-20260730-01250,B4X2500LIVE-20260729-009658,B4X2500-20260729-09671,TN,South,Mason,Resolution Approving CMFO Salary Increase (Certified Municipal Finance Officer),https://townofmasontn.org/wp-content/uploads/sites/154/2025/09/Resolution-Approving-CMFO-Salary-Increase.pdf,https://townofmasontn.org/wp-content/uploads/sites/154/2025/09/Resolution-Approving-CMFO-Salary-Increase.pdf,other_local_government_pay_policy,high_priority_verification_ready,non_cba_or_other_hint,,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-aaad09f1feb89a5019bf.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-aaad09f1feb89a5019bf.pdf,sha256:d9bc1422bae4fbe5a65a408ef0bd5586e7daf3caa1283f27e1b98c4f43cad180,locally_available,local_only_not_replicated,local_research_workspace,43120,d9bc1422bae4fbe5a65a408ef0bd5586e7daf3caa1283f27e1b98c4f43cad180
B4X2500RDY-20260730-71c290c2ad50727946de,readiness_lane_001,7,pdf,pdf,B4X2500SRD-20260730-6fdb45cbbd5f404a5a2a,B4X2500V-20260730-03189,B4X2500LIVE-20260729-005211,B4X2500-20260729-05196,IN,Midwest,Fort Branch,ORDINANCE_2025-7_2026_SALARY_ORDINANCE.pdf (Salary Ordinance),https://fortbranch.org/files/2026/01/ORDINANCE_2025-7_2026_SALARY_ORDINANCE.pdf,https://fortbranch.org/files/2026/01/ORDINANCE_2025-7_2026_SALARY_ORDINANCE.pdf,salary_ordinance,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-6fdb45cbbd5f404a5a2a.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-6fdb45cbbd5f404a5a2a.pdf,sha256:4962e68d8a6589be2c7c915bcf7d1d5aeac1bf1ba95416d01ebd15b5d41a0932,locally_available,local_only_not_replicated,local_research_workspace,472521,4962e68d8a6589be2c7c915bcf7d1d5aeac1bf1ba95416d01ebd15b5d41a0932
B4X2500RDY-20260730-c3a2700dfea491731e08,readiness_lane_001,8,pdf,pdf,B4X2500SRD-20260730-849191e6e67b38fd9063,B4X2500V-20260730-03598,B4X2500LIVE-20260729-006989,B4X2500-20260729-06973,NC,South,Kure Beach,Budget Ordinance FY 2025-2026 (Section IV. Salaries and Staffing: Pay Plan),https://townofkurebeach.civicweb.net/document/51780/,https://townofkurebeach.civicweb.net/document/51780,budget_or_pay_plan,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-849191e6e67b38fd9063.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-849191e6e67b38fd9063.pdf,sha256:903eb5f6d70368bb9f26e980ddba3783a2d06358f6d202c792183824efda08c5,locally_available,local_only_not_replicated,local_research_workspace,205692,903eb5f6d70368bb9f26e980ddba3783a2d06358f6d202c792183824efda08c5
B4X2500RDY-20260730-a8027635d87bbb054c3d,readiness_lane_001,9,pdf,pdf,B4X2500SRD-20260730-125edf00b4782ed5a3e0,B4X2500V-20260730-04128,B4X2500LIVE-20260729-002135,B4X2500-20260729-02143,TN,South,Atwood,"THE ATWOOD MUNICIPAL CODE (Combined) — Title 4 Municipal Personnel; chapters include personnel regulations, leave, policies",https://www.mtas.tennessee.edu/system/files/codes/combined/Atwood-code.pdf,https://mtas.tennessee.edu/system/files/codes/combined/Atwood-code.pdf,civil_service_or_hr_pay_plan,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-125edf00b4782ed5a3e0.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-125edf00b4782ed5a3e0.pdf,sha256:b19a3fc165508e70bf5795baa612ae10919c45fe4b0c7d07199f632e79442535,locally_available,local_only_not_replicated,local_research_workspace,2520838,b19a3fc165508e70bf5795baa612ae10919c45fe4b0c7d07199f632e79442535
B4X2500RDY-20260730-69dd040a74443a7ca231,readiness_lane_001,10,pdf,pdf,B4X2500SRD-20260730-5a083b0fddff159cca83,B4X2500V-20260730-03944,B4X2500LIVE-20260729-006410,B4X2500-20260729-06278,NY,Northeast,Corinth,Schedule of Salaries & Wages — All Funds 2025–2026 (Village of Corinth),https://villageofcorinthny.gov/corinth/pdf/Budget%20Document%202025-2026.pdf,https://villageofcorinthny.gov/corinth/pdf/Budget%20Document%202025-2026.pdf,wage_schedule,high_priority_verification_ready,non_cba_or_other_hint,non_safety_constraint_signal;fiscal_constraint_signal,retained_pdf,pdf,.pdf,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-5a083b0fddff159cca83.pdf,ignored_local_artifact_store,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-5a083b0fddff159cca83.pdf,sha256:d52eb3e11fdfad3439ad247875c2e5983d5a52c36efa4709fe1409dc9a6e2821,locally_available,local_only_not_replicated,local_research_workspace,415305,d52eb3e11fdfad3439ad247875c2e5983d5a52c36efa4709fe1409dc9a6e2821
