duplicate_group_id,sha256,expected_physical_copy_count,observed_physical_copy_count,canonical_relative_path,canonical_present,observed_alias_count,duplicate_bytes_reclaimable,issue_count,issues
SRC-DUP-0048785d25b33294,0048785d25b33294949a3bff1349fff2dffacc9ba72d274f2e3f654935401a44,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-07b37620c7b2674e78ed.pdf,True,1,567750,0,
SRC-DUP-00e460774862dfce,00e460774862dfce8e3897fbf41bbe1cd580b4ee90e6cf3e7506e31f6788ef7f,2,2,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/00e460774862dfce8e3897fbf41bbe1cd580b4ee90e6cf3e7506e31f6788ef7f.pdf,True,1,570225,0,
SRC-DUP-02e960930acf8f5d,02e960930acf8f5d0c626c651f0b54f87e9c49b7e6fe19630e8874bd4e9651fb,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-e9c99292f0da9088a0d4.pdf,True,1,535381,0,
SRC-DUP-036c72618a4094b6,036c72618a4094b64abb18e87e732abe25c259912cb1b4867f1da311967382e1,2,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-136608dc0f3f0aabf53d.pdf,True,1,12200,0,
SRC-DUP-0503eac3612b1406,0503eac3612b140675362ef83276ca83becb91ef654f9c5c5ddbc511ee88cc1f,2,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-d1a2205731cc9f1dd6f5.pdf,True,1,171058,0,
SRC-DUP-05f2c9c749e49088,05f2c9c749e490885c7ed617bdade58e5c40f8a89e322edd6000b1b7db99dc20,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-a7c3c8f93409fc5b99b6.pdf,True,1,19209937,0,
SRC-DUP-07f1397ef101bc67,07f1397ef101bc67413678bf17849567c6ed8e4fa72e9b324a0f63044457bbe5,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-543a2e6648c6f9cf39ba.pdf,True,1,5142653,0,
SRC-DUP-0972e1dc8a8d34d5,0972e1dc8a8d34d5812c8858d9efcb69c606bdc72f606861be27cc8d70019770,4,4,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-a0987be6411aba396f86.html,True,3,2718,0,
SRC-DUP-09a7bcd6eda340b5,09a7bcd6eda340b5280a92ce47d8707cd370964df473488b266d990c56e1be2d,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-972758e04d980dc305a5.pdf,True,1,2324298,0,
SRC-DUP-0ae7119d60116a90,0ae7119d60116a90859852f35555a924711ff64a8d4c5d638a6dcfd7f34a1864,2,2,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/0ae7119d60116a90859852f35555a924711ff64a8d4c5d638a6dcfd7f34a1864.pdf,True,1,1434172,0,
SRC-DUP-0b4015ca68ed785a,0b4015ca68ed785a32c4aad04f3328995f52f75cd7f91611eaacb1ee027a0cc2,2,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-91ac3491977ce69ccbdc.pdf,True,1,331662,0,
SRC-DUP-0b665cb2d54e575d,0b665cb2d54e575d955e69c5d20535cd2d679ae54d7f6de24e32fdc8daebcf4a,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-74e6ccd1ba7c5858218c.pdf,True,1,3282929,0,
SRC-DUP-0c6716b5bb76efab,0c6716b5bb76efabec55235ffb80a556c05f59649feb09cef6cb657ffe4d826c,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-2c01fb86d2eb2818b153.pdf,True,1,1484281,0,
SRC-DUP-0e48d7e5a93c8954,0e48d7e5a93c8954d71b52f1f48f725b6b7fb92b5a56ae81ef36be11511d3a9e,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-f3efd4c75c009d86f057.pdf,True,1,10957161,0,
SRC-DUP-10a9fe126597def8,10a9fe126597def83ce137837c70ba8cd8196badd64edcda06b13124e7c75b76,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-601b56f0cc583dec89af.pdf,True,1,391071,0,
SRC-DUP-113b7e6411505c74,113b7e6411505c745f5bca2238c0e161b385f638ef6a61012117f3ecfcea20eb,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-9ecde0f9c35a7eb543fe.pdf,True,1,5168232,0,
SRC-DUP-12e066ec2a3c232c,12e066ec2a3c232cc32a4be0ab267a7d6447e07006758c776fb6da288d7e18c4,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-82282eb90c5ebeebcca8.pdf,True,1,7076071,0,
SRC-DUP-1696cb6d5a4bc855,1696cb6d5a4bc8550af86b27a2e3e5071f0be1b518a55478606c78acc0e61a1b,2,2,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-62e6b09400305dcd269e.pdf,True,1,500579,0,
SRC-DUP-17d537c18dea3728,17d537c18dea3728ba58aeccfcbb40d449a7c1b0409f82aca136243b0c4bb3f5,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-7b05c3031127540f2406.pdf,True,1,1602339,0,
SRC-DUP-196d03ee86e1c1f3,196d03ee86e1c1f3ef9f1516ebb07b3faeb01230159259571373eeb15b824046,2,2,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/196d03ee86e1c1f3ef9f1516ebb07b3faeb01230159259571373eeb15b824046.html,True,1,102841,0,
SRC-DUP-1b06ff6ee8934a34,1b06ff6ee8934a347f652f3a8700e71d06dfbb5b5bb6552ea826c0b2e5bf985e,2,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-0633aa2f4777c31a5c1c.pdf,True,1,163899,0,
SRC-DUP-1be084df480a4731,1be084df480a47311bfc1149ab0b52d7c697e4ebb2215a82d312fae4219c006a,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-2333c188cd6bb118679e.pdf,True,1,3136422,0,
SRC-DUP-1d105eceea5f0110,1d105eceea5f011040ef46675f7b55c14f8c22ee275a63b8f19d987ce4f7f655,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-2b1d80768e7210bd897b.pdf,True,1,120329,0,
SRC-DUP-208ec38bb84300bf,208ec38bb84300bfe309ef03f1461d59615dccef80fb6b036217341cdddb2604,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-7af78f4c5282506ab0bb.pdf,True,1,475178,0,
SRC-DUP-20a9ae063b27c802,20a9ae063b27c8024b229e703bcb31eb144e5852add1c2177d2fd729407c9dcd,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-13fa38359dee181db158.pdf,True,1,436834,0,
SRC-DUP-24dfbb7fdb6a9645,24dfbb7fdb6a9645e512763334b21cb5ba42e807e93e0362af0d9822cc6570fa,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-83613a6d7f0f3384ecd6.pdf,True,1,19769931,0,
SRC-DUP-250ab63b2ac39c3a,250ab63b2ac39c3a099f1ca3251acddd995651a5977ede19b6ea95d11ac1143e,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-00bb8cba3a51e7bada68.pdf,True,1,490968,0,
SRC-DUP-263e2f55f33bf2c8,263e2f55f33bf2c8191021e152f8ebf2034992833f60dc4167a7efd303dc03f8,2,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-dd17cbd73434df292f07.pdf,True,1,482038,0,
SRC-DUP-27434a4d11d8bf8d,27434a4d11d8bf8db2ab3f45e0efc3d919f714856b27530fb86054dbc47ad44e,3,3,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-3848fc7a24bd560c819b.html,True,2,12190,0,
SRC-DUP-27a2fccfffac4889,27a2fccfffac4889300c85026d0599311e2e1cced6784af54a3ae3486ae99812,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-974642ff06d7707a118b.pdf,True,1,239063,0,
SRC-DUP-27f24d917a33bb2a,27f24d917a33bb2ab22a186822992784438f3306506a4f3bdf4566d09e2ba1f2,3,3,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-85bff05722b33f373264.pdf,True,2,3017150,0,
SRC-DUP-281798a41b84f977,281798a41b84f9771cb415f25c3f8e1bbb8087cc1792c89586ecf7625eb120bd,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-5a735a9f451d23bfee54.pdf,True,1,430701,0,
SRC-DUP-28e8eb9d3bd6fa81,28e8eb9d3bd6fa81fd3d73832cd95c645a0687279fcb0494890ac8150128618d,2,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-fd7174b8933bf0eca5aa.pdf,True,1,291284,0,
SRC-DUP-295d0503b17b639b,295d0503b17b639bcea04c8afe2d04a4dd4f36c8803d36082f44e1a691b46f90,2,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-9c6dfd5993e118b4a33a.pdf,True,1,2043416,0,
SRC-DUP-2db577e1b1ace3ca,2db577e1b1ace3cada394ecfbdc9aa65429844a7a583a32c6aa75221748b9263,2,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-bc886ea34d5778230d53.pdf,True,1,1625870,0,
SRC-DUP-2ddc11a7ece06e31,2ddc11a7ece06e31999de0c1b5101a347006937c27e6b5a8d976c46f744e7e0c,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-1a96d893be55a6a43a34.html,True,1,500373,0,
SRC-DUP-2e9f33115ec18630,2e9f33115ec18630f709ee5b16a5e8228624d92464ec6caae71480d08c9fccc1,2,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-57679c57637aa643de35.pdf,True,1,568288,0,
SRC-DUP-2ff66ea94a06b326,2ff66ea94a06b32606377a056bb491802c0f577a5ee108bbf6b1fff7e748b139,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-d57561f2904e94843aa5.pdf,True,1,23180878,0,
SRC-DUP-3133e858266c258d,3133e858266c258ddcf84b8ae5eafffa34b4f7e7acb7d8be035b15c98bdba05b,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-2d4dd26140d2022843e5.pdf,True,1,2701490,0,
SRC-DUP-316ec0ddf3b91005,316ec0ddf3b910059b73cf97fc77b50313b472480049855f940c76cbc18816a7,2,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-f98de9f8d6291f1256e6.pdf,True,1,537238,0,
