verification_row_id,source_candidate_id,candidate_origin,lane_id,lane_sequence,state,region,municipality,county,source_title,source_locator_or_url,canonical_locator_before_verification,source_domain,source_family_hint,document_type_hint,candidate_quality_tier,possible_mechanism_hints,prior_seen_locator_flag,prior_verification_status,verification_status,http_status_code,redirect_count,final_canonical_locator,content_type_header,content_length_header,transport_error_type,verification_attempt_count,verification_started_at,verification_completed_at,worker_id,checkpoint_id,download_status,source_review_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes,queue_disposition,queue_exclusion_reason,input_row_number
BCV-20260728-04561,B4XPAR-20260727-000001,broad_4x1000_deduped,verify_lane_003,274,IA,Midwest,Asbury,Dubuque County (19061; primary),City Council meeting agendas & minutes (Diligent public portal) - search platform for possible labor/pay attachments,https://cityofasbury.community.diligentoneplatform.com/Portal/,https://cityofasbury.community.diligentoneplatform.com/Portal,cityofasbury.community.diligentoneplatform.com,agenda_packet_or_minutes,context_only,pending_combined_review,,false,,verification_not_run,,,,,,,0,,,worker_verify_lane_003,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=unknown; occupation_hint=unknown.,locked_for_verification,,1
BCV-20260728-05305,B4XPAR-20260727-000002,broad_4x1000_deduped,verify_lane_003,1018,IA,Midwest,Asbury,Dubuque County (19061; primary),BoardDocs® archived agendas & minutes entrance (potential older labor/pay attachments),https://go.boarddocs.com/ia/coaia/Board.nsf,https://go.boarddocs.com/ia/coaia/Board.nsf,go.boarddocs.com,salary_ordinance,context_only,pending_combined_review,strike_or_no_strike_constraint,false,,verification_not_run,,,,,,,0,,,worker_verify_lane_003,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=unknown; occupation_hint=unknown.,locked_for_verification,,2
BCV-20260728-00180,B4XPAR-20260727-000003,broad_4x1000_deduped,verify_lane_001,180,IA,Midwest,Carlisle,Warren County (19181; primary); Polk County (19153),"Carlisle City Council Meeting Agenda (May 26, 2026) — Tentative Collective Bargaining Agreement with Teamsters Local 238 / AFSCME Local 61",https://carlisleiowa.org/AgendaCenter/ViewFile/Agenda/_05262026-92,https://carlisleiowa.org/AgendaCenter/ViewFile/Agenda/_05262026-92,carlisleiowa.org,agenda_packet_or_minutes,agenda_cover_sheet,pending_combined_review,,false,,verification_not_run,,,,,,,0,,,worker_verify_lane_001,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=police; occupation_hint=police.,locked_for_verification,,3
BCV-20260728-04467,B4XPAR-20260727-000004,broad_4x1000_deduped,verify_lane_003,180,IA,Midwest,Carlisle,Warren County (19181; primary); Polk County (19153),Carlisle Police Department — Employment Application (2026 posting) referencing “Current Union Contract through 2025” and “top out pay”,https://www.carlisleiowa.org/sites/g/files/vyhlif8086/f/uploads/carlisle_police_department_application-_2023_process.pdf,https://carlisleiowa.org/sites/g/files/vyhlif8086/f/uploads/carlisle_police_department_application-_2023_process.pdf,carlisleiowa.org,cba,context_only,pending_combined_review,,false,,verification_not_run,,,,,,,0,,,worker_verify_lane_003,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=unclear; occupation_hint=unclear.,locked_for_verification,,4
BCV-20260728-02324,B4XPAR-20260727-000005,broad_4x1000_deduped,verify_lane_002,180,IA,Midwest,Carlisle,Warren County (19181; primary); Polk County (19153),"Carlisle City Council Meeting Packet (Apr 14, 2025) — Resolution updating Vacation Policy / Handbook (collective bargaining conflicts clause)",https://www.carlisleiowa.org/sites/g/files/vyhlif8086/f/agendas/april_14_2025_council_packet.pdf,https://carlisleiowa.org/sites/g/files/vyhlif8086/f/agendas/april_14_2025_council_packet.pdf,carlisleiowa.org,cba,ordinance_or_policy,pending_combined_review,non_safety_constraint_signal,false,,verification_not_run,,,,,,,0,,,worker_verify_lane_002,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=non_safety; occupation_hint=non_safety.,locked_for_verification,,5
BCV-20260728-00960,B4XPAR-20260727-000006,broad_4x1000_deduped,verify_lane_001,960,IA,Midwest,Clear Lake,Cerro Gordo County (19033; primary),"RESOLUTION #24-A RESOLUTION SETTING THE SALARIES FOR APPOINTED OFFICERS AND EMPLOYEES OF THE CITY OF CLEAR LAKE EFFECTIVE THE BEGINNING OF THE PAY PERIOD THAT INCLUDES JULY 1ST, 2024",https://files.municipalone.com/clearlake-ia/files/documents/citycouncilpacket06-03-24015816053124pm134.pdf,https://files.municipalone.com/clearlake-ia/files/documents/citycouncilpacket06-03-24015816053124pm134.pdf,files.municipalone.com,other_local_government_pay_policy,ordinance_or_policy,pending_combined_review,,false,,verification_not_run,,,,,,,0,,,worker_verify_lane_001,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=police; occupation_hint=police.,locked_for_verification,,6
BCV-20260728-07224,B4XPAR-20260727-000009,broad_4x1000_deduped,verify_lane_004,794,IA,Midwest,Clear Lake,Cerro Gordo County (19033; primary),"Employment Appeal Board (EAB) - City of Clear Lake, Iowa and Clear Lake Public Employment Agency (public employment relations board order)",https://eab.iowa.gov/media/225/download?inline=,https://eab.iowa.gov/media/225/download,eab.iowa.gov,unknown_or_needs_review,index_page,pending_combined_review,,false,,verification_not_run,,,,,,,0,,,worker_verify_lane_004,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=unclear; occupation_hint=unclear.,locked_for_verification,,7
BCV-20260728-02897,B4XPAR-20260727-000010,broad_4x1000_deduped,verify_lane_002,753,IA,Midwest,Denison,Crawford County (19047; primary),"Regular Called City Council Meeting – July 1, 2025 agenda (includes resolution to set wage for Library Director for FY 2025–2026)",https://denisonia.com/wp-content/uploads/July_1_2025_Regular_Council_Agenda-1.pdf,https://denisonia.com/wp-content/uploads/July_1_2025_Regular_Council_Agenda-1.pdf,denisonia.com,agenda_packet_or_minutes,agenda_cover_sheet,pending_combined_review,non_safety_constraint_signal,false,,verification_not_run,,,,,,,0,,,worker_verify_lane_002,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=non_safety; occupation_hint=non_safety.,locked_for_verification,,8
BCV-20260728-07183,B4XPAR-20260727-000011,broad_4x1000_deduped,verify_lane_004,753,IA,Midwest,Denison,Crawford County (19047; primary),"City Council Meetings – Denison, IA (index / landing page for downloading agendas/minutes)",https://denisonia.com/?page_id=832,https://denisonia.com,denisonia.com,wage_schedule,index_page,pending_combined_review,,false,,verification_not_run,,,,,,,0,,,worker_verify_lane_004,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=unknown; occupation_hint=unknown.,locked_for_verification,,9
BCV-20260728-00794,B4XPAR-20260727-000012,broad_4x1000_deduped,verify_lane_001,794,IA,Midwest,Eldridge,Scott County (19163; primary),"Order of Certification (City of Eldridge, Police Safety Bargaining Unit), CEO 862",https://eab.iowa.gov/media/278/download?inline=,https://eab.iowa.gov/media/278/download,eab.iowa.gov,unknown_or_needs_review,index_page,pending_combined_review,,false,,verification_not_run,,,,,,,0,,,worker_verify_lane_001,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=police; occupation_hint=police.,locked_for_verification,,10
