source_domain,verification_rows,verified_reachable,unavailable,blocked_or_timeout,verification_error,global_analysis_readiness
0201.nccdn.net,2,2,0,0,0,false
091e191e-1212-4dbc-881d-f10214ff8c16.filesusr.com,1,1,0,0,0,false
1275a347-08b5-49ef-b3e1-1e8ed6d0f1a3.filesusr.com,1,1,0,0,0,false
1drv.ms,1,1,0,0,0,false
3349ced6-11bd-45a0-a79a-4789af9e4dcb.filesusr.com,1,1,0,0,0,false
4.files.edl.io,3,3,0,0,0,false
7ec5af11-b772-4a01-a45f-dd4265018271.filesusr.com,1,1,0,0,0,false
81b0a71b-a7a1-414b-af62-5cf86951dfc5.filesusr.com,2,2,0,0,0,false
abbevillecitysc.com,1,1,0,0,0,false
aberdeenintranetnc.municipalone.com,1,1,0,0,0,false
aberdeennj.org,2,0,2,0,0,false
abilenecityhall.com,2,0,2,0,0,false
abingdon-va.gov,1,0,1,0,0,false
abingtonpa.gov,2,0,2,0,0,false
abseconnj.gov,3,3,0,0,0,false
acluct.org,13,9,4,0,0,false
acton-ma.gov,3,0,3,0,0,false
actonma.gov,2,0,2,0,0,false
adamstwp.org,1,1,0,0,0,false
adaok.com,2,0,2,0,0,false
addisla.org,3,3,0,0,0,false
afscme500.org,1,1,0,0,0,false
afscmeatwork.org,1,0,1,0,0,false
afscmemn.org,5,5,0,0,0,false
aftonwyoming.gov,2,2,0,0,0,false
alachua.novusagenda.com,2,2,0,0,0,false
alamosa.novusagenda.com,1,1,0,0,0,false
alamotexas.org,2,2,0,0,0,false
albanyca.gov,2,0,2,0,0,false
albemarlenc.gov,2,0,2,0,0,false
albertonmontana.com,3,3,0,0,0,false
albertvillemn.gov,1,0,1,0,0,false
albiaiowa.org,2,2,0,0,0,false
alburghvt.org,2,2,0,0,0,false
alcester.sdcity.gov,1,1,0,0,0,false
aleknagikak.gov,1,1,0,0,0,false
aleutianseast.org,1,1,0,0,0,false
alexandercityal.gov,2,0,2,0,0,false
alexandriaky.gov,1,1,0,0,0,false
allencounty.in.gov,1,1,0,0,0,false
allendalemi.gov,1,1,0,0,0,false
allenstownnh.gov,3,1,2,0,0,false
almacity.com,2,2,0,0,0,false
alpena.mi.us,2,2,0,0,0,false
alpha.creativecirclecdn.com,2,1,1,0,0,false
alvin.gov,2,2,0,0,0,false
amerywisconsin.org,2,2,0,0,0,false
amherst.ny.us,2,2,0,0,0,false
amherstindy.org,1,1,0,0,0,false
amherstnh.gov,1,1,0,0,0,false
amherstva.gov,1,1,0,0,0,false
amityoregon.gov,2,0,2,0,0,false
amitytownshippa.com,1,1,0,0,0,false
andalusiaal.gov,1,1,0,0,0,false
andoverks.civicweb.net,1,1,0,0,0,false
andoverks.gov,2,0,2,0,0,false
andoverma.gov,2,0,2,0,0,false
angier.org,2,0,2,0,0,false
angolain.org,1,1,0,0,0,false
annatexas.gov,4,1,3,0,0,false
annistonal.gov,2,2,0,0,0,false
antiochca.gov,2,1,1,0,0,false
antwerptownshipmi.gov,1,1,0,0,0,false
anyflip.com,1,1,0,0,0,false
apachejunctionaz.gov,2,1,1,0,0,false
apea-aft.org,1,1,0,0,0,false
apexnc.org,1,0,1,0,0,false
api.agendas.revize.com,1,1,0,0,0,false
apnm.org,1,1,0,0,0,false
app.lla.la.gov,4,4,0,0,0,false
app.lla.state.la.us,6,6,0,0,0,false
apps.garnernc.gov,2,0,0,2,0,false
arcadia-fl.gov,1,1,0,0,0,false
archbaldboroughpa.gov,1,0,1,0,0,false
archdale-nc.gov,1,1,0,0,0,false
archive.lib.msu.edu,17,17,0,0,0,false
archivesindex.sc.gov,1,1,0,0,0,false
arden.delaware.gov,2,2,0,0,0,false
ardmorecity.org,2,2,0,0,0,false
arkcity.org,1,0,1,0,0,false
arklegaudit.gov,1,1,0,0,0,false
arlingtonvermont.org,2,2,0,0,0,false
ashlandcitytn.gov,1,1,0,0,0,false
ashlandmass.com,3,0,3,0,0,false
aspen.gov,1,0,1,0,0,false
assets-global.website-files.com,1,1,0,0,0,false
assets.caboosecms.com,3,3,0,0,0,false
assets.locable.com,2,2,0,0,0,false
assets.nationbuilder.com,2,2,0,0,0,false
assets.newlouisiana.org,1,1,0,0,0,false
assets.simpleviewinc.com,1,1,0,0,0,false
athenstx.gov,2,2,0,0,0,false
athol-ma.gov,3,0,3,0,0,false
atkinsonne.com,2,2,0,0,0,false
attallacity.org,1,1,0,0,0,false
atu757.org,2,2,0,0,0,false
auburn.ca.gov,4,1,3,0,0,false
auburn.ne.gov,1,1,0,0,0,false
auburnnh.gov,2,0,2,0,0,false
auditor.state.oh.us,1,0,0,1,0,false
augustaks.org,1,1,0,0,0,false
aultcolorado.gov,1,0,1,0,0,false
aumsville.us,1,0,1,0,0,false
aurora-cityhall.org,1,0,1,0,0,false
aurora-il.legistar.com,1,1,0,0,0,false
austellga.gov,1,1,0,0,0,false
austin-ar.com,1,1,0,0,0,false
avonindiana.gov,2,2,0,0,0,false
avonpark.city,2,0,2,0,0,false
aws.state.ak.us,1,1,0,0,0,false
aztecnm.gov,1,1,0,0,0,false
azusaca.gov,2,0,2,0,0,false
b860633f-5969-426d-b701-88ff5ee4d400.filesusr.com,1,1,0,0,0,false
baldwinpark.com,2,0,2,0,0,false
ballotpedia.s3.amazonaws.com,1,1,0,0,0,false
baltimoreohio.org,2,2,0,0,0,false
bandon-or.gov,3,0,3,0,0,false
barboursville.community.diligentoneplatform.com,1,1,0,0,0,false
barlingar.gov,2,0,2,0,0,false
barnstead.org,2,1,1,0,0,false
barnunnwy.gov,3,3,0,0,0,false
barrington-il.gov,2,2,0,0,0,false
barrington.nh.gov,3,3,0,0,0,false
barrington.ri.gov,2,0,2,0,0,false
barringtonboro.com,2,2,0,0,0,false
bartonvt.com,1,1,0,0,0,false
basalt.net,2,0,2,0,0,false
bataviail.gov,2,0,2,0,0,false
batesburg-leesville.org,2,0,2,0,0,false
batesville.ms,2,2,0,0,0,false
batesvillearkansas.gov,1,0,1,0,0,false
batesvilleindiana.us,1,1,0,0,0,false
batesvillepolicear.gov,1,1,0,0,0,false
baxtermn.gov,1,0,1,0,0,false
baxterspringsks.gov,2,2,0,0,0,false
baycitytx.gov,3,0,3,0,0,false
bayfieldgov.org,1,0,1,0,0,false
bayharborislands-fl.gov,2,0,2,0,0,false
bcato.org,4,4,0,0,0,false
bcutah.gov,2,2,0,0,0,false
beachnd.com,2,1,1,0,0,false
bearriverwy.gov,1,1,0,0,0,false
beaumontca.gov,1,0,1,0,0,false
beaverton.k12.or.us,2,2,0,0,0,false
beavervalleyfop.org,2,2,0,0,0,false
bedford.in.gov,2,0,2,0,0,false
bedfordma.gov,1,1,0,0,0,false
bedfordnh.gov,3,0,3,0,0,false
bedfordva.gov,1,0,1,0,0,false
beebeark.org,1,1,0,0,0,false
beevilletx.gov,1,1,0,0,0,false
belchertown.org,2,0,2,0,0,false
belgrademaine.gov,3,2,1,0,0,false
bellefonte.net,2,2,0,0,0,false
belleplaine.granicus.com,1,1,0,0,0,false
bellevillewi.gov,2,2,0,0,0,false
bellevueky.org,1,1,0,0,0,false
bellinghamma.org,5,0,5,0,0,false
bellmawr.com,1,1,0,0,0,false
belmont-ma.gov,2,0,2,0,0,false
belmontnh.gov,1,1,0,0,0,false
beltontexas.gov,3,3,0,0,0,false
belvidereil.gov,2,0,2,0,0,false
benbrook-tx.gov,3,1,2,0,0,false
bennettsvillesc.com,2,2,0,0,0,false
benningtonne.com,2,2,0,0,0,false
bensenville.gov,3,0,3,0,0,false
benton.ky.gov,3,3,0,0,0,false
bentonchartertwp.org,3,3,0,0,0,false
bentonil.com,1,1,0,0,0,false
benwoodwv.gov,1,1,0,0,0,false
bereaky.gov,2,0,2,0,0,false
berkeleyheights.gov,3,3,0,0,0,false
berkeleymo.us,2,2,0,0,0,false
berlinct.gov,2,2,0,0,0,false
bernardsville.gov,2,2,0,0,0,false
berthold-nd.gov,1,1,0,0,0,false
berwynheights.granicus.com,1,1,0,0,0,false
bessemeral.org,1,0,1,0,0,false
bestiowatown.com,1,1,0,0,0,false
bethel-oh.gov,1,1,0,0,0,false
bethlehem-pa.gov,1,0,1,0,0,false
biglakemn.org,2,1,1,0,0,false
bigstonegap.org,1,1,0,0,0,false
billerica.gov,1,0,1,0,0,false
bisbeeaz.gov,1,0,1,0,0,false
blackdiamondwa.gov,2,0,2,0,0,false
blackriverfallswi.gov,1,0,1,0,0,false
blades.delaware.gov,1,1,0,0,0,false
blairne.gov,1,0,1,0,0,false
bloomfieldct.gov,4,0,4,0,0,false
bloomingtonil.gov,4,0,4,0,0,false
bloximages.chicago2.vip.townnews.com,2,1,1,0,0,false
bloximages.newyork1.vip.townnews.com,1,1,0,0,0,false
bogotaonline.org,1,1,0,0,0,false
bolivar.mo.us,1,0,1,0,0,false
bolivarwv.org,2,1,1,0,0,false
bonnersferry.id.gov,2,0,2,0,0,false
bonnersprings.org,2,1,1,0,0,false
boonegov.com,1,1,0,0,0,false
booneville-ms.gov,1,1,0,0,0,false
boonton.org,2,0,2,0,0,false
boonvillemo.org,1,0,1,0,0,false
boro.dormont.pa.us,3,3,0,0,0,false
borough.shippensburg.pa.us,2,2,0,0,0,false
boroughofambler.com,1,1,0,0,0,false
boscawennh.gov,3,3,0,0,0,false
boscobelwisconsin.com,1,1,0,0,0,false
bottineau.govoffice.com,1,1,0,0,0,false
bourne-ma.gov,4,1,3,0,0,false
bowersbeach.delaware.gov,1,1,0,0,0,false
bownh.gov,2,0,2,0,0,false
bradfordoh.com,2,2,0,0,0,false
bradfordpa.org,1,1,0,0,0,false
bradleyil.org,3,3,0,0,0,false
branford-ct.gov,3,0,3,0,0,false
brazil.in.gov,2,2,0,0,0,false
bremenga.gov,1,0,1,0,0,false
brentwoodca.gov,2,0,2,0,0,false
brentwoodmo.org,1,1,0,0,0,false
brentwoodnh.gov,1,1,0,0,0,false
brentwoodpa.gov,1,1,0,0,0,false
brentwoodtn.gov,1,0,1,0,0,false
bridgeportwashington.net,1,1,0,0,0,false
bridgeportwv.gov,1,1,0,0,0,false
bridger-mt.com,1,1,0,0,0,false
bridgetonmo.com,2,0,2,0,0,false
bridgeville.delaware.gov,2,2,0,0,0,false
bridgewater.town,2,2,0,0,0,false
bridgewatersd.com,1,0,1,0,0,false
brigantinenow.com,1,0,1,0,0,false
brightoncity.org,1,1,0,0,0,false
bristolnh.gov,1,1,0,0,0,false
bristolva.gov,2,0,2,0,0,false
bristolvt.org,1,1,0,0,0,false
brittonsd.govoffice3.com,1,1,0,0,0,false
brockportny.gov,1,1,0,0,0,false
brockportny.org,1,1,0,0,0,false
brookfieldct.gov,3,3,0,0,0,false
brookfieldil.civicweb.net,4,4,0,0,0,false
brookhavenboro.com,1,1,0,0,0,false
brooklinema.gov,3,3,0,0,0,false
brooklynct.org,3,1,2,0,0,false
brownsvilletn.gov,1,1,0,0,0,false
brownwoodtexas.gov,3,1,2,0,0,false
brunswickga.org,3,0,3,0,0,false
brunswickme.gov,1,1,0,0,0,false
bsquarebulletin.com,1,1,0,0,0,false
