verification_row_id,source_candidate_id,candidate_origin,lane_id,lane_sequence,state,region,municipality,county,source_title,source_locator_or_url,canonical_locator_before_verification,source_domain,source_family_hint,document_type_hint,candidate_quality_tier,possible_mechanism_hints,prior_seen_locator_flag,prior_verification_status,verification_status,http_status_code,redirect_count,final_canonical_locator,content_type_header,content_length_header,transport_error_type,verification_attempt_count,verification_started_at,verification_completed_at,worker_id,checkpoint_id,download_status,source_review_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes
BCV-20260728-00006,TS4L-40cd74980ac81778403f,targeted_prior_unrouted,verify_lane_001,6,NJ,Northeast,Aberdeen,,"Ordinance No. 9-2016 (PDF) — fixing the salaries and wages and fringe benefits (retroactive to Jan 1, 2016)",https://aberdeennj.org/DocumentCenter/View/409/009-2016-PDF,https://aberdeennj.org/DocumentCenter/View/409/009-2016-PDF,aberdeennj.org,cba_or_budget_pay_plan_with_explicit_compensation_mechanism,cba_or_budget_pay_plan_with_explicit_compensation_mechanism,verification_ready_low,fiscal_constraint_signal,false,,unavailable_404_410,404,0,https://aberdeennj.org/DocumentCenter/View/409/009-2016-PDF,text/html,76577,,1,2026-07-28T14:29:08Z,2026-07-28T14:29:09Z,worker_verify_lane_001,verify_lane_001-checkpoint-02112,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,HEAD-only locator metadata verification; no response body/raw headers/document content retained.
BCV-20260728-00007,B4XPAR-20260727-003085,broad_4x1000_deduped,verify_lane_001,7,VA,South,Abingdon,Washington County (51191; primary),"Town of Abingdon, VA – Personnel Manual (Revised September 2024) (Section 6: Employee Compensation / holiday pay and overtime references; Section 5: Employee Compensation categories)",https://abingdon-va.gov/wp-content/uploads/2024/11/11.4.2024-Personnel-Manual.pdf,https://abingdon-va.gov/wp-content/uploads/2024/11/11.4.2024-Personnel-Manual.pdf,abingdon-va.gov,other_local_government_pay_policy,ordinance_or_policy,pending_combined_review,market_or_comparability_pressure;non_safety_constraint_signal,false,,unavailable_404_410,404,1,https://abingdon-va.gov/wp-content/uploads/2024/11/11.4.2024-Personnel-Manual.pdf,text/html,245638,,1,2026-07-28T14:08:06Z,2026-07-28T14:08:12Z,worker_verify_lane_001,verify_lane_001-checkpoint-00693,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,HEAD-only locator metadata verification; no response body/raw headers/document content retained.
BCV-20260728-00011,B4XPAR-20260727-000517,broad_4x1000_deduped,verify_lane_001,11,CT,Northeast,Portland,Lower Connecticut River Valley Planning Region (09130; primary),"Collective Bargaining Agreement (Town of Portland and Portland Police Local #2693N / Council #4, AFSCME)",https://www.acluct.org/sites/default/files/portland_cba_6-21.pdf,https://acluct.org/sites/default/files/portland_cba_6-21.pdf,acluct.org,cba,cba,pending_combined_review,,false,,unavailable_404_410,404,0,https://acluct.org/sites/default/files/portland_cba_6-21.pdf,text/html,11967,,1,2026-07-28T13:59:28Z,2026-07-28T13:59:33Z,worker_verify_lane_001,verify_lane_001-checkpoint-00119,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,HEAD-only locator metadata verification; no response body/raw headers/document content retained.
BCV-20260728-00013,B4XPAR-20260727-000544,broad_4x1000_deduped,verify_lane_001,13,MA,Northeast,Acton,Middlesex County (25017; primary),Acton Permanent Firefighters Local 1904 CBA/MOAS FY17-25,https://www.acton-ma.gov/DocumentCenter/View/3616/Acton-Permanent-Firefighters-Local-1904-CBAMOAS-FY17-25,https://acton-ma.gov/DocumentCenter/View/3616/Acton-Permanent-Firefighters-Local-1904-CBAMOAS-FY17-25,acton-ma.gov,wage_schedule,cba,pending_combined_review,,false,,unavailable_404_410,404,0,https://acton-ma.gov/DocumentCenter/View/3616/Acton-Permanent-Firefighters-Local-1904-CBAMOAS-FY17-25,text/html,87705,,1,2026-07-28T13:59:35Z,2026-07-28T13:59:37Z,worker_verify_lane_001,verify_lane_001-checkpoint-00127,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,HEAD-only locator metadata verification; no response body/raw headers/document content retained.
BCV-20260728-00014,TS4L-00743ad92570fd35e1f0,targeted_prior_unrouted,verify_lane_001,14,MA,Northeast,Acton,,"Town of Acton, Massachusetts — Town Manager’s Recommended Fiscal Year 2022 Municipal Operating Budget and Capital Plan (PDF)",https://actonma.gov/DocumentCenter/View/6857,https://actonma.gov/DocumentCenter/View/6857,actonma.gov,cba_or_budget_pay_plan_with_explicit_compensation_mechanism,cba_or_budget_pay_plan_with_explicit_compensation_mechanism,verification_ready_low,fiscal_constraint_signal,false,,unavailable_404_410,404,0,https://actonma.gov/DocumentCenter/View/6857,text/html,87644,,1,2026-07-28T14:28:18Z,2026-07-28T14:28:18Z,worker_verify_lane_001,verify_lane_001-checkpoint-02043,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,HEAD-only locator metadata verification; no response body/raw headers/document content retained.
BCV-20260728-00021,BSSC-20260727-00116,broad_490_preserved_review_queue,verify_lane_001,21,CA,West,Albany,,"City of Albany Salary Schedule (Effective 10/13/2025) — FY 2023-24, FY 2024-25, and FY 2025-26 classifications",https://www.albanyca.gov/files/assets/city/v/4/human-resources/documents/salary-schedule-effective-10-13-2025_final.pdf,https://albanyca.gov/files/assets/city/v/4/human-resources/documents/salary-schedule-effective-10-13-2025_final.pdf,albanyca.gov,budget_or_pay_plan,wage_schedule_or_compensation_plan,medium_candidate,non_safety_constraint_signal,false,,unavailable_other_status,403,0,https://albanyca.gov/files/assets/city/v/4/human-resources/documents/salary-schedule-effective-10-13-2025_final.pdf,text/html,524,,1,2026-07-28T14:21:49Z,2026-07-28T14:21:54Z,worker_verify_lane_001,verify_lane_001-checkpoint-01614,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,HEAD-only locator metadata verification; no response body/raw headers/document content retained.
BCV-20260728-00022,B4XPAR-20260727-004679,broad_4x1000_deduped,verify_lane_001,22,NC,South,Albemarle,Stanly County (37167; primary),"City of Albemarle - Salary Schedule 2024/2025 (Effective July 1, 2024)",https://www.albemarlenc.gov/home/showpublisheddocument/5006/638569795694000000,https://albemarlenc.gov/home/showpublisheddocument/5006/638569795694000000,albemarlenc.gov,wage_schedule,wage_schedule_or_compensation_plan,pending_combined_review,,false,,unavailable_other_status,403,0,https://albemarlenc.gov/home/showpublisheddocument/5006/638569795694000000,text/html,433,,1,2026-07-28T14:13:18Z,2026-07-28T14:13:24Z,worker_verify_lane_001,verify_lane_001-checkpoint-01046,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,HEAD-only locator metadata verification; no response body/raw headers/document content retained.
BCV-20260728-00027,TS4L-d5d481574f306bc4b16a,targeted_prior_unrouted,verify_lane_001,27,AL,South,Alexander City,,Exhibit D for Resolution 22-84 (Pay Scale) | City of Alexander City,https://www.alexandercityal.gov/media/15461,https://alexandercityal.gov/media/15461,alexandercityal.gov,cba_or_compensation_study_or_classification_study_or_wage_schedule,cba_or_compensation_study_or_classification_study_or_wage_schedule,verification_ready_low,market_or_comparability_pressure,false,,unavailable_other_status,403,0,https://alexandercityal.gov/media/15461,text/html,not_reported,,1,2026-07-28T14:28:43Z,2026-07-28T14:28:43Z,worker_verify_lane_001,verify_lane_001-checkpoint-02075,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,HEAD-only locator metadata verification; no response body/raw headers/document content retained.
BCV-20260728-00028,B4XPAR-20260727-002369,broad_4x1000_deduped,verify_lane_001,28,NH,Northeast,Allenstown,Merrimack County (33013; primary),"Report: Salary Survey and Compensation Analysis Study (Prepared by Municipal Resources, Inc.)",https://www.allenstownnh.gov/DocumentCenter/View/286/Report---Allenstown-Salary-Survey-Compensation-Analysis-Study-11-2024---Final,https://allenstownnh.gov/DocumentCenter/View/286/Report---Allenstown-Salary-Survey-Compensation-Analysis-Study-11-2024---Final,allenstownnh.gov,budget_or_pay_plan,wage_schedule_or_compensation_plan,pending_combined_review,strike_or_no_strike_constraint;non_safety_constraint_signal,false,,unavailable_404_410,404,0,https://allenstownnh.gov/DocumentCenter/View/286/Report---Allenstown-Salary-Survey-Compensation-Analysis-Study-11-2024---Final,text/html,71496,,1,2026-07-28T14:05:27Z,2026-07-28T14:05:28Z,worker_verify_lane_001,verify_lane_001-checkpoint-00524,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,HEAD-only locator metadata verification; no response body/raw headers/document content retained.
BCV-20260728-00034,B4XPAR-20260727-001555,broad_4x1000_deduped,verify_lane_001,34,OR,West,Amity,Yamhill County (41071; primary),"Minutes — Regular Meeting of the Council (June 7, 2023): Collective Bargaining Agreement with LIUNA Local 737 and Resolution 2023-14 Employee Compensation",https://www.amityoregon.gov/media/66,https://amityoregon.gov/media/66,amityoregon.gov,agenda_packet_or_minutes,meeting_minutes,pending_combined_review,non_safety_constraint_signal,false,,unavailable_other_status,403,0,https://amityoregon.gov/media/66,text/html,not_reported,,1,2026-07-28T14:02:58Z,2026-07-28T14:03:02Z,worker_verify_lane_001,verify_lane_001-checkpoint-00351,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,HEAD-only locator metadata verification; no response body/raw headers/document content retained.
