verification_row_id,source_candidate_id,candidate_origin,lane_id,lane_sequence,state,region,municipality,county,source_title,source_locator_or_url,canonical_locator_before_verification,source_domain,source_family_hint,document_type_hint,candidate_quality_tier,possible_mechanism_hints,prior_seen_locator_flag,prior_verification_status,verification_status,http_status_code,redirect_count,final_canonical_locator,content_type_header,content_length_header,transport_error_type,verification_attempt_count,verification_started_at,verification_completed_at,worker_id,checkpoint_id,download_status,source_review_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes
BCV-20260728-07224,B4XPAR-20260727-000009,broad_4x1000_deduped,verify_lane_004,794,IA,Midwest,Clear Lake,Cerro Gordo County (19033; primary),"Employment Appeal Board (EAB) - City of Clear Lake, Iowa and Clear Lake Public Employment Agency (public employment relations board order)",https://eab.iowa.gov/media/225/download?inline=,https://eab.iowa.gov/media/225/download,eab.iowa.gov,unknown_or_needs_review,index_page,pending_combined_review,,false,,verification_not_run,,,,,,,0,,,worker_verify_lane_004,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=unclear; occupation_hint=unclear.
BCV-20260728-07183,B4XPAR-20260727-000011,broad_4x1000_deduped,verify_lane_004,753,IA,Midwest,Denison,Crawford County (19047; primary),"City Council Meetings – Denison, IA (index / landing page for downloading agendas/minutes)",https://denisonia.com/?page_id=832,https://denisonia.com,denisonia.com,wage_schedule,index_page,pending_combined_review,,false,,verification_not_run,,,,,,,0,,,worker_verify_lane_004,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=unknown; occupation_hint=unknown.
BCV-20260728-06801,B4XPAR-20260727-000021,broad_4x1000_deduped,verify_lane_004,371,IA,Midwest,Iowa Falls,Hardin County (19083; primary),Meeting Agendas & Minutes listing page (City of Iowa Falls),https://www.cityofiowafalls.com/meeting-agendas--minutes.html,https://cityofiowafalls.com/meeting-agendas--minutes.html,cityofiowafalls.com,agenda_packet_or_minutes,index_page,pending_combined_review,,false,,verification_not_run,,,,,,,0,,,worker_verify_lane_004,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=unclear; occupation_hint=unclear.
BCV-20260728-07037,B4XPAR-20260727-000026,broad_4x1000_deduped,verify_lane_004,607,IA,Midwest,Mitchellville,Polk County (19153; primary); Jasper County (19099),"City of Mitchellville Code of Ordinances, Chapter 35 Fire Department, Section 35.05 Compensation",https://codelibrary.amlegal.com/codes/mitchellville/latest/mitchellville_ia/0-0-0-752,https://codelibrary.amlegal.com/codes/mitchellville/latest/mitchellville_ia/0-0-0-752,codelibrary.amlegal.com,other_local_government_pay_policy,ordinance_or_policy,pending_combined_review,strike_or_no_strike_constraint,false,,verification_not_run,,,,,,,0,,,worker_verify_lane_004,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=fire; occupation_hint=fire.
BCV-20260728-07916,B4XPAR-20260727-000030,broad_4x1000_deduped,verify_lane_004,1486,IA,Midwest,New Hampton,Chickasaw County (19037; primary),City Council Agenda 6.3.24 (includes reference to Local Union #2003 signed labor agreement with 3-year scheduled wage increases),https://www.newhamptonia.com/wp-content/uploads/2024/05/City-Council-Agenda-6.3.24.pdf,https://newhamptonia.com/wp-content/uploads/2024/05/City-Council-Agenda-6.3.24.pdf,newhamptonia.com,agenda_packet_or_minutes,agenda_cover_sheet,pending_combined_review,non_safety_constraint_signal,false,,verification_not_run,,,,,,,0,,,worker_verify_lane_004,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=unclear; occupation_hint=unclear.
BCV-20260728-08554,B4XPAR-20260727-000037,broad_4x1000_deduped,verify_lane_004,2124,IA,Midwest,Winterset,Madison County (19121; primary),"City Council Resolution No. 2026-13 Approving The Tentative Collective Bargaining Agreement Between The City Of Winterset, Iowa And Teamsters Local 238",https://www.winterset.gov/AgendaCenter/ViewFile/Minutes/_03022026-350,https://winterset.gov/AgendaCenter/ViewFile/Minutes/_03022026-350,winterset.gov,agenda_packet_or_minutes,agenda_cover_sheet,pending_combined_review,,false,,verification_not_run,,,,,,,0,,,worker_verify_lane_004,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=unclear; occupation_hint=unclear.
BCV-20260728-06509,B4XPAR-20260727-000039,broad_4x1000_deduped,verify_lane_004,79,IL,Midwest,Barrington,Cook County (17031; primary); Lake County (17097),FOP Agreement 2023 thru 2025 PD and FOP MOUs and Uniforms (Uniforms 2024 included),https://www.barrington-il.gov/wp-content/uploads/2024/12/FOP-Agreement-2023-thru-2025-PD-and-FOP-MOUs-Uniforms-2024.pdf,https://barrington-il.gov/wp-content/uploads/2024/12/FOP-Agreement-2023-thru-2025-PD-and-FOP-MOUs-Uniforms-2024.pdf,barrington-il.gov,wage_schedule,cba,pending_combined_review,,false,,verification_not_run,,,,,,,0,,,worker_verify_lane_004,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=police; occupation_hint=police.
BCV-20260728-06538,B4XPAR-20260727-000043,broad_4x1000_deduped,verify_lane_004,108,IL,Midwest,Bensenville,DuPage County (17043; primary); Cook County (17031),Police Contract (Metropolitan Alliance of Police – Bensenville Police Chapter #165 (Patrol)) (Wage Schedule Appendix A),https://bensenville.gov/DocumentCenter/View/7345/Police-Contract-2010-2012,https://bensenville.gov/DocumentCenter/View/7345/Police-Contract-2010-2012,bensenville.gov,wage_schedule,cba,pending_combined_review,,false,,verification_not_run,,,,,,,0,,,worker_verify_lane_004,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=police; occupation_hint=police.
BCV-20260728-06732,B4XPAR-20260727-000046,broad_4x1000_deduped,verify_lane_004,302,IL,Midwest,Centralia,Marion County (17121; primary); Clinton County (17027); Jefferson County (17081); Washington County (17189),City Council Agenda (resolution) — collective bargaining agreement with Fraternal Order of Police Union #229,https://www.cityofcentralia.org/media/9111,https://cityofcentralia.org/media/9111,cityofcentralia.org,agenda_packet_or_minutes,agenda_cover_sheet,pending_combined_review,,false,,verification_not_run,,,,,,,0,,,worker_verify_lane_004,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=police; occupation_hint=police.
BCV-20260728-06733,B4XPAR-20260727-000050,broad_4x1000_deduped,verify_lane_004,303,IL,Midwest,Centralia,Marion County (17121; primary); Clinton County (17027); Jefferson County (17081); Washington County (17189),"Public Disclosure of ""Total Compensation"" over $75,000 per Year (Illinois Public Act 97-0609) — projection of 2026 salaries and wages",https://www.cityofcentralia.org/media/8746,https://cityofcentralia.org/media/8746,cityofcentralia.org,budget_or_pay_plan,insufficient_source,pending_combined_review,non_safety_constraint_signal,false,,verification_not_run,,,,,,,0,,,worker_verify_lane_004,,not_downloaded,not_source_reviewed,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,Candidate metadata only; unit_hint=non_safety; occupation_hint=non_safety.
