state,verification_rows,verified_reachable,unavailable,blocked_or_timeout,verification_error,global_analysis_readiness
AK,54,39,10,5,0,false
AL,115,78,34,3,0,false
AR,83,56,26,1,0,false
AZ,112,71,38,3,0,false
CA,303,138,158,5,0,false
CO,106,62,43,1,0,false
CT,198,90,102,6,0,false
DE,41,40,1,0,0,false
FL,132,62,61,8,0,false
GA,134,100,32,2,0,false
IA,121,97,22,2,0,false
ID,77,55,18,4,0,false
IL,322,204,114,4,0,false
IN,152,121,30,1,0,false
KS,112,75,35,1,0,false
KY,124,84,39,1,0,false
LA,109,90,10,9,0,false
MA,282,77,205,0,0,false
MD,94,55,39,0,0,false
ME,140,108,32,0,0,false
MI,230,155,71,4,0,false
MN,150,118,27,5,0,false
MO,140,80,60,0,0,false
MS,29,22,3,4,0,false
MT,90,72,15,3,0,false
NC,144,96,46,2,0,false
ND,80,74,4,2,0,false
NE,101,76,23,2,0,false
NH,149,59,81,9,0,false
NJ,211,121,90,0,0,false
NM,60,46,10,4,0,false
NV,13,12,1,0,0,false
NY,188,136,52,0,0,false
OH,190,157,32,1,0,false
OK,125,76,45,4,0,false
OR,111,53,54,4,0,false
PA,236,161,73,1,1,false
RI,75,47,28,0,0,false
SC,89,73,16,0,0,false
SD,90,72,12,6,0,false
TN,98,72,25,1,0,false
TX,199,115,83,1,0,false
UT,130,98,27,5,0,false
VA,123,73,45,5,0,false
VT,111,84,27,0,0,false
WA,164,90,69,5,0,false
WI,161,118,41,2,0,false
WV,75,49,25,1,0,false
WY,57,49,5,3,0,false
