original_path,size_bytes,file_count,sha256,removed_at,classification,safety_basis,preserved_reference
.pytest_cache,1842,5,f1737a645d9b8cd2086ca03e4598192a2a1f0c5c83356237aec1eb1ec23a7e3f,2026-08-03T17:47:50.329069+00:00,removal_candidate_cache,reproducible interpreter/test cache outside canonical evidence and provenance roots,
docs/dashboard/.pytest_cache,532,4,909f69eceb0aefa77b7f312e92eeb4290cfe95cd5ce0b9c27a7d2aec705dd401,2026-08-03T17:47:50.330207+00:00,removal_candidate_cache,reproducible interpreter/test cache outside canonical evidence and provenance roots,
ingest/__pycache__,92668,7,48d01b44534709c6d50f880c2883be5989c07e7de25cff004fe6e99349e088e8,2026-08-03T17:47:50.332703+00:00,removal_candidate_cache,reproducible interpreter/test cache outside canonical evidence and provenance roots,
scripts/__pycache__,14090220,280,4acaeef65bd23cf16e7b6ae430b4a245f1fd16641b158e085639db7e255b265e,2026-08-03T17:47:50.489924+00:00,removal_candidate_cache,reproducible interpreter/test cache outside canonical evidence and provenance roots,
tmp/agent_relay_bundle_2026-07-14_184016,1258447,14,f62c31df29ac15e29326c7065fa3ca7daf8fb2af67c77349d13cb9588898d81a,2026-08-03T17:47:50.502271+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/agent_relay_bundle_2026-07-14_184016.zip
tmp/agent_relay_bundle_2026-07-14_205538,1286266,20,2aaeca43a216dcec379237e1eab874f0420502da46fcc62cf891e56d0e13644f,2026-08-03T17:47:50.515192+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/agent_relay_bundle_2026-07-14_205538.zip
tmp/agent_relay_bundle_2026-07-14_225015,1251129,19,fb3ca8f9a185ea71332f7f594cbfc09f7099289a8414502d72118b89d8a5015d,2026-08-03T17:47:50.527229+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/agent_relay_bundle_2026-07-14_225015.zip
tmp/aggressive_3x300_attempt2_live_collection_relay_2026-07-23_18c3415,4262844,47,b1a9a8e8a6494303f4b75d9b4885882888734e37ec14b7ffd066ab7a811f9e64,2026-08-03T17:47:50.554554+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/aggressive_3x300_attempt2_live_collection_relay_2026-07-23_18c3415.zip
tmp/aggressive_3x300_attempt3_live_collection_relay_2026-07-23_27d3cd2,27638431,107,fbd06e675b1af090de357bcfb7b58c60a9c74b22692426509ea831ee5b5d5068,2026-08-03T17:47:50.649884+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/aggressive_3x300_attempt3_live_collection_relay_2026-07-23_27d3cd2.zip
tmp/aggressive_3x300_attempt3_serial_merge_relay_2026-07-23_98ad608,49267988,79,7674f7c6444a1fa799834fbf86f01e4b581671ff842fadf48e5686d97432883d,2026-08-03T17:47:50.771239+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/aggressive_3x300_attempt3_serial_merge_relay_2026-07-23_98ad608.zip
tmp/aggressive_3x300_live_collection_relay_2026-07-23_dcf3cd5,12539886,85,fdd8cd78f5981e4c9f67b15f33f08d0a3942cb26c83ca416b262c9480ba02fd7,2026-08-03T17:47:50.823880+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/aggressive_3x300_live_collection_relay_2026-07-23_dcf3cd5.zip
tmp/aggressive_3x300_parallel_round_prep_relay_2026-07-23_663ffaf,4539659,65,048367cc941ed3ba83905353564d37bcebb163626e525fa971978fb3865df0f9,2026-08-03T17:47:50.914938+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/aggressive_3x300_parallel_round_prep_relay_2026-07-23_663ffaf.zip
tmp/bounded_internal_mechanism_linkage_claim_memo_relay_2026-07-26_fb3ec07,73662,26,d936545906517699cae5106835d88ebe9444035341acaaa937564bf6fc8177cd,2026-08-03T17:47:50.928067+00:00,removal_candidate_duplicate,directory is a byte-for-byte verified expansion of a preserved relay ZIP,tmp/bounded_internal_mechanism_linkage_claim_memo_relay_2026-07-26_fb3ec07.zip
