path,size_bytes,git_status,tracked_or_ignored,classification,proposed_action,safety_basis,active_reference_count,manifest_or_hash_coverage,archive_target_path,deletion_allowed_flag,requires_manual_confirmation_flag,reason,verification_kind,verification_reference,sha256
.pytest_cache,1842,,ignored,removal_candidate_cache,remove,reproducible interpreter/test cache outside canonical evidence and provenance roots,0,True,,True,False,reproducible cache,tree_sha256,,f1737a645d9b8cd2086ca03e4598192a2a1f0c5c83356237aec1eb1ec23a7e3f
docs/analysis/text_table_calibration/TEXT-TABLE-INDEPENDENT-ADJUDICATION-PREP1-2026-07-24/rendered_pages,106889932,,untracked,preserve_ambiguous,no_action,user explicitly authorized continuation only if this pre-existing untracked path remains untouched,0,False,,False,True,user-confirmed preserve-ambiguous exception,none,,
docs/dashboard/.pytest_cache,532,,ignored,removal_candidate_cache,remove,reproducible interpreter/test cache outside canonical evidence and provenance roots,0,True,,True,False,reproducible cache,tree_sha256,,909f69eceb0aefa77b7f312e92eeb4290cfe95cd5ce0b9c27a7d2aec705dd401
ingest/__pycache__,92668,,ignored,removal_candidate_cache,remove,reproducible interpreter/test cache outside canonical evidence and provenance roots,0,True,,True,False,reproducible cache,tree_sha256,,48d01b44534709c6d50f880c2883be5989c07e7de25cff004fe6e99349e088e8
package-lock.json,92,??,untracked,preserve_ambiguous,no_action,user explicitly authorized continuation only if this pre-existing untracked path remains untouched,0,False,,False,True,user-confirmed preserve-ambiguous exception,none,,
scripts/__pycache__,14090220,,ignored,removal_candidate_cache,remove,reproducible interpreter/test cache outside canonical evidence and provenance roots,0,True,,True,False,reproducible cache,tree_sha256,,4acaeef65bd23cf16e7b6ae430b4a245f1fd16641b158e085639db7e255b265e
tmp/2024_Gaz_counties_national.zip,141679,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/2024_Gaz_cousubs_national.zip,1491107,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/COMPENSATION-EVIDENCE-PIPELINE-HARDENING-READINESS-ACCELERATOR-2026-07-25-partial-prompt-validator-stop,21097981,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/COMPENSATION-EVIDENCE-PIPELINE-HARDENING-READINESS-ACCELERATOR-2026-07-25-pre-bug-report-refresh,21105928,,ignored,preserve_ambiguous,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/agent_relay_bundle_2026-07-14_184016,1258447,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/agent_relay_bundle_2026-07-14_184016.zip,f62c31df29ac15e29326c7065fa3ca7daf8fb2af67c77349d13cb9588898d81a
tmp/agent_relay_bundle_2026-07-14_184016.zip,329098,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/agent_relay_bundle_2026-07-14_205538,1286266,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/agent_relay_bundle_2026-07-14_205538.zip,2aaeca43a216dcec379237e1eab874f0420502da46fcc62cf891e56d0e13644f
tmp/agent_relay_bundle_2026-07-14_205538.zip,351529,,ignored,preserve_provenance,no_action,conservative archive-first policy; no exact safe-removal proof,0,False,,False,True,left untouched pending a later explicit cleanup decision,none,,
tmp/agent_relay_bundle_2026-07-14_225015,1251129,,ignored,removal_candidate_duplicate,remove,directory is a byte-for-byte verified expansion of a preserved relay ZIP,0,True,,True,False,preserved ZIP provides exact file-set and content duplicate,exact_zip_expansion,tmp/agent_relay_bundle_2026-07-14_225015.zip,fb3ca8f9a185ea71332f7f594cbfc09f7099289a8414502d72118b89d8a5015d
