pdf_sha256,artifact_pointer,page_number,approved_page,page_access_status,pdf_page_count,text_layer_char_count,qualitative_row_count,error_type_sanitized,ocr_used,rendered_image_used,page_text_persisted
004728d9c40340e5e1f360115441494a8106cc20b2c18330d50bb8f2b34023a4,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0356_sr_cff2f5cf629ccd10c0e046e1.pdf,20,true,text_layer_present,43,1571,5,,false,false,false
00b18e53adf01117a45587052bca32508fce0f00602702bbbe39e91b0c29488a,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0267_sr_2bd2a81bb9971c016197a665.pdf,20,true,text_layer_present,43,1578,5,,false,false,false
00fad2a5724eb510c2923fba3284f0311faf277a415507246ee657b4f3468725,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0215_sr_4df4fd624fdf69f3a89531f7.pdf,19,true,text_layer_present,43,2063,2,,false,false,false
00fad2a5724eb510c2923fba3284f0311faf277a415507246ee657b4f3468725,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0215_sr_4df4fd624fdf69f3a89531f7.pdf,20,true,text_layer_present,43,2613,3,,false,false,false
019cd0de5412a55e4cb04317489668b83b796d3e737cc26648e278c09b4fff9b,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0228_sr_5039622b1a95ae9951f81695.pdf,19,true,text_layer_present,80,2095,1,,false,false,false
01d215bec04ae7f5e0c1ba01771037d30b7849f126dc6d08e42bf564c67df5ed,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0329_sr_e755a4173013eaaf7fa59308.pdf,12,true,text_layer_present,19,2835,1,,false,false,false
01fa68c6202e49f8b608c93b83d90734b9da6eb97677a469461155c8414b9927,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0173_sr_fba5f85224d6a7f9693c7314.pdf,9,true,text_layer_present,71,2894,2,,false,false,false
024a882c6805d083884eab65acea7b545fda4e0715d3401ed0c2ac08e5e714db,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0459_sr_8de8098f7bc623f4c9ee9182.pdf,1,true,text_layer_present,26,2347,1,,false,false,false
024a882c6805d083884eab65acea7b545fda4e0715d3401ed0c2ac08e5e714db,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0459_sr_8de8098f7bc623f4c9ee9182.pdf,3,true,text_layer_present,26,1944,1,,false,false,false
0253918a2b7acb4548181869dc668c25c2400c2c4b350f45a832230d2a3c0aa0,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0293_sr_5de4accce7bb542db4b24bac.pdf,12,true,text_layer_present,46,2951,1,,false,false,false
