quantitative_observation_id,extraction_case_id,mixed_join_key,document_identity_id,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,page_number,compensation_type,occupation_unit_classification_rank,rate_value,salary_value,hourly_rate,annual_salary,pay_band,step,grade,percentage_increase,effective_date,currency_or_unit,bounded_evidence_pointer,confidence,reason_code,qa_status,cumulative_cohort,source_seed_observation_id,qa_original_status,qa_resolution_classification,qa_resolution_status,canonical_observation_id,duplicate_of,active_in_provisional_lane,targeted_qa_resolution_ids,targeted_qa_resolution_classification,targeted_qa_resolution_status,targeted_qa_reason_codes,targeted_qa_source_observation_id,active_in_qa_corrected_lane,readable_conflict_qa_resolution_id,readable_conflict_qa_classification,readable_conflict_qa_status,readable_conflict_qa_reason_codes,readable_conflict_qa_source_observation_id,active_in_readable_conflict_qa_lane,raw_retained_content_hash,pdf_readiness_id,controlled_occupation_class,occupation_class_bridge_status,source_type_bridge,source_corpus_bridge,source_cite_bridge,retrieval_date_bridge,retrieval_method_bridge,artifact_pointer_bridge,contract_period_start_bridge,contract_period_end_bridge,negotiation_cycle_id,city_unit_negotiation_cycle_key,matched_set_id,identity_bridge_status,analysis_matching_status,current_active,current_qa_status,current_qa_status_source,mixed_membership_status,normalized_scalar_value,normalized_range_minimum,normalized_range_maximum,normalized_currency,normalized_frequency,normalized_wage_concept,annualization_status,normalized_effective_date,effective_date_parse_status,quantitative_transformation_reason_code,analysis_candidate_eligible,analysis_promotion_eligible,analysis_quarantine_reasons,unresolved_conflict_resolution_id,followup_cycle_bridge_status,followup_cycle_source_fields,followup_occupation_bridge_status,followup_occupation_support_fields,followup_retrieval_bridge_status,followup_retrieval_support_fields,followup_normalized_effective_date,followup_effective_date_parse_status,followup_analysis_candidate_eligible,followup_analysis_quarantine_reasons,followup_parse_improvement_reason_code
qobs_cb78147efffe3fe28737b910,cex_00d23c20e9f720f5d87d42d1,mix_fc600f8ba250d050857f7134,doc_7a78484a1766689334ac6ae8,ttd_7b1876cfb898d2995dbe9c63,sr_f37d0cfb4d8b1c9f28a3ae8f,NSCQ-AK-20260720-0006,AK,Fairbanks,CITY OF FAIRBANKS,non_safety,wage_schedule_or_compensation_plan,,,3,hourly_rate,,$46.96 to $48.99,,$46.96 to $48.99,,,,,,,per hour (package rate),tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0489_sr_f37d0cfb4d8b1c9f28a3ae8f.pdf#page=3,medium,FISCAL_NOTE_SALARY_DETAIL_EXPRESSED_AS_S,provisional_unverified,corrected_500_seed,qobs_cb78147efffe3fe28737b910,provisional_unverified,not_in_targeted_queue,not_applicable,qobs_cb78147efffe3fe28737b910,,true,,not_in_targeted_queue,not_applicable,,qobs_cb78147efffe3fe28737b910,true,,not_in_targeted_queue,not_applicable,,qobs_cb78147efffe3fe28737b910,true,4f9bede56759e4d77fda828feda3c131418d2842ebe2156a2080a5545d73dad9,pr_86ef6181d6e403990a26a00d,,quarantined_no_controlled_explicit_label,wage_schedule_or_compensation_plan,causal,https://files.aptuitivcdn.com/K9gxWNkmZ2-1856/docs/ordinances/ord_6241_amending_schedule_a_of_city_afl-cio_crafts_council_cba.pdf.pdf,2026-07-24,public_download,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0489_sr_f37d0cfb4d8b1c9f28a3ae8f.pdf,2023-02-16,2025-12-31,cycle_d63a5068ead5c6ee83ed96a0,cuc_8b9e012ab763da011cee8d90,,complete_one_to_one,exact_period_unmatched,true,provisional_unverified,qa_status,active,,46.96,48.99,USD,hourly,hourly_rate,not_performed,,blank,exact_range_preserved_not_scalarized,true,false,,,established_single_exact_pair,candidate_queue.contract_years_scouted|candidate_queue.visible_year_evidence,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,,blank,true,,prior_parse_preserved
qobs_acd7d59aaab55c8d142375c6,cex_00d23c20e9f720f5d87d42d1,mix_fc600f8ba250d050857f7134,doc_7a78484a1766689334ac6ae8,ttd_7b1876cfb898d2995dbe9c63,sr_f37d0cfb4d8b1c9f28a3ae8f,NSCQ-AK-20260720-0006,AK,Fairbanks,CITY OF FAIRBANKS,non_safety,wage_schedule_or_compensation_plan,,,3,other,,,"$4,230 annual cost",,"$4,230",,,,,,annual cost (as stated),tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0489_sr_f37d0cfb4d8b1c9f28a3ae8f.pdf#page=3,low,ANNUAL_COST_STATED_WITHOUT_VERBATIM_UNIT,needs_review,corrected_500_seed,qobs_acd7d59aaab55c8d142375c6,needs_review,not_in_targeted_queue,not_applicable,qobs_acd7d59aaab55c8d142375c6,,true,,not_in_targeted_queue,not_applicable,,qobs_acd7d59aaab55c8d142375c6,true,,not_in_targeted_queue,not_applicable,,qobs_acd7d59aaab55c8d142375c6,true,4f9bede56759e4d77fda828feda3c131418d2842ebe2156a2080a5545d73dad9,pr_86ef6181d6e403990a26a00d,,quarantined_no_controlled_explicit_label,wage_schedule_or_compensation_plan,causal,https://files.aptuitivcdn.com/K9gxWNkmZ2-1856/docs/ordinances/ord_6241_amending_schedule_a_of_city_afl-cio_crafts_council_cba.pdf.pdf,2026-07-24,public_download,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0489_sr_f37d0cfb4d8b1c9f28a3ae8f.pdf,2023-02-16,2025-12-31,cycle_d63a5068ead5c6ee83ed96a0,cuc_8b9e012ab763da011cee8d90,,complete_one_to_one,exact_period_unmatched,true,needs_review,qa_status,active,4230,,,USD,annual,annual_salary,not_performed,,blank,other_resolved_by_single_explicit_typed_field,true,false,,,established_single_exact_pair,candidate_queue.contract_years_scouted|candidate_queue.visible_year_evidence,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,,blank,true,,prior_parse_preserved
qobs_24d4b840799b0808ad196e9e,cex_00d23c20e9f720f5d87d42d1,mix_fc600f8ba250d050857f7134,doc_7a78484a1766689334ac6ae8,ttd_7b1876cfb898d2995dbe9c63,sr_f37d0cfb4d8b1c9f28a3ae8f,NSCQ-AK-20260720-0006,AK,Fairbanks,CITY OF FAIRBANKS,non_safety,wage_schedule_or_compensation_plan,,,4,hourly_rate,,$48.99,,$48.99,,,,,,,per hour (starting package rate),tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0489_sr_f37d0cfb4d8b1c9f28a3ae8f.pdf#page=4,medium,LOA_NEGOTIATED_STARTING_PACKAGE_RATE,provisional_unverified,corrected_500_seed,qobs_24d4b840799b0808ad196e9e,provisional_unverified,not_in_targeted_queue,not_applicable,qobs_24d4b840799b0808ad196e9e,,true,,not_in_targeted_queue,not_applicable,,qobs_24d4b840799b0808ad196e9e,true,,not_in_targeted_queue,not_applicable,,qobs_24d4b840799b0808ad196e9e,true,4f9bede56759e4d77fda828feda3c131418d2842ebe2156a2080a5545d73dad9,pr_86ef6181d6e403990a26a00d,,quarantined_no_controlled_explicit_label,wage_schedule_or_compensation_plan,causal,https://files.aptuitivcdn.com/K9gxWNkmZ2-1856/docs/ordinances/ord_6241_amending_schedule_a_of_city_afl-cio_crafts_council_cba.pdf.pdf,2026-07-24,public_download,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0489_sr_f37d0cfb4d8b1c9f28a3ae8f.pdf,2023-02-16,2025-12-31,cycle_d63a5068ead5c6ee83ed96a0,cuc_8b9e012ab763da011cee8d90,,complete_one_to_one,exact_period_unmatched,true,provisional_unverified,qa_status,active,48.99,,,USD,hourly,hourly_rate,not_performed,,blank,exact_scalar_token,true,false,,,established_single_exact_pair,candidate_queue.contract_years_scouted|candidate_queue.visible_year_evidence,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,,blank,true,,prior_parse_preserved
qobs_effc92e9600904c49041ca40,cex_a873bae3a7a05fe3314754fe,,doc_474dfb0b52bf507b6373bf5b,ttd_392f5825dab994f222f80bc2,sr_a7e1de777ac8369111c110dd,NSCQ-AZ-20260720-0005,AZ,Mesa,CITY OF MESA,non_safety,wage_schedule_or_compensation_plan,,,1,annual_salary,ACCOUNT CLERK (FuncFLSA 3539; EEO4 OFF),,,,42079.02,078,,,,06/29/26,Min Amount,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0496_sr_a7e1de777ac8369111c110dd.pdf#page=1,medium,JC_DATE_06_29_26_MIN_MAX_AMOUNTS_LISTING,provisional_unverified,corrected_500_seed,qobs_effc92e9600904c49041ca40,provisional_unverified,not_in_targeted_queue,not_applicable,qobs_effc92e9600904c49041ca40,,true,,not_in_targeted_queue,not_applicable,,qobs_effc92e9600904c49041ca40,true,,not_in_targeted_queue,not_applicable,,qobs_effc92e9600904c49041ca40,true,fb4c986a9153478f208b74a38aa9dba155421203c15f92238ad0bc72b5e7ffcf,pr_14c7a8e620c9d29a2fb152a3,,quarantined_no_controlled_explicit_label,wage_schedule_or_compensation_plan,causal,https://apps.mesaaz.gov/jobdescriptions/Documents/PayPlans/AlphabeticalListing.pdf,2026-07-24,public_download,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0496_sr_a7e1de777ac8369111c110dd.pdf,,,,,,complete_one_to_one,incomplete_or_ambiguous_cycle,true,provisional_unverified,qa_status,none,42079.02,,,,annual,annual_salary,not_performed,,unparsed_or_ambiguous,exact_scalar_token,false,false,effective_date_not_exactly_parseable,,quarantined_no_exact_full_date_pair,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,2026-06-29,exact_expanded_token,true,,exact_expanded_effective_date_token
qobs_f784c2837a9452757824d3ad,cex_a873bae3a7a05fe3314754fe,,doc_474dfb0b52bf507b6373bf5b,ttd_392f5825dab994f222f80bc2,sr_a7e1de777ac8369111c110dd,NSCQ-AZ-20260720-0005,AZ,Mesa,CITY OF MESA,non_safety,wage_schedule_or_compensation_plan,,,1,annual_salary,ACCOUNT CLERK - PT (FuncFLSA 3667; EEO4 OFF),,,,42079.02,078,,,,06/29/26,Min Amount,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0496_sr_a7e1de777ac8369111c110dd.pdf#page=1,medium,JC_DATE_06_29_26_MIN_MAX_AMOUNTS_LISTING,provisional_unverified,corrected_500_seed,qobs_f784c2837a9452757824d3ad,provisional_unverified,not_in_targeted_queue,not_applicable,qobs_f784c2837a9452757824d3ad,,true,,not_in_targeted_queue,not_applicable,,qobs_f784c2837a9452757824d3ad,true,,not_in_targeted_queue,not_applicable,,qobs_f784c2837a9452757824d3ad,true,fb4c986a9153478f208b74a38aa9dba155421203c15f92238ad0bc72b5e7ffcf,pr_14c7a8e620c9d29a2fb152a3,,quarantined_no_controlled_explicit_label,wage_schedule_or_compensation_plan,causal,https://apps.mesaaz.gov/jobdescriptions/Documents/PayPlans/AlphabeticalListing.pdf,2026-07-24,public_download,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0496_sr_a7e1de777ac8369111c110dd.pdf,,,,,,complete_one_to_one,incomplete_or_ambiguous_cycle,true,provisional_unverified,qa_status,none,42079.02,,,,annual,annual_salary,not_performed,,unparsed_or_ambiguous,exact_scalar_token,false,false,effective_date_not_exactly_parseable,,quarantined_no_exact_full_date_pair,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,2026-06-29,exact_expanded_token,true,,exact_expanded_effective_date_token
qobs_e91a32562d166149bfacbc61,cex_a873bae3a7a05fe3314754fe,,doc_474dfb0b52bf507b6373bf5b,ttd_392f5825dab994f222f80bc2,sr_a7e1de777ac8369111c110dd,NSCQ-AZ-20260720-0005,AZ,Mesa,CITY OF MESA,non_safety,wage_schedule_or_compensation_plan,,,1,annual_salary,ACCOUNTANT I (FuncFLSA 4389; EEO4 FIN),,,,59739.06,062,,,,06/29/26,Min Amount,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0496_sr_a7e1de777ac8369111c110dd.pdf#page=1,medium,JC_DATE_06_29_26_MIN_MAX_AMOUNTS_LISTING,provisional_unverified,corrected_500_seed,qobs_e91a32562d166149bfacbc61,provisional_unverified,not_in_targeted_queue,not_applicable,qobs_e91a32562d166149bfacbc61,,true,,not_in_targeted_queue,not_applicable,,qobs_e91a32562d166149bfacbc61,true,,not_in_targeted_queue,not_applicable,,qobs_e91a32562d166149bfacbc61,true,fb4c986a9153478f208b74a38aa9dba155421203c15f92238ad0bc72b5e7ffcf,pr_14c7a8e620c9d29a2fb152a3,,quarantined_no_controlled_explicit_label,wage_schedule_or_compensation_plan,causal,https://apps.mesaaz.gov/jobdescriptions/Documents/PayPlans/AlphabeticalListing.pdf,2026-07-24,public_download,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0496_sr_a7e1de777ac8369111c110dd.pdf,,,,,,complete_one_to_one,incomplete_or_ambiguous_cycle,true,provisional_unverified,qa_status,none,59739.06,,,,annual,annual_salary,not_performed,,unparsed_or_ambiguous,exact_scalar_token,false,false,effective_date_not_exactly_parseable,,quarantined_no_exact_full_date_pair,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,2026-06-29,exact_expanded_token,true,,exact_expanded_effective_date_token
qobs_f3124f700a5ae9729131304f,cex_a873bae3a7a05fe3314754fe,,doc_474dfb0b52bf507b6373bf5b,ttd_392f5825dab994f222f80bc2,sr_a7e1de777ac8369111c110dd,NSCQ-AZ-20260720-0005,AZ,Mesa,CITY OF MESA,non_safety,wage_schedule_or_compensation_plan,,,1,annual_salary,ACCOUNTANT II (FuncFLSA 4583; EEO4 FIN),,,,69165.62,062,,,,06/29/26,Min Amount,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0496_sr_a7e1de777ac8369111c110dd.pdf#page=1,medium,JC_DATE_06_29_26_MIN_MAX_AMOUNTS_LISTING,provisional_unverified,corrected_500_seed,qobs_f3124f700a5ae9729131304f,provisional_unverified,not_in_targeted_queue,not_applicable,qobs_f3124f700a5ae9729131304f,,true,,not_in_targeted_queue,not_applicable,,qobs_f3124f700a5ae9729131304f,true,,not_in_targeted_queue,not_applicable,,qobs_f3124f700a5ae9729131304f,true,fb4c986a9153478f208b74a38aa9dba155421203c15f92238ad0bc72b5e7ffcf,pr_14c7a8e620c9d29a2fb152a3,,quarantined_no_controlled_explicit_label,wage_schedule_or_compensation_plan,causal,https://apps.mesaaz.gov/jobdescriptions/Documents/PayPlans/AlphabeticalListing.pdf,2026-07-24,public_download,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0496_sr_a7e1de777ac8369111c110dd.pdf,,,,,,complete_one_to_one,incomplete_or_ambiguous_cycle,true,provisional_unverified,qa_status,none,69165.62,,,,annual,annual_salary,not_performed,,unparsed_or_ambiguous,exact_scalar_token,false,false,effective_date_not_exactly_parseable,,quarantined_no_exact_full_date_pair,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,2026-06-29,exact_expanded_token,true,,exact_expanded_effective_date_token
qobs_a27d3f791b7a18b06928853a,cex_a873bae3a7a05fe3314754fe,,doc_474dfb0b52bf507b6373bf5b,ttd_392f5825dab994f222f80bc2,sr_a7e1de777ac8369111c110dd,NSCQ-AZ-20260720-0005,AZ,Mesa,CITY OF MESA,non_safety,wage_schedule_or_compensation_plan,,,1,annual_salary,ACCOUNTING SPECIALIST I (FuncFLSA 3605; EEO4 ADMIN SUPPORT),,,,46414.58,078,,,,06/29/26,Min Amount,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0496_sr_a7e1de777ac8369111c110dd.pdf#page=1,medium,JC_DATE_06_29_26_MIN_MAX_AMOUNTS_LISTING,provisional_unverified,corrected_500_seed,qobs_a27d3f791b7a18b06928853a,provisional_unverified,not_in_targeted_queue,not_applicable,qobs_a27d3f791b7a18b06928853a,,true,,not_in_targeted_queue,not_applicable,,qobs_a27d3f791b7a18b06928853a,true,,not_in_targeted_queue,not_applicable,,qobs_a27d3f791b7a18b06928853a,true,fb4c986a9153478f208b74a38aa9dba155421203c15f92238ad0bc72b5e7ffcf,pr_14c7a8e620c9d29a2fb152a3,,quarantined_no_controlled_explicit_label,wage_schedule_or_compensation_plan,causal,https://apps.mesaaz.gov/jobdescriptions/Documents/PayPlans/AlphabeticalListing.pdf,2026-07-24,public_download,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0496_sr_a7e1de777ac8369111c110dd.pdf,,,,,,complete_one_to_one,incomplete_or_ambiguous_cycle,true,provisional_unverified,qa_status,none,46414.58,,,,annual,annual_salary,not_performed,,unparsed_or_ambiguous,exact_scalar_token,false,false,effective_date_not_exactly_parseable,,quarantined_no_exact_full_date_pair,,quarantined_no_controlled_explicit_label,candidate_queue.unit_type_scouted|candidate_queue.document_title|candidate_queue.union_name,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,2026-06-29,exact_expanded_token,true,,exact_expanded_effective_date_token
qobs_f8f8f3683c7a28372b1c4a7b,cex_43e0f3541d71ad9b5fbacbcc,mix_4471176c86b03a4b9a24546f,doc_79700c5b054859ffdfe4e289,ttd_533867202fd7a10fdf0ac4b0,sr_d16f4923de223f420aaaa691,NSCQ-CA-20260720-0061,CA,Palo Alto,CITY OF PALO ALTO,police,cba,,,5,percentage_increase,,,,,,,,,10%,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0260_sr_d16f4923de223f420aaaa691.pdf#page=5,high,C1,qa_structural_conflict_resolved,corrected_500_seed,qobs_f8f8f3683c7a28372b1c4a7b,needs_conflict_review,distinct_schedule_cell,resolved,qobs_f8f8f3683c7a28372b1c4a7b,,true,,not_in_targeted_queue,not_applicable,,qobs_f8f8f3683c7a28372b1c4a7b,true,,not_in_targeted_queue,not_applicable,,qobs_f8f8f3683c7a28372b1c4a7b,true,70bfb372d1f9405abb124ac2fabd01847ff365cedbc7a9a5c1d7e78139ba465d,pr_f74752606c9bd7c103953b68,police,exact_public_safety_unit_type,cba,causal,https://www.paloalto.gov/files/assets/public/v/1/human-resources/compensation/labor-agreements/pma_moa_october-1-2018_june-30-2021.pdf,2026-07-24,public_download,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0260_sr_d16f4923de223f420aaaa691.pdf,2018-10-01,2021-06-30,cycle_7d1d435cce18288e9c9b57f0,cuc_c837d5342662af8b3973a117,,complete_one_to_one,exact_period_unmatched,true,resolved:distinct_schedule_cell,qa_resolution_status,active,10,,,PERCENT,percentage_change,percentage_increase,not_performed,,blank,exact_percentage_token,true,false,,,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,exact_public_safety_unit_type,prior_bridge.unit_type,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,,blank,true,,prior_parse_preserved
qobs_f1ea1beee2c5092c170864bf,cex_43e0f3541d71ad9b5fbacbcc,mix_4471176c86b03a4b9a24546f,doc_79700c5b054859ffdfe4e289,ttd_533867202fd7a10fdf0ac4b0,sr_d16f4923de223f420aaaa691,NSCQ-CA-20260720-0061,CA,Palo Alto,CITY OF PALO ALTO,police,cba,,,5,percentage_increase,,,,,,,,,5%,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0260_sr_d16f4923de223f420aaaa691.pdf#page=5,high,C2,qa_structural_conflict_resolved,corrected_500_seed,qobs_f1ea1beee2c5092c170864bf,needs_conflict_review,distinct_schedule_cell,resolved,qobs_f1ea1beee2c5092c170864bf,,true,,not_in_targeted_queue,not_applicable,,qobs_f1ea1beee2c5092c170864bf,true,,not_in_targeted_queue,not_applicable,,qobs_f1ea1beee2c5092c170864bf,true,70bfb372d1f9405abb124ac2fabd01847ff365cedbc7a9a5c1d7e78139ba465d,pr_f74752606c9bd7c103953b68,police,exact_public_safety_unit_type,cba,causal,https://www.paloalto.gov/files/assets/public/v/1/human-resources/compensation/labor-agreements/pma_moa_october-1-2018_june-30-2021.pdf,2026-07-24,public_download,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0260_sr_d16f4923de223f420aaaa691.pdf,2018-10-01,2021-06-30,cycle_7d1d435cce18288e9c9b57f0,cuc_c837d5342662af8b3973a117,,complete_one_to_one,exact_period_unmatched,true,resolved:distinct_schedule_cell,qa_resolution_status,active,5,,,PERCENT,percentage_change,percentage_increase,not_performed,,blank,exact_percentage_token,true,false,,,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,exact_public_safety_unit_type,prior_bridge.unit_type,established_from_explicit_successful_verification_and_saved_artifact_fields,verification.verified_at|verification.verification_status|verification.url_reachable|verification.bytes_read|verification.artifact_path|source_review.download_status|source_review.url_access_status|source_review.documents_downloaded|source_review.content_artifact_path,,blank,true,,prior_parse_preserved
