candidate_id,lane_id,scout_target_id,source_url_or_locator,source_title,municipality,state,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,secondary_mechanism_families,match_priority_tier,matched_safety_or_non_safety_counterpart_id,same_city_match_status,overlapping_cycle_status,duplicate_risk,prior_seen_status,reason_selected,search_query_used,retrieval_status,verification_status,extraction_status,rating_status,causal_status,notes,canonical_locator_hash,source_specificity_score,mechanism_relevance_score,same_city_match_value_score,overlapping_cycle_value_score,unit_clarity_score,source_family_strength_score,duplicate_risk_score,prior_seen_score,verification_feasibility_score,claim_gap_contribution_score,candidate_quality_score,candidate_quality_label,verification_priority_tier,score_reason_codes,review_duplicate_status,review_disposition,verification_queue_rank
TS4L-3e44ad51ec46a2f90cf8,lane_4,TS4-4-398d4e24ef122b3a,https://www.mackinac.org/archives/epi/contracts/09/09030_2022-06-30_USW_T_(LOA).pdf,Bangor Township Schools — USW Transportation (Letter of Agreement) (Expiration 6/30/2022),Bangor charter,MI,safety_and_non_safety_compensation_units,Transportation (school bus/transportation positions),USW (Transportation),2014-2024 window (contract expiration 6/30/2022; inferred cycle ~7/1/2021–6/30/2022),2021-07-01,2022-06-30,cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,safety_advantage_signal|rank_or_specialization_premium|implementation_or_retroactivity_advantage,tier_3_mechanism_gap_discovery,,"same_city_match_expected (Bangor Township Schools, Bangor Charter Township area per Mackinac’s Bangor Township district context)",overlaps_2014_2024,low,not_seen_in_consolidated_prior_scout_or_candidate_ledgers,"Previously unscouted municipality selected for market, comparability, safety premium, rank, and implementation-timing discovery.",Bangor charter MI safety_and_non_safety_compensation_units 2014-2024 target window market or comparability pressure cba or compensation study or classification study or wage schedule,candidate_only,not_verified,not_extracted,not_rated,not_causal_evidence,Lead to a wage/salary-related section typically including compensation terms and schedules for a school transportation bargaining unit; relevant for market/comparability and classification/wage schedule mechanisms.,5f43f13f93fb1ed2f090,15,15,10,15,10,10,5,5,5,5,95,verification_ready_high,tier_b,structured_web_locator|document_specific_locator|specific_title|document_period_present|mechanism_metadata_match|same_city_metadata|cycle_window_and_overlap_metadata|unit_and_bargaining_identity_present|strong_target_source_family|low_prior_duplicate_risk|new_or_unsatisfied_target|institutional_locator_shape|identified_claim_gap_target,canonical_locator_unique,verification_queue,83
TS4L-725db5903336ccb8ce7a,lane_4,TS4-4-ddeff519ebd9482e,https://municipalfinance.ri.gov/sites/g/files/xkgbur546/files/documents/contracts/Tiverton_Fire.pdf,TOWN OF TIVERTON — Agreement (Fire) [Tiverton_Fire.pdf] (collective bargaining agreement document),Tiverton,RI,safety_and_non_safety_compensation_units,Fire (Firefighters),IAFF (Firefighters) (document indicates Fire Department unit),Duration/term contained within Tiverton_Fire.pdf (includes pay/compensation articles and salary table content),2012-07-01,2015-06-30,cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,safety_advantage_signal|rank_or_specialization_premium|implementation_or_retroactivity_advantage,tier_3_mechanism_gap_discovery,,same_city_match,overlaps_target_window_2014-2024,low,not_seen_in_consolidated_prior_scout_or_candidate_ledgers,"Previously unscouted municipality selected for market, comparability, safety premium, rank, and implementation-timing discovery.",Tiverton RI safety_and_non_safety_compensation_units 2014-2024 target window market or comparability pressure cba or compensation study or classification study or wage schedule,candidate_only,not_verified,not_extracted,not_rated,not_causal_evidence,Lead to Tiverton safety (Fire) compensation unit wage/salary schedule and related compensation provisions (including salary/compensation articles) for use in market/comparability/safety-premium discovery.,89d01d9dd12ea7b9a495,15,15,10,15,10,10,5,5,5,5,95,verification_ready_high,tier_b,structured_web_locator|document_specific_locator|specific_title|document_period_present|mechanism_metadata_match|same_city_metadata|cycle_window_and_overlap_metadata|unit_and_bargaining_identity_present|strong_target_source_family|low_prior_duplicate_risk|new_or_unsatisfied_target|institutional_locator_shape|identified_claim_gap_target,canonical_locator_unique,verification_queue,85
TS4L-76b70aeb1b1f3d968e66,lane_4,TS4-4-ddeff519ebd9482e,https://municipalfinance.ri.gov/sites/g/files/xkgbur546/files/documents/contracts/Tiverton_GE.pdf,TOWN OF TIVERTON — Agreement (General Employees) [Tiverton_GE.pdf] (collective bargaining agreement document),Tiverton,RI,safety_and_non_safety_compensation_units,Non-safety (Municipal employees / general employees),"Rhode Island Council 94, A.F.S.C.M.E., AFL-CIO (Tiverton Town Employees Local 2670A) (as shown on the document cover/header)","JULY 1, 2016 — JUNE 30, 2019",2016-07-01,2019-06-30,cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,safety_advantage_signal|rank_or_specialization_premium|implementation_or_retroactivity_advantage,tier_3_mechanism_gap_discovery,,same_city_match,overlaps_target_window_2014-2024,low,not_seen_in_consolidated_prior_scout_or_candidate_ledgers,"Previously unscouted municipality selected for market, comparability, safety premium, rank, and implementation-timing discovery.",Tiverton RI safety_and_non_safety_compensation_units 2014-2024 target window market or comparability pressure cba or compensation study or classification study or wage schedule,candidate_only,not_verified,not_extracted,not_rated,not_causal_evidence,"Lead to Tiverton non-safety compensation unit CBA provisions, including salary/wage schedule style compensation tables and agreement articles relevant to market or comparability pressure discovery.",5928c4364aa265abbbf2,15,15,10,15,10,10,5,5,5,5,95,verification_ready_high,tier_b,structured_web_locator|document_specific_locator|specific_title|document_period_present|mechanism_metadata_match|same_city_metadata|cycle_window_and_overlap_metadata|unit_and_bargaining_identity_present|strong_target_source_family|low_prior_duplicate_risk|new_or_unsatisfied_target|institutional_locator_shape|identified_claim_gap_target,canonical_locator_unique,verification_queue,86
TS4L-93c7fb1230af950c7dc5,lane_4,TS4-4-8d4526468d781bc2,https://www.afscmemn.org/system/files/city_of_robbinsdale_local_2454_contract_2018-2019_0.pdf,City of Robbinsdale AFSCME Local 2454 - Labor Agreement (2018-2019) (PDF),Robbinsdale,MN,safety_and_non_safety_compensation_units,Public employees (AFSCME Local 2454 bargaining group),AFSCME Local 2454 (City of Robbinsdale),2018-2019,2018-01-01,2019-12-31,cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,safety_advantage_signal|rank_or_specialization_premium|implementation_or_retroactivity_advantage,tier_3_mechanism_gap_discovery,,same_city_match,overlaps_2014_2024,low,not_seen_in_consolidated_prior_scout_or_candidate_ledgers,"Previously unscouted municipality selected for market, comparability, safety premium, rank, and implementation-timing discovery.",Robbinsdale MN safety_and_non_safety_compensation_units 2014-2024 target window market or comparability pressure cba or compensation study or classification study or wage schedule,candidate_only,not_verified,not_extracted,not_rated,not_causal_evidence,Lead for a Robbinsdale labor agreement with wage schedule content likely relevant to compensation classification/adjustment timing (market/comparability pressure discovery target).,ee022172dcd3684c356b,15,15,10,15,10,10,5,5,5,5,95,verification_ready_high,tier_b,structured_web_locator|document_specific_locator|specific_title|document_period_present|mechanism_metadata_match|same_city_metadata|cycle_window_and_overlap_metadata|unit_and_bargaining_identity_present|strong_target_source_family|low_prior_duplicate_risk|new_or_unsatisfied_target|institutional_locator_shape|identified_claim_gap_target,canonical_locator_unique,verification_queue,87
TS4L-04023d69ddfc03b59daf,lane_4,TS4-4-398d4e24ef122b3a,https://www.mackinac.org/archives/epi/contracts/09/09030_2021-06-30_MEA_E_(LOA).pdf,Bangor Township Schools — MEA Teachers (Letter of Agreement) (Expiration 6/30/2021),Bangor charter,MI,safety_and_non_safety_compensation_units,Teachers,MEA (Teachers; LOA),2014-2024 window (contract expiration 6/30/2021; inferred cycle ~7/1/2020–6/30/2021),2020-07-01,2021-06-30,cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,safety_advantage_signal|rank_or_specialization_premium|implementation_or_retroactivity_advantage,tier_3_mechanism_gap_discovery,,"same_city_match_expected (Bangor Township Schools, Bangor Charter Township area per Mackinac’s Bangor Township district context)",overlaps_2014_2024,low,not_seen_in_consolidated_prior_scout_or_candidate_ledgers,"Previously unscouted municipality selected for market, comparability, safety premium, rank, and implementation-timing discovery.",Bangor charter MI safety_and_non_safety_compensation_units 2014-2024 target window market or comparability pressure cba or compensation study or classification study or wage schedule,candidate_only,not_verified,not_extracted,not_rated,not_causal_evidence,Lead for a wage-schedule/compensation-related LOA for the Bangor Township Schools teachers unit; may include compensation terms relevant to market/comparability timing.,5c1fd5931995a24a9982,15,12,10,15,10,10,5,5,5,5,92,verification_ready_high,tier_b,structured_web_locator|document_specific_locator|specific_title|document_period_present|mechanism_metadata_match|same_city_metadata|cycle_window_and_overlap_metadata|unit_and_bargaining_identity_present|strong_target_source_family|low_prior_duplicate_risk|new_or_unsatisfied_target|institutional_locator_shape|identified_claim_gap_target,canonical_locator_unique,verification_queue,92
TS4L-05044924e9afe10c3fe5,lane_4,TS4-4-e3849191652c2e52,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2023/23-MED-03-0312.pdf,"City of Canfield - Utility Workers Union of America (Utility Workers of America, AFL-CIO) Collective Bargaining Agreement (Effective Date of 1/1/24 through 12/31/2026)",Canfield,OH,safety_and_non_safety_compensation_units,Utility / public works employees (as covered by Utility Workers of America unit),"Utility Workers of America, AFL-CIO (Utility Workers Union of America)",Effective 1/1/2024 - 12/31/2026,2024-01-01,2026-12-31,cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,safety_advantage_signal|rank_or_specialization_premium|implementation_or_retroactivity_advantage,tier_3_mechanism_gap_discovery,,likely_same_city_match,overlaps_2014-2024_window,low,not_seen_in_consolidated_prior_scout_or_candidate_ledgers,"Previously unscouted municipality selected for market, comparability, safety premium, rank, and implementation-timing discovery.",Canfield OH safety_and_non_safety_compensation_units 2014-2024 target window market or comparability pressure cba or compensation study or classification study or wage schedule,candidate_only,not_verified,not_extracted,not_rated,not_causal_evidence,SERB-hosted CBA for a City of Canfield non-safety bargaining unit; likely contains wage/compensation tables applicable to market/comparability pressure analysis.,ba101114fa7193279b9f,15,12,10,15,10,10,5,5,5,5,92,verification_ready_high,tier_b,structured_web_locator|document_specific_locator|specific_title|document_period_present|mechanism_metadata_match|same_city_metadata|cycle_window_and_overlap_metadata|unit_and_bargaining_identity_present|strong_target_source_family|low_prior_duplicate_risk|new_or_unsatisfied_target|institutional_locator_shape|identified_claim_gap_target,canonical_locator_unique,verification_queue,93
TS4L-16267e48f16edd163845,lane_4,TS4-4-c3168115744e0a20,https://www.barrington-il.gov/wp-content/uploads/2023/05/202120Annual20Budget20Document-1.pdf,Village of Barrington Annual Budget (Fiscal Year 2021) — includes Compensation Plan - Schedule I (Full-Time Represented Employees),Barrington,IL,safety_and_non_safety_compensation_units,Represented employees (includes safety categories such as Police Officer and Firefighter/Paramedic; also includes other represented positions within the compensation plan schedules),Not a single CBA; compensation plan schedule used by the Village for represented positions,Effective 01.01.2021 to 12.31.2021 (Fiscal Year 2021),2021-01-01,2021-12-31,cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,safety_advantage_signal|rank_or_specialization_premium|implementation_or_retroactivity_advantage,tier_3_mechanism_gap_discovery,,"Same city (Barrington, IL) indicated by document title/issuer",Overlaps expected 2014-2024 window (within 2014-2024),low,not_seen_in_consolidated_prior_scout_or_candidate_ledgers,"Previously unscouted municipality selected for market, comparability, safety premium, rank, and implementation-timing discovery.",Barrington IL safety_and_non_safety_compensation_units 2014-2024 target window market or comparability pressure cba or compensation study or classification study or wage schedule,candidate_only,not_verified,not_extracted,not_rated,not_causal_evidence,High-specificity wage schedule/compensation-plan source for market/comparability-style compensation structure across safety and non-safety represented units for 2021.,becea82dfb36b593ab46,15,12,10,15,10,10,5,5,5,5,92,verification_ready_high,tier_b,structured_web_locator|document_specific_locator|specific_title|document_period_present|mechanism_metadata_match|same_city_metadata|cycle_window_and_overlap_metadata|unit_and_bargaining_identity_present|strong_target_source_family|low_prior_duplicate_risk|new_or_unsatisfied_target|institutional_locator_shape|identified_claim_gap_target,canonical_locator_unique,verification_queue,95
TS4L-2b78cb0b5f05c8511918,lane_4,TS4-4-72893da8bfa27ebb,https://www.northboroughma.gov/sites/g/files/vyhlif12221/f/uploads/fire_cba_fy23-fy25_final_w_attachments_0.pdf,Northborough MA — Northborough Firefighters Local 3057 CBA (FY23–FY25) (incl. wage schedule/market adjustment tables),Northborough,MA,safety_and_non_safety_compensation_units,Public Safety (Fire) — Firefighters,Northborough Firefighters Local 3057,FY2023–FY2025 (effective wage changes include FY2023/FY2024/FY2025 step and market adjustment tables),2014-01-01,2024-12-31,cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,safety_advantage_signal|rank_or_specialization_premium|implementation_or_retroactivity_advantage,tier_3_mechanism_gap_discovery,,same_city_document_evident,overlaps_target_window,low,not_seen_in_consolidated_prior_scout_or_candidate_ledgers,"Previously unscouted municipality selected for market, comparability, safety premium, rank, and implementation-timing discovery.",Northborough MA safety_and_non_safety_compensation_units 2014-2024 target window market or comparability pressure cba or compensation study or classification study or wage schedule,candidate_only,not_verified,not_extracted,not_rated,not_causal_evidence,"Lead focused on firefighter safety compensation/wage schedule mechanics, including explicit 'market adjustment' style wage components and effective-date structure relevant to comparability/market pressure and timing/retroactivity discovery.",f14bbb36683436695915,15,12,10,15,10,10,5,5,5,5,92,verification_ready_high,tier_b,structured_web_locator|document_specific_locator|specific_title|document_period_present|mechanism_metadata_match|same_city_metadata|cycle_window_and_overlap_metadata|unit_and_bargaining_identity_present|strong_target_source_family|low_prior_duplicate_risk|new_or_unsatisfied_target|institutional_locator_shape|identified_claim_gap_target,canonical_locator_unique,verification_queue,96
TS4L-301c22918fbaf0623ec0,lane_4,TS4-4-dd0771ed6955869e,https://seiu73.org/wp-content/uploads/2020/11/Village-of-Bridgeview-PW-May-1-2024-April-30-2028-1-1.pdf,"Agreement between the Village of Bridgeview and SEIU Local 73 — Department of Public Works (May 1, 2024 – April 30, 2028) [PDF]",Bridgeview,IL,safety_and_non_safety_compensation_units,Public Works / municipal laborers & related classifications (non-safety unit),"SEIU Local 73, Public Works Division","May 1, 2024 – April 30, 2028",2024-05-01,2028-04-30,cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,safety_advantage_signal|rank_or_specialization_premium|implementation_or_retroactivity_advantage,tier_3_mechanism_gap_discovery,,same_municipality_match,partially_overlaps_expected_2014_2024_window,low,not_seen_in_consolidated_prior_scout_or_candidate_ledgers,"Previously unscouted municipality selected for market, comparability, safety premium, rank, and implementation-timing discovery.",Bridgeview IL safety_and_non_safety_compensation_units 2014-2024 target window market or comparability pressure cba or compensation study or classification study or wage schedule,candidate_only,not_verified,not_extracted,not_rated,not_causal_evidence,Public-works (non-safety) CBA lead for wage/classification schedule provisions relevant to market/comparability pressure and any retroactivity/implementation language affecting 2014–2024 comparisons.,b2ea0ae80c631aec4f9e,15,12,10,15,10,10,5,5,5,5,92,verification_ready_high,tier_b,structured_web_locator|document_specific_locator|specific_title|document_period_present|mechanism_metadata_match|same_city_metadata|cycle_window_and_overlap_metadata|unit_and_bargaining_identity_present|strong_target_source_family|low_prior_duplicate_risk|new_or_unsatisfied_target|institutional_locator_shape|identified_claim_gap_target,canonical_locator_unique,verification_queue,97
TS4L-5f273072bcd4de9d16d3,lane_4,TS4-4-91c2c7145e2f649d,https://www.stonypointny.gov/userfiles/20220110125117_2547.pdf,"Memorandum of Agreement: Town of Stony Point and Civil Service Employees Association, Inc., Local 1000, AFSCME, AFL-CIO (CSEA Town of Stony Point Unit) (Appendix A salary grades referenced)",Stony Point,NY,safety_and_non_safety_compensation_units,Non-safety municipal employees (CSEA unit; likely clerical/administrative and other non-sworn titles covered by Local 1000),"CSEA Town of Stony Point Unit (Local 1000, AFSCME, AFL-CIO)","Collective Bargaining Agreement expiring December 31, 2022; MOA dated January 2022 modifies Appendix A salary grades",2022-01-01,2022-12-31,cba_or_compensation_study_or_classification_study_or_wage_schedule,market_or_comparability_pressure,safety_advantage_signal|rank_or_specialization_premium|implementation_or_retroactivity_advantage,tier_3_mechanism_gap_discovery,,same_municipality_match,overlaps_target_window,low,not_seen_in_consolidated_prior_scout_or_candidate_ledgers,"Previously unscouted municipality selected for market, comparability, safety premium, rank, and implementation-timing discovery.",Stony Point NY safety_and_non_safety_compensation_units 2014-2024 target window market or comparability pressure cba or compensation study or classification study or wage schedule,candidate_only,not_verified,not_extracted,not_rated,not_causal_evidence,MOA states that Appendix 'A' of the CBA sets forth salary grades for titles included in the CSEA membership and that the MOA amends Appendix A (salary grade adjustments for specific titles); lead to capture non-safety compensation classification/wage schedule material.,5f04b7a91985d6e43836,15,12,10,15,10,10,5,5,5,5,92,verification_ready_high,tier_b,structured_web_locator|document_specific_locator|specific_title|document_period_present|mechanism_metadata_match|same_city_metadata|cycle_window_and_overlap_metadata|unit_and_bargaining_identity_present|strong_target_source_family|low_prior_duplicate_risk|new_or_unsatisfied_target|institutional_locator_shape|identified_claim_gap_target,canonical_locator_unique,verification_queue,101
