adjudication_case_id,calibration_id,page_number,page_role,content_artifact_path,rendered_image_path,render_status,rendered_bytes,rendered_sha256,render_error
adj_43bb432b3f3794d9948c,cal_01a57230b8158e19db8100b3,1,candidate,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0479_sr_4df7d032d5e831a67fdfe510.pdf,rendered_pages/adj_43bb432b3f3794d9948c/page_0001.jpg,rendered,141853,072c2e5722578085e92b5def91a1fb8b1513dcdcae9f5baedc62ec94e6071cde,
adj_43bb432b3f3794d9948c,cal_01a57230b8158e19db8100b3,2,candidate,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0479_sr_4df7d032d5e831a67fdfe510.pdf,rendered_pages/adj_43bb432b3f3794d9948c/page_0002.jpg,rendered,107826,a6ada988fb9462a00650543306c98692b376d31f1e12c195ca91bc9a750060bd,
adj_a1d959b77dd0b7b1dd86,cal_045e7e8100647061f677cbed,1,navigation,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0490_sr_c559293254377ab55982205c.pdf,rendered_pages/adj_a1d959b77dd0b7b1dd86/page_0001.jpg,rendered,118797,9384469649f236683e6f6f1f2745e6558ed62a430e841f52bfb8f6469c9d4daa,
adj_a1d959b77dd0b7b1dd86,cal_045e7e8100647061f677cbed,2,nearby,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0490_sr_c559293254377ab55982205c.pdf,rendered_pages/adj_a1d959b77dd0b7b1dd86/page_0002.jpg,rendered,162055,9377edef90a472afeb24b186497b5169fdc97e2ff8a7c93ebe26715df9e182a3,
adj_a1d959b77dd0b7b1dd86,cal_045e7e8100647061f677cbed,3,candidate,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0490_sr_c559293254377ab55982205c.pdf,rendered_pages/adj_a1d959b77dd0b7b1dd86/page_0003.jpg,rendered,142078,f62e8f1f1981463a656fefbf78a80566c7d13f061d6213aabfeb21fa765fe4e1,
adj_a1d959b77dd0b7b1dd86,cal_045e7e8100647061f677cbed,9,candidate,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0490_sr_c559293254377ab55982205c.pdf,rendered_pages/adj_a1d959b77dd0b7b1dd86/page_0009.jpg,rendered,146748,4ae66ad7385871dcf86bab3a0b0efd1c9351e216de2918223ffbff7887cd9f45,
adj_a1d959b77dd0b7b1dd86,cal_045e7e8100647061f677cbed,15,nearby,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0490_sr_c559293254377ab55982205c.pdf,rendered_pages/adj_a1d959b77dd0b7b1dd86/page_0015.jpg,rendered,149590,7fd1292449643527988051e0c2fa329433d809bca9c104537e748b1097f64f1b,
adj_a1d959b77dd0b7b1dd86,cal_045e7e8100647061f677cbed,17,candidate,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0490_sr_c559293254377ab55982205c.pdf,rendered_pages/adj_a1d959b77dd0b7b1dd86/page_0017.jpg,rendered,85825,f0df9e8bdff1a1cdb26e009084cbf0b3bc1ec001235df59d92ac663eb7a67a82,
adj_372decf0ca2c77a33b8a,cal_04e9c405fa82bce92279cc76,1,navigation,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0460_sr_62322cb966f64b0f81a2dc6a.pdf,rendered_pages/adj_372decf0ca2c77a33b8a/page_0001.jpg,rendered,53017,94af5f604758ce540329a61403bc2597c6ba12a08ac756543c58a8ad4a2497a1,
adj_372decf0ca2c77a33b8a,cal_04e9c405fa82bce92279cc76,4,nearby,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0460_sr_62322cb966f64b0f81a2dc6a.pdf,rendered_pages/adj_372decf0ca2c77a33b8a/page_0004.jpg,rendered,172577,3c72936f5e5d911fbf8bba9be8ea7c06c0d1002bfb00d181fc5dfb0c57029320,
