local_comparison_record_id,source_layer,municipality,state,period,safety_side_label,non_safety_side_label,qa_status,claim_boundary,confidence,caveats,source_lineage,no_causal_claim
BRMLOCALQA-33fab94c98dce7ee5063ec8b,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,New Hartford,MN,2023,fire_direct,non_safety_direct,local_supporting_example_ready,"bounded local documentary comparison or example only; not a final wage-gap, national, prevalence, policy-effect, or causal claim",moderate,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-05289-01\"", \""final\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""original\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""scout_target_id\"": \""BRM5-20260731-05289\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-05289-01\"", \""final\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""original\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""scout_target_id\"": \""BRM5-20260731-05289\""}""]",true
BRMLOCALQA-2b801666a2e1985222f582f8,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Salem,PA,2025,police_direct,non_safety_direct,local_supporting_example_ready,"bounded local documentary comparison or example only; not a final wage-gap, national, prevalence, policy-effect, or causal claim",moderate,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07161-01\"", \""final\"": \""https://salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf\"", \""original\"": \""https://www.salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf?index=true\"", \""scout_target_id\"": \""BRM5-20260731-07161\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07161-01\"", \""final\"": \""https://salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf\"", \""original\"": \""https://www.salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf?index=true\"", \""scout_target_id\"": \""BRM5-20260731-07161\""}""]",true
BRMLOCALQA-39a680cebef359daa9fb86ea,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,New Hartford,MN,2023,fire_direct,non_safety_direct,local_supporting_example_ready,"bounded local documentary comparison or example only; not a final wage-gap, national, prevalence, policy-effect, or causal claim",moderate,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-05289-01\"", \""final\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""original\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""scout_target_id\"": \""BRM5-20260731-05289\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-05289-01\"", \""final\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""original\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""scout_target_id\"": \""BRM5-20260731-05289\""}""]",true
BRMLOCALQA-b546c99f21f2b128da799c5c,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Oakland,PA,2021,police_direct,non_safety_direct,local_supporting_example_ready,"bounded local documentary comparison or example only; not a final wage-gap, national, prevalence, policy-effect, or causal claim",moderate,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07107-01\"", \""final\"": \""https://oaklandborough.com/document/meeting-minutes-february-8th-2021\"", \""original\"": \""https://oaklandborough.com/document/meeting-minutes-february-8th-2021/\"", \""scout_target_id\"": \""BRM5-20260731-07107\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07107-01\"", \""final\"": \""https://oaklandborough.com/document/meeting-minutes-february-8th-2021\"", \""original\"": \""https://oaklandborough.com/document/meeting-minutes-february-8th-2021/\"", \""scout_target_id\"": \""BRM5-20260731-07107\""}""]",true
BRMLOCALQA-48853904443980bb9d4e8c2e,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Salem,PA,2025,police_direct,non_safety_direct,local_supporting_example_ready,"bounded local documentary comparison or example only; not a final wage-gap, national, prevalence, policy-effect, or causal claim",moderate,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07161-01\"", \""final\"": \""https://salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf\"", \""original\"": \""https://www.salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf?index=true\"", \""scout_target_id\"": \""BRM5-20260731-07161\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07161-01\"", \""final\"": \""https://salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf\"", \""original\"": \""https://www.salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf?index=true\"", \""scout_target_id\"": \""BRM5-20260731-07161\""}""]",true
BRMLOCALQA-832c7fed58e5fc59cde3f773,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Salem,PA,2025,police_direct,non_safety_direct,local_supporting_example_ready,"bounded local documentary comparison or example only; not a final wage-gap, national, prevalence, policy-effect, or causal claim",moderate,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07161-01\"", \""final\"": \""https://salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf\"", \""original\"": \""https://www.salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf?index=true\"", \""scout_target_id\"": \""BRM5-20260731-07161\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-07161-01\"", \""final\"": \""https://salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf\"", \""original\"": \""https://www.salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf?index=true\"", \""scout_target_id\"": \""BRM5-20260731-07161\""}""]",true
BRMLOCALQA-9904217f1ba65ef44df277f2,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,New Sewickley,PA,2023,police_direct,non_safety_direct,local_supporting_example_ready,"bounded local documentary comparison or example only; not a final wage-gap, national, prevalence, policy-effect, or causal claim",moderate,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-14579-02\"", \""final\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""original\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""scout_target_id\"": \""BRM5-20260731-14579\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-14579-02\"", \""final\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""original\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""scout_target_id\"": \""BRM5-20260731-14579\""}""]",true
BRMLOCALQA-da595085d1586fdb6ae6ada8,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,New Sewickley,PA,2023,police_direct,non_safety_direct,local_supporting_example_ready,"bounded local documentary comparison or example only; not a final wage-gap, national, prevalence, policy-effect, or causal claim",moderate,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-14579-02\"", \""final\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""original\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""scout_target_id\"": \""BRM5-20260731-14579\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-14579-02\"", \""final\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""original\"": \""https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf\"", \""scout_target_id\"": \""BRM5-20260731-14579\""}""]",true
BRMLOCALQA-ae9d884b9805f7def150c547,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Wilkins,PA,2025,police_direct,non_safety_direct,local_supporting_example_ready,"bounded local documentary comparison or example only; not a final wage-gap, national, prevalence, policy-effect, or causal claim",moderate,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-18471-01\"", \""final\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf\"", \""original\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf?t=202501301429010\"", \""scout_target_id\"": \""BRM5-20260731-18471\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-18471-01\"", \""final\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf\"", \""original\"": \""https://cms2.revize.com/revize/wilkins/Board%20of%20Commissioners/Packets/2024/December%209%2C%202024%20Agenda.pdf?t=202501301429010\"", \""scout_target_id\"": \""BRM5-20260731-18471\""}""]",true
BRMLOCALQA-b7d82de20c17978706b4b3aa,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,New Hartford,MN,2023,fire_direct,non_safety_direct,local_supporting_example_ready,"bounded local documentary comparison or example only; not a final wage-gap, national, prevalence, policy-effect, or causal claim",moderate,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]","[""{\""candidate_id\"": \""BRM5C-BRM5-20260731-05289-01\"", \""final\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""original\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""scout_target_id\"": \""BRM5-20260731-05289\""}"",""{\""candidate_id\"": \""BRM5C-BRM5-20260731-05289-01\"", \""final\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""original\"": \""https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf\"", \""scout_target_id\"": \""BRM5-20260731-05289\""}""]",true
