whole_corpus_claim_record_id,unit_type,source_layer,original_record_id,municipality,state,region,source_family,cba_non_cba_hint,side_label,claim_family,claim_boundary,qa_status,mechanism_class,period_label,pay_basis,source_lineage,caveats,no_final_national_claim,no_causal_claim
WCCR-077f738e1c7103daeb59607f,rated_span,targeted_scout_ab,WCRS-a696ebf008016645cc404310,Grantsville,UT,,cba_or_compensation_study_or_classification_study_or_wage_schedule,,police_direct,qualitative_mechanism,write_off,direct_text_claim,market_recruitment_retention,Amendment date appears to be 2023-08-31 (exact coverage period unknown from snippet),,https://www.utah.gov/pmn/files/1013371.pdf,[],true,true
WCCR-bb3d1f2c6748afabee53544e,rated_span,targeted_scout_c,WCRS-fb95a429e89a32d3072faf22,Deerfield,OH,Midwest,cba_or_arbitration_award_or_factfinding_or_impasse_record,,fire_direct,qualitative_mechanism,write_off,direct_text_claim,budget_fiscal_constraint,CBA associated with SERB Case 19-MED-06-0577 (contract document in SERB Contracts repository; dated/period details inside record),,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-MED-06-0577.pdf,[],true,true
WCCR-996cd67413c6a809e234194d,rated_span,combined_broad,WCRS-de2c8e8ae9acb6ae402cf1f0,Dickson,TN,South,budget_or_pay_plan,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,budget_fiscal_constraint,,,CBSRD-20260728-b00cf0aa16013d1ea1f9,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-28fdd2ad7039cef70701dc47,rated_span,combined_broad,WCRS-163815fc2df10310ad35b0be,Mayfield,OH,Midwest,cba,,remains_unclear,not_supported,write_off,weak_or_not_supported,unknown_or_needs_review,,,CBSRD-20260728-4acf36af78d6f869adf8,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-529a24835cc1b76968176143,rated_span,combined_broad,WCRS-4d71152685c3f4b03bd67e4a,Cashmere,WA,West,wage_schedule,,remains_unclear,not_supported,write_off,weak_or_not_supported,weak_or_no_claim_support,,,CBSRD-20260728-48b91aa4b71da511b0f0,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-2ee32e82c61b7cad2bf56d4b,rated_span,combined_broad,WCRS-6f21d7228c9e0dbe50c380c4,Hooksett,NH,Northeast,cba,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,not_applicable,,,CBSRD-20260728-07b37620c7b2674e78ed,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-91e2cc02c82a5ccdf68d4268,rated_span,combined_broad,WCRS-f5a0274ba131ae702ff91d75,Rock Island,IL,Midwest,cba_or_compensation_study_or_classification_study_or_wage_schedule,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,weak_or_no_claim_support,,,CBSRD-20260728-ecdf321a87f3c1cd9a99,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-33369f7f09fe823843979ba8,rated_span,combined_broad,WCRS-ead0755b7384fdeb6f77bae1,Highland Beach,FL,South,cba,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,budget_fiscal_constraint,,,CBSRD-20260728-aa9d58ff902233e6eaee,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-e5ae323f981ba1b2cc23e99b,rated_span,combined_broad,WCRS-3d60ef6731225b8e571f7e12,Mason,MI,Midwest,cba,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,weak_or_no_claim_support,,,CBSRD-20260728-52407dd99c262bae4a21,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-6275c413d4a43d5215df6174,rated_span,combined_broad,WCRS-29a11c7ae718c41b464271ba,Ponca City,OK,South,agenda_packet_or_minutes,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,weak_or_no_claim_support,,,CBSRD-20260728-42a384c368e6360eb7e3,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-a02995afbdf4bc8763869b70,rated_span,combined_broad,WCRS-64546df8788f794ea12a00bb,Soddy-Daisy,TN,South,cba_or_compensation_study_or_classification_study_or_wage_schedule,,remains_unclear,not_supported,write_off,weak_or_not_supported,not_applicable,,,CBSRD-20260728-a0d63386764a4a642e84,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-3935d22581941881c64501da,rated_span,combined_broad,WCRS-bec44c257e480cabf771c9bc,Pinole,CA,West,budget_or_pay_plan,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,unknown_or_needs_review,,,CBSRD-20260728-1a1d904850285e296854,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-73a4e7bfccaf9596cb7aa2c0,rated_span,combined_broad,WCRS-0c0dea9d08c3962b7f203360,Austintown,OH,Midwest,factfinding_report,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,unknown_or_needs_review,,,CBSRD-20260728-0a21cccccf62c8e11916,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-498b2d866623d3bea3938dc3,rated_span,combined_broad,WCRS-18d68376f6a0b8ae5e63d08c,Cashmere,WA,West,wage_schedule,,remains_unclear,not_supported,write_off,weak_or_not_supported,unknown_or_needs_review,,,CBSRD-20260728-48b91aa4b71da511b0f0,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-7d1db84a92780a105cadf17e,rated_span,combined_broad,WCRS-c4820de75f426137efd0d2e0,Snellville,GA,South,cba_or_budget_pay_plan_with_explicit_compensation_mechanism,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,unknown_or_needs_review,,,CBSRD-20260728-706ecae24ea2370c1a37,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-f6771dec3312261a0d47db10,rated_span,combined_broad,WCRS-91eb67f83d12488a42048ccc,Rehoboth Beach,DE,South,cba,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,collective_bargaining,,,CBSRD-20260728-ee714d6a3476a5e306b0,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-de65ee41ee441b3856b53b42,rated_span,combined_broad,WCRS-09e29b6c6f965593ecf7a282,Rensselaer,NY,Northeast,arbitration_award,,remains_unclear,not_supported,write_off,weak_or_not_supported,weak_or_no_claim_support,,,CBSRD-20260728-cd0b5649366209f42a2e,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-d6b3a036df0947fca7248c67,rated_span,combined_broad,WCRS-620843e0839fc4e262741ced,Northfield,NJ,Northeast,cba,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,weak_or_no_claim_support,,,CBSRD-20260728-09b9a348266891b94e17,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-c832abc077dbd88b3c2257f9,rated_span,combined_broad,WCRS-31bcff48aea8df7fc38bf17f,Woodbury,CT,Northeast,cba,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,weak_or_no_claim_support,,,CBSRD-20260728-e37d6f6ee6a2e2a8ac9a,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-610453c6695a737359286ea6,rated_span,combined_broad,WCRS-32b7f3a416a1373c12f07e0f,East Aurora,NY,Northeast,wage_schedule,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,weak_or_no_claim_support,,,CBSRD-20260728-af4f052a72b960484f87,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-f37dd869d285090140ca2fd4,rated_span,combined_broad,WCRS-8ef4c9c28f37b81dbe2ffb2a,Pinole,CA,West,mou_or_memorandum,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,weak_or_no_claim_support,,,CBSRD-20260728-7b71964be8beff339cac,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-8add05359cd6e5ab15649795,rated_span,combined_broad,WCRS-ee0dbeb14a5100c45af966fe,East Ridge,TN,South,cba_or_budget_pay_plan_with_explicit_compensation_mechanism,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,unknown_or_needs_review,,,CBSRD-20260728-773b2d637374e6666326,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-d59f76679a252419ab45bacb,rated_span,combined_broad,WCRS-73e485d9f5762b080f2ad554,Canandaigua,NY,Northeast,budget_or_pay_plan,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,budget_fiscal_constraint,,,CBSRD-20260728-2c01fb86d2eb2818b153,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-5ebefb9e960d82c50dcabcff,rated_span,combined_broad,WCRS-fa7bf4da14424d4fc48bc304,Winterset,IA,Midwest,agenda_packet_or_minutes,,remains_unclear,not_supported,write_off,weak_or_not_supported,weak_or_no_claim_support,,,CBSRD-20260728-a50be7816210ee0a7bfa,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-20269ec08fc5b48aa8975034,rated_span,combined_broad,WCRS-9571aafecc8c20d891068075,Caledonia,MI,Midwest,cba_or_compensation_study_or_classification_study_or_wage_schedule,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,unknown_or_needs_review,,,CBSRD-20260728-f5d2f0681def1260bf23,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-c1ec1ac8f6b173c2ed6bb47b,rated_span,combined_broad,WCRS-7219dd8194080cdbb9db72f4,Oelwein,IA,Midwest,wage_schedule,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,collective_bargaining,,,CBSRD-20260728-e3876101a9fba0617239,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-8b19e44bcc79d2ea07f72ad5,rated_span,combined_broad,WCRS-f6efe061b78143e5fbaba4d7,Everson,WA,West,wage_schedule,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,unknown_or_needs_review,,,CBSRD-20260728-5a9b59f3afd8e2347638,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-dc1e561148bbbf6961a4e36f,rated_span,combined_broad,WCRS-fb4f81aa73509faccd5c28ab,Alva,OK,South,agenda_packet_or_minutes,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,not_applicable,,,CBSRD-20260728-ac6483fe042b4711e9aa,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-c773dbcc6348e3b9cfa8fc3f,rated_span,combined_broad,WCRS-c2d46c29d4825b452eacea18,Sheffield,AL,South,civil_service_or_hr_pay_plan,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,not_applicable,,,CBSRD-20260728-8178c8eadbf1292f9dce,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-b066c758ab3cb5fbed717e9b,rated_span,combined_broad,WCRS-bcc629d928491708ee26d779,Flagler Beach,FL,South,cba,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,unknown_or_needs_review,,,CBSRD-20260728-59b77811524095006466,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
WCCR-9a996b942459ce6522fb8eea,rated_span,combined_broad,WCRS-e3a57c58bcfe674c33d72971,Casco,ME,Northeast,wage_schedule,,remains_unclear,weak_or_not_compensation_relevant,write_off,weak_or_not_supported,weak_or_no_claim_support,,,CBSRD-20260728-8bcec505002f73179820,"[""snippet_pointer_only"",""not_clear_side_anchor""]",true,true
