directory,classification,canonical_decision,reason,validation_status,file_count,csv_file_count,manifest_present,summary_present
BOUNDED-INTERNAL-MECHANISM-LINKAGE-CLAIM-MEMO-2026-07-26,report_or_memo_layer,support_reference_only,not re-ingested as rating spans,not_found,26,0,false,true
BOUNDED-TIER-C-EVIDENCE-MEMO-SUPPLEMENT-140-RATING-SUMMARY-2026-07-27,report_or_memo_layer,support_reference_only,not re-ingested as rating spans,not_found,29,0,false,true
BROAD-CANDIDATE-VERIFICATION-4X3000-PARALLEL-LONG-RUN-2026-07-28,extraction_or_collection_lineage,lineage_only,not a rating/claim-readiness row layer,not_found,76,20,false,true
BROAD-CANDIDATE-VERIFICATION-4X3000-RESUME-LANE-004-2026-07-28,extraction_or_collection_lineage,lineage_only,not a rating/claim-readiness row layer,not_found,49,13,false,true
BROAD-STATE-4X2500-BOUNDED-WAGE-DIFFERENTIAL-VALIDATION-2026-07-30,canonical_bounded_local_comparison_layer,include,selected latest validated canonical row/QA layer for its batch and stage,passed,46,6,true,true
BROAD-STATE-4X2500-CANDIDATE-REVIEW-2026-07-30,extraction_or_collection_lineage,lineage_only,not a rating/claim-readiness row layer,not_found,27,3,true,true
BROAD-STATE-4X2500-LIVE-SCOUT-2026-07-29,extraction_or_collection_lineage,lineage_only,not a rating/claim-readiness row layer,not_found,49,10,false,true
BROAD-STATE-4X2500-LIVE-SCOUT-FINALIZED-2026-07-30,extraction_or_collection_lineage,lineage_only,not a rating/claim-readiness row layer,not_found,10,1,false,true
BROAD-STATE-4X2500-MECHANISM-ATTRIBUTED-WAGE-GROWTH-CONTINUITY-2026-07-31,canonical_growth_continuity_layer,include,selected latest validated canonical row/QA layer for its batch and stage,passed,49,9,true,true
BROAD-STATE-4X2500-NORMALIZATION-MATCHED-STRUCTURE-PARAPHRASE-REPAIR-2026-07-30,analytical_or_readiness_layer,exclude_superseded_or_reference,latest canonical QA/specialized layer selected where applicable,passed,76,11,true,true
BROAD-STATE-4X2500-NORMALIZATION-RESCUE-GAP-GROWTH-CLAIMS-2026-07-30,analytical_or_readiness_layer,exclude_superseded_or_reference,latest canonical QA/specialized layer selected where applicable,passed,123,35,true,true
BROAD-STATE-4X2500-PDF-TEXT-READINESS-2026-07-30,extraction_or_collection_lineage,lineage_only,not a rating/claim-readiness row layer,documented_caveats_or_nonstandard,73,22,true,true
BROAD-STATE-4X2500-PI-REPORT-COMPARISON-MECHANISM-REPAIR-2026-07-30,report_or_memo_layer,support_reference_only,not re-ingested as rating spans,passed,63,14,true,true
BROAD-STATE-4X2500-PI-REPORT-DRAFT-2026-07-30,report_or_memo_layer,support_reference_only,not re-ingested as rating spans,passed,28,6,true,true
BROAD-STATE-4X2500-PI-REPORT-FINALIZE-2026-07-30,report_or_memo_layer,support_reference_only,not re-ingested as rating spans,passed,38,7,true,true
BROAD-STATE-4X2500-PI-REPORT-PDF-DASHBOARD-PUBLISH-2026-07-30,report_or_memo_layer,support_reference_only,not re-ingested as rating spans,passed,14,0,true,true
BROAD-STATE-4X2500-RATING-INGEST-CODIFY-PI-EVIDENCE-2026-07-30,canonical_valid_rating_span_layer,include,selected latest validated canonical row/QA layer for its batch and stage,passed,65,11,true,true
BROAD-STATE-4X2500-SCOUT-INFRASTRUCTURE-PREP-2026-07-29,extraction_or_collection_lineage,lineage_only,not a rating/claim-readiness row layer,not_found,58,15,false,true
BROAD-STATE-4X2500-SOURCE-REVIEW-DOWNLOAD-2026-07-30,extraction_or_collection_lineage,lineage_only,not a rating/claim-readiness row layer,documented_caveats_or_nonstandard,67,21,true,true
BROAD-STATE-4X2500-SPAN-EXTRACTION-2026-07-30,extraction_or_collection_lineage,lineage_only,not a rating/claim-readiness row layer,passed,76,22,true,true
BROAD-STATE-4X2500-SPAN-RATING-AND-DASHBOARD-CLEANUP-2026-07-30,uncertain_or_support_layer,preserve_not_merged,no unambiguous canonical row-layer signal,passed,70,7,true,true
BROAD-STATE-4X2500-TEXT-EXTRACTION-2026-07-30,extraction_or_collection_lineage,lineage_only,not a rating/claim-readiness row layer,passed,78,21,true,true
BROAD-STATE-4X2500-VERIFICATION-2026-07-30,extraction_or_collection_lineage,lineage_only,not a rating/claim-readiness row layer,documented_caveats_or_nonstandard,53,16,true,true
BROAD-STATE-BY-STATE-4X1000-PARALLEL-LIVE-SCOUT-STAGGERED-2026-07-27,extraction_or_collection_lineage,lineage_only,not a rating/claim-readiness row layer,not_found,43,8,false,true
BROAD-STATE-BY-STATE-4X1000-SCOUT-DRY-RUN-PREP-2026-07-27,extraction_or_collection_lineage,lineage_only,not a rating/claim-readiness row layer,not_found,57,15,false,true
BROAD-STATE-BY-STATE-SOURCE-SCOUT-WAVE-2026-07-27,extraction_or_collection_lineage,lineage_only,not a rating/claim-readiness row layer,not_found,47,14,false,true
BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-2026-07-31,extraction_or_collection_lineage,lineage_only,not a rating/claim-readiness row layer,passed,63,15,true,true
BROAD-STATE-REMAINING-MUNICIPALITIES-5LANE-LIVE-SCOUT-RETRY-2026-08-01,extraction_or_collection_lineage,lineage_only,not a rating/claim-readiness row layer,passed,64,15,true,true
