national_readiness_record_id,source_layer,municipality,state,region,source_family,side_label,pay_basis,compensation_type,readiness_status,readiness_gate,claim_boundary,blockers,no_national_claim
BRMNATQA-2af9470ade407eb57b6ffab8,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Baxter,MN,Midwest,cba,police_direct,allowance,allowance_reimbursement,national_readiness_stratum_partial,partial,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-42c9c4af20a5d0e5246edf42,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Seagraves,TX,South,budget_or_pay_plan,remains_unclear,budget_amount,other,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-b46c6dcf613f14f4522b0dad,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Brighton,PA,Northeast,agenda_packet_or_minutes,mixed_direct,monthly,base_wage,national_mechanism_readiness_ready,pass,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""municipality_missing_clear_side_balance""]",true
BRMNATQA-57fbecfcfe0743ebc0872d0a,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Fort Ann,NY,Northeast,agenda_packet_or_minutes,write_off,allowance,allowance_reimbursement,national_write_off,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-e45b06dd8dde2dea3d75b44e,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,St. Johnsville,NY,Northeast,budget_or_pay_plan,non_safety_direct,budget_amount,other,national_readiness_stratum_partial,partial,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""municipality_missing_clear_side_balance""]",true
BRMNATQA-3148c21b4614e380689dadb1,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Marshfield,WI,Midwest,budget_or_pay_plan,remains_unclear,unknown_or_mixed,budget_or_pay_plan,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""pay_basis_unresolved"",""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-534b11505858a33772d5ed76,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Augusta,MO,Midwest,civil_service_or_hr_pay_plan,non_safety_direct,hourly,base_wage,national_readiness_stratum_partial,partial,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""municipality_missing_clear_side_balance""]",true
BRMNATQA-742b036114321b199145f5f8,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Hillsboro,WI,Midwest,budget_or_pay_plan,police_direct,budget_amount,budget_or_pay_plan,national_mechanism_readiness_ready,pass,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""municipality_missing_clear_side_balance""]",true
BRMNATQA-446ab1dcfdabcf61339a47bf,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,DeRuyter,NY,Northeast,agenda_packet_or_minutes,remains_unclear,budget_amount,other,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-c03aa651d999e64f1a9142dd,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Sabinal,TX,South,budget_or_pay_plan,police_direct,budget_amount,other,national_readiness_stratum_partial,partial,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""period_anchor_missing_or_unresolved"",""municipality_missing_clear_side_balance""]",true
BRMNATQA-23cca537b4c6cb5f6267ee43,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,Blue Mound,TX,South,personnel_policy,remains_unclear,hourly,base_wage,national_needs_side_balance,fail,"coverage and readiness stratum only; no national wage gap, prevalence estimate, causal inference, or final national claim","[""role_unit_anchor_unresolved_or_not_applicable"",""municipality_missing_clear_side_balance""]",true
