whole_corpus_claim_record_id,unit_type,source_layer,original_record_id,municipality,state,region,source_family,cba_non_cba_hint,side_label,claim_family,claim_boundary,qa_status,mechanism_class,period_label,pay_basis,source_lineage,caveats,no_final_national_claim,no_causal_claim
WCCR-1ead1dfb298b55eb486d3421,national_readiness,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,BRMNATQA-b46c6dcf613f14f4522b0dad,Brighton,PA,Northeast,agenda_packet_or_minutes,cba_arbitration_factfinding_hint,mixed_direct,national_readiness,readiness_only,national_mechanism_readiness_ready,market_recruitment_retention,2023,monthly,"{""candidate_id"": ""BRM5C-BRM5-20260731-14370-02"", ""final"": ""https://brightontwp.org/wp-content/uploads/2023/12/Board-of-Sup-min11.13.2023.pdf"", ""original"": ""https://brightontwp.org/wp-content/uploads/2023/12/Board-of-Sup-min11.13.2023.pdf"", ""scout_target_id"": ""BRM5-20260731-14370""}",,true,true
WCCR-25a1007e7459200b877428e3,national_readiness,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,BRMNATQA-742b036114321b199145f5f8,Hillsboro,WI,Midwest,budget_or_pay_plan,non_cba_or_unresolved_hint,police_direct,national_readiness,readiness_only,national_mechanism_readiness_ready,non_base_compensation,2025,budget_amount,"{""candidate_id"": ""BRM5C-BRM5-20260731-10217-01"", ""final"": ""https://storage.googleapis.com/juniper-media-library/65/2025/09/2025%20Adopted%20Budget.pdf"", ""original"": ""https://storage.googleapis.com/juniper-media-library/65/2025/09/2025%20Adopted%20Budget.pdf"", ""scout_target_id"": ""BRM5-20260731-10217""}",,true,true
WCCR-14186d103f3f97d6f30e70b4,national_readiness,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,BRMNATQA-bd83ad79eaee7486b9362bad,Ralpho,PA,Northeast,agenda_packet_or_minutes,non_cba_or_unresolved_hint,police_direct,national_readiness,readiness_only,national_mechanism_readiness_ready,collective_bargaining,2022–2027,hourly,"{""candidate_id"": ""BRM5C-BRM5-20260731-10874-01"", ""final"": ""https://ralphotownship.org/app/download/16146883/20220913.pdf"", ""original"": ""https://www.ralphotownship.org/app/download/16146883/20220913.pdf"", ""scout_target_id"": ""BRM5-20260731-10874""}",,true,true
WCCR-fb099e5a3e7ea0804348f18c,national_readiness,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,BRMNATQA-213f2b7684cfcf494370b133,Perry,OH,Midwest,wage_schedule,cba_arbitration_factfinding_hint,fire_direct,national_readiness,readiness_only,national_mechanism_readiness_ready,collective_bargaining,2018–2019,percentage_raise,"{""candidate_id"": ""BRM5C-BRM5-20260731-09853-04"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2018/18-MED-10-0993.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2018/18-MED-10-0993.pdf"", ""scout_target_id"": ""BRM5-20260731-09853""}",,true,true
WCCR-7e370f593eed419a5a045cb0,national_readiness,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,BRMNATQA-d2f777307fed9c1c2b1f7b36,Hanover,PA,Northeast,cba,cba_arbitration_factfinding_hint,police_direct,national_readiness,readiness_only,national_growth_readiness_ready,,2020–2024,cola_cpi,"{""candidate_id"": ""BRM5C-BRM5-20260731-03252-01"", ""final"": ""https://crimewatch.net/sites/default/files/42186/page/2022/08/hanover_borough_police_contract_cba_2020-2024_final.pdf"", ""original"": ""https://crimewatch.net/sites/default/files/42186/page/2022/08/hanover_borough_police_contract_cba_2020-2024_final.pdf"", ""scout_target_id"": ""BRM5-20260731-03252""}",,true,true
WCCR-0c3fca5efe128474254ac3ef,national_readiness,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,BRMNATQA-879a97183d530636f49645a3,Marion,OH,Midwest,mou_or_memorandum,cba_arbitration_factfinding_hint,police_direct,national_readiness,readiness_only,national_growth_readiness_ready,,,percentage_raise,"{""candidate_id"": ""BRM5C-BRM5-20260731-17288-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-09-0945.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-09-0945.pdf"", ""scout_target_id"": ""BRM5-20260731-17288""}",,true,true
WCCR-0c6a9546c557fb6d41ef0fbf,national_readiness,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,BRMNATQA-bc2a74cf6c2bb05e10706c1e,Franklin,OH,Midwest,other_local_government_pay_policy,non_cba_or_unresolved_hint,police_direct,national_readiness,readiness_only,national_readiness_stratum_ready,non_base_compensation,2025–2026,hourly,"{""candidate_id"": ""BRM5C-BRM5-20260731-05998-01"", ""final"": ""https://cms2.revize.com/revize/franklinoh/Legislation/Resolutions/2025/R-25-88%20Pay%20Rates%202026.pdf"", ""original"": ""https://cms2.revize.com/revize/franklinoh/Legislation/Resolutions/2025/R-25-88%20Pay%20Rates%202026.pdf?t=202512171012090"", ""scout_target_id"": ""BRM5-20260731-05998""}",,true,true
WCCR-11523ea18b4bab9c77ba3ee7,national_readiness,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,BRMNATQA-0452b45b404e45b5c07991e2,Washington,WI,Midwest,budget_or_pay_plan,cba_arbitration_factfinding_hint,police_direct,national_readiness,readiness_only,national_mechanism_readiness_ready,non_base_compensation,2026,budget_amount,"{""candidate_id"": ""BRM5C-BRM5-20260731-02866-02"", ""final"": ""https://static1.squarespace.com/static/639390de9155a340ff2c2c88/t/690b822a8175045bce6a2db1/1762361898281/Town_of_Washington_Budget_Worksheet_2026_Approved_251104.pdf"", ""original"": ""https://www.washingtonisland-wi.gov/s/Town_of_Washington_Budget_Worksheet_2026_Approved_251104.pdf"", ""scout_target_id"": ""BRM5-20260731-02866""}",,true,true
WCCR-6dffbe05325fd181a52e0c03,national_readiness,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,BRMNATQA-a73ffbf96c13376250072dad,Upper Uwchlan,PA,Northeast,budget_or_pay_plan,non_cba_or_unresolved_hint,police_direct,national_readiness,readiness_only,national_mechanism_readiness_ready,non_base_compensation,2019–2020,budget_amount,"{""candidate_id"": ""BRM5C-BRM5-20260731-10961-01"", ""final"": ""https://upperuwchlan-pa.gov/ArchiveCenter/ViewFile/Item/1764"", ""original"": ""https://www.upperuwchlan-pa.gov/ArchiveCenter/ViewFile/Item/1764"", ""scout_target_id"": ""BRM5-20260731-10961""}",,true,true
WCCR-80c6152954f14f127ab6298b,national_readiness,BROAD-STATE-REMAINING-MUNICIPALITIES-LOCAL-COMPARISON-QA-AND-CLAIM-READINESS-2026-08-03,BRMNATQA-846c94586da8e5c88e1f4ae8,Franklin,IN,Midwest,budget_or_pay_plan,non_cba_or_unresolved_hint,police_direct,national_readiness,readiness_only,national_readiness_stratum_ready,ordinance_council_adoption,2025,hourly,"{""candidate_id"": ""BRM5C-BRM5-20260731-08055-01"", ""final"": ""https://franklin.in.gov/egov/documents/1726499898_46214.pdf"", ""original"": ""https://www.franklin.in.gov/egov/documents/1726499898_46214.pdf"", ""scout_target_id"": ""BRM5-20260731-08055""}",,true,true
