whole_corpus_source_record_id,source_batch,original_source_id,municipality,state,region,source_type,source_family,cba_non_cba_hint,rated_span_count,source_lineage,validation_status
WCSR-fb6b46fc4bc7bae957ec7a48,broad_state_4x2500,B4X2500LIVE-20260729-000003,Cambridge,IA,Midwest,pdf,wage_schedule,non_cba_or_other_hint,4,https://cambridge-ia.us/_files/ugd/65ff49_1dcee94b9cb64d8ba22082fcbd43b196.pdf,canonical_valid_input
WCSR-f02d3da76938665f4a1126e5,broad_state_4x2500,B4X2500LIVE-20260729-000011,Colfax,IA,Midwest,pdf,other_local_government_pay_policy,non_cba_or_other_hint,13,https://colfaxia.gov/wp-content/uploads/2026/01/CODE-Colfax-Ver-2025-09-September.pdf,canonical_valid_input
WCSR-a584627286df9277385a4847,broad_state_4x2500,B4X2500LIVE-20260729-000017,Earlham,IA,Midwest,pdf,other_local_government_pay_policy,non_cba_or_other_hint,2,https://earlhamiowa.org/wp-content/uploads/2023/06/7c-Res-No-23-18-FY24-Wages-FT-PT-.pdf,canonical_valid_input
WCSR-2a4817f3c5eaa5b2fb8dcefb,broad_state_4x2500,B4X2500LIVE-20260729-000018,Earlham,IA,Midwest,pdf,other_local_government_pay_policy,non_cba_or_other_hint,2,https://earlhamiowa.org/wp-content/uploads/2025/06/Res-No-25-31-Setting-2025-wages-1.pdf,canonical_valid_input
WCSR-b581f78ae884d2d19abeade5,broad_state_4x2500,B4X2500LIVE-20260729-000023,Farmington,IA,Midwest,pdf,other_local_government_pay_policy,non_cba_or_other_hint,3,https://farmingtoniowa.com/documents/464/5_-_ORD_5.pdf,canonical_valid_input
WCSR-7c1dceecdb394569e949e87d,broad_state_4x2500,B4X2500LIVE-20260729-000025,Garnavillo,IA,Midwest,pdf,civil_service_or_hr_pay_plan,non_cba_or_other_hint,1,https://garnavilloia.com/uploads/4/9/5/6/49568941/4b_2023-12-13_minutes.pdf,canonical_valid_input
WCSR-cc78c514b20fc30ead7b47f2,broad_state_4x2500,B4X2500LIVE-20260729-000026,Garnavillo,IA,Midwest,pdf,agenda_packet_or_minutes,non_cba_or_other_hint,2,https://garnavilloia.com/uploads/4/9/5/6/49568941/2021-01-13_minutes.pdf,canonical_valid_input
WCSR-3a93819255d13571b3ecc985,broad_state_4x2500,B4X2500LIVE-20260729-000030,Graettinger,IA,Midwest,pdf,agenda_packet_or_minutes,non_cba_or_other_hint,2,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/1870/City_Of_Graettinger/324cbf6a-90b8-4bc9-811f-49db9e2121ca/6-9-2025_.pdf,canonical_valid_input
WCSR-77b1b0db8fea86faeea5a57c,broad_state_4x2500,B4X2500LIVE-20260729-000034,Ireton,IA,Midwest,pdf,agenda_packet_or_minutes,non_cba_or_other_hint,1,https://iretonia.com/wp-content/uploads/2026/01/Minutes-Nov.-17-2025.pdf,canonical_valid_input
WCSR-bc3b1db528673c9a32c9774c,broad_state_4x2500,B4X2500LIVE-20260729-000035,Lake City,IA,Midwest,pdf,agenda_packet_or_minutes,non_cba_or_other_hint,2,https://lakecityiowa.com/uploads/agenda/1-19-26%20Regular%20Meeting%20Minutes.pdf,canonical_valid_input
WCSR-18b429516b2fe4e63de001a7,broad_state_4x2500,B4X2500LIVE-20260729-000036,Lake City,IA,Midwest,pdf,agenda_packet_or_minutes,non_cba_or_other_hint,4,https://lakecityiowa.com/uploads/agenda/7-8-2024%20Special%20Meeting%20Minutes.pdf,canonical_valid_input
WCSR-6b03e72cbaaaf033beaece1c,broad_state_4x2500,B4X2500LIVE-20260729-000048,Madrid,IA,Midwest,pdf,agenda_packet_or_minutes,non_cba_or_other_hint,1,https://madridiowa.org/wp-content/uploads/2025/06/5-19-2025_COUNCIL-MINUTES.pdf,canonical_valid_input
WCSR-b176bc7c3207909b45a32ba7,broad_state_4x2500,B4X2500LIVE-20260729-000059,Moville,IA,Midwest,pdf,agenda_packet_or_minutes,non_cba_or_other_hint,4,https://visitmoville.com/pdf/Minutes-2025.8.26-special-meeting.pdf,canonical_valid_input
WCSR-eb54b14331bfef328af1baf6,broad_state_4x2500,B4X2500LIVE-20260729-000060,Moville,IA,Midwest,pdf,agenda_packet_or_minutes,non_cba_or_other_hint,2,https://visitmoville.com/pdf/Minutes-2024.6.19.pdf,canonical_valid_input
WCSR-1a0fb241ef8c744cf1b23369,broad_state_4x2500,B4X2500LIVE-20260729-000069,Palo,IA,Midwest,pdf,agenda_packet_or_minutes,non_cba_or_other_hint,5,https://cityofpalo.com/vertical/sites/%7B434D4528-2EBA-41FD-BB30-AF0F1451A315%7D/uploads/City_Minutes_061311_Council_Meeting.pdf,canonical_valid_input
WCSR-0f2b5fa161c07aa4602968bd,broad_state_4x2500,B4X2500LIVE-20260729-000087,Sloan,IA,Midwest,pdf,wage_schedule,non_cba_or_other_hint,2,https://sloania.com/documents/169/Minutes_Feb_26__2026.pdf,canonical_valid_input
WCSR-b8cc75792c961c784d3ed248,broad_state_4x2500,B4X2500LIVE-20260729-000095,Aviston,IL,Midwest,pdf,agenda_packet_or_minutes,non_cba_or_other_hint,1,https://avistonil.org/wp-content/uploads/2025/04/20250318-Employee-Committee-Minutes.pdf,canonical_valid_input
WCSR-61fdfdff0a234f99c9917b38,broad_state_4x2500,B4X2500LIVE-20260729-000096,Bartonville,IL,Midwest,pdf,agenda_packet_or_minutes,non_cba_or_other_hint,2,https://bartonville.org/wp-content/uploads/2018/07/July-24-2017-Village-of-Bartonville-Minutes.pdf,canonical_valid_input
WCSR-b6b5b8f1a69163c77a28728d,broad_state_4x2500,B4X2500LIVE-20260729-000110,Campton Hills,IL,Midwest,pdf,mou_or_memorandum,non_cba_or_other_hint,1,https://camptonhills.illinois.gov/wp-content/uploads/2023/05/R-25-09-Police-Chief-Employment-Agreement-Addendum.pdf,canonical_valid_input
WCSR-1c78f7e7e588109cc299a42e,broad_state_4x2500,B4X2500LIVE-20260729-000112,Campton Hills,IL,Midwest,pdf,cba,cba_hint,3,https://camptonhills.illinois.gov/wp-content/uploads/2020/09/O-24-21-Prevailing-Wage.pdf,canonical_valid_input
WCSR-ce3ce90e06e1281bb9d5d1c4,broad_state_4x2500,B4X2500LIVE-20260729-000115,Champaign City,IL,Midwest,pdf,cba,cba_hint,4,https://public.powerdms.com/ChampaignPD/documents/1571377,canonical_valid_input
