contract_id,state,city,occupation_class,source_role,mechanism_family,excerpt,excerpt_location,source_file,notes
tx_san_antonio_fire_2024,TX,San Antonio,fire,safety,grievance_arbitration,"All disputes concerning the interpretation and/or application of the terms of this Agreement shall be submitted, if at all, to the grievance/arbitration procedure as called for herein. Failure to initially pursue grievance/arbitration in these instances shall be the basis for a plea in abatement in response to any suit or claim filed with a court of law and/or administrative agency.",Article 30 Grievance Procedure Section 1,corpus/tx_san_antonio/tx_san_antonio_saffa_fire_cba_2024.pdf,"Grievance/contract-interpretation arbitration under Chapter 174; not a Sec.174.1535 compulsory interest-arbitration clause. Already captured verbatim in contracts.csv arbitration_clause_text this session -- reproduced here, not re-extracted."
oh_cincinnati_police_2024,OH,Cincinnati,police,safety,recognition,"the City agrees to recognize the FOP as the exclusive bargaining agent with exclusive bargaining rights for all sworn members of the Cincinnati Police Department up to and including the rank of Specialist.",Article I Recognition,corpus/oh_cincinnati/oh_cincinnati_fop69_police_nonsup_cba_2024_2027.pdf,Non-supervisors unit; narrow unambiguous coverage. Captured in texas_ohio_expansion_text_quality_2026-07-10.csv this session.
oh_cincinnati_police_2024,OH,Cincinnati,police,safety,grievance_arbitration,"a panel of three arbitrators, acceptable to both parties, shall be appointed. The American Arbitration Association [shall provide a list of] arbitrators within thirty (30) calendar days after the receipt of the decision or adjustment...AAA rules shall apply to all arbitration procedures, including the selection of arbitrators. The decision of the arbitrators shall be binding.",grievance-arbitration procedure article (specific article/section number not separately recorded this session),corpus/oh_cincinnati/oh_cincinnati_fop69_police_nonsup_cba_2024_2027.pdf,"Already captured verbatim in contracts.csv arbitration_clause_text this session -- reproduced here, not re-extracted."
oh_cincinnati_other_2025,OH,Cincinnati,other,non_safety,recognition,"The City recognizes Cincinnati Organized and Dedicated Employees, Inc. (CODE) as the exclusive collective bargaining representative for the unit consisting of all regular full-time...and part-time...employees in classifications listed in Attachments A and B of the [SERB] certification...",Article 1 Section 1.1 Recognition,corpus/oh_cincinnati/oh_cincinnati_code_other_cba_2025_2028.pdf,"Coverage is attachment-referenced, not enumerated in body text -- supports this session's recognition-clause-first occupation_class=other classification."
oh_toledo_police_2024,OH,Toledo,police,safety,recognition,"2129.01 Recognition of the Toledo Police Patrolman's Association, Local 10, I.U.P.A. - A.F.L. - C.I.O.",Table of Contents item 2129.01,corpus/oh_toledo/oh_toledo_tppa_police_cba_2024_2026.pdf,"TOC-level confirmation only; full Section 2129.01 body text not separately quoted this session."
oh_toledo_fire_2024,OH,Toledo,fire,safety,recognition,"The City hereby recognizes Toledo Firefighters Local No. 92 of the International Association of Firefighters, AFL-CIO-CLC, as the sole and exclusive representative of all employees of the Toledo Fire and Rescue Department, excluding those of rank or pay grade of Battalion Chief and over...",Section 2125.01 Local 92 Recognition,corpus/oh_toledo/oh_toledo_local92_fire_cba_2024_2026.pdf,Explicit rank ceiling excludes Battalion Chief and above.
oh_toledo_other_2024,OH,Toledo,other,non_safety,recognition,"The City agrees to recognize the Supervisory, Technical and Professional Employees' Union Local 2058 and Ohio Council 8 AFSCME (AFL-CIO) as the sole and exclusive bargaining agent for the employees of the City working...in the classifications that are listed in Section 2105.02...",Section 2105.01 Recognition,corpus/oh_toledo/oh_toledo_afscme2058_other_cba_2024_2027.pdf,"Union's own name (Supervisory, Technical and Professional) plus attachment-referenced classification list -- supports occupation_class=other classification."
oh_toledo_other_2024,OH,Toledo,other,non_safety,narrow_issue_arbitration_reopener,"the parties shall select an arbitrator using the selection procedure set forth in Section 2105.18, 'Definition and Grievance Procedure'. The arbitrator shall conduct a hearing and render a decision following the provisions of the Ohio Public Employee Collective Bargaining Law at Section 4117.14(G), notwithstanding the provisions of 4117.14(D)(1).",Section K health-insurance-cost reopener clause,corpus/oh_toledo/oh_toledo_afscme2058_other_cba_2024_2027.pdf,"Narrow-issue (health-insurance reopener) arbitration, not a general successor-agreement interest-arbitration mechanism -- interest_arbitration_flag correctly left at 0 in contracts.csv. Already captured verbatim in contracts.csv arbitration_clause_text this session -- reproduced here, not re-extracted."
tx_san_antonio_police_2022,TX,San Antonio,police,safety,recognition,"The City hereby recognizes the Association as the sole and exclusive collective bargaining agent for the unit consisting of all sworn Police Officers, except the Chief.","Article 3, Section 1, Recognition",corpus/tx_san_antonio/tx_san_antonio_sapoa_police_cba_2022_2026.pdf,"Recovered via bounded OCR 2026-07-10 (previously unreadable, text_quality=partial); source now text_quality=ocr_messy."
tx_san_antonio_police_2022,TX,San Antonio,police,safety,no_strike,"The Association shall not cause, counsel, or permit its members to strike, slow down, disrupt, impede or otherwise impair the normal functions of the Department; nor refuse to cross any picket line by whoever established, where such refusal would interfere with or impede the performance of the Officer's duties as an employee of the City. The City shall not lock out any Officer.","Article 6, No Strike Clause",corpus/tx_san_antonio/tx_san_antonio_sapoa_police_cba_2022_2026.pdf,Recovered via bounded OCR 2026-07-10.
