action,contract_id,state,city,occupation_class,source_type,source_corpus,retrieval_method,text_quality,source_file,source_url_or_lookup_path,reason,caveat
added,tx_houston_police_2024,TX,Houston,police,cba,causal,public_download,clean,corpus/tx_houston/tx_houston_hpou_police_meet_confer_2024.pdf,https://www.houstontx.gov/hr/hrfiles/classified_testing/agreement_meet_conf.pdf,Successfully fetched public causal agreement source and confirmed identity.,"Start date uses FY2025 wage schedule/negotiation-cycle cue; agreement states effective upon City Council approval and through June 30, 2025."
added,tx_houston_other_2024,TX,Houston,other,cba,causal,public_download,clean,corpus/tx_houston/tx_houston_hope_afscme123_meet_confer_2024.pdf,https://www.houstontx.gov/hr/hrfiles/employee_relations/hope_meet_cof_agrmnt.pdf,Successfully fetched public causal agreement source and confirmed identity.,Broad municipal unit; occupation_class kept other after recognition review.
added,tx_austin_police_2024,TX,Austin,police,cba,causal,public_download,ocr_messy,corpus/tx_austin/tx_austin_apa_police_meet_confer_2024_2029.pdf,https://austin.widen.net/content/ihe4bm1ha5/original/COA-APA-Meet-and-Confer-Agreement---Fully-Executed-10.29.24.pdf?download=true,Successfully fetched public causal agreement source and confirmed identity.,Official source page fetched first; stored file is the linked original PDF.
added,oh_columbus_police_2023,OH,Columbus,police,cba,causal,public_download,clean,corpus/oh_columbus/oh_columbus_fop_lodge9_police_cba_2023_2026.pdf,https://www.columbus.gov/files/sharedassets/city/v/1/human-resources/labor-relations/fop-cba-2023-2026.pdf,Successfully fetched public causal agreement source and confirmed identity.,
added,oh_columbus_fire_2023,OH,Columbus,fire,cba,causal,public_download,clean,corpus/oh_columbus/oh_columbus_iaff67_fire_cba_2023_2026.pdf,https://www.columbus.gov/files/sharedassets/city/v/2/human-resources/labor-relations/iaff-cba-2023-2026.pdf,Successfully fetched public causal agreement source and confirmed identity.,
added,oh_columbus_other_2024,OH,Columbus,other,cba,causal,public_download,clean,corpus/oh_columbus/oh_columbus_afscme1632_cba_2024_2027.pdf,https://www.columbus.gov/files/sharedassets/city/v/1/human-resources/labor-relations/afscme-1632-cba-2024-2027.pdf,Successfully fetched public causal agreement source and confirmed identity.,Broad City class-title unit; occupation_class kept other after recognition review.
added,oh_cleveland_police_2025,OH,Cleveland,police,cba,causal,public_download,clean,corpus/oh_cleveland/oh_cleveland_cppa_patrol_police_cba_2025_2028.pdf,https://www.clevelandohio.gov/sites/clevelandohio/files/hr/cba/2025-2028%20CPPA%20Patrol%20Officers%20CBA.pdf,Successfully fetched public causal agreement source and confirmed identity.,
added,oh_cleveland_fire_2025,OH,Cleveland,fire,cba,causal,public_download,ocr_messy,corpus/oh_cleveland/oh_cleveland_iaff93_fire_cba_2025_2028.pdf,https://www.clevelandohio.gov/sites/clevelandohio/files/hr/cba/2025-2028%20Cleveland%20Firefighters%2C%20Local%2093%20CBA.pdf,Successfully fetched public causal agreement source and confirmed identity.,Image-heavy PDF; identity and selected mechanism passages confirmed through bounded local OCR.
added,oh_cleveland_other_2022,OH,Cleveland,other,cba,causal,public_download,clean,corpus/oh_cleveland/oh_cleveland_afscme_local100_cba_2022_2025.pdf,https://www.clevelandohio.gov/sites/clevelandohio/files/hr/cba/2022-2025%20Local%20100%2C%20AFSCME%20Ohio%20Council%208.pdf,Successfully fetched public causal agreement source and confirmed identity.,"Broad multi-department class-title unit; occupation_class kept other after recognition review. Effective upon ratification; wage schedule begins April 1, 2022 and term runs through March 31, 2025."
not_added_held_out,tx_houston_fire_2024 (tentative -- confirm exact cycle_start/cycle_end from the executed CBA text),TX,Houston,fire,cba,causal,public_download,unknown,corpus/tx_houston/tx_houston_hpffa_fire_cba_2024_2029.pdf,https://www.houstontx.gov/moc/2024/firefighter-contract-agreement.html,"Not in live scope: dry_run_status=needs_url_confirmation, approval_status=approved_first_batch",Located official-city pages did not extract as readable text via ad hoc web fetch; confirm this URL (vs. the Council-committee settlement PDF) holds the full negotiated CBA text before fetch
not_added_context_only,"not_applicable (context document, not a contracts.csv row)",TX,Houston,other,other,context_only,public_download,unknown,corpus/tx_houston/tx_houston_hr_classification_pay_plan_context.pdf,https://www.houstontx.gov/hr/compensation/job-classifications.html,"Not in live scope: dry_run_status=context_only, approval_status=approved_first_batch","Not yet confirmed whether this pre-dates, supplements, or is superseded by the HOPE agreement's wage terms Budget/pay-plan material is context only and must not be written as a causal CBA row."
not_added_held_out,tx_austin_fire_2023 (tentative -- confirm whether the current or the Oct.2025 proposed-successor version should be the target),TX,Austin,fire,cba,causal,public_download,unknown,corpus/tx_austin/tx_austin_iaff975_fire_cba_2023_2025.pdf,https://www.austintexas.gov/labor-relations/fire-collective-bargaining-agreement,"Not in live scope: dry_run_status=needs_url_confirmation, approval_status=approved_first_batch","Live official page is fetchable, but it now surfaces a Dec. 18, 2025 agreement link; confirm whether a 2023-2025 archived agreement is needed for the 2014-2024 window before live fetch."
not_added_held_out,not_applicable,TX,Austin,other,other,context_only,public_download,unknown,corpus/tx_austin/tx_austin_hr_classification_pay_plan_context.pdf,austintexas.gov (specific HR/compensation page URL not directly re-confirmed this session),"Not in live scope: dry_run_status=needs_url_confirmation, approval_status=approved_first_batch",Specific page URL not independently re-confirmed this session -- locate and confirm before fetch; do not guess a URL Budget/pay-plan material is context only and must not be written as a causal CBA row.
