contract_id,state,city,occupation_class,source_role,mechanism,evidence_status,excerpt,excerpt_location,source_file,notes
tx_austin_fire_2023,TX,Austin,fire,fire,peer_comparator_wage_comparability,not_found,,,corpus/tx_austin/tx_austin_afa975_fire_cba_2023_2025.pdf,"The only 'comparab' hit in the document concerns a testing-vendor's ability to produce diverse candidate pools 'in other major or comparable metropolitan cities' (Article on hiring/testing) -- a hiring-vendor comparability standard, not peer-city wage comparability. No wage-comparability/parity-referent language found."
tx_austin_fire_2023,TX,Austin,fire,fire,arbitration_impasse_backstop,present,"This Agreement shall be effective as of the date of the award in the interest arbitration proceeding that implements this Agreement...It shall remain in full force and effect until the 30th day of September, 2025.","Article 30, Section 1 (Term of Agreement)",corpus/tx_austin/tx_austin_afa975_fire_cba_2023_2025.pdf,"A second passage in the same Article states: 'If the parties reach impasse in negotiations for a successor to this Agreement and agree...to submit to mediation or interest arbitration for a successor to this Agreement, then this Agreement shall be extended...until final resolution of such mediation or interest arbitration.' Confirms this Agreement's own effective date traces to a completed interest-arbitration award, and that impasse resolution for a successor is by mutual agreement to arbitrate (Chapter 174 non-compulsory model), not automatic/compulsory as in Houston Fire's Sec.174.1535."
tx_austin_fire_2023,TX,Austin,fire,fire,staffing_recruitment_retention,present,"The City may use civilian contractors and/or one-full time civilian employee, in the Recruiting Section, to recruit applicants for the Fire Department. The Association recognizes that recruiting activities are cyclical and during the months immediately preceding the hiring process, the city may employ additional temporary or part time civilian employees to assist...","Article on Civilian Employees, Section 5 (Recruiting)",corpus/tx_austin/tx_austin_afa975_fire_cba_2023_2025.pdf,
tx_austin_fire_2023,TX,Austin,fire,fire,overtime_callback_minimum_staffing,present,"Overtime will be paid, when necessary, to maintain staffing levels established by the Fire Department's staffing policies.",Overtime Article (Kelly Shift overtime provisions),corpus/tx_austin/tx_austin_afa975_fire_cba_2023_2025.pdf,Ties overtime pay directly to maintaining Department-set staffing levels.
tx_austin_fire_2023,TX,Austin,fire,fire,classification_reclassification_wage_schedule,present,"For Fiscal Year 2023-2024. Effective with the biweekly pay period that begins September 24, 2023, the pay scale attached hereto as Appendix A-...","Article 9, Wages & Benefits, Section on Base Wage Increases",corpus/tx_austin/tx_austin_afa975_fire_cba_2023_2025.pdf,References predecessor 'Appendix A-5 of the 2017-22 Agreement' -- confirms a maintained step/pay-scale schedule across bargaining cycles.
tx_austin_fire_2023,TX,Austin,fire,fire,training_certification_education,present,"Education Incentive Pay and Firefighter Certification Pay -- During the term of this Agreement, the City shall pay eligible Fire Fighters either Educational Incentive Pay or Firefighter Certification Pay at the rates specified in City of Austin Ordinance No. 20140306-010.","Article 9, Wages & Benefits, Section C",corpus/tx_austin/tx_austin_afa975_fire_cba_2023_2025.pdf,
tx_austin_fire_2023,TX,Austin,fire,fire,premium_pay_differentials,present,"...each Fire Fighter who received Bilingual Translation Pay or Staff Schedule Pay at any time between July 1, 2023 and the effective date of this Agreement shall receive a lump sum payment in the gross amount equal to the difference in the pay rates for those special pays...","Article 9, Wages & Benefits, retroactive lump-sum provisions",corpus/tx_austin/tx_austin_afa975_fire_cba_2023_2025.pdf,
tx_austin_fire_2023,TX,Austin,fire,fire,subcontracting_outsourcing,not_found,,,corpus/tx_austin/tx_austin_afa975_fire_cba_2023_2025.pdf,"No 'subcontract' or 'contracting out' language matched in the extracted text. The Recruiting Section permits civilian contractors for recruiting support only, distinct from subcontracting of Fire Fighter duties."
tx_austin_fire_2023,TX,Austin,fire,fire,total_compensation_benefits,present,...responsible for paying all costs of the program of counseling and/or rehabilitation which are not covered by the Fire Fighter's health insurance plan.,Drug/Alcohol Impairment Article,corpus/tx_austin/tx_austin_afa975_fire_cba_2023_2025.pdf,Health insurance is referenced as an existing benefit throughout the document (7 matches); this excerpt is the clearest single verbatim mention. Pension is referenced 24 times but appears to be primarily procedural (TCDRS-related administrative language) rather than a negotiated benefit-design clause; not quoted here to avoid over-characterizing.
tx_austin_fire_2023,TX,Austin,fire,fire,safety_risk_public_safety,present,The City and the Association agree that Fire Fighters work in hazardous situations and that their readiness to perform emergency functions cannot be compromised by impairment from the use of illegal drugs or controlled substances.,"Drug/Alcohol Impairment Article, opening paragraph",corpus/tx_austin/tx_austin_afa975_fire_cba_2023_2025.pdf,"Article 32, Line of Duty Deaths, is a second safety-risk-relevant article: 'In the event of a Line of Duty Death (LODD) in the Austin Fire Department, the Fire Chief may authorize TCFP Certified Fire Fighters employed by other municipalities to ride on AFD apparatus as temporary volunteer replacements...'"
