candidate_id,lane_id,priority_tier,quality_label,gap_priority_score,gap_priority_reason,source_url_or_locator,source_title,municipality,state,derived_region,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,same_city_match_status,overlapping_cycle_status,verification_status,verification_reason,verified_municipality,verified_state,verified_region,verified_unit_type,verified_source_family,verified_contract_or_document_period,locator_accessibility_status,verification_timestamp,candidate_only_lineage_status
TS4L-0004eda460008d8c0843,lane_1,tier_c,verification_ready_medium,147,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://www.optouttoday.com/wp-content/uploads/2018/05/afscme_contract_albany_15-18.pdf,AFSCME Contract (Albany) 15-18 (CEA-ratified agreement PDF copy),Albany,NY,Northeast,non_safety_comparator,AFSCME-represented municipal employees (non-police/non-fire unit implied by AFSCME common use; exact unit details not confirmed here),AFSCME (Council/local not confirmed from lead snippet only),2015-2018 (overlaps expected 2016-2022 successor window partially),2016,2018,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Same-city (City of Albany, NY)",Overlaps expected period (2016-2022) for years 2016-2018 only,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Albany,NY,Northeast,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,2015-2018 (overlaps expected 2016-2022 successor window partially),head_http_200,2026-07-27T12:57:43Z,verified_source_lead_not_downloaded
TS4L-02335aaa610656d2497a,lane_1,tier_c,verification_ready_low,139,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://missouricitytx.civicweb.net/document/279973/Consideration%20and%20Possible%20Action%20-%20Second%20and%20.pdf?handle=4C855C7A776D4E688B1DFD7059137120,"24-284 AGENDA REQUEST — Consideration and Possible Action (Second and Final Reading): civil service pay increases (effective May 5, 2024 referenced in memo background)",Missouri City,TX,South,non_safety_comparator,non_safety_comparator,,"Effective May 5, 2024 (civil service pay changes referenced in memo)",,,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Missouri City, TX","Overlaps (Aug 1, 2023–Sep 30, 2024) via May 5, 2024 effective date",verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Missouri City,TX,South,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,"Effective May 5, 2024 (civil service pay changes referenced in memo)",head_http_200,2026-07-27T12:58:37Z,verified_source_lead_not_downloaded
TS4L-029313105c05da88a886,lane_1,tier_c,verification_ready_low,137,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|non_cba_or_special_source_signal|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://werc.wi.gov/grievance_awards/6401.pdf,"BEFORE THE ARBITRATOR - General Teamsters Union, Local 662 & School District of New Richmond, New Richmond, Wisconsin (WERC grievance award MA-11555, Case 50 No. 60182) (PDF)",New Richmond,WI,Midwest,non_safety_comparator,School district bargaining unit (teamsters; likely non-safety staff such as custodial/clerical/transport-related depending on unit terms),"General Teamsters Union, Local 662 (affiliated/represented in arbitration proceedings)",unclear,,,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same city (New Richmond, WI) - municipality appears as the employer (School District of New Richmond)",unknown,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,New Richmond,WI,Midwest,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,unclear,head_http_200,2026-07-27T12:59:00Z,verified_source_lead_not_downloaded
TS4L-0419d32500648846ffa0,lane_1,tier_c,verification_ready_medium,144,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://www.oleanschools.org/fs/resource-manager/view/72fc21eb-8a30-4edc-85b8-64b02f70da9f,CONTRACT OLEAN CITY SCHOOL DISTRICT and OLEAN EDUCATIONAL SUPPORT PERSONNEL ASSOCIATION (OESPA) (pdf),Olean,NY,Northeast,non_safety_comparator,Education Support Personnel (classified civil service positions),Olean Educational Support Personnel Association (OESPA),"Begins: July 1, 2021; Ends: June 30, 2025",2021-06-01,2026-05-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match,partial_overlap,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Olean,NY,Northeast,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,"Begins: July 1, 2021; Ends: June 30, 2025",head_http_200,2026-07-27T12:58:09Z,verified_source_lead_not_downloaded
TS4L-043b6ad53687431e3b68,lane_1,tier_c,verification_ready_medium,136,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-01-0023.pdf,"Collective Bargaining Agreement (SERB) — City of Loveland (Effective May 5, 2020 through May 1, 2023)",Loveland,OH,Midwest,non_safety_comparator,non_safety_comparator,,"Effective May 5, 2020 through May 1, 2023",2020-05-05,2023-05-01,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"match (City of Loveland, OH)",overlapping (matches requested effective period),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Loveland,OH,Midwest,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,"Effective May 5, 2020 through May 1, 2023",head_http_200,2026-07-27T12:59:00Z,verified_source_lead_not_downloaded
TS4L-05dc4525a5bc3db46686,lane_1,tier_c,verification_ready_medium,139,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://campussuite-storage.s3.amazonaws.com/prod/1558962/97d3dc2a-f5c0-11e9-949f-12c65c926202/2849869/c4b2c9ca-7777-11ef-b130-0a58a9feac02/file/MPESPA%20CBA%202024-2029%20Approved%209_19_24.pdf,Collective Bargaining Agreement — Board of Education of Mount Prospect School District 57 and the Mount Prospect Educational Support Personnel Association (MPESPA) (Approved 9/19/24),Mount Prospect,IL,Midwest,non_safety_comparator,Educational support personnel (MPESPA unit),Mount Prospect Educational Support Personnel Association (MPESPA),2024–2029 (PDF labeled as MPESPA CBA 2024–2029),2024-01-01,2025-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,Mount Prospect School District 57 (same-city match expected from source title/affiliation),Overlaps expected period 2023–2025 via 2024–2025 portion,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Mount Prospect,IL,Midwest,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,2024–2029 (PDF labeled as MPESPA CBA 2024–2029),head_http_200,2026-07-27T12:58:35Z,verified_source_lead_not_downloaded
TS4L-061275e55166380a5524,lane_1,tier_c,verification_ready_medium,156,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|non_cba_or_special_source_signal|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://lackawannany.gov/wp-content/uploads/2018/03/2013-CM.pdf,Lackawanna City Council meeting materials (2013 CM) — includes “Non Bargaining Unit Veto” referencing Chapter 36-19: Wage Schedule and Classification,Lackawanna,NY,Northeast,non_safety_comparator,Non-bargaining-unit employees (non-safety comparator group),Non-Bargaining-Unit Employees (referenced via Chapter 36-19),2013 City Council communications referencing Chapter 36-19 wage schedule/classification (context around non-bargaining-unit wage schedule changes),2009-08-01,2017-07-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same-city (Lackawanna, NY)",inferred overlap with 8/1/2009–7/31/2017 as a mid-cycle amendment/context lead,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Lackawanna,NY,Northeast,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,2013 City Council communications referencing Chapter 36-19 wage schedule/classification (context around non-bargaining-unit wage schedule changes),head_http_200,2026-07-27T12:57:42Z,verified_source_lead_not_downloaded
TS4L-06fb92b2160faed373d2,lane_1,tier_c,verification_ready_medium,144,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://mccmeetings.blob.core.usgovcloudapi.net/eustisfl-pubu/MEET-Packet-9831fbedca7149c0bfd79905f857ec63.pdf,Eustis City Commission Meeting packet — Resolution Number 25-73 snippet approving IAFF Fire Lieutenant Unit contract 10/1/2024 – 9/30/2027,Eustis,FL,South,non_safety_comparator,Fire (not verified as non-safety comparator),IAFF Fire Lieutenant Unit (Local name not confirmed from snippet),10/1/2024 – 9/30/2027 (as stated in snippet),2024-10-01,2027-09-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Eustis, FL (Eustis City Commission meeting packet)",Direct overlap with FY 2024-2027 and matches duration through 9/30/2027,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Eustis,FL,South,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,10/1/2024 – 9/30/2027 (as stated in snippet),head_http_200,2026-07-27T12:58:09Z,verified_source_lead_not_downloaded
TS4L-0bbd4602a4b08a27c19f,lane_1,tier_c,verification_ready_low,139,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|south_or_northeast_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://www.lodi-nj.org/Home/DownloadDocument?docId=2729458d-5dff-41db-a85e-3d5e7a58caf6,"Lodi, NJ — Council meeting agenda download referencing Resolution No. 25-77 entering into an Agreement with Lodi Public Works Employee Association IUJAT Local 1N",Lodi,NJ,Northeast,non_safety_comparator,Public works / DPW (IUJAT Local 1N unit referenced),"Lodi Public Works Employee Association (United Service Workers Union), IUJAT, Local 1N",2025-2029,,,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same-city: Borough of Lodi, NJ",cycle overlap unknown (document period not captured in lead text),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Lodi,NJ,Northeast,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,2025-2029,head_http_200,2026-07-27T12:58:37Z,verified_source_lead_not_downloaded
TS4L-0cb8665dbbcc2d3fd8fb,lane_1,tier_c,verification_ready_medium,136,memo_gap_non_safety_constraint_signal|parity_internal_equity_gap|gap_narrowing_gap|non_safety_unit_gap|quantitative_linkage_signal|same_city_counterpart_value|cycle_metadata_value,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-10-1458.pdf,Collective Bargaining Agreement (SERB) — Mount Healthy City School District and Association (effective 7/1/2021–6/30/2022),Mount Healthy,OH,Midwest,non_safety_comparator,Certificated or other school district bargaining group (occupation group not fully specified in snippet),,"July 1, 2021 through June 30, 2022",2021-07-01,2022-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city,overlaps_expected_period,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Mount Healthy,OH,Midwest,non_safety_comparator,collective_bargaining_agreement_or_moa_or_wage_schedule,"July 1, 2021 through June 30, 2022",head_http_200,2026-07-27T12:59:00Z,verified_source_lead_not_downloaded
