state,municipality,unit_type,contract_or_document_period,download_queue_rows,retained_sources,coverage_status
AL,Alabaster,safety_and_non_safety_bargaining_units,2014-2024 (archive item; period not specified in locator),1,1,retained_source_not_ingested
AL,Alabaster,safety_and_non_safety_bargaining_units,2014-2024 (attachment published/available within municipal meeting system timeframe; exact labor cycle not specified in locator),1,1,retained_source_not_ingested
AL,Alabaster,safety_and_non_safety_bargaining_units,2014-2024 (document index; period not specified in locator),1,1,retained_source_not_ingested
AL,Hartselle,safety_and_non_safety_compensation_units,(page states) Current Pay Plan as of October 2025 (not a 2014-2024 dated series on-page),1,1,retained_source_not_ingested
AL,Jacksonville,safety_and_non_safety_compensation_units,2014-2024 target window,1,0,no_retained_source_in_tier_c
AL,Millbrook,safety_and_non_safety_compensation_units,document dated/published 2019-08 (benefits summary; compensation-related terms may be referenced indirectly),1,1,retained_source_not_ingested
AL,Millbrook,safety_and_non_safety_compensation_units,index page containing agenda entries (includes an example: “RESOLUTION 26-38 Amending Resolution 14-01. Personnel Policy.”),1,1,retained_source_not_ingested
AL,Prichard,non_safety_municipal_units,2014-2024 (document contains jurisdiction-effective entries; Prichard non-public safety referenced for specific effective dates),1,1,retained_source_not_ingested
AR,Bryant,non_safety_municipal_units,2018 budget book (target window: 2014-2024),1,1,retained_source_not_ingested
AR,Bryant,non_safety_municipal_units,2019 budget book (target window: 2014-2024),1,1,retained_source_not_ingested
AR,Bryant,non_safety_municipal_units,2020 budget book (target window: 2014-2024),1,1,retained_source_not_ingested
AR,El Dorado,safety_and_non_safety_compensation_units,2014-2024 (searchable archive; exact document years need follow-up),1,1,retained_source_not_ingested
AR,El Dorado,safety_and_non_safety_compensation_units,2019-02-26 publication (pay raise ordinance context; exact effective dates need follow-up),1,0,no_retained_source_in_tier_c
AR,Hot Springs,non_safety_comparator,"2024-2025 (""24.25"" in title/locator)",1,1,retained_source_not_ingested
AR,Hot Springs,non_safety_comparator,"2024-2025 school year (listed as Classified Salary Schedules, 2024-2025)",1,1,retained_source_not_ingested
AR,Van Buren,non_safety_municipal_units,"Ongoing code provisions; includes ordinance updates such as Ord. No. 13-2024 (May 28, 2024) referenced within compensation sections",1,0,no_retained_source_in_tier_c
AR,West Memphis,non_safety_municipal_units,2016 (report archive item),1,1,retained_source_not_ingested
AR,West Memphis,non_safety_municipal_units,FY2024 (budget archive item),1,1,retained_source_not_ingested
AZ,Bullhead City,safety_and_non_safety_bargaining_units,"July 1, 2024–June 30, 2027",1,1,retained_source_not_ingested
AZ,Coolidge,non_safety_municipal_units,Fiscal Year 2017,1,1,retained_source_not_ingested
AZ,El Mirage,safety_and_non_safety_bargaining_units,Expires on/around June 30 (exact year/term not confirmed from locator snippet),1,1,retained_source_not_ingested
AZ,El Mirage,safety_and_non_safety_bargaining_units,Referenced arbitration decision: December 2021 (MOU referenced; contract dates not confirmed in the locator result),1,1,retained_source_not_ingested
AZ,Prescott Valley,safety_and_non_safety_bargaining_units,Fiscal Year 2022-23 (explicitly referenced in the snippet),1,0,no_retained_source_in_tier_c
CA,Elk Grove,non_safety_comparator,"Salary schedule file includes effective and revised dates (e.g., effective 7/13/2025; revised 12/14/2025 shown in search snippet)",1,1,retained_source_not_ingested
CA,Elk Grove,non_safety_comparator,Unrepresented Compensation Policy effective for unrepresented employees (as authorized in staff report/resolution packet); city-wide salary schedule adopted in FY2026-27 context,1,1,retained_source_not_ingested
CA,Garden Grove,non_safety_comparator,"2018 (effective March 14, 2018 per document header)",1,1,retained_source_not_ingested
CA,Garden Grove,non_safety_comparator,2022 (effective 07/09/2022 per document context),1,1,retained_source_not_ingested
CA,Santa Cruz,non_safety_comparator,Expected to include 2024–(term not confirmed from lead search result snippet),1,1,retained_source_not_ingested
CO,Denver,non_safety_comparator,"In full force and effect until December 31, 2022 (effective/term language appears in document snippet)",1,1,retained_source_not_ingested
CO,Fruita,safety_and_non_safety_compensation_units,"2024 Budget overview (meeting dated Sept 26, 2023)",1,1,retained_source_not_ingested
CT,Ellington,safety_and_non_safety_compensation_units,"July 1, 2022 - June 30, 2025",1,1,retained_source_not_ingested
CT,Glastonbury,safety_and_non_safety_bargaining_units,"Arbitration awards compilation issue (2014 Issue No. 1); includes an entry for Glastonbury City of & Glastonbury Police Officers Association (date shown in source index: Aug. 10, 2012; docket shown in source index: 2012–A–0032)",1,1,retained_source_not_ingested
CT,Groton,safety_and_non_safety_bargaining_units,"Unspecified on landing page; contains links to various CBA periods (some outside 2014–2024, but likely includes relevant time-window documents via related documents listing/archived items)",1,1,retained_source_not_ingested
CT,Guilford,non_safety_municipal_units,2016–2020 (per file name; agreement period not fully revalidated here),1,1,retained_source_not_ingested
CT,Guilford,non_safety_municipal_units,"Effective July 1, 2018 through June 30, 2021 (per document excerpt)",1,1,retained_source_not_ingested
CT,New Milford,safety_and_non_safety_bargaining_units,"July 1, 2023 – June 30, 2027",1,0,no_retained_source_in_tier_c
CT,Newington,safety_and_non_safety_bargaining_units,multiple (includes contracts covering parts of 2014-2024),1,1,retained_source_not_ingested
CT,North Haven,non_safety_municipal_units,"Four-year agreement (retroactive and effective pay increases described; article dated Feb 13, 2014)",1,1,retained_source_not_ingested
CT,Plainville,safety_and_non_safety_compensation_units,"July 1, 2023 — June 30, 2026",1,1,retained_source_not_ingested
CT,Plainville,safety_and_non_safety_compensation_units,RFP issued for study (associated timeframe not explicitly fixed in the page snippet),1,0,no_retained_source_in_tier_c
CT,Ridgefield,non_safety_municipal_units,2014-2024 target window,1,1,retained_source_not_ingested
CT,Seymour,safety_and_non_safety_compensation_units,"Language indicates agreement entered into effective July 1, 2017 (full term not extracted)",1,1,retained_source_not_ingested
CT,Stratford,safety_and_non_safety_bargaining_units,"Multiple contract periods listed on page (e.g., Fire: 7/1/2022–6/30/2026; Police: 7/1/2021–6/30/2025) (as shown on page)",1,0,no_retained_source_in_tier_c
CT,Vernon,safety_and_non_safety_bargaining_units,2014-2024 (article references a Connecticut statutory arbitration dispute; exact award/contract dates not captured in the search snippet),1,0,no_retained_source_in_tier_c
CT,Vernon,safety_and_non_safety_bargaining_units,2014-2024 (listed agreements may include this window),1,0,no_retained_source_in_tier_c
CT,Windham,non_safety_municipal_units,contract expiration listed as 6/30/2024 (municipal employees),1,1,retained_source_not_ingested
CT,Windham,non_safety_municipal_units,tentative/approved proposed CBA(s) adopted on 2024-05-21 (exact successor terms not visible in search snippet),1,1,retained_source_not_ingested
FL,Eustis,non_safety_comparator,10/1/2024 – 9/30/2027 (as stated in snippet),1,0,no_retained_source_in_tier_c
FL,Eustis,non_safety_comparator,"Effective through September 30, 2027 (term described as three-year period; snippet also references 10/1/2024 wage increase)",1,1,retained_source_not_ingested
FL,Hialeah,non_safety_comparator,"October 1, 2023 - September 30, 2026",1,1,retained_source_not_ingested
FL,Miami Gardens,non_safety_comparator,"Effective October 1, 2022 through September 30, 2025",1,1,retained_source_not_ingested
FL,New Port Richey,non_safety_comparator,Fiscal Years 2024-2025; 2025-2026; 2026-2027,1,1,retained_source_not_ingested
FL,Niceville,non_safety_comparator,"July 1, 2023 through June 30, 2026",1,1,retained_source_not_ingested
FL,Niceville,non_safety_comparator,Master Contract 2024-2027 (page indicates the 24-27 contract is available),1,1,retained_source_not_ingested
FL,Palm Bay,non_safety_comparator,10/01/2021 - 9/30/2024,1,1,retained_source_not_ingested
FL,Palm Bay,non_safety_comparator,10/1/21 - 09/30/24,1,1,retained_source_not_ingested
FL,Palm Beach Gardens,non_safety_comparator,2023-2025,1,1,retained_source_not_ingested
FL,Sanford,non_safety_comparator,"Effective starting January 1, 2022 forward; used as part of overall CBA until further notice / until amended into future CBAs (per visible lead text)",1,1,retained_source_not_ingested
FL,West Park,safety_and_non_safety_compensation_units,Not determined (document published ~6.7 years ago; contains comparative classification/compensation tables referencing West Park),1,1,retained_source_not_ingested
FL,Winter Garden,non_safety_comparator,"October 1, 2024 to September 30, 2027",1,1,retained_source_not_ingested
GA,Americus,safety_and_non_safety_compensation_units,Likely prior-year study referenced in 2019 article (exact period not specified in snippet),1,1,retained_source_not_ingested
GA,Atlanta,non_safety_comparator,unclear,1,1,retained_source_not_ingested
GA,Buford,non_safety_municipal_units,Fiscal Year 2014,1,1,retained_source_not_ingested
GA,Calhoun,non_safety_municipal_units,FY2016 budget document (2016 budget),1,1,retained_source_not_ingested
GA,Cartersville,non_safety_municipal_units,FY2014 (City budget report; includes personnel/pay and budgeted expenditure context),1,1,retained_source_not_ingested
GA,Cartersville,non_safety_municipal_units,FY2022-2023 (City budget PDF),1,1,retained_source_not_ingested
