candidate_id,lane_id,priority_tier,verification_status,dry_run_status,live_download_status,pdf_page_access_planned,text_extraction_planned,ocr_planned
TS4L-0004eda460008d8c0843,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-02335aaa610656d2497a,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-029313105c05da88a886,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-0419d32500648846ffa0,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-043b6ad53687431e3b68,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-05dc4525a5bc3db46686,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-061275e55166380a5524,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-06fb92b2160faed373d2,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-0bbd4602a4b08a27c19f,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-0cb8665dbbcc2d3fd8fb,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-0f354a5935bad3aee436,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-11df7e4f45e8553b14ae,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-13011dee35fe595fb7b4,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-14b7a45e94724ad1cbbe,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-15f87c90310db48bb036,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-17f61520f8305d89ab1d,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-1912acc0162402646dd3,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-1fa0df5acd3f57e78df3,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-211fdcf6f6c4860e4049,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-2180f325dfca28ec355a,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-22a60e21a312b77db18c,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-2989e9a3654a49a8b811,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
TS4L-2ccd244d025dee4872f6,lane_1,tier_c,verified_source_lead,ready_for_bounded_get_download,not_started,no,no,no
