retained_source_id,candidate_id,file_sha256,file_size_bytes,local_retained_path,duplicate_file_group_id
RS556-e3d686b4033c3260e79d,TS4L-0004eda460008d8c0843,1e8bc69cc02db394d679c597430f41dae85b9356fcc7cdef0802e42c18118f15,4140325,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-e3d686b4033c3260e79d.pdf,
RS556-ab92837eb21349211dd9,TS4L-029313105c05da88a886,987657005d6e587dc14f5beb8d741ed88885312fb7eb987f52dde01b35fae717,146317,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-ab92837eb21349211dd9.pdf,
RS556-11e6a472fd1a34eefe9d,TS4L-0419d32500648846ffa0,1089df91abab2987f24e658877628acda812e1de9368970eae6e558f5acbf372,518505,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-11e6a472fd1a34eefe9d.pdf,
RS556-bdda97f8abb62ab3bcd3,TS4L-043b6ad53687431e3b68,a3aa3947df71d0cb1ef910e39c64709224f9b5adf16272b3a3621d27953b161b,2223220,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-bdda97f8abb62ab3bcd3.pdf,
RS556-02489917ab0e7e498ce4,TS4L-05dc4525a5bc3db46686,a2c98b60f790a71d7950afbac538f02c90e9f7c46ef91813ab30fd71190743b7,1006041,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-02489917ab0e7e498ce4.pdf,
RS556-efe63c962e406b1b8801,TS4L-061275e55166380a5524,da97a92e113eef20c697455708c473e50ae4fd4164beab91d60cefb114e9ac01,1251639,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-efe63c962e406b1b8801.pdf,
RS556-60dc5422d0888220eb80,TS4L-0bbd4602a4b08a27c19f,5ff6debfcd0b12b55d523698c69f1deefa6b30051cbbb152ee4fa773deee2156,115546,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-60dc5422d0888220eb80.pdf,
RS556-22bd33e84a15a9bd719e,TS4L-0cb8665dbbcc2d3fd8fb,2aeb123e600caec8273ab679d76f5d9be64acd46dcc5969128495cb21d0635f7,7567545,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-22bd33e84a15a9bd719e.pdf,
RS556-3e896a1391d0d5ac4168,TS4L-0f354a5935bad3aee436,3c3cf32a123f39e14ef79e266c8049b9b6f06b97740a10045e96458e2f68cef5,4421,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-3e896a1391d0d5ac4168.html,
RS556-259bc782293ece178105,TS4L-11df7e4f45e8553b14ae,bb0a2571e13775c7b2a494c8b0fabb2627d2e94b62d3e317baba07e8ea0ee7f5,13094600,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/retained_sources/RS556-259bc782293ece178105.pdf,
