extracted_text_id,retained_source_id,candidate_id,lane_id,target_mechanism_family,dry_run_status,live_span_extraction_status,artifact_hash_valid,url_open_planned,download_planned,ocr_planned,pdf_rendering_planned,model_api_planned,rating_planned
TXT321-bc5dc814edcf2071b654,RS429-00687c2dc8237bf7b72f,TS4L-b682e7b98c855c406ef9,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-52e695953bb83e2d07dd,RS429-035152075d9d3928aab9,TS4L-9d76845fdf24db968375,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-07bcf0d10677312b78d4,RS429-039b02c28c27a26001dc,TS4L-7b27c18ad36f3513f1b9,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-0f066060de43dd015a09,RS429-08d677b98576ecebb03d,TS4L-fd41859209501998826d,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-74ffcbd5074794206091,RS429-0d02559995800650d5e8,TS4L-4a4cb123a1f2ff8ccef6,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-55163f492e217a7d0a4f,RS429-0fdd483045f8e4450d41,TS4L-28cea38d600b12352ef4,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-52a86f8e6add1466f100,RS429-10cc3df77f2a35331854,TS4L-66d5846bd673c3beeb07,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-b39b4b165665df8de027,RS429-12a888398310e59c3de8,TS4L-e4112ce5dfe0216f7e9a,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-08ee11403679979567e7,RS429-1a3717d800a5535b108f,TS4L-b617721424fd9353ae37,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-c674157fde204001e71e,RS429-23604e91ded43eaad9c1,TS4L-094708a83d131ff8adf8,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-64a557a3ceaacb162b0f,RS429-267674a9d23a3a211a21,TS4L-cc8b2bb57e261f03abe6,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-0568c09098616713ffed,RS429-29d55cef32a1ed7be923,TS4L-0747cbb350fcb4663219,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-3beffddca66989d90f3b,RS429-3412bf7cc2c1b398ec1b,TS4L-97cae2bbc60da28063b2,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-d19dbd157700cc981add,RS429-35a81f9f96d2922af1a3,TS4L-5bd718d79151d037d9b5,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-70ca6cc56db65bd5d8d4,RS429-3dd9f1327324a10bd53e,TS4L-0c36220e2a172042f55b,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-5824e1c8a1dbbcd55d7f,RS429-40b64a3c7f9fdb4151d8,TS4L-a88a6fd0bfcb97dfec6d,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-19e2ab8c4618baeb0387,RS429-42f9f73c43a825c2cf74,TS4L-634d30d6b1140190fbca,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-73ec7a8e9c1097281328,RS429-44d901181b5403eb7732,TS4L-e3a3bb323bbf2f5de1ae,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-464d27d12aa42fe2cfa0,RS429-45ef3ee3fd84983daf7b,TS4L-e9665cf11ecd27438dee,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-5b690939a7f0cf1abd2e,RS429-47facab99fd82306e038,TS4L-8b41f21259d77beb1c57,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-1d92566b12e4194c5eb9,RS429-4a85f0efcda6709eff33,TS4L-24988abb8b5b0a3c7f3e,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-2e5f1734ccdde1566a5e,RS429-4b5a7f6a77b9e64deec8,TS4L-4e617afe327acb786e49,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-14e8dc1b2ebfc64446cb,RS429-50cd29f1eb1c7e2da961,TS4L-b26fb70c654e89b16f24,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-66edc0222772efdf36b8,RS429-5140910d25ffa73549f5,TS4L-0f6866242602749c909b,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-f9ec8b70bf70cc5d2a2a,RS429-516bcb125496f9abad35,TS4L-327a52164af278d0e51f,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-8704266d9401f69c6d61,RS429-5409652bf0e90bd3cf4c,TS4L-b2fef76c51996bf48d5f,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
TXT321-13dc53992885a0d76fd7,RS429-55a1c826e4c7f79f15a3,TS4L-eed5bbf802bf4ab2e768,lane_1,non_safety_constraint_signal,ready_for_deterministic_exact_span_search,not_started,true,no,no,no,no,no,no
