claim_id,attribute_id,claim_type,provisional_claim_text,present_count,valid_row_denominator,strong_or_moderate_count,provisional_direction_count,claim_boundary,next_data_needed,review_status
summary_claim_01,implementation_or_retroactivity_advantage,documentary_mechanism_claim,"Within the 636 valid-rated collected rows, implementation_or_retroactivity_advantage is present in 171 rows (26.9%), providing bounded textual support for documentary mechanism review.",171,636,48,46,"Collected-corpus textual rating only; no actual wage effect, population prevalence, or causal conclusion is supported.",targeted matched safety/non-safety documents and separately authorized quantitative claim triage,bounded_provisional_review_allowed
summary_claim_02,automatic_raise_mechanism,documentary_mechanism_claim,"Within the 636 valid-rated collected rows, automatic_raise_mechanism is present in 109 rows (17.1%), providing bounded textual support for documentary mechanism review.",109,636,73,77,"Collected-corpus textual rating only; no actual wage effect, population prevalence, or causal conclusion is supported.",targeted matched safety/non-safety documents and separately authorized quantitative claim triage,bounded_provisional_review_allowed
summary_claim_03,base_wage_direct_value,documentary_mechanism_claim,"Within the 636 valid-rated collected rows, base_wage_direct_value is present in 100 rows (15.7%), providing bounded textual support for documentary mechanism review.",100,636,63,39,"Collected-corpus textual rating only; no actual wage effect, population prevalence, or causal conclusion is supported.",targeted matched safety/non-safety documents and separately authorized quantitative claim triage,bounded_provisional_review_allowed
summary_claim_04,non_base_compensation_signal,documentary_mechanism_claim,"Within the 636 valid-rated collected rows, non_base_compensation_signal is present in 76 rows (11.9%), providing bounded textual support for documentary mechanism review.",76,636,44,48,"Collected-corpus textual rating only; no actual wage effect, population prevalence, or causal conclusion is supported.",targeted matched safety/non-safety documents and separately authorized quantitative claim triage,bounded_provisional_review_allowed
summary_claim_05,rank_or_specialization_premium,documentary_mechanism_claim,"Within the 636 valid-rated collected rows, rank_or_specialization_premium is present in 27 rows (4.2%), providing bounded textual support for documentary mechanism review.",27,636,11,18,"Collected-corpus textual rating only; no actual wage effect, population prevalence, or causal conclusion is supported.",targeted matched safety/non-safety documents and separately authorized quantitative claim triage,bounded_provisional_review_allowed
summary_claim_06,bargaining_power_signal,documentary_mechanism_claim,"Within the 636 valid-rated collected rows, bargaining_power_signal is present in 22 rows (3.5%), providing bounded textual support for documentary mechanism review.",22,636,8,11,"Collected-corpus textual rating only; no actual wage effect, population prevalence, or causal conclusion is supported.",targeted matched safety/non-safety documents and separately authorized quantitative claim triage,bounded_provisional_review_allowed
summary_claim_07,market_or_comparability_pressure,documentary_mechanism_claim,"Within the 636 valid-rated collected rows, market_or_comparability_pressure is present in 21 rows (3.3%), providing bounded textual support for documentary mechanism review.",21,636,9,15,"Collected-corpus textual rating only; no actual wage effect, population prevalence, or causal conclusion is supported.",targeted matched safety/non-safety documents and separately authorized quantitative claim triage,bounded_provisional_review_allowed
summary_claim_08,parity_or_internal_equity_signal,documentary_mechanism_claim,"Within the 636 valid-rated collected rows, parity_or_internal_equity_signal is present in 9 rows (1.4%), providing bounded textual support for documentary mechanism review.",9,636,2,9,"Collected-corpus textual rating only; no actual wage effect, population prevalence, or causal conclusion is supported.",targeted matched safety/non-safety documents and separately authorized quantitative claim triage,bounded_provisional_review_allowed
summary_claim_09,fiscal_constraint_signal,documentary_mechanism_claim,"Within the 636 valid-rated collected rows, fiscal_constraint_signal is present in 6 rows (0.9%), providing bounded textual support for documentary mechanism review.",6,636,2,3,"Collected-corpus textual rating only; no actual wage effect, population prevalence, or causal conclusion is supported.",targeted matched safety/non-safety documents and separately authorized quantitative claim triage,bounded_provisional_review_allowed
summary_claim_10,strike_or_no_strike_constraint,documentary_mechanism_claim,"Within the 636 valid-rated collected rows, strike_or_no_strike_constraint is present in 4 rows (0.6%), providing bounded textual support for documentary mechanism review.",4,636,2,0,"Collected-corpus textual rating only; no actual wage effect, population prevalence, or causal conclusion is supported.",targeted matched safety/non-safety documents and separately authorized quantitative claim triage,bounded_provisional_review_allowed
summary_claim_11,gap_narrowing_signal,documentary_mechanism_claim,"Within the 636 valid-rated collected rows, gap_narrowing_signal is present in 2 rows (0.3%), providing bounded textual support for documentary mechanism review.",2,636,0,1,"Collected-corpus textual rating only; no actual wage effect, population prevalence, or causal conclusion is supported.",targeted matched safety/non-safety documents and separately authorized quantitative claim triage,bounded_provisional_review_allowed
summary_claim_12,non_safety_constraint_signal,not_supported_this_phase,"The 636 valid-rated collected rows contain no positive non_safety_constraint_signal rating; this is a current-corpus gap, not evidence that the mechanism is absent outside the reviewed texts.",0,636,0,0,"Collected-corpus textual rating only; no actual wage effect, population prevalence, or causal conclusion is supported.",targeted matched safety/non-safety documents and separately authorized quantitative claim triage,more_data_required
summary_claim_13,safety_advantage_signal,not_supported_this_phase,"The 636 valid-rated collected rows contain no positive safety_advantage_signal rating; this is a current-corpus gap, not evidence that the mechanism is absent outside the reviewed texts.",0,636,0,0,"Collected-corpus textual rating only; no actual wage effect, population prevalence, or causal conclusion is supported.",targeted matched safety/non-safety documents and separately authorized quantitative claim triage,more_data_required
