target_id,municipality_id,municipality,state,region,county,government_type,population,population_band,official_website_available,expected_query_difficulty,lane_id,lane_sequence,source_family_query_family,source_corpus_routing_hint,growth_continuity_query_hint,primary_query,secondary_query,allowed_search_scope,eligible_universe_lineage,covered_union_lineage,prior_coverage_status,unscouted_selection_reason,prior_durable_exclusion_flag,prior_durable_exclusion_reason,planned_status,live_status,checkpoint_status,global_analysis_readiness
BRM5-20260731-03742,cog_2025_208071,Ackworth,IA,Midwest,Warren County (19181; primary),municipal,117,under_1000,false,limited_official_site,scout_lane_002,1,salary_pay_ordinance,causal_or_pay_record,COLA CPI wage increase,"""Ackworth"" IA salary ordinance pay ordinance compensation","""Ackworth"" IA COLA CPI wage increase",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-03743,cog_2025_126597,Arion,IA,Midwest,Crawford County (19047; primary),municipal,95,under_1000,false,limited_official_site,scout_lane_002,2,budget_pay_plan,causal_or_pay_record,step schedule progression grades,"""Arion"" IA municipal budget pay plan compensation","""Arion"" IA step schedule progression grades",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-03744,cog_2025_204463,Arlington,IA,Midwest,Fayette County (19065; primary),municipal,418,under_1000,true,standard_official_site,scout_lane_002,3,compensation_classification_plan,causal_or_pay_record,retroactive wage implementation effective date,"""Arlington"" IA compensation classification plan job grades","""Arlington"" IA retroactive wage implementation effective date",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-03745,cog_2025_164438,Baldwin,IA,Midwest,Jackson County (19097; primary),municipal,100,under_1000,false,limited_official_site,scout_lane_002,4,personnel_policy,causal_or_pay_record,longevity shift specialty non-base pay,"""Baldwin"" IA personnel policy employee wages compensation","""Baldwin"" IA longevity shift specialty non-base pay",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-03746,cog_2025_126611,Bankston,IA,Midwest,Dubuque County (19061; primary),municipal,23,under_1000,false,limited_official_site,scout_lane_002,5,civil_service_hr,causal_or_pay_record,bargaining settlement factfinding terms,"""Bankston"" IA civil service HR pay classification","""Bankston"" IA bargaining settlement factfinding terms",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-03747,cog_2025_104487,Barnum,IA,Midwest,Webster County (19187; primary),municipal,178,under_1000,false,limited_official_site,scout_lane_002,6,agenda_minutes_packet,causal_or_pay_record,market recruitment retention pay review,"""Barnum"" IA council agenda minutes packet labor pay","""Barnum"" IA market recruitment retention pay review",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-03748,cog_2025_207999,Bassett,IA,Midwest,Chickasaw County (19037; primary),municipal,42,under_1000,false,limited_official_site,scout_lane_002,7,arbitration_factfinding_labor_relations,causal,cycle wage schedules prior current,"""Bassett"" IA interest arbitration factfinding labor relations award","""Bassett"" IA cycle wage schedules prior current",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-03749,cog_2025_138225,Batavia,IA,Midwest,Jefferson County (19101; primary),municipal,424,under_1000,false,limited_official_site,scout_lane_002,8,local_pay_policy_payroll,causal_or_pay_record,percentage raise across the board,"""Batavia"" IA local pay policy payroll wage rates","""Batavia"" IA percentage raise across the board",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-03750,cog_2025_126625,Bayard,IA,Midwest,Guthrie County (19077; primary),municipal,404,under_1000,false,limited_official_site,scout_lane_002,9,broad_pay_employee_compensation_index,discovery_route_separate_corpora,COLA CPI wage increase,"""Bayard"" IA employee compensation labor pay documents index","""Bayard"" IA COLA CPI wage increase",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-03751,cog_2025_164549,Beaconsfield,IA,Midwest,Ringgold County (19159; primary),municipal,15,under_1000,false,limited_official_site,scout_lane_002,10,cba_agreement,causal,step schedule progression grades,"""Beaconsfield"" IA collective bargaining agreement labor contract","""Beaconsfield"" IA step schedule progression grades",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
