target_id,municipality_id,municipality,state,region,county,government_type,population,population_band,official_website_available,expected_query_difficulty,lane_id,lane_sequence,source_family_query_family,source_corpus_routing_hint,growth_continuity_query_hint,primary_query,secondary_query,allowed_search_scope,eligible_universe_lineage,covered_union_lineage,prior_coverage_status,unscouted_selection_reason,prior_durable_exclusion_flag,prior_durable_exclusion_reason,planned_status,live_status,checkpoint_status,global_analysis_readiness
BRM5-20260731-11223,cog_2025_208014,Alexander,IA,Midwest,Franklin County (19069; primary),municipal,163,under_1000,true,standard_official_site,scout_lane_004,1,arbitration_factfinding_labor_relations,causal,bargaining settlement factfinding terms,"""Alexander"" IA interest arbitration factfinding labor relations award","""Alexander"" IA bargaining settlement factfinding terms",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-11224,cog_2025_126661,Alvord,IA,Midwest,Lyon County (19119; primary),municipal,215,under_1000,false,limited_official_site,scout_lane_004,2,local_pay_policy_payroll,causal_or_pay_record,market recruitment retention pay review,"""Alvord"" IA local pay policy payroll wage rates","""Alvord"" IA market recruitment retention pay review",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-11225,cog_2025_126696,Benton,IA,Midwest,Ringgold County (19159; primary),municipal,40,under_1000,false,limited_official_site,scout_lane_004,3,broad_pay_employee_compensation_index,discovery_route_separate_corpora,cycle wage schedules prior current,"""Benton"" IA employee compensation labor pay documents index","""Benton"" IA cycle wage schedules prior current",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-11226,cog_2025_126662,Bevington,IA,Midwest,Madison County (19121; primary); Warren County (19181),municipal,59,under_1000,false,limited_official_site,scout_lane_004,4,cba_agreement,causal,percentage raise across the board,"""Bevington"" IA collective bargaining agreement labor contract","""Bevington"" IA percentage raise across the board",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-11227,cog_2025_164301,Boxholm,IA,Midwest,Boone County (19015; primary),municipal,173,under_1000,false,limited_official_site,scout_lane_004,5,mou_memorandum_settlement,causal,COLA CPI wage increase,"""Boxholm"" IA memorandum MOU settlement labor agreement","""Boxholm"" IA COLA CPI wage increase",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-11228,cog_2025_208048,Braddyville,IA,Midwest,Page County (19145; primary),municipal,139,under_1000,false,limited_official_site,scout_lane_004,6,wage_salary_schedule,causal_or_pay_record,step schedule progression grades,"""Braddyville"" IA wage schedule salary schedule employee pay","""Braddyville"" IA step schedule progression grades",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-11229,cog_2025_126629,Buckeye,IA,Midwest,Hardin County (19083; primary),municipal,82,under_1000,false,limited_official_site,scout_lane_004,7,salary_pay_ordinance,causal_or_pay_record,retroactive wage implementation effective date,"""Buckeye"" IA salary ordinance pay ordinance compensation","""Buckeye"" IA retroactive wage implementation effective date",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-11230,cog_2025_225054,Burt,IA,Midwest,Kossuth County (19109; primary),municipal,405,under_1000,true,standard_official_site,scout_lane_004,8,budget_pay_plan,causal_or_pay_record,longevity shift specialty non-base pay,"""Burt"" IA municipal budget pay plan compensation","""Burt"" IA longevity shift specialty non-base pay",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-11231,cog_2025_208040,Bussey,IA,Midwest,Marion County (19125; primary),municipal,374,under_1000,false,limited_official_site,scout_lane_004,9,compensation_classification_plan,causal_or_pay_record,bargaining settlement factfinding terms,"""Bussey"" IA compensation classification plan job grades","""Bussey"" IA bargaining settlement factfinding terms",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-11232,cog_2025_126725,Callender,IA,Midwest,Webster County (19187; primary),municipal,359,under_1000,true,standard_official_site,scout_lane_004,10,personnel_policy,causal_or_pay_record,market recruitment retention pay review,"""Callender"" IA personnel policy employee wages compensation","""Callender"" IA market recruitment retention pay review",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-11233,cog_2025_164584,Cantril,IA,Midwest,Van Buren County (19177; primary),municipal,225,under_1000,false,limited_official_site,scout_lane_004,11,civil_service_hr,causal_or_pay_record,cycle wage schedules prior current,"""Cantril"" IA civil service HR pay classification","""Cantril"" IA cycle wage schedules prior current",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-11234,cog_2025_164381,Centralia,IA,Midwest,Dubuque County (19061; primary),municipal,117,under_1000,false,limited_official_site,scout_lane_004,12,agenda_minutes_packet,causal_or_pay_record,percentage raise across the board,"""Centralia"" IA council agenda minutes packet labor pay","""Centralia"" IA percentage raise across the board",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-11235,cog_2025_164351,Charlotte,IA,Midwest,Clinton County (19045; primary),municipal,389,under_1000,true,standard_official_site,scout_lane_004,13,arbitration_factfinding_labor_relations,causal,COLA CPI wage increase,"""Charlotte"" IA interest arbitration factfinding labor relations award","""Charlotte"" IA COLA CPI wage increase",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
BRM5-20260731-11236,cog_2025_208049,Coin,IA,Midwest,Page County (19145; primary),municipal,172,under_1000,false,limited_official_site,scout_lane_004,14,local_pay_policy_payroll,causal_or_pay_record,step schedule progression grades,"""Coin"" IA local pay policy payroll wage rates","""Coin"" IA step schedule progression grades",public official and public labor sources; licensed sources prohibited,docs/analysis/national_municipality_universe.csv,canonical+broad20260727+4x1000+4x2500_parseable,not_scout_covered,eligible municipality absent from authoritative covered-ID union,false,,locked_no_call,not_run,not_started,false
