lane,observation_id,extraction_case_id,mixed_join_key,mixed_membership_status
quantitative,qobs_12675747f529cc22643d267a,cex_a34c43b943e92d4c5dfd1ec0,mix_7c55b1f4101531d69e6afea4,historical_inactive
quantitative,qobs_358851fa61a74937ef101eb2,cex_a34c43b943e92d4c5dfd1ec0,mix_7c55b1f4101531d69e6afea4,historical_inactive
quantitative,qobs_547013330eda6b674902b6ab,cex_a34c43b943e92d4c5dfd1ec0,mix_7c55b1f4101531d69e6afea4,historical_inactive
quantitative,qobs_506590bed0fae04e37ec7b3c,cex_a34c43b943e92d4c5dfd1ec0,mix_7c55b1f4101531d69e6afea4,historical_inactive
quantitative,qobs_caa2402b7c7f7e565bd88e2f,cex_fb9bd6b64c0ce2ed4a3d933f,mix_ee4f60952db91e5f913ef3dd,historical_inactive
quantitative,qobs_82f427dee4781b1dc13010fe,cex_8e422fc7cff83da56aec2e17,mix_514cf03cf69ad922dde22fb1,historical_inactive
quantitative,qobs_cadb12ccf757ba3f3e4e3f98,cex_579be2561452cc472e1e067c,mix_d1db0ac267460486b6399274,historical_inactive
quantitative,qobs_8267cf3612c5a6568975789c,cex_579be2561452cc472e1e067c,mix_d1db0ac267460486b6399274,historical_inactive
quantitative,qobs_89a54513858dc5c2ffc60548,cex_579be2561452cc472e1e067c,mix_d1db0ac267460486b6399274,historical_inactive
quantitative,qobs_3661b239ace0d41cf9fd555e,cex_521db4c1d2302b418ddb68d1,mix_b240ef2339674497c632e9c6,historical_inactive
quantitative,qobs_129257f63317ad64136df014,cex_521db4c1d2302b418ddb68d1,mix_b240ef2339674497c632e9c6,historical_inactive
quantitative,qobs_1a38b5bf4ebd337b7e2d79c7,cex_521db4c1d2302b418ddb68d1,mix_b240ef2339674497c632e9c6,historical_inactive
quantitative,qobs_b5e01f9cc0a1c5d068968047,cex_521db4c1d2302b418ddb68d1,mix_b240ef2339674497c632e9c6,historical_inactive
quantitative,qobs_f33cb55b9017055bbcc5085b,cex_2736a539edd4f65fb97e8442,mix_e20dfc439092608ef8629a3c,historical_inactive
quantitative,qobs_b1335b82ecd100e7d867abf6,cex_2736a539edd4f65fb97e8442,mix_e20dfc439092608ef8629a3c,historical_inactive
quantitative,qobs_31f9c953218f19e7964688ca,cex_2736a539edd4f65fb97e8442,mix_e20dfc439092608ef8629a3c,historical_inactive
quantitative,qobs_c329ec0426fded06d486fc99,cex_9523cb185bb9f74794fe3c5e,mix_a205d0647f4f8b6879b8f626,historical_inactive
quantitative,qobs_de24e72a38451fdcce1d16fa,cex_5e2e8d155227ce4ce0db2b0e,mix_0f93eefd0233acaa64e0ac0e,historical_inactive
quantitative,qobs_db0ea1cb4c5c8fc309ad6143,cex_a02ff14c6dec91662c76afe7,mix_bc98286a173b38bb98f84fff,historical_inactive
quantitative,qobs_a94d220c662616359f2f75ef,cex_96041e6bf3594bd45a314de4,mix_63718875feff4d9f4626da7e,historical_inactive
quantitative,qobs_a6edecae7597c060fc9d7c1d,cex_96041e6bf3594bd45a314de4,mix_63718875feff4d9f4626da7e,historical_inactive
quantitative,qobs_c2c9b92f80cbf0140095413f,cex_bfdc42924c7f5a79c445e581,mix_4bc8fa35a129cf2ea2cc6a7e,historical_inactive
quantitative,qobs_853169572fe89cd9d2df06e7,cex_4831ce5a78f76722a6968dee,mix_907e0ac3920cdbddcbed058d,historical_inactive
quantitative,qobs_d91f09d4058223a3f695244a,cex_4831ce5a78f76722a6968dee,mix_907e0ac3920cdbddcbed058d,historical_inactive
quantitative,qobs_c4c5f6af5f2763b6d76cb424,cex_5775ee63d1bc414feb3b4a19,mix_62b62baab19b69c83975d625,historical_inactive
quantitative,qobs_66320697122603b43b239e80,cex_5775ee63d1bc414feb3b4a19,mix_62b62baab19b69c83975d625,historical_inactive
quantitative,qobs_ea8dcfc3066604fe51122130,cex_e6e8047c9762cc899cd8e0ce,mix_54bf39d75fd419b454ad6682,historical_inactive
quantitative,qobs_e8c90fa1c7c50e1c7c1875a5,cex_173a987fa724983923252809,mix_75324f68df99a99af720c8b3,historical_inactive
quantitative,qobs_f2a613a23b4ea665ded45ac5,cex_173a987fa724983923252809,mix_75324f68df99a99af720c8b3,historical_inactive
quantitative,qobs_6c0b40d7c4b2bd4a1c915e42,cex1000_05141b9ad9c78b9478ae3142,mix_b8d47a6d724c09f54840fd01,historical_inactive
quantitative,qobs_e910a6c3b8d77796f548a1bb,cex1000_05141b9ad9c78b9478ae3142,mix_b8d47a6d724c09f54840fd01,historical_inactive
quantitative,qobs_0ee2d9d3ea75cce4cecdd2f3,cex1000_05141b9ad9c78b9478ae3142,mix_b8d47a6d724c09f54840fd01,historical_inactive
qualitative,lobs_12675747f529cc22643d267a,cex_a34c43b943e92d4c5dfd1ec0,mix_7c55b1f4101531d69e6afea4,historical_inactive
qualitative,lobs_358851fa61a74937ef101eb2,cex_a34c43b943e92d4c5dfd1ec0,mix_7c55b1f4101531d69e6afea4,historical_inactive
qualitative,lobs_547013330eda6b674902b6ab,cex_a34c43b943e92d4c5dfd1ec0,mix_7c55b1f4101531d69e6afea4,historical_inactive
qualitative,lobs_caa2402b7c7f7e565bd88e2f,cex_fb9bd6b64c0ce2ed4a3d933f,mix_ee4f60952db91e5f913ef3dd,historical_inactive
qualitative,lobs_4e525e414c194dd35275c5f1,cex_fb9bd6b64c0ce2ed4a3d933f,mix_ee4f60952db91e5f913ef3dd,historical_inactive
qualitative,lobs_e26706861b1ea7968684c7d3,cex_fb9bd6b64c0ce2ed4a3d933f,mix_ee4f60952db91e5f913ef3dd,historical_inactive
qualitative,lobs_e60554fd01323af3211f0cab,cex_fb9bd6b64c0ce2ed4a3d933f,mix_ee4f60952db91e5f913ef3dd,historical_inactive
qualitative,lobs_d57cfcec1d1300d5e61fa631,cex_8e422fc7cff83da56aec2e17,mix_514cf03cf69ad922dde22fb1,historical_inactive
qualitative,lobs_698296c4f25f511e49baa894,cex_8e422fc7cff83da56aec2e17,mix_514cf03cf69ad922dde22fb1,historical_inactive
qualitative,lobs_a6794e47f1d9cc906648bc4f,cex_579be2561452cc472e1e067c,mix_d1db0ac267460486b6399274,historical_inactive
qualitative,lobs_9e079dcddb40a45c8400d3cb,cex_579be2561452cc472e1e067c,mix_d1db0ac267460486b6399274,historical_inactive
qualitative,lobs_cadb12ccf757ba3f3e4e3f98,cex_579be2561452cc472e1e067c,mix_d1db0ac267460486b6399274,historical_inactive
qualitative,lobs_8267cf3612c5a6568975789c,cex_579be2561452cc472e1e067c,mix_d1db0ac267460486b6399274,historical_inactive
qualitative,lobs_89a54513858dc5c2ffc60548,cex_579be2561452cc472e1e067c,mix_d1db0ac267460486b6399274,historical_inactive
qualitative,lobs_7fbd00a6fe7b2543dd1087e6,cex_521db4c1d2302b418ddb68d1,mix_b240ef2339674497c632e9c6,historical_inactive
qualitative,lobs_3661b239ace0d41cf9fd555e,cex_521db4c1d2302b418ddb68d1,mix_b240ef2339674497c632e9c6,historical_inactive
qualitative,lobs_129257f63317ad64136df014,cex_521db4c1d2302b418ddb68d1,mix_b240ef2339674497c632e9c6,historical_inactive
qualitative,lobs_1a38b5bf4ebd337b7e2d79c7,cex_521db4c1d2302b418ddb68d1,mix_b240ef2339674497c632e9c6,historical_inactive
qualitative,lobs_b5e01f9cc0a1c5d068968047,cex_521db4c1d2302b418ddb68d1,mix_b240ef2339674497c632e9c6,historical_inactive
qualitative,lobs_426ee8e6885e64c2560a3e1b,cex_deb2b4781b4fabbbd1b55572,mix_93072be7a5eba57f407ff623,historical_missing
qualitative,lobs_adac346a35aaf58c811439d5,cex_deb2b4781b4fabbbd1b55572,mix_93072be7a5eba57f407ff623,historical_missing
qualitative,lobs_06f05b2acc3098cf70e0ee9d,cex_deb2b4781b4fabbbd1b55572,mix_93072be7a5eba57f407ff623,historical_missing
qualitative,lobs_47dd098783ea6cbb8a65ec25,cex_deb2b4781b4fabbbd1b55572,mix_93072be7a5eba57f407ff623,historical_missing
qualitative,lobs_f33cb55b9017055bbcc5085b,cex_2736a539edd4f65fb97e8442,mix_e20dfc439092608ef8629a3c,historical_inactive
qualitative,lobs_b1335b82ecd100e7d867abf6,cex_2736a539edd4f65fb97e8442,mix_e20dfc439092608ef8629a3c,historical_inactive
qualitative,lobs_9d14672bd7e20e7d9a3838d7,cex_d007a3ad5fc6446b74229fa0,mix_0129c3bc18fbc67c150906e5,historical_missing
qualitative,lobs_da998591c820f25752a7fec8,cex_d007a3ad5fc6446b74229fa0,mix_0129c3bc18fbc67c150906e5,historical_missing
qualitative,lobs_6eead01a0a61fe9e35dea3fd,cex_d007a3ad5fc6446b74229fa0,mix_0129c3bc18fbc67c150906e5,historical_missing
qualitative,lobs_c98662d27ee6ff8e0553062e,cex_d007a3ad5fc6446b74229fa0,mix_0129c3bc18fbc67c150906e5,historical_missing
qualitative,lobs_8c9efc05fd76f1c0f93f043f,cex_d007a3ad5fc6446b74229fa0,mix_0129c3bc18fbc67c150906e5,historical_missing
qualitative,lobs_c329ec0426fded06d486fc99,cex_9523cb185bb9f74794fe3c5e,mix_a205d0647f4f8b6879b8f626,historical_inactive
qualitative,lobs_381de39399f040a4623df993,cex_9523cb185bb9f74794fe3c5e,mix_a205d0647f4f8b6879b8f626,historical_inactive
qualitative,lobs_de24e72a38451fdcce1d16fa,cex_5e2e8d155227ce4ce0db2b0e,mix_0f93eefd0233acaa64e0ac0e,historical_inactive
qualitative,lobs_97bf8a0c3548f61c4711643b,cex_ad7f5c422f9d6418a27c898f,mix_546a4371d984ce8a802fcbcf,historical_missing
qualitative,lobs_6e2912eea630631297329c3d,cex_ad7f5c422f9d6418a27c898f,mix_546a4371d984ce8a802fcbcf,historical_missing
qualitative,lobs_56fb19281643a8ef9beae6a0,cex_ad7f5c422f9d6418a27c898f,mix_546a4371d984ce8a802fcbcf,historical_missing
qualitative,lobs_db0ea1cb4c5c8fc309ad6143,cex_a02ff14c6dec91662c76afe7,mix_bc98286a173b38bb98f84fff,historical_inactive
qualitative,lobs_a94d220c662616359f2f75ef,cex_96041e6bf3594bd45a314de4,mix_63718875feff4d9f4626da7e,historical_inactive
qualitative,lobs_a6edecae7597c060fc9d7c1d,cex_96041e6bf3594bd45a314de4,mix_63718875feff4d9f4626da7e,historical_inactive
qualitative,lobs_9335869ecb0a91f3cbe2e17c,cex_96041e6bf3594bd45a314de4,mix_63718875feff4d9f4626da7e,historical_inactive
qualitative,lobs_930462feb2036b16a82b4097,cex_96041e6bf3594bd45a314de4,mix_63718875feff4d9f4626da7e,historical_inactive
qualitative,lobs_533c83537a8f96cd966775cc,cex_96041e6bf3594bd45a314de4,mix_63718875feff4d9f4626da7e,historical_inactive
qualitative,lobs_c4ec31482b3bed212f29dbdd,cex_77ffcd4d041b6c73434fb34f,mix_8ff0a2e3d533f93b4e194819,historical_missing
qualitative,lobs_02338ebf1002459acdf5f17a,cex_77ffcd4d041b6c73434fb34f,mix_8ff0a2e3d533f93b4e194819,historical_missing
qualitative,lobs_751ff507291eb55fc18c2636,cex_77ffcd4d041b6c73434fb34f,mix_8ff0a2e3d533f93b4e194819,historical_missing
qualitative,lobs_1e4d88e96933543304c73a84,cex_77ffcd4d041b6c73434fb34f,mix_8ff0a2e3d533f93b4e194819,historical_missing
qualitative,lobs_6c725c7b5860046d89fe82a8,cex_77ffcd4d041b6c73434fb34f,mix_8ff0a2e3d533f93b4e194819,historical_missing
qualitative,lobs_10c6eeb6700cce34bb7f2a17,cex_bfdc42924c7f5a79c445e581,mix_4bc8fa35a129cf2ea2cc6a7e,historical_inactive
qualitative,lobs_850c41de0c6719b9c0935b05,cex_bfdc42924c7f5a79c445e581,mix_4bc8fa35a129cf2ea2cc6a7e,historical_inactive
qualitative,lobs_ac159d1e6f029781583b1bc4,cex_bfdc42924c7f5a79c445e581,mix_4bc8fa35a129cf2ea2cc6a7e,historical_inactive
qualitative,lobs_18068778c289a3bb8b395cf4,cex_bfdc42924c7f5a79c445e581,mix_4bc8fa35a129cf2ea2cc6a7e,historical_inactive
qualitative,lobs_c2c9b92f80cbf0140095413f,cex_bfdc42924c7f5a79c445e581,mix_4bc8fa35a129cf2ea2cc6a7e,historical_inactive
qualitative,lobs_aabf6c2f7bf2186f47d35070,cex_15258af7f54fe009feab2bf0,mix_796d81923e7210b913048f81,historical_missing
qualitative,lobs_e8fafaf9958f9d21240787ed,cex_15258af7f54fe009feab2bf0,mix_796d81923e7210b913048f81,historical_missing
qualitative,lobs_6fda79bef427bbe304764ad4,cex_15258af7f54fe009feab2bf0,mix_796d81923e7210b913048f81,historical_missing
qualitative,lobs_5de43c7a29d0e576146c26f5,cex_4831ce5a78f76722a6968dee,mix_907e0ac3920cdbddcbed058d,historical_inactive
qualitative,lobs_853169572fe89cd9d2df06e7,cex_4831ce5a78f76722a6968dee,mix_907e0ac3920cdbddcbed058d,historical_inactive
qualitative,lobs_d91f09d4058223a3f695244a,cex_4831ce5a78f76722a6968dee,mix_907e0ac3920cdbddcbed058d,historical_inactive
qualitative,lobs_82b0f1f0d0e3305eda4003bd,cex_4831ce5a78f76722a6968dee,mix_907e0ac3920cdbddcbed058d,historical_inactive
qualitative,lobs_3192dd3c38d8ada461fe84bc,cex_4831ce5a78f76722a6968dee,mix_907e0ac3920cdbddcbed058d,historical_inactive
qualitative,lobs_c4c5f6af5f2763b6d76cb424,cex_5775ee63d1bc414feb3b4a19,mix_62b62baab19b69c83975d625,historical_inactive
