mixed_join_key,extraction_case_id,document_identity_id,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,quantitative_observation_ids,qualitative_observation_ids,quantitative_observation_count,qualitative_observation_count,confidence,reason_codes,qa_status,cumulative_cohort,source_seed_observation_id,qa_original_status,qa_resolution_classification,qa_resolution_status,canonical_observation_id,duplicate_of,active_in_provisional_lane,targeted_qa_resolution_ids,targeted_qa_resolution_classification,targeted_qa_resolution_status,targeted_qa_reason_codes,targeted_qa_source_observation_id,active_in_qa_corrected_lane,targeted_qa_original_quantitative_observation_ids,targeted_qa_corrected_quantitative_observation_ids,readable_conflict_qa_resolution_id,readable_conflict_qa_classification,readable_conflict_qa_status,readable_conflict_qa_reason_codes,readable_conflict_qa_source_observation_id,active_in_readable_conflict_qa_lane,readable_conflict_qa_original_quantitative_observation_ids,readable_conflict_qa_corrected_quantitative_observation_ids,raw_retained_content_hash,pdf_readiness_id,controlled_occupation_class,occupation_class_bridge_status,source_type_bridge,source_corpus_bridge,source_cite_bridge,retrieval_date_bridge,retrieval_method_bridge,artifact_pointer_bridge,contract_period_start_bridge,contract_period_end_bridge,negotiation_cycle_id,city_unit_negotiation_cycle_key,matched_set_id,identity_bridge_status,analysis_matching_status,current_active,current_qa_status,current_qa_status_source,mixed_membership_status
mix_54a3ee9374994163e92d810f,cex_6967b92238ab419d9d658bb2,doc_86bc07d1f917f5a6cba55068,ttd_0e0352dcf82b4949b4b31cb0,sr_dcae25c8b0630a7188cd55ee,NSCQ-AK-20260720-0001,AK,Anchorage,MUNICIPALITY OF ANCHORAGE,police,cba,qobs_4d560df30b6a38d7f38351d0,lobs_4d560df30b6a38d7f38351d0|lobs_67b0ac3d5ac5a2ea83d19275|lobs_3927f2ce7f61932d8c996d04|lobs_a92440905e9762cfdf93f485|lobs_1547f92c49fc4ce216b399eb,1,5,medium,OVERTIME_MULTIPLIER_AND_GUARANTEE_VALUES|SENIORITY_AND_FLSA_LOGIC_PRESENT|COMP_TIME_OFF_LEAVE_TREATMENT_PRESENT,qa_corrected_mixed_membership,corrected_500_seed,mix_54a3ee9374994163e92d810f,provisional_unverified,mixed_membership_corrected,resolved,mix_54a3ee9374994163e92d810f,,true,,mixed_membership_corrected,resolved,INACTIVE_QUANTITATIVE_MEMBERS_REMOVED,mix_54a3ee9374994163e92d810f,true,qobs_4d560df30b6a38d7f38351d0|qobs_1547f92c49fc4ce216b399eb,qobs_4d560df30b6a38d7f38351d0,,not_in_targeted_queue,not_applicable,,mix_54a3ee9374994163e92d810f,true,qobs_4d560df30b6a38d7f38351d0,qobs_4d560df30b6a38d7f38351d0,44e7b85b4e747c8df2ca7b531800885c135b8006bb15ae284ff645b1833a6563,pr_fc163e54d8b005a51a35b2bb,police,exact_controlled_public_safety_class,cba,causal,https://www.muni.org/Departments/employee_relations/Collective%20bargaining%20agreements/2021-2027%20Collective%20Bargaining%20Agreement.pdf,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0164_sr_dcae25c8b0630a7188cd55ee.pdf,,,,,,complete_one_to_one,incomplete_no_inference,true,resolved:mixed_membership_corrected,targeted_qa_resolution_status,active
mix_fc600f8ba250d050857f7134,cex_00d23c20e9f720f5d87d42d1,doc_7a78484a1766689334ac6ae8,ttd_7b1876cfb898d2995dbe9c63,sr_f37d0cfb4d8b1c9f28a3ae8f,NSCQ-AK-20260720-0006,AK,Fairbanks,CITY OF FAIRBANKS,non_safety,wage_schedule_or_compensation_plan,qobs_cb78147efffe3fe28737b910|qobs_acd7d59aaab55c8d142375c6|qobs_24d4b840799b0808ad196e9e|qobs_d9273cfc7d093e03aad0297c|qobs_0163d1cf21b6409046547672,lobs_cb78147efffe3fe28737b910|lobs_acd7d59aaab55c8d142375c6|lobs_24d4b840799b0808ad196e9e,5,3,medium,INCLUDED_VISIBLE_PACKAGE_RATE_TOKENS_FOR,provisional_unverified,corrected_500_seed,mix_fc600f8ba250d050857f7134,provisional_unverified,not_in_targeted_queue,not_applicable,mix_fc600f8ba250d050857f7134,,true,,not_in_targeted_queue,not_applicable,,mix_fc600f8ba250d050857f7134,true,qobs_cb78147efffe3fe28737b910|qobs_acd7d59aaab55c8d142375c6|qobs_24d4b840799b0808ad196e9e|qobs_d9273cfc7d093e03aad0297c|qobs_0163d1cf21b6409046547672,qobs_cb78147efffe3fe28737b910|qobs_acd7d59aaab55c8d142375c6|qobs_24d4b840799b0808ad196e9e|qobs_d9273cfc7d093e03aad0297c|qobs_0163d1cf21b6409046547672,,not_in_targeted_queue,not_applicable,,mix_fc600f8ba250d050857f7134,true,qobs_cb78147efffe3fe28737b910|qobs_acd7d59aaab55c8d142375c6|qobs_24d4b840799b0808ad196e9e|qobs_d9273cfc7d093e03aad0297c|qobs_0163d1cf21b6409046547672,qobs_cb78147efffe3fe28737b910|qobs_acd7d59aaab55c8d142375c6|qobs_24d4b840799b0808ad196e9e|qobs_d9273cfc7d093e03aad0297c|qobs_0163d1cf21b6409046547672,4f9bede56759e4d77fda828feda3c131418d2842ebe2156a2080a5545d73dad9,pr_86ef6181d6e403990a26a00d,,non_safety_subclass_not_supported_without_inference,wage_schedule_or_compensation_plan,,https://files.aptuitivcdn.com/K9gxWNkmZ2-1856/docs/ordinances/ord_6241_amending_schedule_a_of_city_afl-cio_crafts_council_cba.pdf.pdf,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0489_sr_f37d0cfb4d8b1c9f28a3ae8f.pdf,,,,,,complete_one_to_one,incomplete_no_inference,true,provisional_unverified,qa_status,active
mix_55016d540f544e1c8140a8bb,cex_2493343e2699ca44a4c9900d,doc_338a24240ab9e150cb615385,ttd_da31df639e8a22c336d5112e,sr_3cfa38419b6ac6da812bae2b,NSCQ-CA-20260720-0444,CA,Azusa,CITY OF AZUSA,police,cba,qobs_d3d573231a07293d94e2d104|qobs_a1f5ab1c333353c445d905c0|qobs_78dd4f542da8de769ba5a5cf|qobs_3357a3ea8c9e9802169cded1,lobs_d3d573231a07293d94e2d104|lobs_a1f5ab1c333353c445d905c0|lobs_78dd4f542da8de769ba5a5cf,4,3,high,SEEN_BILINGUAL_PAY_AMOUNT_TOKEN|SEEN_CALLOUT_RATE_FORMULA_AND_MINIMUM|SEEN_CITY_PAID_DEFERRED_COMP_AMOUNTS|SEEN_BASE_PAY_PERCENT_INCREASE_TOKENS_BY,provisional_unverified,corrected_500_seed,mix_55016d540f544e1c8140a8bb,provisional_unverified,not_in_targeted_queue,not_applicable,mix_55016d540f544e1c8140a8bb,,true,,not_in_targeted_queue,not_applicable,,mix_55016d540f544e1c8140a8bb,true,qobs_d3d573231a07293d94e2d104|qobs_a1f5ab1c333353c445d905c0|qobs_78dd4f542da8de769ba5a5cf|qobs_3357a3ea8c9e9802169cded1,qobs_d3d573231a07293d94e2d104|qobs_a1f5ab1c333353c445d905c0|qobs_78dd4f542da8de769ba5a5cf|qobs_3357a3ea8c9e9802169cded1,,not_in_targeted_queue,not_applicable,,mix_55016d540f544e1c8140a8bb,true,qobs_d3d573231a07293d94e2d104|qobs_a1f5ab1c333353c445d905c0|qobs_78dd4f542da8de769ba5a5cf|qobs_3357a3ea8c9e9802169cded1,qobs_d3d573231a07293d94e2d104|qobs_a1f5ab1c333353c445d905c0|qobs_78dd4f542da8de769ba5a5cf|qobs_3357a3ea8c9e9802169cded1,cd51f7d9285934c97df69c776c2765b7ac49af8d868552e21fedbda028688f6c,pr_c8f5a200d1d143bc43a3e5ea,police,exact_controlled_public_safety_class,cba,causal,https://www.azusaca.gov/DocumentCenter/View/49801/APMA-MOU-2024-2028?bidId=,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0261_sr_3cfa38419b6ac6da812bae2b.pdf,,,,,,complete_one_to_one,incomplete_no_inference,true,provisional_unverified,qa_status,active
mix_48664e19d634124ddb26696e,cex_d406166f3aeabb43a6852065,doc_9f3568289105ee8b956b23d4,ttd_99e6ba85776a1f2420fbd4d5,sr_39e6c969a752873791a0e3e3,NSCQ-CA-20260720-0001,CA,Los Angeles,CITY OF LOS ANGELES,police,cba,qobs_a2fdc9862fc1a3a9b7a33b1b|qobs_cfb5017afdb19e60290fb8bf|qobs_93142156bf97edfe6f42cb48|qobs_338e88cb2650a1b8b1f233a5,lobs_a2fdc9862fc1a3a9b7a33b1b|lobs_cfb5017afdb19e60290fb8bf|lobs_93142156bf97edfe6f42cb48|lobs_338e88cb2650a1b8b1f233a5|lobs_ec1cf67774167199c9234357,4,5,medium,WC_VALUE_PRESENT_PARTIAL|MECHANISM_RULES_PRESENT_NO_NUMERIC_RATE,provisional_unverified,corrected_500_seed,mix_48664e19d634124ddb26696e,provisional_unverified,not_in_targeted_queue,not_applicable,mix_48664e19d634124ddb26696e,,true,,not_in_targeted_queue,not_applicable,,mix_48664e19d634124ddb26696e,true,qobs_a2fdc9862fc1a3a9b7a33b1b|qobs_cfb5017afdb19e60290fb8bf|qobs_93142156bf97edfe6f42cb48|qobs_338e88cb2650a1b8b1f233a5,qobs_a2fdc9862fc1a3a9b7a33b1b|qobs_cfb5017afdb19e60290fb8bf|qobs_93142156bf97edfe6f42cb48|qobs_338e88cb2650a1b8b1f233a5,,not_in_targeted_queue,not_applicable,,mix_48664e19d634124ddb26696e,true,qobs_a2fdc9862fc1a3a9b7a33b1b|qobs_cfb5017afdb19e60290fb8bf|qobs_93142156bf97edfe6f42cb48|qobs_338e88cb2650a1b8b1f233a5,qobs_a2fdc9862fc1a3a9b7a33b1b|qobs_cfb5017afdb19e60290fb8bf|qobs_93142156bf97edfe6f42cb48|qobs_338e88cb2650a1b8b1f233a5,23e3832395c14abd7f1f5b358772293540b5ea17e0accda40caad9ed2de4113c,pr_9ac944741af3f9d48b00fa90,police,exact_controlled_public_safety_class,cba,causal,https://cao.lacity.gov/content/MOUs/MOU25-24.pdf,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0002_sr_39e6c969a752873791a0e3e3.pdf,,,,,,complete_one_to_one,incomplete_no_inference,true,provisional_unverified,qa_status,active
mix_88f5febfa870a64688cb2d1c,cex_90ffe48d7bf651cdfa804ac5,doc_e38ff010783e3c755acced5f,ttd_1eb66347e5bb26fe98f8aa28,sr_df3d4d20bc5668c5086613ca,NSCQ-CA-20260720-0551,CA,Marina,CITY OF MARINA,fire,cba,qobs_e2878efd99ade69579ddb328|qobs_bee9df8e14cc370642364b93|qobs_cef22ea10505f2a71ae8e4c9,lobs_e2878efd99ade69579ddb328|lobs_bee9df8e14cc370642364b93,3,2,medium,EXTRACTED_FROM_PAGES_1_4_ONLY_VISIBLE_T0,provisional_unverified,corrected_500_seed,mix_88f5febfa870a64688cb2d1c,provisional_unverified,not_in_targeted_queue,not_applicable,mix_88f5febfa870a64688cb2d1c,,true,,not_in_targeted_queue,not_applicable,,mix_88f5febfa870a64688cb2d1c,true,qobs_e2878efd99ade69579ddb328|qobs_bee9df8e14cc370642364b93|qobs_cef22ea10505f2a71ae8e4c9,qobs_e2878efd99ade69579ddb328|qobs_bee9df8e14cc370642364b93|qobs_cef22ea10505f2a71ae8e4c9,,not_in_targeted_queue,not_applicable,,mix_88f5febfa870a64688cb2d1c,true,qobs_e2878efd99ade69579ddb328|qobs_bee9df8e14cc370642364b93|qobs_cef22ea10505f2a71ae8e4c9,qobs_e2878efd99ade69579ddb328|qobs_bee9df8e14cc370642364b93|qobs_cef22ea10505f2a71ae8e4c9,df0406aac28b36316777e02fae12f67e019bfa3691ff1db0dbbde70a2736b1a8,pr_078260e4b5341f150a3f8ecd,fire,exact_controlled_public_safety_class,cba,causal,https://cityofmarina.org/Archive/ViewFile/Item/11122,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0163_sr_df3d4d20bc5668c5086613ca.pdf,,,,,,complete_one_to_one,incomplete_no_inference,true,provisional_unverified,qa_status,active
mix_4e5113cfe26ddfa10ada5822,cex_ab58f60853f3f470ab7b4550,doc_487a2fad4c910cf13a48bca4,ttd_2f886c1a0fb600fc4bdd3276,sr_76bed5969ee1e8fe0e7e6b78,NSCQ-CA-20260720-0550,CA,Marina,CITY OF MARINA,non_safety,cba,qobs_2d1bb9c330f7c3edc69e1215|qobs_b89fb0f468027130bbed5921|qobs_c1019c04871341ec34958793,lobs_2d1bb9c330f7c3edc69e1215|lobs_b89fb0f468027130bbed5921|lobs_c1019c04871341ec34958793,3,3,medium,EXTRACTED_VISIBLE_TOKENS_ONLY_FROM_BOUNE,qa_corrected_mixed_membership,corrected_500_seed,mix_4e5113cfe26ddfa10ada5822,provisional_unverified,mixed_membership_corrected,resolved,mix_4e5113cfe26ddfa10ada5822,,true,,mixed_membership_corrected,resolved,INACTIVE_QUANTITATIVE_MEMBERS_REMOVED,mix_4e5113cfe26ddfa10ada5822,true,qobs_2d1bb9c330f7c3edc69e1215|qobs_b89fb0f468027130bbed5921|qobs_c1019c04871341ec34958793|qobs_9d0a3ae3960edef12c082109,qobs_2d1bb9c330f7c3edc69e1215|qobs_b89fb0f468027130bbed5921|qobs_c1019c04871341ec34958793,,not_in_targeted_queue,not_applicable,,mix_4e5113cfe26ddfa10ada5822,true,qobs_2d1bb9c330f7c3edc69e1215|qobs_b89fb0f468027130bbed5921|qobs_c1019c04871341ec34958793,qobs_2d1bb9c330f7c3edc69e1215|qobs_b89fb0f468027130bbed5921|qobs_c1019c04871341ec34958793,5655097cf53da829bc4150ff0f351b5762daf5370c0d7d1cadf38c836d2cf4ee,pr_205b006dd1d446c0cf90579c,,non_safety_subclass_not_supported_without_inference,cba,causal,https://www.cityofmarina.org/ArchiveCenter/ViewFile/Item/13505,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0242_sr_76bed5969ee1e8fe0e7e6b78.pdf,,,,,,complete_one_to_one,incomplete_no_inference,true,resolved:mixed_membership_corrected,targeted_qa_resolution_status,active
mix_7c55b1f4101531d69e6afea4,cex_a34c43b943e92d4c5dfd1ec0,doc_a444aeaad6c83d9fa51e9fdb,ttd_2a55ee6b2c8223ef749fc72f,sr_a7f9d97071b761d1975ad5f8,NSCQ-CA-20260720-0155,CA,Murrieta,CITY OF MURRIETA,fire,cba,,lobs_12675747f529cc22643d267a|lobs_358851fa61a74937ef101eb2|lobs_547013330eda6b674902b6ab,0,3,medium,CITE_STANDBY_PAY_RATE_TOKEN|CITE_CALL_BACK_MIN_HOURS_AND_TIME_FACTOR|CITE_TRAVEL_TIME_FACTOR_1_5_AND_MAX_ONE_|CITE_WORKING_OUT_OF_CLASS_5_PERCENT|CITE_STANDBY_PAY_WINDOWS_AND_NO_LOSS_ON_|CITE_CALL_BACK_MINIMUM_RULE_AND_TRAVEL_H|CITE_WORKING_OUT_CLASS_DEFINITION_AND_5P,provisional_unverified,corrected_500_seed,mix_7c55b1f4101531d69e6afea4,provisional_unverified,not_in_targeted_queue,not_applicable,mix_7c55b1f4101531d69e6afea4,,false,,mixed_membership_corrected,resolved,INACTIVE_QUANTITATIVE_MEMBERS_REMOVED,mix_7c55b1f4101531d69e6afea4,false,qobs_12675747f529cc22643d267a|qobs_358851fa61a74937ef101eb2|qobs_547013330eda6b674902b6ab|qobs_506590bed0fae04e37ec7b3c,,,not_in_targeted_queue,not_applicable,,mix_7c55b1f4101531d69e6afea4,false,,,7c13206e8843ded835d2ad382fdec3302acfa624a6930a340d875c3837609cb7,pr_fe95e10f66f327508a27239f,fire,exact_controlled_public_safety_class,cba,causal,https://www.murrietaca.gov/DocumentCenter/View/14568/MFA-MOU-2023-2026,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0218_sr_a7f9d97071b761d1975ad5f8.pdf,,,,,,complete_one_to_one,incomplete_no_inference,false,inactive_duplicate_or_canonicalized,active_and_canonical_fields,historical_inactive
mix_e9bd92e4db4fe83fafff9c6c,cex_a95fed37613898243a98ab4a,doc_856748707fc652000dcc13c3,ttd_199f1cf48c7f8ee2f89ed77b,sr_2093e877de9b031d91d5d350,NSCQ-CA-20260720-0077,CA,Ontario,CITY OF ONTARIO,non_safety,cba,qobs_33e718fcd3de418ad213c676,lobs_33e718fcd3de418ad213c676,1,1,medium,GIVEN_HIGHER_CLASSIFICATION_PAY_IS_ONE_,provisional_unverified,corrected_500_seed,mix_e9bd92e4db4fe83fafff9c6c,provisional_unverified,not_in_targeted_queue,not_applicable,mix_e9bd92e4db4fe83fafff9c6c,,true,,not_in_targeted_queue,not_applicable,,mix_e9bd92e4db4fe83fafff9c6c,true,qobs_33e718fcd3de418ad213c676,qobs_33e718fcd3de418ad213c676,,not_in_targeted_queue,not_applicable,,mix_e9bd92e4db4fe83fafff9c6c,true,qobs_33e718fcd3de418ad213c676,qobs_33e718fcd3de418ad213c676,6afa9bfe4cbbd04c58ba27de875938fb9275551ecb1bb6da0c7df22ae9c5564e,pr_cf70f1d5c74cca7351c1638d,,non_safety_subclass_not_supported_without_inference,cba,causal,https://content.ontarioca.gov/sites/default/files/migrated-files/Ontario-Files/Human-Resources/MOU/AFSCME/AFSCME%2520MOU%25202023-2026%2520FINAL%2520int.pdf,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0176_sr_2093e877de9b031d91d5d350.pdf,,,,,,complete_one_to_one,incomplete_no_inference,true,provisional_unverified,qa_status,active
mix_16f45dee45bdd4fdd7ebf66c,cex_1864b27ce7870f6f77773cd3,doc_da7485c1ac0e068460084041,ttd_8afee08ed60e90a39b47afa7,sr_78d3b225a23048dc9e1c1ed3,NSCQ-CA-20260720-0063,CA,Palo Alto,CITY OF PALO ALTO,non_safety,cba,qobs_f4c8960ae8fc8a0b331b8ed0,lobs_f4c8960ae8fc8a0b331b8ed0|lobs_a3c32b82733a2566f43c022b|lobs_a8812186313d91fc5f2b7011|lobs_c32d309c111767d6d81fe199|lobs_f71ca171d57602651348d3b3,1,5,medium,ONLY_COMPENSATION_ARTICLE_VI_SECTION_1_3,provisional_unverified,corrected_500_seed,mix_16f45dee45bdd4fdd7ebf66c,provisional_unverified,not_in_targeted_queue,not_applicable,mix_16f45dee45bdd4fdd7ebf66c,,true,,not_in_targeted_queue,not_applicable,,mix_16f45dee45bdd4fdd7ebf66c,true,qobs_f4c8960ae8fc8a0b331b8ed0,qobs_f4c8960ae8fc8a0b331b8ed0,,not_in_targeted_queue,not_applicable,,mix_16f45dee45bdd4fdd7ebf66c,true,qobs_f4c8960ae8fc8a0b331b8ed0,qobs_f4c8960ae8fc8a0b331b8ed0,4ac71d98dd4cbe637da048295d0fa3c0fab6c801cc85c8b42a0c20a6b29e6f07,pr_82b4b014c762a364a83a75cb,,non_safety_subclass_not_supported_without_inference,cba,causal,https://www.paloalto.gov/files/assets/public/v/1/human-resources/compensation/labor-agreements/umpapa-final-moa-19-20.pdf,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0095_sr_78d3b225a23048dc9e1c1ed3.pdf,,,,,,complete_one_to_one,incomplete_no_inference,true,provisional_unverified,qa_status,active
mix_4471176c86b03a4b9a24546f,cex_43e0f3541d71ad9b5fbacbcc,doc_79700c5b054859ffdfe4e289,ttd_533867202fd7a10fdf0ac4b0,sr_d16f4923de223f420aaaa691,NSCQ-CA-20260720-0061,CA,Palo Alto,CITY OF PALO ALTO,police,cba,qobs_f8f8f3683c7a28372b1c4a7b|qobs_f1ea1beee2c5092c170864bf|qobs_f5f787c624af2989a289e25f|qobs_eaad82310b719a89eb9a0258|qobs_5db0f31f3dd4c511f41d7d7d,lobs_f8f8f3683c7a28372b1c4a7b|lobs_f1ea1beee2c5092c170864bf|lobs_f5f787c624af2989a289e25f,5,3,medium,C1|C2|C3|C4|C5|Q1|Q2|Q3,provisional_unverified,corrected_500_seed,mix_4471176c86b03a4b9a24546f,provisional_unverified,not_in_targeted_queue,not_applicable,mix_4471176c86b03a4b9a24546f,,true,,not_in_targeted_queue,not_applicable,,mix_4471176c86b03a4b9a24546f,true,qobs_f8f8f3683c7a28372b1c4a7b|qobs_f1ea1beee2c5092c170864bf|qobs_f5f787c624af2989a289e25f|qobs_eaad82310b719a89eb9a0258|qobs_5db0f31f3dd4c511f41d7d7d,qobs_f8f8f3683c7a28372b1c4a7b|qobs_f1ea1beee2c5092c170864bf|qobs_f5f787c624af2989a289e25f|qobs_eaad82310b719a89eb9a0258|qobs_5db0f31f3dd4c511f41d7d7d,,not_in_targeted_queue,not_applicable,,mix_4471176c86b03a4b9a24546f,true,qobs_f8f8f3683c7a28372b1c4a7b|qobs_f1ea1beee2c5092c170864bf|qobs_f5f787c624af2989a289e25f|qobs_eaad82310b719a89eb9a0258|qobs_5db0f31f3dd4c511f41d7d7d,qobs_f8f8f3683c7a28372b1c4a7b|qobs_f1ea1beee2c5092c170864bf|qobs_f5f787c624af2989a289e25f|qobs_eaad82310b719a89eb9a0258|qobs_5db0f31f3dd4c511f41d7d7d,70bfb372d1f9405abb124ac2fabd01847ff365cedbc7a9a5c1d7e78139ba465d,pr_f74752606c9bd7c103953b68,police,exact_controlled_public_safety_class,cba,causal,https://www.paloalto.gov/files/assets/public/v/1/human-resources/compensation/labor-agreements/pma_moa_october-1-2018_june-30-2021.pdf,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0260_sr_d16f4923de223f420aaaa691.pdf,,,,,,complete_one_to_one,incomplete_no_inference,true,provisional_unverified,qa_status,active
