selection_rank,calibration_id,original_wage_table_signal,extraction_pilot_priority,independent_visual_table_structure_label,independent_wage_schedule_table_confirmed_label,independent_candidate_page_relationship_label,independent_extraction_gate_label,review2_visual_table_structure_label,review2_wage_schedule_table_confirmed_label,review2_candidate_page_relationship_label,review2_extraction_gate_label,primary_decision_agreement,assessment_note
1,cal_01a57230b8158e19db8100b3,likely,p1,prose_only,no,points_to_later_table,second_review_required,confirmed_table,yes,exact_table_page,pass_high_confidence,no,"Rendered pages showed memorandum/COLA prose and an Appendix D reference, not a wage table."
16,cal_37ea2ac16336a1ebf64724bd,likely,p1,confirmed_table,yes,exact_table_page,pass_high_confidence,confirmed_table,yes,exact_table_page,pass_high_confidence,yes,"Rendered pages showed repeated pay-range tables with grade/step and periodic-rate columns."
32,cal_6a61805f02ce043d6073a567,likely,p1,non_wage_table,no,wrong_page,fail_exclude,confirmed_table,yes,exact_table_page,pass_high_confidence,no,"Rendered pages showed cover/budget material and aggregate salary-benefit budgeting, not a wage schedule."
48,cal_a4b5a28529bc2239da93dcb6,likely,p1,prose_only,no,wrong_page,second_review_required,confirmed_table,yes,exact_table_page,pass_high_confidence,no,"Rendered pages showed percentage-increase and benefit prose without wage-table rows or columns."
64,cal_cd4367db6772f9c1dd2bd32a,likely,p1,index_or_contents,no,points_to_later_table,second_review_required,confirmed_table,yes,exact_table_page,pass_high_confidence,no,"Rendered pages showed arbitration prose plus an exhibit list; no wage schedule was visible."
80,cal_ffe9a37048bdd1c20e3c8ca9,likely,p1,prose_only,no,wrong_page,second_review_required,confirmed_table,yes,exact_table_page,pass_high_confidence,no,"Rendered pages showed wage-increase and package prose/listing, not a salary or wage-rate table."
81,cal_0040c3a549555da713b42502,possible,p3,index_or_contents,no,points_to_later_table,second_review_required,prose_only,no,no_candidate_page,second_review_required,yes,"The contents page points to Appendix A Salary Table; the rendered pages did not show the table itself."
84,cal_01b501e66b32cf45fd24174e,possible,p2,prose_only,no,wrong_page,second_review_required,confirmed_table,yes,wrong_page,fail_exclude,no,"Rendered memorandum pages contained shift-differential prose and redlines, not a wage schedule."
100,cal_5808929cad746350208e11ea,possible,p2,possible_table,yes,exact_table_page,pass_with_schema_update,non_wage_table,no,no_candidate_page,fail_exclude,no,"The one-page compensation sheet visibly presents salary and additional-pay rows; it is a parseable schedule-like equivalent."
118,cal_756e7caed96960ff002c0ed8,possible,p2,prose_only,no,wrong_page,second_review_required,possible_table,maybe,exact_table_page,pass_with_schema_update,no,"Rendered ordinance pages described recruitment incentives in prose, not a wage table."
137,cal_ed5099d4fecae6f4f32146de,possible,p3,front_matter,no,no_candidate_page,fail_exclude,unknown,no,no_candidate_page,fail_exclude,yes,"Rendered pages were an emergency-manager order and adoption text with no wage schedule."
138,cal_f380c785bb181d6af78e9da4,possible,p2,prose_only,no,wrong_page,second_review_required,index_or_contents,no,wrong_page,second_review_required,yes,"Rendered pages showed cover/contents context and classification-promotion prose, not a wage table."
139,cal_03d7428f4019e5bbf4596191,unlikely,p2,front_matter,no,no_candidate_page,fail_exclude,non_wage_table,no,no_candidate_page,fail_exclude,yes,"Rendered pages showed a cover and unrelated education/employment prose."
141,cal_1a64d49cf0f616075b51efa6,unlikely,p3,front_matter,no,no_candidate_page,fail_exclude,non_wage_table,no,no_candidate_page,fail_exclude,yes,"Rendered pages showed arbitration cover/background prose and no wage table."
143,cal_42644d72570e92753dc0c39b,unlikely,p2,index_or_contents,no,points_to_later_table,second_review_required,non_wage_table,no,no_candidate_page,fail_exclude,yes,"The contents page points to a later wages article; no wage table was rendered."
145,cal_89c1b9619fe6cc4e626cfadf,unlikely,p3,index_or_contents,no,points_to_later_table,second_review_required,non_wage_table,no,no_candidate_page,fail_exclude,yes,"Rendered pages were cover/contents pages with pay-related sections later in the agreement."
148,cal_ae9fbbec16d7d486289555d1,unlikely,p2,index_or_contents,no,no_candidate_page,fail_exclude,index_or_contents,no,no_candidate_page,fail_exclude,yes,"Rendered pages were a cover and contents page without a visible wage-table page or direct wage-table pointer."
150,cal_da3e2c381ee1e242b0e4f679,unlikely,p3,index_or_contents,no,points_to_later_table,second_review_required,unknown,unknown,unknown,second_review_required,yes,"The contents page points to a later compensation section; the table itself was not rendered."
