calibration_id,text_table_detection_id,review_status,elapsed_seconds,pdf_opened,pages_inspected,pages_with_text
cal_01a57230b8158e19db8100b3,ttd_83a87fe802f4d6d28a01427a,reviewed,0.259243,1,"1,2",2
cal_045e7e8100647061f677cbed,ttd_9ded6041128bb846db55dcbc,reviewed,0.445200,1,"1,2,3,6,10,17",6
cal_04e9c405fa82bce92279cc76,ttd_ef9dc776a490a60898549bde,reviewed,0.757714,1,"1,2,5,8,10,12",6
cal_075c10415a94e03dadfb692f,ttd_5152ab99181d22d564ae4964,reviewed,0.477250,1,"1,2,3,4",4
cal_0ccdac533aafb9416dffec65,ttd_3cfdd26db2e60205cab11709,needs_second_review,0.317601,1,"1,2,7,15,27,3",6
cal_0d99791bdc0cd19c28d5f5de,ttd_8c90ce5021c0a45bb3d4bb2f,reviewed,0.697455,1,"1,2,82,109,242,243",5
cal_0e71fee5856adca413c60d77,ttd_eaed26a75145d881225f4f89,reviewed,0.579422,1,"1,2,3,5,6,4",5
cal_20f83d208f858a0cf99daad1,ttd_f953784b8113372f3c9b01c1,reviewed,0.090136,1,1,1
cal_211c78b8eb2cdd5520344d2c,ttd_8dfd6e0d0182217731b023ee,reviewed,0.542403,1,"1,2,7,9,6,8,17,16,18",9
cal_2cc9c8211edf7dc1fc8bbd7c,ttd_da56e38a4ba8bc096c6042b7,reviewed,0.895817,1,"1,2,3",3
cal_2d661ee8ab7ef19340fbad0c,ttd_444293e47a52034a46fea9c5,reviewed,0.474182,1,"1,2,15,21,32,62",6
cal_32e26e9fd1b36d8f29174580,ttd_c4d3c4549305b568be046506,reviewed,0.524662,1,"1,2,3,5,7,4",6
cal_3641a73760e319fa915df354,ttd_065156d1d0746f27646cb4df,reviewed,0.309083,1,"1,2,3",3
cal_3780a6990e664d2e6c35ff2e,ttd_6a69ecf3755e166259a92997,needs_second_review,0.297128,1,"1,2,22,25,47,3",6
cal_37bc3a947fbe1061dfff33b8,ttd_4fcd75928b39509aee3cf12a,reviewed,0.258594,1,"1,2,6,10,12,3",6
cal_37ea2ac16336a1ebf64724bd,ttd_51aed6c78c57f9ec6fb6635b,reviewed,0.527438,1,"1,2,3,4",4
cal_3bb99602441b9cfadcc0f8cc,ttd_4c2c9ae2a5dea11964ab0567,reviewed,0.300342,1,"1,2,5,17,19,20",5
cal_433c56e99c2468011e67a57f,ttd_b82dd1a6d8aa19b1de2ee937,reviewed,0.541298,1,"1,2,27,30,58,26",6
cal_444af6472fbcec8ba405d09d,ttd_5ba6700e26959d2d235f56c5,reviewed,0.523931,1,"1,2,3,6,9,4",6
cal_4453630dbcea0b4cd5ed3aed,ttd_a47bf7ddde6f703ded5257d5,reviewed,0.890714,1,"1,2,3,4,6,5",6
cal_473055028533d315d7876b00,ttd_46b1dd3c946ef5c698032cd8,needs_second_review,0.397938,1,"1,2,9,17,71,3",6
cal_4bc1c73b4633dbdc54bcb906,ttd_4c3364ce60c174ed201f6934,reviewed,0.404096,1,"1,2,3,4,6,5",6
cal_4c6f22b20218be88851ac92b,ttd_78e9d2607c35ea6e1b61f5db,reviewed,0.584331,1,"1,2,12,27,29,3,35,34,36,37",10
cal_50d728e95903683ee807533b,ttd_d8135315ee395a0dbbca46b7,reviewed,0.832191,1,"1,2,3,4",4
cal_56072a1d4fb5a9252e95b51b,ttd_8baa1cfca2e336178191cee6,reviewed,0.370831,1,"1,2,3,4",4
cal_577b9aee5b4319988b53305c,ttd_c2aec89c4d1fa37a4b151b77,reviewed,0.372196,1,"1,2,26,25,27",5
cal_588e854d43e77da72a9780c3,ttd_932198829851e30986ed55b1,reviewed,0.421426,1,"1,2,14,30,33,58",4
cal_5c6cd6ae0674c01ae035b5a2,ttd_2a8d73386f1c1bebf028d1b3,reviewed,0.347890,1,"1,2,15,22,42,14",6
cal_5cbb457423d786b7a3866f7f,ttd_854e2e466d6c1789b68980e0,reviewed,0.369470,1,"1,2,8,11,14,16",6
cal_5d23586e36bbf45e21e5e2ee,ttd_79ff562b6cdd357a45c86b34,reviewed,0.155651,1,"1,2",1
cal_5d3205e6297dfd63bbbe2dc9,ttd_70da506edf469e13bda910e5,reviewed,0.264226,1,"1,2,52,51",1
cal_6a61805f02ce043d6073a567,ttd_55f4faf1628a5a61afa15f97,reviewed,1.481219,1,"1,2,19,55,90,162",4
cal_70ad13fa6c42e3580eff39b6,ttd_683dc253f127db6e4c1e3df2,reviewed,0.357367,1,"1,2,11,21,23,44",6
cal_7193aa32c234257db832b86b,ttd_711e63d26d86471c9326b034,reviewed,0.791193,1,"1,2,11,22,25,27",6
cal_757f44a538f5d916eb1c143b,ttd_e6428b77e4a72253c0b576b6,reviewed,0.321137,1,"1,2,16,23,34,3",6
cal_7845f67d41be5d195219e6b6,ttd_26cea954af52ba3a3213e3c6,needs_second_review,0.820310,1,"1,2,9,17,20,3",6
cal_7db0e44dde1faec77d813e1b,ttd_6d4894327c3eb0c1d4772631,reviewed,0.459799,1,"1,2,4,3,5",5
cal_81d9a782eed3ef59e8cf53c8,ttd_b804ace850e92c271c760ee2,reviewed,0.564453,1,"1,2,9,22,37,3,38",7
cal_832e6ddab7670a3ef19d679e,ttd_bfaffbb8c34aff4b663d1f5d,reviewed,0.741882,1,"1,2,5,9,19,20",6
cal_8341f144d0dbe9b4f6f2dcda,ttd_e228a9b2bff97168f2546147,reviewed,0.304301,1,"1,2",2
cal_87047e8ea3c1d1bc56da2b90,ttd_620250ce558a3537e65aeb4f,reviewed,0.429197,1,"1,2,4,6,15,3",6
cal_871b8130bf4245601b1a841b,ttd_51c81e66701e4c081685b546,reviewed,0.827376,1,"1,2,3,4,5",4
cal_8dc01e6871029b30cc13920c,ttd_8a5fbc53c0679daac572d69a,reviewed,0.658060,1,"1,2,29,43,48,28",4
cal_96ffbdb214517b3a6a6649d0,ttd_275f94d7c161f4a2a469716e,needs_second_review,0.298358,1,"1,2,20,22,24,19",6
cal_9824026160d8547991edff93,ttd_8d2ed01f65bef8787227d0d5,reviewed,0.327264,1,"1,2,3",3
cal_9b0d02f472072c62b56bf808,ttd_788d16641ddf258434469d0b,reviewed,0.371554,1,"1,2,5,8,14,4",6
cal_9be75c1e7fbfe27a4db1d91e,ttd_560ba6cd01b9b5f045e58218,reviewed,0.399296,1,"1,2,51,63,3,50",6
cal_a4b5a28529bc2239da93dcb6,ttd_061738b35675f91a4a62378e,reviewed,0.501057,1,"1,2,13,17,20,22,11,10,12",9
cal_a59e7db7416b7eda4426b2b0,ttd_17bd30113f7ea497abeb883c,reviewed,0.334193,1,"1,2,49,61,108,48",6
cal_a6388ef8c82edf25da71cfe8,ttd_cd5e8ded0c0612ad263211a4,reviewed,0.900696,1,"1,2,4,13,17,29",6
cal_a64662143119f08d07ec503e,ttd_5c436b38ef56a600f627e20d,reviewed,0.443336,1,"1,2,7,9,14,3",6
cal_a697a3efcaf26dad1a05afd8,ttd_7be7b5776a77d722e6e6ef7d,reviewed,0.616899,1,"1,2,4,7,3,5,6,15,14,16",10
cal_aa5f30e289f7f1e3c57da1ca,ttd_e84ba18399f30c3bdba5abec,reviewed,0.612756,1,"1,2,3,10,13,4,9,11",8
cal_ae1da4b80da66307314a0f9a,ttd_21b99bd278e79d487bf4e48c,needs_second_review,0.235636,1,1,1
cal_affbd685e693a0ed30b460a4,ttd_2dfc736b307830ab5d6607a5,reviewed,0.326895,1,"1,2,4,14,27,3",6
cal_b5c70ca19baa946184d7d211,ttd_21035d70e79f171a112ac082,reviewed,0.437630,1,"1,2,3,5,6,10",6
cal_b843e234169740d000b06cc9,ttd_fa0a45ed5b869e67611449b0,reviewed,0.398380,1,"1,2,3,8,10,12",6
cal_bfedbccdcdd9bd76067ed767,ttd_9bc9cd28405b44c8f11304b2,reviewed,0.296366,1,"1,2,4,9,15,25",6
cal_c0ae2be0b8fa709bea2568b1,ttd_04d35fdd7d9301f250bf1c0a,reviewed,0.436785,1,"1,2,4,16,17,30",4
cal_c5879d65de3d7cab68f8285d,ttd_91b69202065828e0b2484e9a,needs_second_review,0.370199,1,"1,2,30,44,66,129",6
cal_c77ec0d95351aaf6fe61ae09,ttd_1934c81a5e2f8688ca28b912,reviewed,0.469891,1,"1,2,9,16,36,69",6
cal_c98ac0fc2f52f605f7e9e0e9,ttd_984937e82f2fde639f0273bd,reviewed,0.361005,1,"1,2,8,21,35,62",6
cal_cbdc133f08acec0540dcad2f,ttd_8ee56f8152aec155d8345233,reviewed,0.377301,1,"1,2,7,8,9,6",6
cal_cd4367db6772f9c1dd2bd32a,ttd_d0a12263ea0f25673d0a211a,reviewed,0.410988,1,"1,2,6,10,17,3",6
cal_d078bf86970597e540f4dfdc,ttd_1ad57d6ba4d6cc6bd9cb6137,reviewed,0.145172,1,1,1
cal_d0c3b331783b52ed94754dfe,ttd_4387a342f06c5a878731600e,reviewed,0.080471,1,1,1
cal_d38f015ffc6f5b5236e57b61,ttd_4952ef58bd79c81e7c31dc1e,reviewed,0.341995,1,"1,2,18,27,53,3,32,31,33",9
cal_d6b35018b5dcb621e633139c,ttd_b05731014c2ead1f7538f765,reviewed,0.490190,1,"1,2,8,33,37,65",6
cal_d81135f3df730a4834871a3e,ttd_0fcd8d201c211001812f8795,reviewed,0.527521,1,"1,2,21,31,46,3",6
cal_dc61684d5412598780b1dad5,ttd_9456f79277d29a3f5b5039b1,reviewed,0.674757,1,"1,2,11,10,12",5
cal_e449adc4af54e68faf6df833,ttd_f59fd13e1c81218dd2576e64,reviewed,0.493627,1,"1,2,17,49,73,81",6
cal_e4fb9064d2d7a5f83c99fa0e,ttd_6c8f3c3df77ff729af08777d,reviewed,0.529480,1,"1,2,25,33,73,3,12,11,13",9
cal_e91b753a6b866536c04cc683,ttd_e6249e9eefe42fe439577967,reviewed,0.794771,1,"1,2,4,6,9,3",6
cal_e9ae50613e39147b2a14096b,ttd_1579d6676e61d539a018a0d9,reviewed,0.425785,1,"1,2,6,10,22,24",6
cal_eb354ab8c721227b54d0a28f,ttd_c385ffe4df79495f3a7067fe,needs_second_review,0.478416,1,"1,2,7,10,19,6",6
cal_edf9016b25b0df9f5b462d13,ttd_6543267e1543eabcfeb902a2,reviewed,0.473904,1,"1,2,104,232,463,103",6
cal_f71f1c34d4baf51bd51872b3,ttd_448d511df697b1d417e5be07,reviewed,0.274100,1,"1,2,32,47,93,31",6
cal_f9b59d9031b046874a02e461,ttd_9e770c3f592d278fb4f31272,reviewed,0.314036,1,"1,2,4,7,9,3",5
cal_f9dd92181970ff43c93bf3fb,ttd_1a1b16545b283d8010fd221d,reviewed,0.500731,1,"1,2,4,5,3,6",6
cal_ffe9a37048bdd1c20e3c8ca9,ttd_339ac32d00e7669cbd148006,reviewed,0.455423,1,"1,2,5,3,4,6",6
cal_0040c3a549555da713b42502,ttd_aa1f7451b5ac22f2d40de9f1,needs_second_review,0.254946,1,"1,2",2
cal_008080f3b7ff1303edafede6,ttd_7771f013b08f5ebcbec3391c,reviewed,0.448799,1,"1,2,4,9,12,3,24,23,25",9
