state,municipality,unit_type,contract_or_document_period,verification_queue_rows,verified_source_leads,mechanism_families,coverage_status
AK,Ketchikan,non_safety_comparator,7/1/2025 – 6/30/2028,2,2,non_safety_constraint_signal,verified_locator_metadata_only
AL,Birmingham,non_safety_comparator,"2022–(salary schedule references July 1, 2022 – June 30, 2025 in document text)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
AL,Birmingham,non_safety_comparator,2024–2026,1,1,non_safety_constraint_signal,verified_locator_metadata_only
AL,Birmingham,non_safety_comparator,Referenced in 09/21/2020 agenda packet (exact CBA/MOA period not captured here),1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
AL,Calera,non_safety_municipal_units,2023-2024,1,1,fiscal_constraint_signal,verified_locator_metadata_only
AL,Fort Payne,safety_and_non_safety_compensation_units,"2014 (policy adopted June 3, 2014)",1,1,market_or_comparability_pressure,verified_locator_metadata_only
AL,Gulf Shores,safety_and_non_safety_compensation_units,2024 Pay Classification Plan,1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
AL,Hartselle,safety_and_non_safety_compensation_units,2014-2024 target window,1,1,market_or_comparability_pressure,verified_locator_metadata_only
AL,Hueytown,safety_and_non_safety_compensation_units,2014-2024 target window,1,1,market_or_comparability_pressure,verified_locator_metadata_only
AL,Irondale,safety_and_non_safety_compensation_units,"2022 (Resolution 2022-R-121; compensation increase beginning Oct 5, 2022)",1,1,market_or_comparability_pressure,verified_locator_metadata_only
AZ,Chandler,non_safety_comparator,"2021–2024 (pay scale effective October 1, 2024 referenced inside document)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
AZ,Chandler,non_safety_comparator,"Includes references to contracts effective July 1, 2024 through June 30, 2026 (and related FY2024-25 compensation detail)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
AZ,Chandler,non_safety_comparator,"Narrative references contract effective July 1, 2022 through June 30, 2024; includes FY2023-24 compensation discussion",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
AZ,Douglas,safety_and_non_safety_compensation_units,2014-2024 target window,1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
AZ,Douglas,safety_and_non_safety_compensation_units,2023-2024 (as labeled),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
AZ,El Mirage,safety_and_non_safety_bargaining_units,Referenced arbitration decision: December 2021 (MOU referenced; contract dates not confirmed in the locator result),1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
AZ,Florence,non_safety_municipal_units,FY 2022-2023 (Resolution 1846-22; compensation plan modifications; implementation effective ______________),1,0,fiscal_constraint_signal,no_verified_source_lead_in_tier_a_b
CA,Albany,non_safety_municipal_units,"January 2, 2024 – September 30, 2026",1,0,fiscal_constraint_signal,no_verified_source_lead_in_tier_a_b
CA,Albany,non_safety_municipal_units,"Referenced SEIU term: October 1, 2018 – September 30, 2021 (within broader FY 2021-22 & 2022-23 operating budget document)",1,0,fiscal_constraint_signal,no_verified_source_lead_in_tier_a_b
CA,Auburn,safety_and_non_safety_compensation_units,"Salary Schedule effective July 1, 2019",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
CA,California City,safety_and_non_safety_compensation_units,2019-dated MOU (exact start/end to be confirmed via document contents),1,1,market_or_comparability_pressure,verified_locator_metadata_only
CA,California City,safety_and_non_safety_compensation_units,FY 2023-2024 (salary schedule),1,1,market_or_comparability_pressure,verified_locator_metadata_only
CA,Citrus Heights,non_safety_comparator,"October 1, 2023 - June 30, 2026",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
CA,Citrus Heights,non_safety_comparator,"October 1, 2023 – June 30, 2026",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
CA,Delano,non_safety_comparator,"Expected wage schedule cycle aligned to the 2022-2025 bargaining agreement period (July 1, 2022 – June 30, 2025) as targeted",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
CA,El Segundo,safety_and_non_safety_compensation_units,"October 1, 2014 – September 30, 2018",1,1,market_or_comparability_pressure,verified_locator_metadata_only
CA,El Segundo,safety_and_non_safety_compensation_units,"October 1, 2018 – September 30, 2021",1,1,market_or_comparability_pressure,verified_locator_metadata_only
CA,Fullerton,non_safety_comparator,"Locked target overlap: Jan 1, 2024 through Jun 30, 2028 (document appears to cover compensation for a multi-year term)",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
CA,Glendora,non_safety_comparator,"September 1, 2025 – June 30, 2028",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
CA,Hawaiian Gardens,safety_and_non_safety_compensation_units,"2017-2020 MOU (contains across-the-board increases effective July 1, 2017; 2018; 2019)",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
CA,Hawaiian Gardens,safety_and_non_safety_compensation_units,"Resolution No. 020-2025 adopting revised salary schedule; effective retroactive to July 1, 2024 and revision effective July 1, 2025 (per staff report snippet)",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
CA,Inglewood,non_safety_comparator,"July 1, 2022 – June 30, 2025",1,1,non_safety_constraint_signal,verified_locator_metadata_only
CA,Irvine,non_safety_comparator,"July 1, 2016 through June 30, 2017",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
CA,La Palma,safety_and_non_safety_compensation_units,"Extension: original MOU set to expire June 30, 2021 extended for one year through June 30, 2022",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
CA,La Palma,safety_and_non_safety_compensation_units,"Referenced MOU effective July 1, 2018 through June 30, 2021; also references subsequent extension and a later MOU term",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
CA,Laguna Woods,safety_and_non_safety_compensation_units,MOU effective/enforceable 2017 (exact term not extracted here),1,1,market_or_comparability_pressure,verified_locator_metadata_only
CA,Laguna Woods,safety_and_non_safety_compensation_units,"References 09/06/2016 approval and impacts to FY 2016-17, FY 2017-18, and FY 2018-19 budget projections (exact MOU term not extracted here)",1,1,market_or_comparability_pressure,verified_locator_metadata_only
CA,Mill Valley,safety_and_non_safety_compensation_units,MOU term references (includes 2024 and later effective-period language),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
CA,Moraga,safety_and_non_safety_compensation_units,"Salary schedules effective July 1, 2019 (yearly compensation adjustment context)",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
CA,Pinole,non_safety_municipal_units,FY 2023/2024 (budget cycle),1,1,fiscal_constraint_signal,verified_locator_metadata_only
CA,Pinole,non_safety_municipal_units,"July 1, 2023 to June 30, 2025",1,1,fiscal_constraint_signal,verified_locator_metadata_only
CA,Ripon,safety_and_non_safety_compensation_units,2014-2024 (exact term not determined from search snippet),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
CA,Santa Monica,non_safety_comparator,"July 1, 2022 – June 30, 2025",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
CA,South El Monte,non_safety_municipal_units,"July 1, 2024 — June 30, 2027",1,0,fiscal_constraint_signal,no_verified_source_lead_in_tier_a_b
CA,South Gate,non_safety_comparator,Effective 10-10-2023 (salary schedule),1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
CA,Sunnyvale,non_safety_comparator,"July 1, 2022 to June 30, 2026",1,1,non_safety_constraint_signal,verified_locator_metadata_only
