candidate_id,lane_id,priority_tier,quality_label,source_url_or_locator,source_title,municipality,state,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,same_city_match_status,overlapping_cycle_status,verification_status,verification_reason,verified_municipality,verified_state,verified_unit_type,verified_source_family,verified_contract_or_document_period,locator_accessibility_status,content_type_hint,download_status,extraction_status,rating_status,causal_status,verification_timestamp,notes
TS4L-3bce83ddc6608ba09d91,lane_1,tier_a,verification_ready_high,https://www.musicalartists.org/wp-content/uploads/AtlantaBallet.2022-2024.pdf,"Atlanta Ballet — Collective Bargaining Agreement (August 1, 2022 - July 31, 2024) (American Guild of Musical Artists)",Atlanta,GA,non_safety_comparator,Ballet dancers / artists (union-represented performing arts personnel),AGMA bargaining unit for Atlanta Ballet (dancers and apprentices; contract text indicates exclusions for certain clerical/professional/managerial roles),"August 1, 2022 - July 31, 2024",,,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Likely same-city (Atlanta, GA stated in agreement header)",Unknown (cycle overlap requires confirming dates of target period and contract effective dates),unavailable,head_http_404,,,,,,head_http_404,text/html,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T01:30:59Z,HEAD only; attempts=1; elapsed_seconds=2.102; identity_score=0; final_host_hash=a57d008e3b9f; final_locator_hash=9ba22f72857177a7c3db; no body or raw headers retained.
TS4L-846b53d0f1148d53cf7f,lane_1,tier_a,verification_ready_high,https://www.okcps.org/cms/lib/OK01913268/Centricity/Domain/110/Teacher%20CBA%2024-25.pdf,2024-2025 American Federation of Teachers Collective Bargaining Agreement (Teacher CBA 24-25),Oklahoma City,OK,non_safety_comparator,Teachers (OKCPS),American Federation of Teachers (OKCPS teacher unit),FY 2024-2025 (Teacher CBA 24-25),2024-07-01,2025-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_expected_match,overlapping_with_2023-2025,unavailable,head_http_404,,,,,,head_http_404,text/html,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T01:30:59Z,HEAD only; attempts=1; elapsed_seconds=3.795; identity_score=0; final_host_hash=87c70df6ea84; final_locator_hash=e7f4e3288b8260f42fd1; no body or raw headers retained.
TS4L-ec8548404788d8de7cf6,lane_1,tier_a,verification_ready_high,https://www.doe.mass.edu/edcontracts/02430000-teacher.pdf,"Agreement between the Quincy School Committee and the Quincy Education Association, Inc. (Unit A) (PDF)",Quincy,MA,non_safety_comparator,PK-12 educators / teachers (DESE-contracted agreement; Unit A),"Quincy Education Association, Inc. (Unit A)","Effective Sept 1, 2015–Aug 31, 2017 and Effective Sept 1, 2017–Aug 31, 2020",2015-09-01,2020-08-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city,no_overlap_expected_cycle_defined,unavailable,head_http_404,,,,,,head_http_404,text/html,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T01:30:59Z,HEAD only; attempts=1; elapsed_seconds=0.138; identity_score=0; final_host_hash=5d330fe981d7; final_locator_hash=a8d7e33058d5ef8a0156; no body or raw headers retained.
TS4L-d5ef3361bb424f488583,lane_1,tier_a,verification_ready_high,https://littletonpublicschools.net/sites/default/files/Collective%20Bargaining%20Agreement_23-24%20final_0.pdf,Littleton Public Schools (School District No. 6) & Littleton Education Association — Collective Bargaining Agreement 2023-2024 (PDF),Littleton,CO,non_safety_comparator,Licensed staff (teachers/education association represented positions),Littleton Education Association (LEA),2023-2024 (per document title),2023-01-01,2024-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match_inferred,overlaps_expected_period_inferred,unavailable,head_http_404,,,,,,head_http_404,text/html,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T01:31:04Z,HEAD only; attempts=1; elapsed_seconds=1.021; identity_score=0; final_host_hash=389f0332ed7b; final_locator_hash=86375c1696164a7bd0ea; no body or raw headers retained.
TS4L-3b89ecc303583a8c916f,lane_1,tier_a,verification_ready_high,https://www.okcps.org/cms/lib/OK01913268/Centricity/Domain/110/Support%20CBA%20FY24.pdf,2023-2024 Oklahoma City Federation of Classified / Support Collective Bargaining Agreement (Support CBA FY24),Oklahoma City,OK,non_safety_comparator,Support/Classified employees (OKCPS),Oklahoma City Federation of Classified Employees (support/classified unit),FY 2023-2024 (Support CBA FY24),2023-07-01,2024-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_expected_match,partially_overlapping_with_2023-2025,unavailable,head_http_404,,,,,,head_http_404,text/html,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T01:31:05Z,HEAD only; attempts=1; elapsed_seconds=1.456; identity_score=0; final_host_hash=87c70df6ea84; final_locator_hash=17ee30142b9db6f6f211; no body or raw headers retained.
TS4L-66b13925a0824df037fd,lane_1,tier_a,verification_ready_high,https://www.chandleraz.gov/sites/default/files/FY2022-23_BudgetBook.pdf,City of Chandler FY2022-23 Budget Book (Employee Compensation / labor contract references include FY2023-24),Chandler,AZ,non_safety_comparator,General employee groups and/or represented employee groups (see referenced IAFF / other compensation sections),IAFF (International Association of Firefighters) and other employee groups mentioned in budget narrative,"Narrative references contract effective July 1, 2022 through June 30, 2024; includes FY2023-24 compensation discussion",2022-07-01 (per narr,2024-06-30 (per narr,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_candidate_lead,expected_period_overlap_confirmed_via_2023_2024_reference_in_narrative,unavailable,head_http_404,,,,,,head_http_404,text/html,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T01:31:07Z,HEAD only; attempts=1; elapsed_seconds=1.534; identity_score=0; final_host_hash=eb8427a08a36; final_locator_hash=5d24f71a34e3f315bd57; no body or raw headers retained.
TS4L-68548d54ad3012c1f00a,lane_1,tier_a,verification_ready_high,https://uswlocals.org/system/files/titantire_bryan_2016-2021_0.pdf,Titan Tire (Bryan) Collective Bargaining Agreement 2016-2021 (USW locals hosted PDF),Bryan,TX,non_safety_comparator,Manufacturing/production employees (tire plant),USW bargaining unit (local not specified in locator/title),"2016-2021 (overlaps May 2017 through Dec 31, 2019)",May 2017,"December 31, 2019",collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same-city (Bryan, TX)",yes (document period overlaps requested window),unavailable,head_http_404,,,,,,head_http_404,text/html,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T01:31:07Z,HEAD only; attempts=1; elapsed_seconds=0.734; identity_score=0; final_host_hash=3e56810b01b7; final_locator_hash=5e0a51f46c21be1aff97; no body or raw headers retained.
TS4L-89055229cfd9137bf9be,lane_1,tier_a,verification_ready_high,https://www.cityofdoral.com/files/assets/city/v/1/city-hall/city-clerk/resolutions-archived/2022/res.-no.-22-151-approving-collective-bargaining-agreement-police-officers-and-sergeants.pdf,Res. No. 22-151 Approving Collective Bargaining Agreement / MOU (PDF) - City of Doral,Doral,FL,non_safety_comparator,Police (Officers & Police Sergeants),South Florida Police Benevolent Association (PBA) - Police Officers and Police Sergeants (Bargaining Unit Members),"Successor CBA/MOU following a prior CBA running Oct 1, 2019 through Sep 30, 2022 (successor term dates to be confirmed in the document)",2022-10-01,2025-09-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,City of Doral (yes),"Overlaps expected period (explicitly references prior term ending Sep 30, 2022 and successor CBA negotiation)",unavailable,head_http_403,,,,,,head_http_403,text/html,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T01:31:07Z,HEAD only; attempts=1; elapsed_seconds=0.506; identity_score=0; final_host_hash=df86500aada4; final_locator_hash=5daabae741c35ec357bd; no body or raw headers retained.
TS4L-9216f3cfca330aaf3524,lane_1,tier_a,verification_ready_high,https://bloomington.in.gov/onboard/legislationFiles/download?legislationFile_id=5730,"ORDINANCE 22-40 — Amend Ordinance 22-26 (City of Bloomington, IN) to reflect execution of Collective Bargaining Agreement between City and Local 2487 AFSCME (A.F.S.C.M.E.) for Year 2023",Bloomington,IN,non_safety_comparator,"Appointed officers, non-union, and AFSCME employees (as referenced by salary/pay ordinance)","Local 2487 CBME, A.F.S.C.M.E. (referenced in ordinance text)",Year 2023 (ordinance amending salary/pay schedule to reflect CBA execution),2023-01-01,2023-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,city_match_from_official_city_legislation_page,overlaps_expected_2023_2026_term (covers year 2023 salary/pay schedule adjustments tied to 2023-2026 AFSCME),unavailable,head_http_404,,,,,,head_http_404,text/html,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T01:31:08Z,HEAD only; attempts=1; elapsed_seconds=0.451; identity_score=0; final_host_hash=a7135e0dc275; final_locator_hash=99475ed070a6c91feaad; no body or raw headers retained.
TS4L-a80d7a213a05cc61655b,lane_1,tier_a,verification_ready_high,https://elrb.illinois.gov/content/dam/soi/en/web/elrb/documents/finaloffers/Addison-SD-4.pdf,ELRB Addison SD-4 Final Offers (PDF) (bargaining context incl. collective bargaining agreement language),Addison,IL,non_safety_comparator,teachers/education staff (implied; not verified),Addison SD-4 unit (as titled),2015-2018,,,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match,unknown_from_snippet,unavailable,head_http_404,,,,,,head_http_404,text/html,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T01:31:08Z,HEAD only; attempts=1; elapsed_seconds=0.798; identity_score=0; final_host_hash=65a49d16fe13; final_locator_hash=6dd15599937c3d284c3b; no body or raw headers retained.
TS4L-ba4dab1aa48555dc1db3,lane_1,tier_a,verification_ready_high,https://www.mass.gov/doc/mcr-23-9789-hearing-officer-decision/download,Massachusetts DLR/CERB/MCR-23-9789 Hearing Officer Decision (covers SMEA Unit B integrated CBA periods),Somerville,MA,non_safety_comparator,"SMEA non-public safety, non-supervisory employees (Unit B)",Somerville Municipal Employees Association (SMEA) Unit B,"July 1, 2010 – June 30, 2013; and July 1, 2013 – June 30, 2016",2012-01-01,2015-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,Same city (Somerville) indicated,Overlaps 2012-2015 via the 2010-2013 and 2013-2016 terms,unavailable,head_http_403,,,,,,head_http_403,text/html,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T01:31:08Z,HEAD only; attempts=1; elapsed_seconds=0.38; identity_score=0; final_host_hash=bb491bfb4999; final_locator_hash=9b7c94cb539e93ef8184; no body or raw headers retained.
