candidate_id,lane_id,priority_tier,quality_label,source_url_or_locator,source_title,municipality,state,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,same_city_match_status,overlapping_cycle_status,verification_status,verification_reason,verified_municipality,verified_state,verified_unit_type,verified_source_family,verified_contract_or_document_period,locator_accessibility_status,content_type_hint,download_status,extraction_status,rating_status,causal_status,verification_timestamp,notes
TS4L-2e528e2f29ee07b45ad8,lane_1,tier_a,verification_ready_high,https://www.cleat.org/wp-content/uploads/2023/02/Weslaco-CBA-Police-2019-2021-final.pdf,COLLECTIVE BARGAINING LABOR AGREEMENT between THE CITY OF WESLACO and WMPU (FISCAL YEARS 2019-2021),Weslaco,TX,non_safety_comparator,Police officers,Weslaco Municipal Police Union (WMPU/WMPU),FISCAL YEARS 2019-2021,2019,2021,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Same-city match (City of Weslaco, TX). Unit-type match to 'non_safety_comparator' not established from lead alone.",Overlaps expected period 2019-2021 (stated fiscal years).,wrong_unit,candidate_metadata_identifies_only_a_safety_unit_for_non_safety_target,,,,,,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T01:30:59Z,HEAD only; attempts=1; elapsed_seconds=0.252; identity_score=13; final_host_hash=ffa6af5139b9; final_locator_hash=2177a5f18c531b4ea23c; no body or raw headers retained.
TS4L-a599061d5ed5aeb54dea,lane_1,tier_a,verification_ready_high,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2015/15-MED-08-0743.pdf,"Collective Bargaining Agreement (City of Findlay, OH / IAFF Local 381) — effective Jan 1, 2016 to Dec 31, 2018 (PDF, SERB-hosted; includes Appendix/health-related MOU)",Findlay,OH,non_safety_comparator,Fire service (IAFF Local 381),"International Association of Fire Fighters (IAFF), Local 381","effective January 1, 2016; expiring December 31, 2018 (as stated in the document/appendix)",2016-01-01,2018-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city_match,overlaps_target_period,wrong_unit,candidate_metadata_identifies_only_a_safety_unit_for_non_safety_target,,,,,,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T01:30:59Z,HEAD only; attempts=1; elapsed_seconds=0.514; identity_score=13; final_host_hash=38f5c35142de; final_locator_hash=e3b5743edaf9c1658f5b; no body or raw headers retained.
TS4L-b36910381630c1d58398,lane_1,tier_a,verification_ready_high,https://newrochellefuse.com/wp-content/uploads/2023/10/5b2ec-contract.pdf,CONTRACT between City School District of the City of New Rochelle and New Rochelle Federation of United School Employees (FUSE) (PDF),New Rochelle,NY,non_safety_comparator,School district employees represented by FUSE (pedagogic and school-related personnel as described in contract preamble/definitions),"New Rochelle Federation of United School Employees (FUSE), Local 280 (AFT/NYSUT/AFL-CIO, NEA)","July 1, 2015 through June 30, 2018",2015-07-01,2018-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city,non_overlapping_or_dated_cycle,wrong_period,title_or_locator_years_conflict_with_candidate_period_metadata,,,,,,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T01:31:04Z,HEAD only; attempts=1; elapsed_seconds=0.098; identity_score=13; final_host_hash=398b3074529a; final_locator_hash=bd81734ca6728579271b; no body or raw headers retained.
TS4L-1474767ad260a076f0c2,lane_1,tier_a,verification_ready_high,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2020/20-MED-09-0853.pdf,Collective bargaining agreement — SERB PDF (City of Westerville & Fraternal Order of Police Capital City Lodge No. 9) (20-MED-09-0853),Westerville,OH,non_safety_comparator,Fraternal Order of Police (appears public safety/bargaining unit for police ranks),Fraternal Order of Police Capital City Lodge No. 9 / City of Westerville,"Signed in Westerville, Ohio, October 2021; SERB contract record associated with a time window including Jan 1, 2021–Dec 31, 2023 (per prior locked search result context)",2021-01-01,2023-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,Westerville match (city named; signed in Westerville),Overlaps 2021–2023 (record/context indicates that span),wrong_period,title_or_locator_years_conflict_with_candidate_period_metadata,,,,,,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T01:31:04Z,HEAD only; attempts=1; elapsed_seconds=0.346; identity_score=13; final_host_hash=38f5c35142de; final_locator_hash=f6a263896eb12755d54c; no body or raw headers retained.
TS4L-1c4534fc33d0ed2f87bf,lane_1,tier_a,verification_ready_high,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2016/16-MED-10-1249.pdf,Collective Bargaining Agreement (City of Pepper Pike x AFSCME Local 1097 / Ohio Council 8) — SERB contract PDF (16-MED-10-1249),Pepper Pike,OH,non_safety_comparator,"clerical, service, and maintenance employees (includes administrative/clerk/bookkeeper/crew leader/laborer/mechanic classifications listed in agreement)","Ohio Council 8 and Local 1097, AFSCME, AFL-CIO","inferred: 2017-01-01 through 2019-12-31 (agreement termination language references not prior to midnight Dec 31, 2019)",2017-01-01,2019-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same_city_match (Pepper Pike, OH)",overlaps expected period (2017-01-01 to 2019-12-31) — based on period/termination language present in record,wrong_period,title_or_locator_years_conflict_with_candidate_period_metadata,,,,,,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T01:31:05Z,HEAD only; attempts=1; elapsed_seconds=0.588; identity_score=13; final_host_hash=38f5c35142de; final_locator_hash=bb8676c04a7271faa35a; no body or raw headers retained.
TS4L-269c01b5813bcaa9a878,lane_1,tier_a,verification_ready_high,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2022/22-MED-02-0083.pdf,Collective Bargaining Agreement (SERB) — Sheffield-Sheffield Lake City School District,Sheffield,OH,non_safety_comparator,School district bargaining unit personnel (exact group not determined from snippet),SSLCEA (referenced in document context),"effective January 1, 2020 to March 31, 2023",,,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,Sheffield (via Sheffield-Sheffield Lake City School District),Unknown (document is in SERB Contracts 2022 folder; may overlap 1/1/2020–3/31/2023),wrong_period,title_or_locator_years_conflict_with_candidate_period_metadata,,,,,,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T01:31:05Z,HEAD only; attempts=1; elapsed_seconds=0.407; identity_score=13; final_host_hash=38f5c35142de; final_locator_hash=3706fd9ded876d5b74f7; no body or raw headers retained.
TS4L-283a17a41243a1efcf53,lane_1,tier_a,verification_ready_high,https://seiu503.org/wp-content/uploads/2025/01/12.16.24-Evergreen-24-27-CBA-SIGNED.pdf,Evergreen & SEIU Local 503 – Collective Bargaining Agreement (Signed) (includes Milton Freewater SNF Operations),Milton-Freewater,OR,non_safety_comparator,Service employees (SNF/ALF facility employees),"SEIU Local 503, OPEU (employees covered by the recognition clause in the agreement)","2024–2027 (effective October 1, 2024 stated in document text snippet; lead only)",2024-10-01,2027-??-??,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,Milton Freewater Health & Rehabilitation Center (Milton Freewater SNF Operations) listed as one of the employers covered (lead for city comparison).,target_same_or_overlapping_period,wrong_period,title_or_locator_years_conflict_with_candidate_period_metadata,,,,,,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T01:31:05Z,HEAD only; attempts=1; elapsed_seconds=0.372; identity_score=13; final_host_hash=82216632b3b7; final_locator_hash=766fdac6785a662a06ba; no body or raw headers retained.
TS4L-2fe4604e1e2864c99a96,lane_1,tier_a,verification_ready_high,https://quincyeducationassociation.org/wp-content/uploads/2026/02/QEA-UNIT-A-Memorandum-of-Agreement-FINAL.docx-11.pdf,QEA Unit A Memorandum of Agreement (Quincy School Committee) (PDF),Quincy,MA,non_safety_comparator,PK-12 educators / teachers (QEA Unit A),Quincy Education Association (Unit A),"Successor collective bargaining agreement period Sept 1, 2025 through Aug 31, 2028 (with referenced prior period Sept 1, 2022–Aug 31, 2025)",2025-09-01,2028-08-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city,overlaps_with_other_non_safety_leads,wrong_period,title_or_locator_years_conflict_with_candidate_period_metadata,,,,,,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T01:31:05Z,HEAD only; attempts=1; elapsed_seconds=0.269; identity_score=13; final_host_hash=54b9bbd1051c; final_locator_hash=245540c98731540ca0f4; no body or raw headers retained.
TS4L-5db29ab7494948852d53,lane_1,tier_a,verification_ready_high,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2019/19-CON-03-0238.pdf,"Collective Bargaining Agreement (City of Oxford, OH and Oxford Police Employees Association) — Resolution No. 7035 (term includes 2019-2021)",Oxford,OH,non_safety_comparator,Dispatcher/Clerks; Public safety assistants; Public records specialists (per staff summary description),Oxford Police Employees Association (incl. public safety assistants/public records specialists/dispatcher-clerks),"January 1, 2019 through December 31, 2021",2019-01-01,2021-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,same_city,overlaps_full_expected_period,wrong_unit,candidate_metadata_identifies_only_a_safety_unit_for_non_safety_target,,,,,,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T01:31:05Z,HEAD only; attempts=1; elapsed_seconds=0.547; identity_score=13; final_host_hash=38f5c35142de; final_locator_hash=696cabd807bfbe25dc0d; no body or raw headers retained.
TS4L-96c329de1d49c0d1be0e,lane_1,tier_a,verification_ready_high,https://www.hr.pitt.edu/sites/default/files/Univ_of_Pgh_Police_Assoc_Pittsburgh_Oakland.pdf,"COLLECTIVE BARGAINING AGREEMENT (University of Pittsburgh Police Association, Pittsburgh/Oakland PDF)",Pittsburgh,PA,non_safety_comparator,police association bargaining unit (university police context; may function as non-safety comparator depending on downstream mapping),University of Pittsburgh Police Association (as titled),"document shows a date marker (e.g., 7/1/2024 shown in search snippet)",2024-07-01 (from sni,,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"same_city_match (Pittsburgh-based institution in Pittsburgh, PA area)",overlaps_expected_period (2024 within 2014-2024 window),wrong_unit,candidate_metadata_identifies_only_a_safety_unit_for_non_safety_target,,,,,,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T01:31:07Z,HEAD only; attempts=1; elapsed_seconds=0.554; identity_score=13; final_host_hash=4c2ab64872be; final_locator_hash=727390ede2839443392e; no body or raw headers retained.
