canonical_payload_id,raw_field_count,raw_span_count,raw_ambiguity_count,assignment_cost,lane_id
EXTPAYLOAD-000842740a46817d53deae4c,0,0,0,4,classification_lane_002
EXTPAYLOAD-008722483bb20edd6fe1784e,87,90,59,347,classification_lane_002
EXTPAYLOAD-0088f8e26b201e1f26a3fbf7,121,81,27,299,classification_lane_002
EXTPAYLOAD-00a12b392568f74643c07c1c,8,8,6,25,classification_lane_002
EXTPAYLOAD-00a8d28c11f7331b6f77fb6f,2,3,1,17,classification_lane_002
EXTPAYLOAD-00b5328c2a2e71098302a5df,229,205,138,695,classification_lane_002
EXTPAYLOAD-00c106b56c3fab0363bafbdb,972,869,500,2358,classification_lane_002
EXTPAYLOAD-00c82f29fc8c3c5cb8d7eb7c,153,139,104,500,classification_lane_002
EXTPAYLOAD-00caec74931993099b10c52d,2,2,0,11,classification_lane_002
EXTPAYLOAD-0124c7b0da0eb54ba9d83fe9,124,102,74,468,classification_lane_002
EXTPAYLOAD-012add8bb35407a7acd8b5f7,2,2,0,24,classification_lane_002
EXTPAYLOAD-01604ea8fdbf7ee08442abfa,56,46,28,239,classification_lane_002
EXTPAYLOAD-018266f237cd46940aa9aaee,284,272,254,1050,classification_lane_002
EXTPAYLOAD-01a655cdd474ecfee09555ea,25,16,11,58,classification_lane_002
EXTPAYLOAD-01b063224f6ddf892701b52e,2,2,0,9,classification_lane_002
EXTPAYLOAD-01b0c0f9fb78fbeb92fe2b03,2,2,0,4,classification_lane_002
EXTPAYLOAD-01b69d7c26f2adcd7780d774,0,0,0,0,classification_lane_002
EXTPAYLOAD-01c9510e9fb88c6152db1597,72,72,60,179,classification_lane_002
EXTPAYLOAD-01caddfd681f21057c0dcbb5,8,10,8,41,classification_lane_002
EXTPAYLOAD-01cf1e2e5825cda5126ff4a8,954,755,398,2631,classification_lane_002
EXTPAYLOAD-01de8bf20f7b975d349dc3b0,70,29,19,136,classification_lane_002
EXTPAYLOAD-01e61f209485e455e2c263f8,158,142,105,510,classification_lane_002
EXTPAYLOAD-020bc057c3774746f65fa67a,54,32,18,115,classification_lane_002
EXTPAYLOAD-020e68f72165f2a469e4e522,0,0,0,0,classification_lane_002
EXTPAYLOAD-023505428aa881207313b282,62,61,49,628,classification_lane_002
EXTPAYLOAD-027567f1b34c9f73a9e3f489,15,10,6,39,classification_lane_002
EXTPAYLOAD-02914225cde6e1ef51ec50db,0,0,0,0,classification_lane_002
EXTPAYLOAD-02936d089409b6911e006952,8,8,0,33,classification_lane_002
EXTPAYLOAD-0296f29d675228332b91b193,33,21,7,71,classification_lane_002
EXTPAYLOAD-029d1d070be28c27fe11f14b,268,164,59,717,classification_lane_002
EXTPAYLOAD-02a528ef57318404e9c169e3,2,2,0,6,classification_lane_002
EXTPAYLOAD-02a723945c7eb0c831712ecf,151,105,55,609,classification_lane_002
EXTPAYLOAD-02d677ccf4a92099b0d16969,2,1,0,11,classification_lane_002
EXTPAYLOAD-02db9f4b76635dc7fe644827,56,28,0,92,classification_lane_002
EXTPAYLOAD-02dc4b73d459ffe2fc303060,2,2,0,36,classification_lane_002
EXTPAYLOAD-02f52bead143d93ed0a2da53,3,3,0,15,classification_lane_002
EXTPAYLOAD-02fc44312f05f3a3e3ad0bd4,3,3,0,9,classification_lane_002
EXTPAYLOAD-031cb2a7e90bba9d47009d7f,3513,2704,2156,8690,classification_lane_002
EXTPAYLOAD-032d5a39dc8947093a8447a9,2,2,0,5,classification_lane_002
EXTPAYLOAD-03464523ac43baece30ef283,717,707,48,1529,classification_lane_002
EXTPAYLOAD-0370f5e9d329511e078be5de,35,26,13,303,classification_lane_002
EXTPAYLOAD-0383712736cc36514274eff3,6,6,4,20,classification_lane_002
EXTPAYLOAD-038580bab50b54a36d163424,436,328,239,1201,classification_lane_002
EXTPAYLOAD-03be9eb64c7d3dcd06b3c92e,2,2,0,10,classification_lane_002
EXTPAYLOAD-03d753d8ab0ccd9531ec6f90,0,0,0,0,classification_lane_002
EXTPAYLOAD-03e132793d767416599079db,9,5,0,37,classification_lane_002
EXTPAYLOAD-03fb5e04ae707ff8d5636b6c,5,5,0,19,classification_lane_002
EXTPAYLOAD-041797a5dad5d0bc70fc869d,230,151,133,791,classification_lane_002
EXTPAYLOAD-0430241318ad647882dc867c,21,19,10,56,classification_lane_002
EXTPAYLOAD-045665671c11d6e7524f9330,12,12,2,44,classification_lane_002
EXTPAYLOAD-0459b7f96ca75993d3a0976c,61,61,0,122,classification_lane_002
EXTPAYLOAD-049ff42ebf7f5cd4734349a5,32,32,16,96,classification_lane_002
EXTPAYLOAD-04a358c2e04b5d47eda04abb,22,19,5,70,classification_lane_002
EXTPAYLOAD-04a6d38c35c80bf9efb28217,73,44,15,361,classification_lane_002
EXTPAYLOAD-04cd21802cf2df3a1091f155,334,256,177,945,classification_lane_002
EXTPAYLOAD-04f425fbd8a201b6df551c1b,2,2,0,22,classification_lane_002
EXTPAYLOAD-04f7af8cf8400536d4dad697,16,16,0,35,classification_lane_002
EXTPAYLOAD-050ed4f680c40a23a98b6119,2009,1357,926,4820,classification_lane_002
EXTPAYLOAD-05118dd7d9f98bf7fb310c4d,8,7,2,47,classification_lane_002
EXTPAYLOAD-053751e7611c2ebe20aad0f1,0,0,0,0,classification_lane_002
EXTPAYLOAD-055c28435bc974c7811fba65,2,2,0,26,classification_lane_002
EXTPAYLOAD-05658e4803b960fdae134e69,7504,7504,2,15947,classification_lane_002
EXTPAYLOAD-0572980d08065144b5bdd93d,49,39,10,106,classification_lane_002
EXTPAYLOAD-0584b9ac636a46ebff6ab193,5,5,4,15,classification_lane_002
EXTPAYLOAD-05ae12b8f5fbf4a2eec5239b,350,313,257,1202,classification_lane_002
EXTPAYLOAD-05b5a7e1376dd5c9601bc4a2,10,9,4,26,classification_lane_002
EXTPAYLOAD-05c1a0f4ec797a2a7c3aba10,13,7,2,32,classification_lane_002
EXTPAYLOAD-05c9943ac9a8eb27cad2006b,2,2,0,33,classification_lane_002
EXTPAYLOAD-05ef155f639e7e65f14f71ee,44,54,30,187,classification_lane_002
EXTPAYLOAD-0612737cb3a4077bdea38639,127,119,89,448,classification_lane_002
EXTPAYLOAD-063dfb34b9bf12cb7993af24,2,2,0,7,classification_lane_002
EXTPAYLOAD-06514d2df868732911cb1dfd,1303,1011,783,3825,classification_lane_002
EXTPAYLOAD-06546fa5f4c51cce82ea3cb1,18,17,7,48,classification_lane_002
EXTPAYLOAD-06ba50f0a81205a1e6f356db,3,3,0,13,classification_lane_002
EXTPAYLOAD-06bfa831a5f16d5b09681219,6,6,2,31,classification_lane_002
EXTPAYLOAD-06cc9db58754d209d64f4dda,0,0,0,0,classification_lane_002
EXTPAYLOAD-06e53c85f9aaee742625ce24,8,6,4,44,classification_lane_002
EXTPAYLOAD-0720ea14a964df7431b019c1,2,2,0,8,classification_lane_002
EXTPAYLOAD-07613898dc1e9ae20fa400b4,2,2,0,17,classification_lane_002
EXTPAYLOAD-07862a14e6cc677819257be0,8,8,5,62,classification_lane_002
EXTPAYLOAD-078c04e8b196abe8dd1ff637,39,35,24,160,classification_lane_002
EXTPAYLOAD-07c5aaa12f2ccb9c67a75b1c,2,2,0,6,classification_lane_002
EXTPAYLOAD-0800f165984170dd331f6058,10,6,2,21,classification_lane_002
EXTPAYLOAD-080823a528791331c61d937f,86,38,0,458,classification_lane_002
EXTPAYLOAD-0809364370205e7a439c293b,12,12,12,53,classification_lane_002
