canonical_payload_id,raw_field_count,raw_span_count,raw_ambiguity_count,assignment_cost,lane_id
EXTPAYLOAD-001ba8bdc409337d8c467913,3,3,1,17,classification_lane_001
EXTPAYLOAD-0048c78471b3515ec2731089,72,70,1,161,classification_lane_001
EXTPAYLOAD-00577fa21ff20d5b617e10e7,532,187,9,775,classification_lane_001
EXTPAYLOAD-0062f64da9060a0cd6ed8c7f,119,95,67,352,classification_lane_001
EXTPAYLOAD-00700bc266d4ba049ff71656,22,22,0,170,classification_lane_001
EXTPAYLOAD-008a9556aebdcc3e0251c7de,1581,1145,857,4428,classification_lane_001
EXTPAYLOAD-00dbee82ff0988263847740a,218,145,134,523,classification_lane_001
EXTPAYLOAD-00f2cebf3d25f4244f906c33,120,112,57,367,classification_lane_001
EXTPAYLOAD-01009107b6b3f35ff8ac0e3d,2,2,0,6,classification_lane_001
EXTPAYLOAD-011bdf92fe9ea9db342bcc2a,170,137,108,482,classification_lane_001
EXTPAYLOAD-0120dcc4ce68394357826d36,2,2,0,10,classification_lane_001
EXTPAYLOAD-0131240c6fc2b7daa962e497,45,27,12,136,classification_lane_001
EXTPAYLOAD-0140ed1317b38ef289281c58,8,7,2,37,classification_lane_001
EXTPAYLOAD-0148fafad63e2f30869c71b6,4,4,2,17,classification_lane_001
EXTPAYLOAD-015bb9284b0e40d8f62470a3,11,8,4,39,classification_lane_001
EXTPAYLOAD-016c0799eba7b9299bad6051,2,2,0,13,classification_lane_001
EXTPAYLOAD-017124dafa9d641286861c32,32,18,12,153,classification_lane_001
EXTPAYLOAD-01760aae4b62693451352815,282,259,196,942,classification_lane_001
EXTPAYLOAD-0189a45b5f7a4d4449e8ec0f,145,145,90,385,classification_lane_001
EXTPAYLOAD-0194fc273034576c253be7d3,4,4,0,15,classification_lane_001
EXTPAYLOAD-01999dd50a9bdec7a4bac0dd,86,84,65,316,classification_lane_001
EXTPAYLOAD-01a229ea645eb0d80a768fab,4,4,4,19,classification_lane_001
EXTPAYLOAD-01b4faf087ca607aec3c3a39,34,30,0,71,classification_lane_001
EXTPAYLOAD-01b853b2e35c5b88aeed819d,825,527,348,1973,classification_lane_001
EXTPAYLOAD-01f786d62bd5aa73617c1201,2,2,0,8,classification_lane_001
EXTPAYLOAD-0227c5acb21a2b32151bb746,32,29,12,84,classification_lane_001
EXTPAYLOAD-0227e7801455573e4538a499,16,12,9,36,classification_lane_001
EXTPAYLOAD-0277b640867c85bb476ab4d4,17,10,5,32,classification_lane_001
EXTPAYLOAD-0294499b23aedef9f6434a84,3,3,0,10,classification_lane_001
EXTPAYLOAD-02a309aec12ed756103b5490,0,0,0,22,classification_lane_001
EXTPAYLOAD-02ce61ad05d36420b9142705,78,57,23,192,classification_lane_001
EXTPAYLOAD-02dae2fdba5ef4d602817240,10,4,0,20,classification_lane_001
EXTPAYLOAD-02ff5f680b6aa9ba760780ac,43,35,26,119,classification_lane_001
EXTPAYLOAD-0307fa002e60ba81e43b8ac9,2,2,0,5,classification_lane_001
EXTPAYLOAD-033f362cfbdec830830b4c0a,160,157,131,618,classification_lane_001
EXTPAYLOAD-0350b7fee8ba81b9efc46bc0,14,12,5,35,classification_lane_001
EXTPAYLOAD-03a64f3c17bb26a85d2a3cc2,453,356,261,1192,classification_lane_001
EXTPAYLOAD-03b1470aac6a059d3451bfee,31,19,11,72,classification_lane_001
EXTPAYLOAD-03c10c39c819afd8e8b844d0,37,36,16,116,classification_lane_001
EXTPAYLOAD-03cdd208ee24372d169294db,24,18,2,53,classification_lane_001
EXTPAYLOAD-03e3d88adff7b77c12abd6b4,144,136,93,437,classification_lane_001
EXTPAYLOAD-041ee14dc77c701d9de67d11,16,15,6,96,classification_lane_001
