canonical_payload_id,terminal_outcome,local_outcome_pointer
EXTPAYLOAD-001a1204ca212b6b85f43ef5,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_003/outcomes.jsonl
EXTPAYLOAD-0027da9767f30538f6a95de6,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_003/outcomes.jsonl
EXTPAYLOAD-00452fdbe1df698e6d99e5fb,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_003/outcomes.jsonl
EXTPAYLOAD-0052b8a8e93a2c8f1f47cdf1,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_003/outcomes.jsonl
EXTPAYLOAD-00909f509836dd1d7cbf450d,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_003/outcomes.jsonl
EXTPAYLOAD-00ac5a5318f78383c3b5887b,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_003/outcomes.jsonl
EXTPAYLOAD-00afd016a9870870057b9a2d,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_003/outcomes.jsonl
EXTPAYLOAD-00b90a2915c1f737e3222770,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_003/outcomes.jsonl
EXTPAYLOAD-00e6dbf90850f05b3896d517,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_003/outcomes.jsonl
EXTPAYLOAD-00f6f8d7bbc8920ff3621c81,classification_compaction_repair_generation_001_complete,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/classified_observations/repair_generation_001/lanes/classification_lane_003/outcomes.jsonl
