canonical_payload_id,raw_field_count,raw_span_count,raw_ambiguity_count,assignment_cost,lane_id
EXTPAYLOAD-001a1204ca212b6b85f43ef5,195,160,73,498,classification_lane_003
EXTPAYLOAD-0027da9767f30538f6a95de6,143,145,117,405,classification_lane_003
EXTPAYLOAD-00452fdbe1df698e6d99e5fb,96,70,58,226,classification_lane_003
EXTPAYLOAD-0052b8a8e93a2c8f1f47cdf1,16,14,11,78,classification_lane_003
EXTPAYLOAD-00909f509836dd1d7cbf450d,2,2,0,4,classification_lane_003
EXTPAYLOAD-00ac5a5318f78383c3b5887b,246,155,52,456,classification_lane_003
EXTPAYLOAD-00afd016a9870870057b9a2d,28,27,25,91,classification_lane_003
EXTPAYLOAD-00b90a2915c1f737e3222770,1223,1131,822,3096,classification_lane_003
EXTPAYLOAD-00e6dbf90850f05b3896d517,169,80,64,397,classification_lane_003
EXTPAYLOAD-00f6f8d7bbc8920ff3621c81,414,272,146,1054,classification_lane_003
EXTPAYLOAD-010f89e234e564aad1cf7334,80,72,29,446,classification_lane_003
EXTPAYLOAD-0110b924b486aa38c049dc5f,156,90,54,404,classification_lane_003
EXTPAYLOAD-01167a717375bbfc0229baeb,122,108,77,296,classification_lane_003
EXTPAYLOAD-0116e1fc7121806f9d1cb8d0,10,10,5,48,classification_lane_003
EXTPAYLOAD-011f1de25fb7b507572ae602,103,101,0,247,classification_lane_003
EXTPAYLOAD-012dae3a8409088fe55c6842,4689,4488,669,10283,classification_lane_003
EXTPAYLOAD-013a7600dd45bda0f76f0a3e,5,4,1,18,classification_lane_003
EXTPAYLOAD-013cc0551241308798c92d78,2,2,0,12,classification_lane_003
EXTPAYLOAD-01d96eb432b0593a63c90ead,38,38,0,79,classification_lane_003
EXTPAYLOAD-01ecd274e11d960ad324a10e,868,825,768,2526,classification_lane_003
EXTPAYLOAD-01f7a616673c3e41f7c03aa7,2,2,0,48,classification_lane_003
EXTPAYLOAD-025880dd4b32d6f934d9613e,2,2,0,4,classification_lane_003
EXTPAYLOAD-0260fbbd8721d1e1a5d36e5d,6,6,4,29,classification_lane_003
EXTPAYLOAD-02869b81c3d9af0ea628b049,3,3,0,9,classification_lane_003
EXTPAYLOAD-02b14e750378b66368ddb958,2360,1078,875,4483,classification_lane_003
EXTPAYLOAD-02b3b2909cd9b10ea609b3b6,204,194,153,785,classification_lane_003
EXTPAYLOAD-02d059b87bd4bcf604f5201b,6,6,2,18,classification_lane_003
EXTPAYLOAD-02f1e3929df909b21b5cd5f5,38,26,12,133,classification_lane_003
EXTPAYLOAD-02f4f5affcf60bed10abef01,23,23,15,79,classification_lane_003
EXTPAYLOAD-034de280e47fe7fcd12f5584,130,107,66,375,classification_lane_003
EXTPAYLOAD-0362ff21a7ccb29520b905d8,11,10,5,28,classification_lane_003
EXTPAYLOAD-0370e443606f321cce555df7,5,5,1,15,classification_lane_003
EXTPAYLOAD-0373c617b651f6c1bf3949f4,2,2,0,9,classification_lane_003
EXTPAYLOAD-0379e557f05db916965b42b8,2,2,0,25,classification_lane_003
EXTPAYLOAD-0379ea5c7a7c7cbf6a558520,2,2,1,33,classification_lane_003
EXTPAYLOAD-038e4265cbb66c5f4312519a,2,2,0,6,classification_lane_003
EXTPAYLOAD-0390c3735c63c7916c6f90a4,14,3,0,30,classification_lane_003
EXTPAYLOAD-0394b61138be19bcf0cd7b03,11,11,3,39,classification_lane_003
EXTPAYLOAD-03a9b5d12c55d6232c3c9381,5143,5143,80,11904,classification_lane_003
EXTPAYLOAD-03acbcaca7ca569fa6460774,487,292,8,922,classification_lane_003
EXTPAYLOAD-03dff7524eb5efbe8224fefa,2,2,0,10,classification_lane_003
EXTPAYLOAD-044cc5d672052db36522411c,2,2,0,5,classification_lane_003
EXTPAYLOAD-046924c0f136026fb4fdbc0a,11,11,0,71,classification_lane_003
EXTPAYLOAD-0470d4c8343e8b77e8e2e2e6,153,132,82,471,classification_lane_003
EXTPAYLOAD-04789c821a321d2837ae0d4e,739,539,206,1850,classification_lane_003
EXTPAYLOAD-04a81cdad3cc60e91f93cce9,5,5,2,19,classification_lane_003
EXTPAYLOAD-04d5ad04b134a5178665510f,12,4,0,20,classification_lane_003
EXTPAYLOAD-04e491f317bf36aa277bd17e,2968,2120,1171,8004,classification_lane_003
EXTPAYLOAD-04f50c70c00f6d7221daf800,15,11,6,37,classification_lane_003
EXTPAYLOAD-05103f74c7dc33f000b59c82,33,33,0,70,classification_lane_003
EXTPAYLOAD-051c2d0ad75f4012a54d177c,19,13,6,44,classification_lane_003
EXTPAYLOAD-0555ed67f107927c4928f3a0,28,15,11,56,classification_lane_003
EXTPAYLOAD-055cdae2cf1eaaec9fd87da1,13,10,1,36,classification_lane_003
EXTPAYLOAD-056b145ecee69a1ec007e161,2010,1458,424,4239,classification_lane_003
EXTPAYLOAD-056f8b1eac9d83e6fb54b835,8,8,6,26,classification_lane_003
EXTPAYLOAD-0573a55b4929dcc0da9f4844,509,415,278,1762,classification_lane_003
EXTPAYLOAD-0584548063ec3db027e0c796,2,4,2,12,classification_lane_003
EXTPAYLOAD-05ad3332199dee3c834cb783,122,110,94,502,classification_lane_003
EXTPAYLOAD-05d6a84d03aac0fe4305102f,0,2,2,476,classification_lane_003
EXTPAYLOAD-0618d96c43d50929c20494d0,2,2,0,11,classification_lane_003
EXTPAYLOAD-0620072febb6160f57d047a3,126,100,70,304,classification_lane_003
EXTPAYLOAD-063c18ef89da6219f1483364,59,56,53,179,classification_lane_003
EXTPAYLOAD-063ea25e74b5757c6b089fd3,2,2,0,32,classification_lane_003
EXTPAYLOAD-0647cf0f0d7b5c1744f379ad,135,133,82,361,classification_lane_003
