canonical_payload_id,raw_field_count,raw_span_count,raw_ambiguity_count,assignment_cost,lane_id
EXTPAYLOAD-001335100368c5fa28d271eb,8,8,0,21,classification_lane_004
EXTPAYLOAD-00695731fb429c889ad66e00,177,176,12,379,classification_lane_004
EXTPAYLOAD-006a99166d964f8c2aaab706,126,88,66,302,classification_lane_004
EXTPAYLOAD-00771192db7aa066f7c1f3c5,21,21,18,66,classification_lane_004
EXTPAYLOAD-008873b5b51a2c3bfd49fcc1,2,2,0,13,classification_lane_004
EXTPAYLOAD-00b6f11cdc648372e82e9fda,2,2,0,7,classification_lane_004
EXTPAYLOAD-00e01a90a7df1d6736e6c30d,281,120,47,905,classification_lane_004
EXTPAYLOAD-00e979ffd516b3681b9e0036,157,146,128,570,classification_lane_004
EXTPAYLOAD-00f3b6b4ae9d675d81b9530d,222,128,74,412,classification_lane_004
EXTPAYLOAD-013cee2a9104b3a6839ff324,2462,2461,21,6592,classification_lane_004
EXTPAYLOAD-01458188e8f051054827d6b8,2,2,0,7,classification_lane_004
EXTPAYLOAD-01688dcc9fe6d17506bec03f,29,29,0,226,classification_lane_004
EXTPAYLOAD-016fd9b7fb0f792e5aebd5d8,2,2,0,4,classification_lane_004
EXTPAYLOAD-0180f01f8b12a283560fb016,3,3,0,40,classification_lane_004
EXTPAYLOAD-0183b310d99d88dd29b84196,2,2,0,21,classification_lane_004
EXTPAYLOAD-01bba12e584f97460402278d,21,21,0,60,classification_lane_004
EXTPAYLOAD-01d8737db796473b1bd18824,312,176,56,686,classification_lane_004
EXTPAYLOAD-01ec37d12ffab733808936a7,3,3,0,18,classification_lane_004
EXTPAYLOAD-01f373ea2ae582d16e236e3d,12,12,8,55,classification_lane_004
EXTPAYLOAD-01fc3efc54aaa8c8686e6c42,217,208,172,710,classification_lane_004
EXTPAYLOAD-021ac0465b5acd8a3ae92cb3,61,46,26,205,classification_lane_004
EXTPAYLOAD-022f9ef86e445bac7aa2a16a,20,20,0,46,classification_lane_004
EXTPAYLOAD-02342c7ff8d2f7aefe40b68b,462,339,177,1015,classification_lane_004
EXTPAYLOAD-023a4a2a71cc295ae54dacd3,18,18,16,48,classification_lane_004
EXTPAYLOAD-025ca2fa2e15b35677d62205,3,3,0,16,classification_lane_004
EXTPAYLOAD-0281ef687d09691d8ff25df5,652,412,139,1670,classification_lane_004
EXTPAYLOAD-028faf008329224b1d746ff1,8,7,4,29,classification_lane_004
EXTPAYLOAD-02b5039cd46839e0f6a70184,2,2,0,9,classification_lane_004
EXTPAYLOAD-02c529d86a6a042391e38790,277,245,216,900,classification_lane_004
EXTPAYLOAD-02c9ed367b5d9c17787a3832,139,112,75,375,classification_lane_004
EXTPAYLOAD-02ef688acc1c2719e7179425,22,21,15,67,classification_lane_004
EXTPAYLOAD-03074e23e3c341049405af8a,134,112,81,439,classification_lane_004
EXTPAYLOAD-033426ae3fcb42c5625892d3,6,6,0,49,classification_lane_004
EXTPAYLOAD-036ae5cb79235e279013302f,58,34,23,171,classification_lane_004
EXTPAYLOAD-03ad92daef2fc4a2fa61424f,12,10,0,34,classification_lane_004
EXTPAYLOAD-03ae1ab3a32515904a893ca2,125,76,39,413,classification_lane_004
EXTPAYLOAD-03ae25016df9dd52c6751092,27,26,0,69,classification_lane_004
EXTPAYLOAD-03b0ee5ad258f0fe29db189d,588,263,178,1904,classification_lane_004
EXTPAYLOAD-03d65a89a9970288f5287dc6,5042,5042,0,10227,classification_lane_004
EXTPAYLOAD-03f8c764215b7f09df1cf032,165,121,50,611,classification_lane_004
EXTPAYLOAD-0400da88499d6abd5a9b7bf1,2,2,0,9,classification_lane_004
EXTPAYLOAD-04024b86198448e01a324a09,23,21,14,83,classification_lane_004
EXTPAYLOAD-042d21e211f2f59e1e73f917,9,8,4,28,classification_lane_004
EXTPAYLOAD-0430024975a5cccf02368619,8,6,2,25,classification_lane_004
EXTPAYLOAD-043770050293c03e2f6d09fe,301,178,91,603,classification_lane_004
EXTPAYLOAD-044f199900955756dba25847,48,24,18,91,classification_lane_004
EXTPAYLOAD-049722db1eac1b9605c1232e,3,3,0,10,classification_lane_004
EXTPAYLOAD-049da99a0aca068cfbbf2c78,7,6,3,18,classification_lane_004
EXTPAYLOAD-04a9854a2e705694805f4913,134,118,100,397,classification_lane_004
