canonical_payload_id,raw_field_count,raw_span_count,raw_ambiguity_count,assignment_cost,lane_id
EXTPAYLOAD-0001d1c2c0d00a9d04d43cb9,284,237,202,1044,classification_lane_005
EXTPAYLOAD-00036840dd1547c95ddf49b3,2,2,0,6,classification_lane_005
EXTPAYLOAD-001f6312d3c142563e4044fd,2,2,0,15,classification_lane_005
EXTPAYLOAD-00437bb92546727dc37ba255,1365,907,426,3213,classification_lane_005
EXTPAYLOAD-0079b97aaafbf6d8287ecb36,45,45,0,93,classification_lane_005
EXTPAYLOAD-0099935e48efcdcf57b9f5a8,2,2,0,10,classification_lane_005
EXTPAYLOAD-009b8316cff17deee889190d,90,73,57,282,classification_lane_005
EXTPAYLOAD-00b6f2731a31e347468531e1,391,229,160,862,classification_lane_005
EXTPAYLOAD-01125b58a67e2676d85db34d,13,13,2,39,classification_lane_005
EXTPAYLOAD-011289c779f8d4cebcccfd61,2,2,0,13,classification_lane_005
EXTPAYLOAD-0117ec5ec50ec09491a00da7,12,12,0,32,classification_lane_005
EXTPAYLOAD-0140eeb01ae042f934e1ed81,8,8,4,23,classification_lane_005
EXTPAYLOAD-0154b7025483656267e7e986,3,3,0,21,classification_lane_005
EXTPAYLOAD-0162f7b1bfa7141ceb5f7c69,2,2,0,10,classification_lane_005
EXTPAYLOAD-0167cc71e74ff7d0798abe16,695,520,339,1909,classification_lane_005
EXTPAYLOAD-01a4c03f34a703f054153c0b,2,2,0,8,classification_lane_005
EXTPAYLOAD-01ab257f61f6de7d06e29ce6,1206,937,697,2783,classification_lane_005
EXTPAYLOAD-01add3797ba2ff33350e2fcc,2,2,0,21,classification_lane_005
EXTPAYLOAD-01c2990961c97eebcdb5f67d,2,2,0,5,classification_lane_005
EXTPAYLOAD-01cbca7eebbe64ceb35d05dc,2,2,0,7,classification_lane_005
EXTPAYLOAD-01df3eb9e91037e7d6c3c6d9,2,2,0,31,classification_lane_005
EXTPAYLOAD-01eb62c7b1dd801db46c166e,15,10,4,59,classification_lane_005
