source_SHA_256,physical_path,page_count,reason,canonical_page_count,resolution_status,resolution_basis,bounded_parser_output
3efe7ad337af77bc4072ad8d7164b40caeb5343e7f705dcc5daabe12af51264b,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-6506162499054bb74295.pdf,,DependencyError:cryptography>=3.1 is required for AES algorithm,7,resolved_canonical_local_pdf_count,local SHA-256 verification plus pdfinfo physical-page parser,"Title:           VIRGINIA:  At a Joint Public Hearing with the Planning Commission on a Special Use Permit & Regular Monthly Meeting of the Onley Town Council held at the Onley Fire & Rescue Building on the 7th day of December, A
Subject:
Keywords:
Author:          Jamye Salazar
Creator:         Acrobat PDFMaker 10.1 for Word
Producer:        Adobe PDF Library 10.0
CreationDate:    Wed Dec  3 11:08:31 2014 EST
ModDate:         Wed Dec  3 11:09:19 2014 EST
Custom Metadata: yes
Metadata Stream: yes
Tagged:          yes
UserProperties:  no
Suspects:        no
Form:            none
JavaScript:      no
Pages:           7
Encrypted:       yes (print:yes copy:no change:no addNotes:no algorithm:AES)
Page size:       612 x 792 pts (letter)
Page rot:        0
File size:       118676 bytes
Optimized:       yes
PDF version:     1.6

"
1b8d20ffdd8298cea4fd25426a7a51e6cd4159f226c4d46d15c2511697140532,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-6f948712ea594255b05a.pdf,,DependencyError:cryptography>=3.1 is required for AES algorithm,106,resolved_canonical_local_pdf_count,local SHA-256 verification plus pdfinfo physical-page parser,"Title:
Author:          Village of Inverness
Creator:         Microsoft® Word 2019
Producer:        Microsoft® Word 2019
CreationDate:    Thu Jun  6 14:59:27 2024 EDT
ModDate:         Mon Jul  8 11:29:15 2024 EDT
Custom Metadata: no
Metadata Stream: yes
Tagged:          no
UserProperties:  no
Suspects:        no
Form:            AcroForm
JavaScript:      no
Pages:           106
Encrypted:       yes (print:yes copy:no change:no addNotes:no algorithm:AES-256)
Page size:       612 x 792 pts (letter)
Page rot:        0
File size:       9502808 bytes
Optimized:       yes
PDF version:     1.7

"
e388e2fab8c5c2eea59f560485161e9a2201d90cc78c53a3ac995fa0e216416b,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-8e7d123ca9be957a501a.pdf,,DependencyError:cryptography>=3.1 is required for AES algorithm,19,resolved_canonical_local_pdf_count,local SHA-256 verification plus pdfinfo physical-page parser,"Author:          Lisa Burd
Creator:         Acrobat PDFMaker 21 for Word
Producer:        Adobe PDF Library 21.1.187
CreationDate:    Mon May 17 17:08:40 2021 EDT
ModDate:         Mon May 17 17:09:19 2021 EDT
Custom Metadata: yes
Metadata Stream: yes
Tagged:          yes
UserProperties:  no
Suspects:        no
Form:            none
JavaScript:      no
Pages:           19
Encrypted:       yes (print:yes copy:no change:no addNotes:yes algorithm:AES-256)
Page size:       612 x 792 pts (letter)
Page rot:        0
File size:       375761 bytes
Optimized:       yes
PDF version:     1.7

"
8e4e94af055fc0948dd548c1884d53bd70fa7f1e16091fb3beac58968e6be4ea,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-b37edb439cdcd5cbebee.pdf,,DependencyError:cryptography>=3.1 is required for AES algorithm,2,resolved_canonical_local_pdf_count,local SHA-256 verification plus pdfinfo physical-page parser,"Title:           COMMONWEALTH OF PENNSYLVANIA
Author:          saickes
Creator:         Acrobat PDFMaker 11 for Word
Producer:        Adobe PDF Library 11.0
CreationDate:    Tue Sep 16 13:23:39 2014 EDT
ModDate:         Tue Sep 16 14:17:15 2014 EDT
Custom Metadata: yes
Metadata Stream: yes
Tagged:          yes
UserProperties:  no
Suspects:        no
Form:            none
JavaScript:      no
Pages:           2
Encrypted:       yes (print:yes copy:no change:no addNotes:no algorithm:AES)
Page size:       612 x 792 pts (letter)
Page rot:        0
File size:       16765 bytes
Optimized:       yes
PDF version:     1.6

"
68757c883a75cd97880e0827b565dd91e72deed7e5af74f54c8e365ed5ee52ac,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-500dad3cd60a28be95b0.pdf,,DependencyError:cryptography>=3.1 is required for AES algorithm,6,resolved_canonical_local_pdf_count,local SHA-256 verification plus pdfinfo physical-page parser,"Author:          Alice Allen
Creator:         Acrobat PDFMaker 23 for Word
Producer:        Acrobat Sign
CreationDate:    Thu Jun 22 09:33:10 2023 EDT
ModDate:         Thu Jun 22 09:33:58 2023 EDT
Custom Metadata: no
Metadata Stream: yes
Tagged:          no
UserProperties:  no
Suspects:        no
Form:            AcroForm
JavaScript:      no
Pages:           6
Encrypted:       yes (print:yes copy:yes change:no addNotes:no algorithm:AES)
Page size:       612 x 792 pts (letter)
Page rot:        0
File size:       393473 bytes
Optimized:       no
PDF version:     1.7

"
d52e16fc4baf8477e55ce5ef8a422934b0aee64bbf76b274900378119177a4f0,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-89d84624f8f122bb7080.pdf,,DependencyError:cryptography>=3.1 is required for AES algorithm,2,resolved_canonical_local_pdf_count,local SHA-256 verification plus pdfinfo physical-page parser,"Title:           COMMONWEALTH OF PENNSYLVANIA
Author:          saickes
Creator:         Microsoft® Word 2010
Producer:        Microsoft® Word 2010
CreationDate:    Wed Mar 18 08:43:15 2015 EDT
ModDate:         Wed Mar 18 08:57:34 2015 EDT
Custom Metadata: no
Metadata Stream: yes
Tagged:          yes
UserProperties:  no
Suspects:        no
Form:            none
JavaScript:      no
Pages:           2
Encrypted:       yes (print:yes copy:no change:no addNotes:no algorithm:AES)
Page size:       612 x 792 pts (letter)
Page rot:        0
File size:       100537 bytes
Optimized:       yes
PDF version:     1.6

"
957038db8ecd66afc6aeed45125950aa8420a1c03086040d2352bb6d45607cc4,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-b1b3a531b73f36ff3034.pdf,,DependencyError:cryptography>=3.1 is required for AES algorithm,1,resolved_canonical_local_pdf_count,local SHA-256 verification plus pdfinfo physical-page parser,"Title:
Subject:
Keywords:
Author:          City
Creator:         Acrobat PDFMaker 24 for Word
Producer:        Adobe PDF Library 24.2.23
CreationDate:    Wed May 22 11:06:36 2024 EDT
ModDate:         Fri Jul 18 14:12:53 2025 EDT
Custom Metadata: yes
Metadata Stream: yes
Tagged:          yes
UserProperties:  no
Suspects:        no
Form:            none
JavaScript:      no
Pages:           1
Encrypted:       yes (print:yes copy:no change:no addNotes:yes algorithm:AES-256)
Page size:       612 x 792 pts (letter)
Page rot:        0
File size:       70887 bytes
Optimized:       yes
PDF version:     1.7

"
5f52b650a0413f42aea4290c07c3fa01f2e02cff481e0a9033e875ad332549b9,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-c89508e439850995a59b.pdf,,DependencyError:cryptography>=3.1 is required for AES algorithm,7,resolved_canonical_local_pdf_count,local SHA-256 verification plus pdfinfo physical-page parser,"Title:           COMMONWEALTH OF PENNSYLVANIA
Author:          Warren Mowery
Creator:         Microsoft® Word 2016
Producer:        Microsoft® Word 2016
CreationDate:    Fri May  5 13:54:50 2017 EDT
ModDate:         Fri May  5 13:55:21 2017 EDT
Custom Metadata: no
Metadata Stream: yes
Tagged:          no
UserProperties:  no
Suspects:        no
Form:            none
JavaScript:      no
Pages:           7
Encrypted:       yes (print:yes copy:no change:no addNotes:no algorithm:AES)
Page size:       612 x 792 pts (letter)
Page rot:        0
File size:       174669 bytes
Optimized:       yes
PDF version:     1.6

"
5caf9a5f9e733ccc5978d95fa483c2bd0912028b6b4dcde919716e3e43d668a7,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_002/B4X2500SRD-20260730-e85d3ab5cc2d1d98fe22.pdf,,DependencyError:cryptography>=3.1 is required for AES algorithm,7,resolved_canonical_local_pdf_count,local SHA-256 verification plus pdfinfo physical-page parser,"Author:          Treasurers Computer
Creator:         Acrobat PDFMaker 10.1 for Word
Producer:        Adobe PDF Library 10.0
CreationDate:    Sat Jun  9 10:03:33 2018 EDT
ModDate:         Sat Jun  9 10:04:02 2018 EDT
Custom Metadata: yes
Metadata Stream: yes
Tagged:          yes
UserProperties:  no
Suspects:        no
Form:            none
JavaScript:      no
Pages:           7
Encrypted:       yes (print:yes copy:no change:no addNotes:no algorithm:AES)
Page size:       612 x 792 pts (letter)
Page rot:        0
File size:       125855 bytes
Optimized:       yes
PDF version:     1.6

"
b4038a954f4c115e50b45557dda315a8178be1a8d72abeff812dbb294e6c87b6,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_003/B4X2500SRD-20260730-178f78111cfffbe6ee77.pdf,,DependencyError:cryptography>=3.1 is required for AES algorithm,12,resolved_canonical_local_pdf_count,local SHA-256 verification plus pdfinfo physical-page parser,"Title:           Philipsburg Borough Police Pension Plan - Centre County - Audit Period January 1, 2018 to December 31, 2021
Subject:
Keywords:
Author:          paul.predmore
Creator:         Acrobat PDFMaker 22 for Word
Producer:        Adobe PDF Library 22.1.117
CreationDate:    Tue May 17 11:53:26 2022 EDT
ModDate:         Tue May 17 11:53:28 2022 EDT
Custom Metadata: yes
Metadata Stream: yes
Tagged:          yes
UserProperties:  no
Suspects:        no
Form:            none
JavaScript:      no
Pages:           12
Encrypted:       yes (print:yes copy:no change:no addNotes:no algorithm:AES)
Page size:       612 x 792 pts (letter)
Page rot:        0
File size:       281298 bytes
Optimized:       yes
PDF version:     1.6

"
