doc_id,obs_id,city_id,city,city_name,occupation_class,safety_flag,source_type,source_corpus,cycle_start,cycle_end,cycle_window,text_quality,match_tier,matched_non_safety_classes,matched_non_safety_obs_ids,exact_or_overlap_healthy,year_or_cycle,text,comparability_emphasis,gabriel_notes,supporting_quotes,estimated_pages,flagged_quotes,flagged_pages,excerpts_submitted,excerpts_verified,excerpts_relevant,excerpts_flagged,excerpts_failed,excerpts_retry_attempted,excerpts_retry_recovered,prompt_tokens,completion_tokens
ma_worcester_fire_2017,ma_worcester_fire_2017,ma_worcester,Worcester,Worcester,fire,1,cba,causal,2017-07-01,2020-06-30,2017-2020,ocr_messy,exact_cycle,clerical_admin;public_works,ma_worcester_clerical_admin_2017;ma_worcester_public_works_2017,1,2017-2020,"MEMORANDUM OF AGREEMENT
between
CITY OF WORCESTER
and
LOCAL 1009, I.A.F.F.
[FY 2018 — FY 2020]

This Memorandum of Agreement sets forth the agreements of the parties for a new agreement, to
supplement",8,Text sets wages via fixed annual percentages and benefit buyback/cost changes without any explicit comparison to other employers or jurisdictions’ pay.,[],[],[],[],0,0,0,0,0,0,0,3533,92
ma_worcester_clerical_admin_2017,ma_worcester_clerical_admin_2017,ma_worcester,Worcester,Worcester,clerical_admin,0,cba,causal,2017-07-01,2020-06-30,2017-2020,clean,,,,,2017-2020,"MEMORANDUM OF AGREEMENT
                                                      between
                                            THE CITY OF WORCESTER
                                                ",5,"The document sets out internal wage percentage increases and step/schedule changes, but contains no explicit comparisons to other employers or jurisdictions.",[],[],[],[],0,0,0,0,0,0,0,2356,83
ma_worcester_public_works_2017,ma_worcester_public_works_2017,ma_worcester,Worcester,Worcester,public_works,0,cba,causal,2017-07-01,2020-06-30,2017-2020,clean,,,,,2017-2020,"MEMORANDUM OF AGREEMENT (DRAFT #1)
                                                           between
                                               THE CITY OF WORCESTER
                             ",5,Text specifies internal wage step rates and fixed percentage increases but contains no explicit wage/compensation comparisons to other jurisdictions or employers.,[],[],[],[],0,0,0,0,0,0,0,2930,77
ma_boston_police_2020,ma_boston_police_2020,ma_boston,Boston,Boston,police,1,cba,causal,2020-07-01,2025-06-30,2020-2025,partial,overlap_cycle,clerical_admin,ma_boston_clerical_admin_2023,1,2020-2025,"MEMORANDA OF AGREEMENT
CITY OF BOSTON
AND
BOSTON POLICE PATROLMENS’ ASSOCIATION

MOA #1
JULY 1, 2020 — JUNE 30, 2023

This Memorandum of Agreement amends the Collective Bargaining Agreement effective ",5,"The document sets specific pay rates and benefits but relies on internal formulas and percentages, with no explicit peer-jurisdiction or employer wage-comparison justification.",[],[],[],[],0,0,0,0,0,0,0,4089,111
ma_boston_clerical_admin_2023,ma_boston_clerical_admin_2023,ma_boston,Boston,Boston,clerical_admin,0,cba,causal,2023-10-01,2027-09-30,2023-2027,clean,,,,,2023-2027,"COLLECTIVE
   BARGAINING
   AGREEMENT
                  BETWEEN



    CITY OF BOSTON
                     AND

UNITED STEELWORKERS, AFL-CIO,
            CLC
                ONBEHALFOF




           ",8,"Text sets specific pay schedules and dollar amounts but provides no wage/compensation comparisons to peer cities, employers, or jurisdictions.",[],[],[],[],0,0,0,0,0,0,0,27413,127
ma_somerville_police_spsoa_2012,ma_somerville_police_spsoa_2012,ma_somerville,Somerville,Somerville,police,1,arbitration_award,causal,2012-07-01,2018-06-30,2012-2018,clean,unmatched,,,0,2012-2018,"j
I
l




                   AGREEiVIENT BE1WEEN

                             THE

                   CITY OF SOi\'IERVILLE



    SOJ\IERVILLE POLICE SUPERIOR OFFICERS ASSOCL\ TION




             ",88,"The award repeatedly and quantitatively justifies wages, differentials, and stipends using detailed comparisons to named comparable communities’ wage and compensation levels.","[""The City argues that the wages and benefits of\nSomerville Superior Officers compare well with their\ncounterparts in other comparable communities, and that\nSomerville Superior Officers rank at the top in terms of\ntotal compensation. The City states that this is due, not\nonly to a high base salary, but also the generous benefits\nthat are provided to the Superior Officers."", ""In the Police Arbitration Award the Panel decided to\nreview a listing of comparable communities that was\nutilized by the Collins Center for Public Management at the\nUniversity of Massachusetts, when conducting a\nclassification and compensation study for the City’s non-\nunion positions. Those communities chosen in the Collins\nCenter classification study were Arlington, Brookline,\nCambridge, Lowell, Malden, Melrose, Newton, Quincy, and\nWaltham."", ""The evidence further demonstrates that the overall\ncompensation (including wages and benefits) provided to\nSomerville Police Superiors, although not the same, is\ncomparable to what is provided to police superiors in these\nother communities. In fact the total compensation for\nSomerville Police Superiors is above the average provided\nin the comparable communities."", ""The chart below shows longevity payments for\ncomparable communities.\n\nCommunity       5 YRS      10 YRS      15 YRS   20 YRS   25 YRS   30 YRS"", ""Specifically, the Union asserts that the proper benchmark, as provided by\nthe arbitration law, is wages and benefits paid to\ncomparable employees, which means it is more appropriate to\nlook at wages and benefits provided to other superior\npolice officers not civilian employees working in the City.""]","[""52"", ""55"", ""56"", ""62"", ""54""]","[""The Panel Awards wage increases for the six-year\nperiod as follows:\n\n                FY 2013 – 2.5%\n                FY 2014 – 2%\n                FY 2015 – 2%\n                FY 2016 – 2%\n                FY 2017 – 2.5%\n                FY 2018 – 2.5%"", ""Discussion\n     Patrol Officers now receive a higher weekend\ndifferential rate than Superior Officers. It is appropriate\nand reasonable that Superior Officers receive the same\nweekend differential. Accordingly, the weekend differential\nrates for Superior Officers should be increased to $7.00\nfor day differential and $6.50 for the weekend night\ndifferential. This increase shall be effective June 30, 2018.""]","[""58"", ""71""]",8,7,5,2,1,2,1,48147,754
ma_somerville_police_spea_2012,ma_somerville_police_spea_2012,ma_somerville,Somerville,Somerville,police,1,arbitration_award,causal,2012-07-01,2015-06-30,2012-2015,clean,unmatched,,,0,2012-2015,"AGREEMENT BETWEEN

           THE CITY OF SOMERVILLE

                      AND

THE SOMERVILLE POLICE EMPLOYEES ASSOCIATION



           July I, 2004- June 30, 2008
                                ",85,"The award repeatedly justifies wage/stipend decisions using explicit comparisons to wages/benefits in named comparable Massachusetts municipalities, with detailed tables.","[""The Union argues that its list of comparables is smaller and more appropriate. Specifically, the Union contends that Boston should be considered as comparable due to its close proximity, its population density, and the fact that it is faced with similar urban policing concerns. The Union argues that a review of its comparable communities shows that wages and benefits of Somerville Patrol Officers lag behind what is provided in these other communities."", ""The wage adjustments in surrounding communities for the relevant time period show that the wage increases proposed by the City are in line with the wage increases agreed to in these surrounding communities. Moreover, the evidence also demonstrates that the overall compensation (including wages and benefits) provided to Somerville Police, although not the same, is comparable to what is provided to police officers in these other communities."", ""The chart below shows longevity payments for comparable communities."", ""There is insufficient justification to grant the Union’s proposal. It is true that other Police Departments in the list of comparable communities provide additional financial recognition for the hazards of being a police officer. This is also the current situation for Somerville Police Officers who receive an annual Weapons of Mass Destruction stipend, and also a separate payment for weapons qualification; both stipends pertain to the unique duties and responsibilities of being a police officer.""]","[""58"", ""60"", ""76"", ""75""]","[""In reaching the conclusions in the present award, the Arbitration Panel has considered the criteria set forth in the statute including the municipality's ability to pay, wages and benefits of comparable towns, and the cost of living.""]","[""53""]",5,5,4,1,0,0,0,53893,410
ma_arlington_fire_2021,ma_arlington_fire_2021,ma_arlington,Arlington,Arlington,fire,1,cba,causal,2021-07-01,2024-06-30,2021-2024,ocr_messy,exact_cycle,public_works,ma_arlington_public_works_2021,1,2021-2024,"Bargaining Agreement between the Town of Arlington
                    and the International Association of Firefighters,
                                   AFL-CIO, Local 1297

                      ",25,Comparability language is limited to out-of-town outside-detail pay being set at the other city/town’s current practice; otherwise wages use internal steps/COLA only.,"[""f) Any outside detail assignment outside the borders of the Town of Arlington shall be paid at that city’s or Town’s outside detail rate consistent with current practice at the time this provision is agreed to. Any rules governing such outside details will be determined by the city or town in which the detail is performed.""]","[""20""]",[],[],1,1,1,0,0,0,0,25903,215
ma_arlington_public_works_2015,ma_arlington_public_works_2015,ma_arlington,Arlington,Arlington,public_works,0,cba,causal,2015-07-01,2018-06-30,2015-2018,clean,,,,,2015-2018,"Bargaining Agreement between the Town of Arlington
                                 and the
      American Federation of State, County and Municipal Employees,
                   Council 93, Local - 6",0,"The agreement sets specific pay, premiums, stipends, and increases internally, but contains no explicit wage/compensation comparisons to peer communities or other employers.",[],[],[],[],0,0,0,0,0,0,0,21443,113
ma_arlington_public_works_2018,ma_arlington_public_works_2018,ma_arlington,Arlington,Arlington,public_works,0,cba,causal,2018-07-01,2021-06-30,2018-2021,clean,,,,,2018-2021,"Bargaining Agreement between the Town of Arlington
                                   and the
  American Federation of State, County and Municipal Employees, Council
                        93, Local ",5,"Text sets specific wages, premiums, and stipends but relies on internal schedules and indices (e.g., BACPI) rather than peer-jurisdiction compensation comparisons.",[],[],[],[],0,0,0,0,0,0,0,22651,96
