doc_id,city,occupation_class,safety_flag,source_type,year_or_cycle,text,comparability_emphasis,gabriel_notes,prompt_tokens,completion_tokens
ma_worcester_fire_2017,Worcester,fire,1,cba,2017-2020,"MEMORANDUM OF AGREEMENT
between
CITY OF WORCESTER
and
LOCAL 1009, I.A.F.F.
[FY 2018 — FY 2020]

This Memorandum of Agreement sets forth the agreements of the parties for a new agreement, to
supplement",0,"The agreement sets wage increases (e.g., “2% effective July 1, 2017/2018/2019”) without any language comparing Worcester pay to other units or communities.",2951,53
ma_worcester_clerical_admin_2017,Worcester,clerical_admin,0,cba,2017-2020,"MEMORANDUM OF AGREEMENT
                                                      between
                                            THE CITY OF WORCESTER
                                                ",0,"The document sets specific pay and benefit terms (e.g., “two percent (2%) base wage increase”) but contains no language comparing wages to other units/communities.",1774,49
ma_worcester_public_works_2017,Worcester,public_works,0,cba,2017-2020,"MEMORANDUM OF AGREEMENT (DRAFT #1)
                                                           between
                                               THE CITY OF WORCESTER
                             ",0,No wage comparisons to other communities or units appear; Article 38 only sets flat “two percent (2%) base wage increase” terms.,2348,42
ma_boston_police_2020,Boston,police,1,cba,2020-2025,"MEMORANDA OF AGREEMENT
CITY OF BOSTON
AND
BOSTON POLICE PATROLMENS’ ASSOCIATION

MOA #1
JULY 1, 2020 — JUNE 30, 2023

This Memorandum of Agreement amends the Collective Bargaining Agreement effective ",0,"The text sets specific pay rates (e.g., “Five (5) Years: $388.04”) and references Boston Firefighter Local 718 administration, not wage comparisons to other communities to justify terms.",3507,56
ma_boston_clerical_admin_2023,Boston,clerical_admin,0,cba,2023-2027,"COLLECTIVE
   BARGAINING
   AGREEMENT
                  BETWEEN



    CITY OF BOSTON
                     AND

UNITED STEELWORKERS, AFL-CIO,
            CLC
                ONBEHALFOF




           ",0,"The text sets wage increases as fixed percentages/dollar add-ons (e.g., “October 1, 2023 = 2%… January 2024 = $500.00”) without any comparison to other communities or units.",26831,62
ma_somerville_police_spsoa_2012,Somerville,police,1,arbitration_award,2012-2018,"j
I
l




                   AGREEiVIENT BE1WEEN

                             THE

                   CITY OF SOi\'IERVILLE



    SOJ\IERVILLE POLICE SUPERIOR OFFICERS ASSOCL\ TION




             ",78,"Comparability is explicitly used to justify wage increases via named peer cities and detailed wage/benefit comparisons (e.g., Arlington, Brookline, Cambridge, Lowell) and basis for rejecting higher union proposals.",47565,55
ma_somerville_police_spea_2012,Somerville,police,1,arbitration_award,2012-2015,"AGREEMENT BETWEEN

           THE CITY OF SOMERVILLE

                      AND

THE SOMERVILLE POLICE EMPLOYEES ASSOCIATION



           July I, 2004- June 30, 2008
                                ",85,"The award repeatedly justifies wage/duration terms using “comparable communities” and lists specific peer municipalities with percentage figures, e.g., “Wage adjustments… Arlington… Brookline… Cambridge…” and awards “FY 2013–2.5%, FY 2014–2%, FY 2015–2%.”",53311,80
ma_arlington_fire_2021,Arlington,fire,1,cba,2021-2024,"Bargaining Agreement between the Town of Arlington
                    and the International Association of Firefighters,
                                   AFL-CIO, Local 1297

                      ",5,"Wage provisions set pay via internal steps and COLA/Appendix A (e.g., “Effective July 1, 2021… based off… Step 3 Firefighter” and COLA rates) without citing other communities for justification.",25321,98
ma_arlington_public_works_2015,Arlington,public_works,0,cba,2015-2018,"Bargaining Agreement between the Town of Arlington
                                 and the
      American Federation of State, County and Municipal Employees,
                   Council 93, Local - 6",0,"No wage comparability to other communities/units appears; provisions use internal formulas (e.g., “Boston Adjusted Consumer Price Index”) and negotiated percentages, not peer wage comparisons.",20861,50
ma_arlington_public_works_2018,Arlington,public_works,0,cba,2018-2021,"Bargaining Agreement between the Town of Arlington
                                   and the
  American Federation of State, County and Municipal Employees, Council
                        93, Local ",15,"The text mentions external benchmarks only indirectly—e.g., “Boston Adjusted Consumer Price Index (BACPI)” and “market adjustment” cents—without wage comparisons to other communities/units.",22069,52
ma_arlington_public_works_2021,Arlington,public_works,0,cba,2021-2024,"Bargaining Agreement between the Town of Arlington
                                and the
 American Federation of State, County and Municipal Employees, Council
                       93, Local - 680",5,The provided text discusses establishing “rates of pay” (Article I) but contains no language comparing wages to other communities or units to justify terms.,1375,98
ma_newton_police_2015,Newton,police,1,cba,2015-2018,"COLLECTIVE BARGAINING AGREEMENTS

CITY OF NEWTON
AND
NEWTON POLICE ASSOCIATION

EFFECTIVE

JULY 1, 2014 — JUNE 30, 2015
AND

JULY 1, 2015 —- JUNE 30, 2018

TABLE OF CONTENTS

ARTICLE

ARTICLE I
RECOGN",5,"Wage terms rely on internal percentage increases (e.g., Article XX.01 “increased by one and one-half percent (1.5%)…”, “two percent (2%)”) with no peer wage comparisons.",28082,90
