queue_order,input_role,relative_path,row_count,byte_size,sha256,read_only
1,phase0_inventory,docs/analysis/handoff/GABRIEL-WAGES-HANDOFF-FREEZE-AND-MASTER-INVENTORY-2026-08-06/source_archive_canonical_source_inventory.csv,26637,9093945,b3b936574d43e6f92063d0cdd786e07b2f4ef60d055d53f0eae5c6365755cddf,True
2,phase0_inventory,docs/analysis/handoff/GABRIEL-WAGES-HANDOFF-FREEZE-AND-MASTER-INVENTORY-2026-08-06/source_archive_physical_file_inventory.csv,26799,16426778,7c0793ff583c3ef7e7bf00e60fc0a4f7fcf04b76174265f1863d5a4830df7601,True
3,phase0_inventory,docs/analysis/handoff/GABRIEL-WAGES-HANDOFF-FREEZE-AND-MASTER-INVENTORY-2026-08-06/source_archive_alias_inventory.csv,162,55666,7969256eca59f7e6a63090730bf3dac660acd72f3376135461216b31afe16d06,True
4,phase0_inventory,docs/analysis/handoff/GABRIEL-WAGES-HANDOFF-FREEZE-AND-MASTER-INVENTORY-2026-08-06/source_archive_extraction_status.csv,26637,6125613,8021b8e2f1424dce4256772507433b1d2437ec83fe24e53847a8f206ddbb0c09,True
5,phase0_inventory,docs/analysis/handoff/GABRIEL-WAGES-HANDOFF-FREEZE-AND-MASTER-INVENTORY-2026-08-06/source_library_proposed_path_map.csv,26637,8427253,4d1bac5a92bc496ce1b528b04d45baf3cb529c6021c73866d56f679e1ce8118d,True
6,trusted_source_metadata,docs/analysis/compensation_extraction/TARGETED-SOURCE-REVIEW-DOWNLOAD-429-VERIFIED-LEADS-2026-07-26/targeted_source_review_download_429_results.csv,429,603476,1195ec4c6f99b4a19ee32b2cf1e2c919b458fd87a34b3dd4fcc32a761e77b049,True
7,trusted_source_metadata,docs/analysis/compensation_extraction/DASHBOARD-DEPLOYMENT-FIX-AND-TIER-C-SOURCE-REVIEW-DOWNLOAD-556-2026-07-27/targeted_tier_c_source_review_download_556_results.csv,556,974025,d3a44745a5fa32a528c2a54b808e59a8d6001e7434902040121882c0400f2ca2,True
8,trusted_source_metadata,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/combined_broad_source_review_download_5589_results.csv,5589,6966173,79b5e273b669c9eb01aa19191803f089c8291fc0b46e17768d2e37180f136721,True
9,trusted_source_metadata,docs/analysis/compensation_extraction/BROAD-STATE-4X2500-SOURCE-REVIEW-DOWNLOAD-2026-07-30/merged_source_review_results.csv,3950,7533252,38d8af4a19b2d69584c4c0405a9e27ffde66b2de9a5c6abe232d0f57e4b3cfac,True
10,trusted_source_metadata,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SOURCE-REVIEW-DOWNLOAD-2026-08-02/retained_source_manifest.csv,2865,3167040,49a073d6870d5ad21cd2e909968129d4126c65988ccbc8a1b8d3462b26ebc9a2,True
11,trusted_source_metadata,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/04_EXTERNAL-DATA-SOURCE-REVIEW-DOWNLOAD/retained_source_manifest.csv,8000,19878138,2c5592cb002d6e923c0f7a8c35bdc456ebfbf4bc98376c0205302dfbc04ab32f,True
12,trusted_source_metadata,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/04_EXTERNAL-DATA-SOURCE-REVIEW-DOWNLOAD/retained_source_manifest.part-002.csv,6449,16007546,de3e17b7a401d29468bacea77a6f21ca21871aa804b83c6a14bb46cb8009d2e7,True
13,trusted_source_metadata,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/05_EXTERNAL-DATA-READINESS/canonical_source_readiness_results.csv,4000,5607761,80eb29eae310138edf0b8fe53759f2bb3b60bcd2afa82b3afaba81d919c06009,True
14,trusted_source_metadata,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/05_EXTERNAL-DATA-READINESS/canonical_source_readiness_results.part-002.csv,4000,5570769,9d790be62f9b4160a6f7191b5eb0d141db9c7392da8d3d77062cf59e7fa8d910,True
15,trusted_source_metadata,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/05_EXTERNAL-DATA-READINESS/canonical_source_readiness_results.part-003.csv,4000,5586532,6339e47653139fc403f8d361cb937c753d451a66746a12e13928e130cb097640,True
16,trusted_source_metadata,docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/05_EXTERNAL-DATA-READINESS/canonical_source_readiness_results.part-004.csv,2703,3782796,dfec703e13079a765cbf38077b626802d2bd4a2ead7332fe19b7b10326dad920,True
