collision_group_id,collision_type,path_key,canonical_source_count,canonical_source_ids,resolved_by_hash_prefix,requires_manual_repair
PATHCOLL-000001,readable_path_before_hash,originals/ak/chuathbaluk/payroll-or-earnings/period-unknown/default.html,3,7352ff24044193d719dcfddd0c972e7afc3318e9aa8aaa5aa692a9330e182d19|e9e6f1379a68e8daa0ded51f337c9054d6b9420771fc8d4a504ea7d24c59817e|fff8779ad9bc6addb285516cdbcd397f78f9ce455c60681be512eb7c7ff00e08,True,False
PATHCOLL-000002,readable_path_before_hash,originals/ak/chuathbaluk/payroll-or-earnings/period-unknown/displayreports.html,2,3a6087525ee76fe50a05b6ae7029179563553d60bd4547c656d4371e5a07122b|d3847b52f504ee915e40872635b4756b21563bf890872480bb07448d239ddd80,True,False
PATHCOLL-000003,readable_path_before_hash,originals/ak/chuathbaluk/payroll-or-earnings/period-unknown/index.html,2,6115c1b1192c1c87adef8e052cb17b8c5672b4b2b41ab7f2e7c307aaa43f86cd|dd96c415d124375a9317f3ade752e9125a65b203434c17b735d76bcf58f4fd3f,True,False
PATHCOLL-000004,readable_path_before_hash,originals/ak/chuathbaluk/payroll-or-earnings/period-unknown/view.html,3,5e19a1d4499a98bc53731346cc4585bf25608098094c17f66fa249e1f0b992c8|a7a8e5f6c52ee4888eba20815df9c0d4edc8f87deb898e0b8171487ab70d9324|ca06f4d221670a9e426300004a154dee240ca6808545099b0010f9998a9f39a0,True,False
PATHCOLL-000005,readable_path_before_hash,originals/ak/whale-pass/payroll-or-earnings/period-unknown/view.html,2,bb729bae3cebd8f611b6e408c36c9cb7b26a5b56a97455f608569d63576ff85a|eb302dd3a90eda79de105310c7f3949675c9e7ea560c112f9c5b6bc2571dd04e,True,False
PATHCOLL-000006,readable_path_before_hash,originals/al/brundidge/salary-schedule-or-pay-plan/2025/payplan.html,2,011370c1b84abcda4bf3cf60202f1c8335f9eb7149ad9adf821552da5eda9218|d09e6a3e3c1587e604cc87229741fff7531778889549fc1bb3a49e0affea8ed5,True,False
PATHCOLL-000007,readable_path_before_hash,originals/al/margaret/other-document/period-unknown/council-meeting-minutes-contains-executed-resolution-for-fire-chief-appointment.pdf,2,656201fab3b2157c66261c2fb94a5e6e917d8de31039a87931f2e49e8702ce8f|d578a282460d3f7821cefc311015bee774ebf23835bf32fdcc548eb07cbb8342,True,False
PATHCOLL-000008,readable_path_before_hash,originals/ar/batesville/other-document/period-unknown/docview.html,8,089e7f4954e8e8a4be4d9c64b1f24e35df54eed2f91456ee7a1d238a09fff520|399c5455f445a5e032f2a048847538670158accd5e3ca7efea9367438ac28466|6bab032848a37905416b8c545c357997996d82ca7945ac732db455afec153316|89df1172c499b00c65ec3078681e46e8bcd3fe2d42b701e4a886c8bcf1338b57|c287d3529df9b60280e70cb1c3624f5401fbd7d1072e11b7fada8b00498e2f09|e0ddf6afb19e899390be4da4c23975046d699295e6b2152b9d37b90e9a0f82ca|fc59449596a7d3f1db6a0d92b456764c5de01dd84563558856c41c7d40104124|fd09002480aeb0010593a599eae182570cf90ca8200f836597f7c91bc134920a,True,False
PATHCOLL-000009,readable_path_before_hash,originals/ar/batesville/payroll-or-earnings/period-unknown/3201000.html,2,21fe0dc1ec65d830da44728af17b1a7c20a3328c970b22515a9a9ef48f210c1c|85336671a74ceeb054091cccb870d2d9b0d581c77ad530d7990e8db725cc3475,True,False
PATHCOLL-000010,readable_path_before_hash,originals/ar/batesville/payroll-or-earnings/period-unknown/downloadreport.pdf,2,009553c5d25dd2839ae1fa107e3aa75a4fe0e075a7fa19d5de6ea68fca51be76|d84671ed1ca51e0e8f3681bf84e577e89f0c9be0d1668afb95377304825c06d2,True,False
PATHCOLL-000011,readable_path_before_hash,originals/ar/beebe/other-document/2025/city-council-agenda-includes-item-employees-pay-4th-quarter-2025.html,2,3519ae852eeebb0dd057dd72032a7f6edb1e2c09eacdb847d2ce8b04fe1af599|88b57ed444e69ebfdd0535805ed2c284055f371a4a8847aea09ddc5ca577e276,True,False
PATHCOLL-000012,readable_path_before_hash,originals/ar/cammack-village/payroll-or-earnings/2023/downloadreport.pdf,2,0a68fe2e0b3735c7a5dae795f6135cd90f046fae06fd07600b05eb48cfd7b444|a7047ee7d34ea2abbc7e46a64390a2a102c57c283e86c7af20bc2c098b19cb44,True,False
PATHCOLL-000013,readable_path_before_hash,originals/az/star-valley/salary-schedule-or-pay-plan/period-unknown/regular-council-meeting-agenda-executive-session-notice-includes-negotiations-re.pdf,2,a141277f83b0f28e1abf436a4dbe6723297d2844b8ce1a33325a80a73e34910a|b6084c9a05f4386d845335d0a52d567d892423d47579f3a8f06c18ac3b365c67,True,False
PATHCOLL-000014,readable_path_before_hash,originals/ca/big-bear-lake/payroll-or-earnings/2015/city.html,2,092f57cc6a9cc6708ac8c87c5f248d26c737231419770af10c17c0ccfb942fa4|ed82b4ca3d835c215bebc11fa57906881f181fe28c59c4aacb3533dda16c9e74,True,False
PATHCOLL-000015,readable_path_before_hash,originals/ca/biggs/payroll-or-earnings/2022/7000.pdf,2,5b201ce73af03b7428a0df62304d6505d2c8232310a610ac2aa90230f266cce9|b4b466a100887a19db4c3bdb45674ac3b1b96c48657b57ebe4a88866194d1ae1,True,False
PATHCOLL-000016,readable_path_before_hash,originals/ca/biggs/payroll-or-earnings/2022/codes-displaytext.html,2,17d6f7722b1adc2809d0225ea3e1e348b01f31403012d0d68a5a5f6a39a44478|ca1802e75f28af50928026eb65c372a528a12690a96bfd8fa4386841311aac42,True,False
PATHCOLL-000017,readable_path_before_hash,originals/ca/biggs/payroll-or-earnings/2022/index.html,4,12ca0d945be74f36228c39dc1636cc39d08b15e913e82c2782dd4c2bf08ede0c|3469482aafe3d287f88244db0e835b29fa44bcf5f9be76998bf2fcfc0954b5aa|d05f3011a6700c017514320695d38031bca2d720f2a698740dc09d264f9bce8c|eaab70847ad8d281ce8983ab945d8f7ee967e12652a5bacdeb1b60cd250be427,True,False
