evidence_id,source_lane,source_file,row_document_id,case_id,source_review_id,text_table_detection_id,retained_content_hash,unit_type,state,source_family,evidence_span_or_summary_pointer,bounded_evidence_pointer,primary_category,secondary_tags,reason_code,confidence_tier,qa_status,provenance_status,source_corpus,source_cite,retrieval_date,retrieval_method,artifact_pointer,allowed_attribute_set,disallowed_attribute_set,allowed_claim_types,exclude_from_causal_claims,category_rule_version,phase_close_notes
qualitative:lobs_01a51918a47baf85bc80a383,qualitative_exact,docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-LIMITED-EXACT-SPAN-QUALITATIVE-PROMOTION-HARDENED-2026-07-25/limited_exact_span_qualitative_promoted_view.csv,lobs_01a51918a47baf85bc80a383,cexrem_332d46b733da3d57ce0f9709,sr_6646676d38eeb9a4df10db99,ttd_3ff0b7b23e50f7b036571885,ec6ef6dcdb94007a74edb801d0140add0aaf548ce2272c2db4b1e4fc8d0cc2ee,non_safety,CA,cba,in determining comparability.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0224_sr_6646676d38eeb9a4df10db99.pdf#page=8,quarantined,literal_span|restricted_exact_span,restricted_review_status,low,needs_review,complete_structured_provenance,causal,https://cityofgardena.org/wp-content/uploads/2018/05/GMEA-MOU-July-1-2021-June-30-2025.pdf,2026-07-24,public_download,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0224_sr_6646676d38eeb9a4df10db99.pdf,,cola_or_cpi|step_or_seniority|rank_or_classification|across_the_board_raise|percentage_raise|market_or_comparability|parity_or_internal_equity|bargaining_or_settlement|implementation_timing|fiscal_constraint|non_base_compensation|reference_only|not_useful_for_attribute_analysis,evidence_existence_claim,true,compensation_evidence_final_qa_categorization_v1,exact span preserved but current review restriction requires quarantine
qualitative:lobs_01c723e84054e23b836b033b,qualitative_exact,docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-LIMITED-EXACT-SPAN-QUALITATIVE-PROMOTION-HARDENED-2026-07-25/limited_exact_span_qualitative_promoted_view.csv,lobs_01c723e84054e23b836b033b,cex_3d5c45bb351b0fb770b40d6a,sr_d318dfe76382102bb1f2300e,ttd_e6428b77e4a72253c0b576b6,4b9e7a97bc7dde01b48d892c754bc7f91e3c1d0e4fcde774b66a50fe327d55f3,police,NV,cba,New hire employees,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0017_sr_d318dfe76382102bb1f2300e.pdf#page=17,quarantined,literal_span|restricted_exact_span,restricted_review_status,low,needs_review,complete_structured_provenance,causal,https://emrb.nv.gov/uploadedFiles/emrbnvgov/content/Resources/police/City%20of%20Mesquite%20MPOA%20CBA%202019-2022%20.pdf,2026-07-24,public_download,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0017_sr_d318dfe76382102bb1f2300e.pdf,,cola_or_cpi|step_or_seniority|rank_or_classification|across_the_board_raise|percentage_raise|market_or_comparability|parity_or_internal_equity|bargaining_or_settlement|implementation_timing|fiscal_constraint|non_base_compensation|reference_only|not_useful_for_attribute_analysis,evidence_existence_claim,true,compensation_evidence_final_qa_categorization_v1,exact span preserved but current review restriction requires quarantine
qualitative:lobs_067e4eba0bb9f525d681b4f5,qualitative_exact,docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-LIMITED-EXACT-SPAN-QUALITATIVE-PROMOTION-HARDENED-2026-07-25/limited_exact_span_qualitative_promoted_view.csv,lobs_067e4eba0bb9f525d681b4f5,cex_3ecfd7b90b64dd24f259e7e4,sr_d19d96bb44c9cfe754395f5b,ttd_3b6af646c8c7373d71487abc,98fb8293516e11259f5e2dbb6aa5c4db046f388b48c309d89ee0f50feafcd954,police,OR,cba,rounded up to the next nearest quarter (1/4) hour,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0051_sr_d19d96bb44c9cfe754395f5b.pdf#page=15,quarantined,literal_span|restricted_exact_span,restricted_review_status,medium,provisional_unverified,complete_structured_provenance,causal,https://www.ontariooregon.org/uploads/1/2/2/6/122600994/opa_cba_21-23.pdf,2026-07-24,public_download,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0051_sr_d19d96bb44c9cfe754395f5b.pdf,,cola_or_cpi|step_or_seniority|rank_or_classification|across_the_board_raise|percentage_raise|market_or_comparability|parity_or_internal_equity|bargaining_or_settlement|implementation_timing|fiscal_constraint|non_base_compensation|reference_only|not_useful_for_attribute_analysis,evidence_existence_claim,true,compensation_evidence_final_qa_categorization_v1,exact span preserved but current review restriction requires quarantine
qualitative:lobs_06f05b2acc3098cf70e0ee9d,qualitative_exact,docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-LIMITED-EXACT-SPAN-QUALITATIVE-PROMOTION-HARDENED-2026-07-25/limited_exact_span_qualitative_promoted_view.csv,lobs_06f05b2acc3098cf70e0ee9d,cex_deb2b4781b4fabbbd1b55572,sr_0d78f79614e34a7ada7dceb1,ttd_0d59199b2b670d5f7b3b7df0,f7d2f383199adcd9289fe0f05e7ee80a02ace102af8fa1f85fda800c7c09fc04,police,ME,memorandum_or_settlement,3 Educational Incentive Stipend,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0476_sr_0d78f79614e34a7ada7dceb1.pdf#page=9,quarantined,literal_span|restricted_exact_span,restricted_review_status,high,provisional_unverified,complete_structured_provenance,causal,https://content.civicplus.com/api/assets/me-portland/d727d6df-cbdf-4134-948e-b93c215b983f?cache=1800,2026-07-24,public_download,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0476_sr_0d78f79614e34a7ada7dceb1.pdf,,cola_or_cpi|step_or_seniority|rank_or_classification|across_the_board_raise|percentage_raise|market_or_comparability|parity_or_internal_equity|bargaining_or_settlement|implementation_timing|fiscal_constraint|non_base_compensation|reference_only|not_useful_for_attribute_analysis,evidence_existence_claim,true,compensation_evidence_final_qa_categorization_v1,exact span preserved but current review restriction requires quarantine
qualitative:lobs_089cef51be334070e8a52bc7,qualitative_exact,docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-LIMITED-EXACT-SPAN-QUALITATIVE-PROMOTION-HARDENED-2026-07-25/limited_exact_span_qualitative_promoted_view.csv,lobs_089cef51be334070e8a52bc7,cex_2a698c93cb3561f914731b47,sr_09e203b068f93a9f90405a6e,ttd_47f8e70350f3951ca597143e,5721d30e1eac7afcc4837e172c562e16707272e925977a83682d4b7586d75c2d,police,NE,cba,Increase Shift Differential Pay,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0023_sr_09e203b068f93a9f90405a6e.pdf#page=1,quarantined,literal_span|restricted_exact_span,restricted_review_status,low,needs_review,complete_structured_provenance,causal,https://www.papillion.org/DocumentCenter/View/11570/F2-R23-0055-FOP-Agreement,2026-07-24,public_download,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0023_sr_09e203b068f93a9f90405a6e.pdf,,cola_or_cpi|step_or_seniority|rank_or_classification|across_the_board_raise|percentage_raise|market_or_comparability|parity_or_internal_equity|bargaining_or_settlement|implementation_timing|fiscal_constraint|non_base_compensation|reference_only|not_useful_for_attribute_analysis,evidence_existence_claim,true,compensation_evidence_final_qa_categorization_v1,exact span preserved but current review restriction requires quarantine
qualitative:lobs_0bdf94ab207b4960b4af7fbf,qualitative_exact,docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-LIMITED-EXACT-SPAN-QUALITATIVE-PROMOTION-HARDENED-2026-07-25/limited_exact_span_qualitative_promoted_view.csv,lobs_0bdf94ab207b4960b4af7fbf,cexrem_14dcc718356772a8bcdecc00,sr_961ab269cff0ae4b73125b74,ttd_8b803373480d20baccd47974,3c040684e9a364929e9cbaa6cbf4eb04c2c66f84b3209d20179749b70c28a0cc,non_safety,MD,cba,Section 3 – Immediate Elevation to Step Three ..................................................................,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0028_sr_961ab269cff0ae4b73125b74.pdf#page=2,quarantined,literal_span|restricted_exact_span,restricted_review_status,low,needs_review,complete_structured_provenance,causal,https://takomaparkmd.gov/DocumentCenter/View/510/2020-to-2023---American-Federation-of-State-County-and-Municipal-Employees-AFSCME-Contract-PDF?bidId=,2026-07-24,public_download,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0028_sr_961ab269cff0ae4b73125b74.pdf,,cola_or_cpi|step_or_seniority|rank_or_classification|across_the_board_raise|percentage_raise|market_or_comparability|parity_or_internal_equity|bargaining_or_settlement|implementation_timing|fiscal_constraint|non_base_compensation|reference_only|not_useful_for_attribute_analysis,evidence_existence_claim,true,compensation_evidence_final_qa_categorization_v1,exact span preserved but current review restriction requires quarantine
qualitative:lobs_0ed478007afe0533f0f2a21a,qualitative_exact,docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-LIMITED-EXACT-SPAN-QUALITATIVE-PROMOTION-HARDENED-2026-07-25/limited_exact_span_qualitative_promoted_view.csv,lobs_0ed478007afe0533f0f2a21a,cexrem_14dcc718356772a8bcdecc00,sr_961ab269cff0ae4b73125b74,ttd_8b803373480d20baccd47974,3c040684e9a364929e9cbaa6cbf4eb04c2c66f84b3209d20179749b70c28a0cc,non_safety,MD,cba,Section 7 – Binding Arbitration...........................................................................................,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0028_sr_961ab269cff0ae4b73125b74.pdf#page=2,quarantined,literal_span|restricted_exact_span,restricted_review_status,low,needs_review,complete_structured_provenance,causal,https://takomaparkmd.gov/DocumentCenter/View/510/2020-to-2023---American-Federation-of-State-County-and-Municipal-Employees-AFSCME-Contract-PDF?bidId=,2026-07-24,public_download,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0028_sr_961ab269cff0ae4b73125b74.pdf,,cola_or_cpi|step_or_seniority|rank_or_classification|across_the_board_raise|percentage_raise|market_or_comparability|parity_or_internal_equity|bargaining_or_settlement|implementation_timing|fiscal_constraint|non_base_compensation|reference_only|not_useful_for_attribute_analysis,evidence_existence_claim,true,compensation_evidence_final_qa_categorization_v1,exact span preserved but current review restriction requires quarantine
qualitative:lobs_0fd67c8616fbc5a5e304dba6,qualitative_exact,docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-LIMITED-EXACT-SPAN-QUALITATIVE-PROMOTION-HARDENED-2026-07-25/limited_exact_span_qualitative_promoted_view.csv,lobs_0fd67c8616fbc5a5e304dba6,cex_2a077e71191385e92b633afe,sr_101d64b4de5175a63f7b20a3,ttd_c6dbf96a2c31389794e84bb1,f30a827ca7afc180d51f86bbf4bbf6d918301ec1f56855ff82511ced96f5b0dc,non_safety,MT,cba,Base Increase FY28 4.00%,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0154_sr_101d64b4de5175a63f7b20a3.pdf#page=29,quarantined,literal_span|restricted_exact_span,restricted_review_status,low,needs_review,complete_structured_provenance,causal,https://www.kalispell.com/DocumentCenter/View/1803/AFSCME-Contract-July-2026---June-2029?bidId=,2026-07-24,public_download,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0154_sr_101d64b4de5175a63f7b20a3.pdf,,cola_or_cpi|step_or_seniority|rank_or_classification|across_the_board_raise|percentage_raise|market_or_comparability|parity_or_internal_equity|bargaining_or_settlement|implementation_timing|fiscal_constraint|non_base_compensation|reference_only|not_useful_for_attribute_analysis,evidence_existence_claim,true,compensation_evidence_final_qa_categorization_v1,exact span preserved but current review restriction requires quarantine
qualitative:lobs_1281e89bc51409634072578e,qualitative_exact,docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-LIMITED-EXACT-SPAN-QUALITATIVE-PROMOTION-HARDENED-2026-07-25/limited_exact_span_qualitative_promoted_view.csv,lobs_1281e89bc51409634072578e,cex_9eda9ceb393e82f8cbf02c5e,sr_80b6ac3a5ff9743813316131,ttd_cca526a1c565b96ecd81a3c0,3a0fd8a4e85c9a861c8bbb3caee1912d42b4ac6226f12ee54721088034e4a06a,non_safety,IL,cba,"discriminate against any individual as to their compensation, terms of privileges of employment",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0029_sr_80b6ac3a5ff9743813316131.pdf#page=5,quarantined,literal_span|restricted_exact_span,restricted_review_status,low,needs_review,complete_structured_provenance,causal,https://cityofaltonil.gov/wp-content/uploads/2022/09/Teamster-2022.2026.pdf,2026-07-24,public_download,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0029_sr_80b6ac3a5ff9743813316131.pdf,,cola_or_cpi|step_or_seniority|rank_or_classification|across_the_board_raise|percentage_raise|market_or_comparability|parity_or_internal_equity|bargaining_or_settlement|implementation_timing|fiscal_constraint|non_base_compensation|reference_only|not_useful_for_attribute_analysis,evidence_existence_claim,true,compensation_evidence_final_qa_categorization_v1,exact span preserved but current review restriction requires quarantine
qualitative:lobs_137b4d7b97f89f527908a238,qualitative_exact,docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-LIMITED-EXACT-SPAN-QUALITATIVE-PROMOTION-HARDENED-2026-07-25/limited_exact_span_qualitative_promoted_view.csv,lobs_137b4d7b97f89f527908a238,cex_b7c0931752f786b9275c9199,sr_55dc9b50d57eac90f03229bf,ttd_a98fc85ad74ee8f303abf0f8,52508cbe158166cb451a5ee433f4b7accd671b3ef417434b2b92135fde10a9cb,non_safety,SD,cba,Employees in the 342 2 C pay grade have only four (4) steps and progression through step,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0038_sr_55dc9b50d57eac90f03229bf.pdf#page=14,quarantined,literal_span|restricted_exact_span,restricted_review_status,low,needs_review,complete_structured_provenance,causal,https://www.siouxfalls.gov/files/assets/public/v/2/human-resources/labor-contracts/mea-afscme-contract-2026.pdf,2026-07-24,public_download,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0038_sr_55dc9b50d57eac90f03229bf.pdf,,cola_or_cpi|step_or_seniority|rank_or_classification|across_the_board_raise|percentage_raise|market_or_comparability|parity_or_internal_equity|bargaining_or_settlement|implementation_timing|fiscal_constraint|non_base_compensation|reference_only|not_useful_for_attribute_analysis,evidence_existence_claim,true,compensation_evidence_final_qa_categorization_v1,exact span preserved but current review restriction requires quarantine
