compatible_units,direction_only_if_tier3,formula_reproduced,passed,result_id,role_caveat_present,second_pass,tier,tier_traceable,unit_type
True,True,True,True,AGGRES-fe5536aef06687e8661e0dcb,True,passed,tier_2_bounded_analytically_usable,True,local_comparison
True,True,True,True,AGGRES-b2d57528edece3633af6c1d3,True,passed,tier_2_bounded_analytically_usable,True,local_comparison
True,True,True,True,AGGRES-fb1323398f274881c0fa7b9f,True,passed,tier_2_bounded_analytically_usable,True,local_comparison
True,False,True,True,AGGRES-c5aaeed0a009a5cff5615eb5,True,passed,tier_3_directional_or_mechanism_supporting,True,local_comparison
True,True,True,True,AGGRES-54786b6bb6e546a65ad276fe,True,passed,tier_2_bounded_analytically_usable,True,local_comparison
True,True,True,True,AGGRES-87ffdcc889b4b00a6c5b3418,True,passed,tier_2_bounded_analytically_usable,True,local_comparison
True,True,True,True,AGGRES-8a5af5fee83fe496aeea5921,True,passed,tier_2_bounded_analytically_usable,True,local_comparison
True,True,True,True,AGGRES-eacafd12547b5390cfaac054,True,passed,tier_2_bounded_analytically_usable,True,local_comparison
True,True,True,True,AGGRES-9df6b61744cac980e343ae9c,True,passed,tier_2_bounded_analytically_usable,True,local_comparison
True,True,True,True,AGGRES-81f8d172d0e446fd61c826b6,True,passed,tier_2_bounded_analytically_usable,True,local_comparison
True,True,True,True,AGGRES-3157c57ca9ee65bebd34c6b2,True,passed,tier_2_bounded_analytically_usable,True,growth
True,True,True,True,AGGRES-e1435bcd3915d646e7d82aa2,True,passed,tier_2_bounded_analytically_usable,True,growth
True,True,True,True,AGGRES-063b42baa45a97dd6c4377af,True,passed,tier_1_strict_claim_safe,True,growth
True,True,True,True,AGGRES-5ddf3e13b22239679940fdfe,True,passed,tier_1_strict_claim_safe,True,growth
True,True,True,True,AGGRES-70dc34b4af128ee35ec0e6e2,True,passed,tier_2_bounded_analytically_usable,True,growth
True,True,True,True,AGGRES-423cde695c0e479509257684,True,passed,tier_1_strict_claim_safe,True,growth
