candidate_id,lane_id,scout_target_id,source_url_or_locator,source_title,municipality,state,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,secondary_mechanism_families,match_priority_tier,matched_safety_or_non_safety_counterpart_id,same_city_match_status,overlapping_cycle_status,duplicate_risk,prior_seen_status,reason_selected,search_query_used,retrieval_status,verification_status,extraction_status,rating_status,causal_status,notes
TS4L-911385c4c24131d1a5a7,lane_1,TS4-1-fe8a77939646e0a2,https://maspaonline.org/wp-content/uploads/2018/10/NTA_UNIT_C_CONTRACT_2015-2018_Final.pdf,NTA_UNIT_C_CONTRACT_2015-2018_Final.pdf,Newton,MA,non_safety_comparator,Teacher Aides / Educational support (Unit C: Aides & Behavior Therapists) (inferred from unit label),"Newton Teachers Association (NTA), Unit C","September 1, 2015 – August 31, 2018",2015,2018,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,gap_narrowing_signal|parity_or_internal_equity_signal|fiscal_constraint_signal|safety_advantage_signal,tier_1_core_known_safety_cycle_gap,ma_newton_police_2015,same-city_expected,covers_expected_period_2015_2018,low,known_safety_row_counterpart_target_not_satisfied,Known ingested safety unit lacks a healthy same-city non-safety comparison in this cycle.,Newton MA non_safety_comparator 2015-2018 non safety constraint collective bargaining agreement or moa or wage schedule,candidate_only,not_verified,not_extracted,not_rated,not_causal_evidence,Lead for a Newton (MA) same-city non-safety comparison from the 2015–2018 cycle; provides Unit C contract terms and any included schedules.
TS4L-71b92bc7f02ad61e6d56,lane_1,TS4-1-fe8a77939646e0a2,https://maspaonline.org/wp-content/uploads/2018/10/NTA_UNIT_E_CONTRACT_2015-2018_Final.pdf,NTA_UNIT_E_CONTRACT_2015-2018_Final.pdf,Newton,MA,non_safety_comparator,Educational support / specialized staff (Unit E) (inferred from unit label),"Newton Teachers Association (NTA), Unit E","September 1, 2015 – August 31, 2018",2015,2018,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,gap_narrowing_signal|parity_or_internal_equity_signal|fiscal_constraint_signal|safety_advantage_signal,tier_1_core_known_safety_cycle_gap,ma_newton_police_2015,same-city_expected,covers_expected_period_2015_2018,low,known_safety_row_counterpart_target_not_satisfied,Known ingested safety unit lacks a healthy same-city non-safety comparison in this cycle.,Newton MA non_safety_comparator 2015-2018 non safety constraint collective bargaining agreement or moa or wage schedule,candidate_only,not_verified,not_extracted,not_rated,not_causal_evidence,Lead for a Newton (MA) non-safety comparison within the same 2015–2018 cycle; includes Unit E contract materials and any embedded pay/schedule tables.
TS4L-1d4b842141e9480b0583,lane_1,TS4-1-fe8a77939646e0a2,https://profiles.doe.mass.edu/statereport/educatorcontractsdownload.aspx?orgcode=01680000&type=T,Massachusetts DESE Educator Contracts download (Newton Unit A – 2015–2018),Newton,MA,non_safety_comparator,Teachers (Unit A) (inferred from type=T / Unit A label),"Newton School Committee / Newton Teachers Association (NTA), Unit A","September 1, 2015 – August 31, 2018",2015,2018,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,gap_narrowing_signal|parity_or_internal_equity_signal|fiscal_constraint_signal|safety_advantage_signal,tier_1_core_known_safety_cycle_gap,ma_newton_police_2015,same-city_expected,covers_expected_period_2015_2018,low,known_safety_row_counterpart_target_not_satisfied,Known ingested safety unit lacks a healthy same-city non-safety comparison in this cycle.,Newton MA non_safety_comparator 2015-2018 non safety constraint collective bargaining agreement or moa or wage schedule,candidate_only,not_verified,not_extracted,not_rated,not_causal_evidence,Lead sourced from DESE educator contract repository for Newton’s Unit A in the 2015–2018 cycle; likely includes salary schedule attachments relevant for wage/pay progression comparisons.
TS4L-ba4dab1aa48555dc1db3,lane_1,TS4-1-3b25eeabdfa9d810,https://www.mass.gov/doc/mcr-23-9789-hearing-officer-decision/download,Massachusetts DLR/CERB/MCR-23-9789 Hearing Officer Decision (covers SMEA Unit B integrated CBA periods),Somerville,MA,non_safety_comparator,"SMEA non-public safety, non-supervisory employees (Unit B)",Somerville Municipal Employees Association (SMEA) Unit B,"July 1, 2010 – June 30, 2013; and July 1, 2013 – June 30, 2016",2012-01-01,2015-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,gap_narrowing_signal|parity_or_internal_equity_signal|fiscal_constraint_signal|safety_advantage_signal,tier_1_core_known_safety_cycle_gap,ma_somerville_police_spea_2012,Same city (Somerville) indicated,Overlaps 2012-2015 via the 2010-2013 and 2013-2016 terms,low,known_safety_row_counterpart_target_not_satisfied,Known ingested safety unit lacks a healthy same-city non-safety comparison in this cycle.,Somerville MA non_safety_comparator 2012-2015 non safety constraint collective bargaining agreement or moa or wage schedule,candidate_only,not_verified,not_extracted,not_rated,not_causal_evidence,Lead points to an official Mass.gov decision that explicitly references an integrated collective bargaining agreement for SMEA Unit B with the relevant July 2010–June 2013 and July 2013–June 2016 periods (non-public safety Unit B).
TS4L-df753f275aa8b54c379b,lane_1,TS4-1-3b25eeabdfa9d810,https://somervillema.legistar.com/View.ashx?GUID=DA1263D8-6DA5-494E-9981-558AF7B14349&ID=1208750&M=A,"Somerville Legistar attachment (City Council meeting record referencing Collective Bargaining Agreement with E-911 Call Taker/Dispatchers Local 888 for July 1, 2010–June 30, 2013)",Somerville,MA,non_safety_comparator,E-911 Call Taker/Dispatchers (Local 888),"E-911 Call Taker/Dispatchers, Local 888 (Somerville)","July 1, 2010 – June 30, 2013",2012-01-01,2013-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,gap_narrowing_signal|parity_or_internal_equity_signal|fiscal_constraint_signal|safety_advantage_signal,tier_1_core_known_safety_cycle_gap,ma_somerville_police_spea_2012,Same city (Somerville) indicated,Overlaps 2012-2013,low,known_safety_row_counterpart_target_not_satisfied,Known ingested safety unit lacks a healthy same-city non-safety comparison in this cycle.,Somerville MA non_safety_comparator 2012-2015 non safety constraint collective bargaining agreement or moa or wage schedule,candidate_only,not_verified,not_extracted,not_rated,not_causal_evidence,"Legistar-hosted record pointing to a collective bargaining agreement covering July 1, 2010–June 30, 2013 for E-911 dispatchers (useful for a non-sworn/non-safety comparison during the early part of the 2012-2015 window)."
TS4L-9a09c3613e16d8a97593,lane_1,TS4-1-3b25eeabdfa9d810,https://www.somervillema.gov/news/somerville-municipal-employees-association-vote-approve-new-contract,"City of Somerville news: SMEA vote to approve new contract (six-year term for SMEA Units A, B, and D)",Somerville,MA,non_safety_comparator,SMEA covered employees (non-public safety units described in related Mass.gov materials),"Somerville Municipal Employees Association (SMEA) Units A, B, and D","Retroactive to July 1, 2010 – June 30, 2013; and extending through June 30, 2016 (two agreements per unit)",2012-01-01,2015-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,gap_narrowing_signal|parity_or_internal_equity_signal|fiscal_constraint_signal|safety_advantage_signal,tier_1_core_known_safety_cycle_gap,ma_somerville_police_spea_2012,Same city (Somerville) indicated,Overlaps 2012-2015,low,known_safety_row_counterpart_target_not_satisfied,Known ingested safety unit lacks a healthy same-city non-safety comparison in this cycle.,Somerville MA non_safety_comparator 2012-2015 non safety constraint collective bargaining agreement or moa or wage schedule,candidate_only,not_verified,not_extracted,not_rated,not_causal_evidence,City-hosted announcement that identifies the SMEA collective bargaining agreements and their term structure (2010-2013 and 2013-2016) for Units A/B/D; good lead to locate the underlying unit-specific CBA/MOA/wage schedule documents for the 2012-2015 comparison period.
TS4L-3152ebe74c568550d0c8,lane_1,TS4-1-c563fe0ca6e8ab82,https://profiles.doe.mass.edu/statereport/educatorcontractsdownload.aspx?orgcode=02740000&type=T,"Massachusetts DESE Profiles - Educator Contracts Download (Somerville, orgcode 02740000; Teacher contracts)",Somerville,MA,non_safety_comparator,Public school teachers / educator bargaining (non-public safety comparator),Somerville Teachers Association (as reflected by Somerville Public Schools educator contract submissions on DESE profiles),Contract period(s) available via DESE download interface for the district/teacher contract; targeted to support finding agreements within 2012–2018,2012,2018,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,gap_narrowing_signal|parity_or_internal_equity_signal|fiscal_constraint_signal|safety_advantage_signal,tier_1_core_known_safety_cycle_gap,ma_somerville_police_spsoa_2012,same_city,overlaps_2012_2018,low,known_safety_row_counterpart_target_not_satisfied,Known ingested safety unit lacks a healthy same-city non-safety comparison in this cycle.,Somerville MA non_safety_comparator 2012-2018 non safety constraint collective bargaining agreement or moa or wage schedule,candidate_only,not_verified,not_extracted,not_rated,not_causal_evidence,Lead: DESE educator-contract download endpoint for Somerville (orgcode 02740000) intended for locating teacher contract PDFs/salary guides corresponding to 2012–2018.
TS4L-14b7a45e94724ad1cbbe,lane_1,TS4-1-1ac8622167c0e80e,https://dspace.njstatelib.org/items/6204e48c-2092-442c-bc63-74b3b768b9e9,"July 1, 2011 - June 30, 2015 Administrative/Clerical Unit, Professional Unit, Primary Supervisory Unit, Higher Level Supervisory Unit",Newark,NJ,non_safety_comparator,Administrative/Clerical (plus other non-safety units listed in title),Administrative/Clerical Unit (as titled),"July 1, 2011 - June 30, 2015",2013,2015,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,gap_narrowing_signal|parity_or_internal_equity_signal|fiscal_constraint_signal|safety_advantage_signal,tier_1_core_known_safety_cycle_gap,nj_newark_fire_2013,"Potential same-city lead (Newark, NJ; unit identified via NJ State Library repository record)",Overlaps expected period (2013-2015 within 2011-2015 span),low,known_safety_row_counterpart_target_not_satisfied,Known ingested safety unit lacks a healthy same-city non-safety comparison in this cycle.,Newark NJ non_safety_comparator 2013-2015 non safety constraint collective bargaining agreement or moa or wage schedule,candidate_only,not_verified,not_extracted,not_rated,not_causal_evidence,High-specificity public repository record from NJ State Library for an Administrative/Clerical Unit agreement spanning 2011-2015; use as a candidate non-safety comparator lead for 2013-2015.
TS4L-2dcf944afaa4646f6baf,lane_1,TS4-1-1ac8622167c0e80e,https://newark.nj.aft.org/contract-information/2010-2015-ntu-contract,2010-2015 NTU Contract | Newark Teachers Union (AFT),Newark,NJ,non_safety_comparator,Teachers (and related bargaining unit members),Newark Teachers Union (NTU),2010-2015 (includes 2013-2015 years),2013,2015,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,gap_narrowing_signal|parity_or_internal_equity_signal|fiscal_constraint_signal|safety_advantage_signal,tier_1_core_known_safety_cycle_gap,nj_newark_fire_2013,"Same city (Newark, NJ) lead",Overlaps expected period (2013-2015 within 2010-2015 span),low,known_safety_row_counterpart_target_not_satisfied,Known ingested safety unit lacks a healthy same-city non-safety comparison in this cycle.,Newark NJ non_safety_comparator 2013-2015 non safety constraint collective bargaining agreement or moa or wage schedule,candidate_only,not_verified,not_extracted,not_rated,not_causal_evidence,Public Newark Teachers Union page pointing to the 2010-2015 contract; intended as a candidate non-safety comparator lead for the 2013-2015 window.
TS4L-ba04919bcc1709e1857c,lane_1,TS4-1-1ac8622167c0e80e,https://newark.legistar.com/LegislationDetail.aspx?FullText=1&G=76B7E664-B393-4911-9914-3B4B31917701&GUID=4076386B-02AE-4677-B8B8-DA3CBE2B09EC&ID=3767699&Options=&Search=,City of Newark - File #: 18-1791 (Ratifies Successor Labor Agreement; attached agreement referenced on Legistar record),Newark,NJ,non_safety_comparator,Municipal white-collar/professional workers (as described in snippet),"Newark Council No. 21, NJ Civil Service Association / IFPTE (as described in record snippet)","January 1, 2015 through December 31, 2018 (successor agreement window starts 2015)",2015,2015,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,gap_narrowing_signal|parity_or_internal_equity_signal|fiscal_constraint_signal|safety_advantage_signal,tier_1_core_known_safety_cycle_gap,nj_newark_fire_2013,"Same city (Newark, NJ) lead",Partial overlap only at boundary year (2015 within expected 2013-2015 cycle),low,known_safety_row_counterpart_target_not_satisfied,Known ingested safety unit lacks a healthy same-city non-safety comparison in this cycle.,Newark NJ non_safety_comparator 2013-2015 non safety constraint collective bargaining agreement or moa or wage schedule,candidate_only,not_verified,not_extracted,not_rated,not_causal_evidence,Legistar record with attached successor labor agreement text/attachment referenced; included as an edge-of-cycle non-safety comparator lead starting 2015.
