lane_id,scout_target_id,municipality,state,target_rank,skip_reason,live_attempted,candidate_count,notes
lane_1,TS4-1-ab8594900c394513,San Antonio,TX,6,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-4a1e280c7ed373c4,Boston,MA,11,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-4b7176fc4f9b032f,Corpus Christi,TX,17,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-fb169f49b80c8e98,Tallahassee,FL,25,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-dfac63e9b0182cc2,Peoria,AZ,26,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-8dca1993422abb65,Huntington Beach,CA,27,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-6542f6fbc71d7ff5,Brownsville,TX,28,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-bad6784044c57b27,Fort Collins,CO,33,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-c1f4e012d191585f,Killeen,TX,35,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-be66707bee19939b,Savannah,GA,37,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-b96511aa40965c17,Pasadena,TX,38,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-3b52e1ea947b5121,Thornton,CO,39,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-5f7790b738284fb7,Coral Springs,FL,40,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-402ad0e9ff269acb,Broken Arrow,OK,44,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-8baabc693d86926a,Menifee,CA,45,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-534a5997022bc087,Greeley,CO,46,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-7e2c55f0db4b550c,Goodyear,AZ,47,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-331d95d55fd5dc48,Davenport,IA,53,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-a2d8ee79d4555ccd,San Angelo,TX,54,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-d912903d42ecfebc,Plantation,FL,55,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-570f99ffa3c34b3c,Georgetown,TX,56,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-7b104818fbaa3d5a,O'Fallon,MO,57,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-33396eb76ca6e3a0,Lawton,OK,60,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-3ba0d976bc03738b,Baytown,TX,63,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-6239c2149a943ae2,Pharr,TX,67,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-ccfe4a2170d1bea5,Pasco,WA,69,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-32357c06a8a7667e,Woodbury,MN,70,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-90e99e841d93f990,Cedar Park,TX,71,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
lane_1,TS4-1-f2dffee0030294c1,Lakeville,MN,73,no_high_specificity_candidate,yes,0,Hosted scout returned no usable high-specificity candidate lead.
